timestamp,accX,accY,accZ
0,12.24,-2.35,8.13
91,12.46,-2.40,8.69
95,12.86,-2.26,9.49
100,13.15,-1.96,9.82
105,13.39,-1.93,10.27
109,13.56,-1.83,10.55
113,14.00,-1.83,11.48
118,14.31,-1.84,11.52
123,14.88,-1.94,12.05
128,15.37,-1.93,12.36
133,15.98,-1.87,13.11
137,16.16,-1.79,13.10
142,16.26,-2.04,13.92
147,16.98,-2.10,14.61
150,17.51,-2.29,14.73
155,17.82,-2.59,15.25
160,17.92,-3.05,15.62
165,18.08,-3.24,16.03
170,18.12,-3.39,16.17
174,17.87,-3.37,16.47
179,18.10,-3.16,16.90
184,18.16,-3.02,17.28
189,18.28,-2.75,17.40
192,18.33,-2.75,18.15
197,18.29,-2.65,18.46
202,18.35,-2.36,18.88
207,18.48,-1.87,19.02
211,18.58,-1.23,18.62
216,18.78,-0.59,18.32
221,19.05,-0.09,17.93
226,19.04,0.10,17.19
231,18.97,0.15,15.73
234,18.90,0.22,14.37
239,19.01,0.45,13.23
244,18.95,0.74,12.40
249,19.12,1.10,11.30
253,19.07,1.20,11.07
258,18.69,1.33,10.49
263,18.46,1.35,9.72
268,17.95,1.36,9.39
272,17.44,1.60,8.95
276,16.93,1.68,9.25
281,16.75,1.51,9.02
286,16.24,1.62,9.35
290,15.77,1.28,9.67
295,15.43,1.00,9.79
300,15.22,0.75,9.67
305,15.05,0.38,9.44
309,14.87,0.22,9.15
314,14.68,0.06,9.52
318,14.50,0.12,9.64
322,14.82,0.47,9.77
327,15.26,0.98,9.91
332,16.62,3.68,10.19
337,16.51,6.52,8.71
341,16.89,5.58,6.36
346,17.34,0.96,3.01
351,17.52,-2.69,0.36
356,16.37,-3.69,-0.70
360,14.68,-4.34,-0.94
364,13.09,-3.74,0.18
369,11.95,3.01,2.63
374,12.59,7.46,2.47
379,12.58,6.42,-0.51
383,13.76,0.94,-2.14
388,10.84,-3.65,-3.47
393,8.65,-8.39,-5.51
397,7.55,-9.84,-5.84
401,6.76,-8.39,-5.58
406,6.46,-6.68,-5.84
410,5.53,-7.85,-5.92
415,4.89,-8.77,-5.94
420,4.37,-8.21,-5.23
425,3.66,-7.80,-4.40
429,3.58,-7.13,-3.87
434,3.14,-5.75,-3.51
439,2.94,-3.59,-3.00
443,2.42,-3.01,-3.28
447,1.84,-3.98,-3.55
452,1.20,-5.37,-3.67
457,0.41,-6.00,-4.26
462,-0.15,-5.99,-4.82
466,-0.55,-5.48,-5.17
471,-1.01,-5.01,-5.72
476,-1.40,-4.47,-5.73
480,-1.89,-4.28,-5.66
484,-2.58,-3.88,-5.67
489,-2.61,-3.50,-6.16
494,-3.19,-2.99,-6.10
498,-3.39,-2.24,-6.17
503,-3.69,-1.36,-6.37
508,-3.82,-0.62,-6.13
513,-4.27,0.08,-6.14
517,-4.61,0.44,-5.80
522,-4.68,0.57,-5.70
526,-5.09,0.80,-5.51
531,-5.30,1.15,-5.32
535,-5.78,1.38,-4.90
540,-5.60,1.24,-4.81
545,-5.76,1.17,-4.28
550,-5.83,0.81,-4.42
554,-5.88,0.77,-4.44
559,-6.07,0.57,-4.43
564,-6.24,0.62,-4.24
568,-6.31,0.78,-4.20
572,-6.05,1.09,-4.17
577,-6.18,1.36,-4.22
582,-6.18,1.33,-3.78
587,-5.93,1.34,-3.63
591,-5.83,1.15,-3.89
596,-5.85,1.09,-4.38
601,-6.03,1.05,-4.37
606,-5.91,0.72,-5.02
609,-5.66,0.58,-5.16
614,-5.81,0.59,-5.34
619,-5.61,0.73,-5.96
623,-5.58,0.75,-6.05
628,-5.58,0.58,-6.18
633,-5.62,0.11,-6.40
638,-5.38,0.05,-6.46
642,-5.37,0.02,-7.10
647,-5.12,0.02,-7.63
651,-4.91,-0.08,-7.63
656,-4.80,-0.44,-7.66
660,-4.65,-1.00,-7.91
665,-4.19,-1.68,-8.18
670,-4.04,-2.20,-8.33
674,-3.74,-2.95,-8.14
679,-3.38,-3.23,-8.08
684,-2.77,-3.45,-7.78
689,-2.46,-3.89,-7.97
692,-1.85,-3.93,-8.12
697,-1.24,-3.84,-8.50
702,-0.67,-3.60,-8.57
707,0.01,-3.21,-8.69
711,0.57,-3.08,-9.04
716,1.45,-2.78,-9.12
721,1.89,-2.48,-9.26
725,2.71,-2.05,-8.82
730,3.61,-0.43,-7.28
734,4.00,1.51,-4.78
739,4.24,1.86,-2.81
743,4.50,1.69,-1.74
748,5.06,0.71,-0.62
753,5.52,-1.06,0.52
758,6.56,-3.15,2.10
762,7.27,-5.37,2.85
767,7.92,-7.44,4.64
772,7.89,-8.50,6.51
776,8.03,-10.54,7.92
780,8.29,-12.04,9.50
785,8.62,-13.46,10.66
790,9.13,-14.69,11.92
795,9.52,-15.85,12.32
799,9.57,-16.74,13.71
804,9.47,-17.69,14.96
809,10.30,-17.92,15.70
814,11.48,-18.70,17.21
817,12.66,-19.07,18.23
822,13.32,-19.09,19.16
827,14.18,-18.78,19.45
832,14.70,-17.97,19.49
837,15.00,-16.27,19.53
842,15.19,-13.79,19.54
846,15.13,-12.86,19.54
851,14.78,-10.40,19.54
856,14.29,-7.80,19.54
860,14.12,-6.14,19.54
864,13.20,-4.43,19.54
869,11.69,-3.53,19.54
874,9.79,-3.19,19.54
879,8.75,-3.10,19.54
884,7.94,-3.53,19.54
888,7.63,-4.26,19.54
893,7.85,-4.82,19.54
898,7.85,-5.35,19.54
902,8.06,-5.42,19.54
906,8.22,-5.11,19.54
911,8.29,-4.19,19.54
916,8.17,-3.72,19.54
921,8.15,-2.69,19.38
925,8.12,-1.58,19.23
930,7.40,-0.65,18.47
935,6.58,0.03,18.05
939,5.98,0.45,17.57
943,5.53,0.86,16.65
948,4.87,1.09,15.57
953,3.98,0.96,14.22
957,3.72,0.27,13.58
962,2.97,-0.67,12.35
967,2.23,-3.53,12.06
972,1.70,-4.73,11.93
976,1.30,-4.30,11.95
981,1.12,-2.47,12.09
985,1.22,-1.46,11.46
990,1.24,-2.00,10.25
994,1.46,-3.45,10.06
999,1.25,-4.29,10.22
1004,1.18,-3.22,10.36
1009,1.10,-1.48,9.91
1013,1.40,-0.69,9.38
1018,1.70,0.10,8.76
1023,1.59,-0.20,8.29
1027,1.77,-1.19,7.38
1031,1.58,-3.28,7.12
1036,1.42,-5.23,6.77
1041,1.41,-5.84,6.93
1046,1.57,-5.66,7.44
1050,1.65,-4.75,7.73
1055,1.66,-3.20,8.27
1060,1.76,-1.65,8.30
1064,1.40,-1.28,8.06
1068,1.27,-1.59,7.85
1073,1.48,-1.93,7.19
1078,1.88,-2.39,7.25
1082,1.82,-3.14,6.80
1087,1.79,-3.74,6.98
1092,2.08,-5.25,6.86
1096,1.52,-3.98,7.86
1101,1.73,-3.27,7.82
1106,1.93,-3.32,8.08
1110,1.84,-2.52,8.96
1114,1.86,-1.73,8.80
1119,1.82,-1.52,9.23
1124,1.81,-1.17,9.33
1128,1.79,-0.54,9.70
1133,1.75,-0.33,9.64
1138,1.93,-0.12,9.46
1143,1.94,-0.12,9.94
1147,2.14,-0.04,10.16
1151,2.34,-0.18,9.87
1156,2.38,-0.16,10.12
1160,2.65,-0.50,10.28
1165,2.98,-0.57,10.31
1170,3.20,-0.82,10.76
1175,3.41,-1.15,10.80
1179,3.63,-1.32,10.75
1184,3.83,-1.41,10.71
1189,3.91,-1.45,10.72
1192,4.12,-1.30,10.63
1197,4.39,-1.07,10.80
1202,4.64,-0.68,11.23
1207,4.76,-0.20,10.98
1211,4.78,0.21,11.03
1216,5.07,0.92,11.08
1221,5.28,1.41,11.58
1226,5.64,1.68,11.86
1230,6.02,2.23,11.87
1234,6.44,2.53,12.21
1239,6.91,2.55,12.86
1244,7.12,2.54,13.66
1248,7.65,2.39,13.68
1253,7.80,2.06,14.42
1258,8.30,1.90,14.76
1263,8.67,1.54,15.35
1267,8.90,1.39,15.78
1272,9.07,1.30,16.05
1276,9.41,1.23,15.90
1281,9.64,1.02,16.04
1285,10.05,1.03,16.07
1290,10.39,0.83,15.74
1295,10.76,0.78,15.14
1300,10.89,1.00,15.10
1304,11.07,1.28,15.14
1309,11.28,1.71,14.85
1314,11.45,2.14,15.11
1318,11.95,2.73,15.02
1322,12.25,3.07,14.84
1327,12.70,3.38,14.70
1332,13.06,3.39,14.25
1337,13.05,3.47,14.31
1341,14.09,3.68,14.90
1346,14.81,4.01,15.66
1351,14.94,3.29,16.16
1356,15.52,2.58,16.07
1359,16.27,2.15,16.01
1364,16.68,1.63,15.91
1369,16.83,0.91,16.02
1374,17.37,0.13,15.96
1378,17.46,-0.92,15.86
1383,17.55,-2.35,16.00
1388,17.57,-3.93,15.85
1393,17.69,-4.75,15.76
1398,17.39,-6.18,16.05
1401,17.22,-7.71,16.11
1406,16.71,-9.26,15.60
1411,16.13,-10.86,15.26
1416,15.23,-12.18,15.25
1420,14.12,-13.28,14.73
1425,13.33,-14.00,14.36
1430,12.54,-14.33,13.72
1435,11.83,-14.77,12.99
1439,11.32,-15.07,12.46
1443,10.19,-15.49,11.25
1448,9.17,-15.44,10.83
1453,8.53,-15.10,10.82
1458,7.75,-14.69,10.33
1463,6.77,-14.28,9.79
1467,5.70,-13.90,9.35
1472,4.99,-13.11,8.94
1477,4.74,-12.30,8.23
1481,4.13,-11.43,7.97
1485,3.71,-10.54,7.86
1490,3.46,-9.74,7.62
1495,2.88,-9.03,7.42
1499,2.24,-8.79,7.25
1504,1.85,-8.20,7.53
1509,1.79,-7.74,7.32
1514,1.52,-7.57,7.22
1519,1.45,-7.65,7.33
1523,1.46,-7.71,7.27
1527,0.99,-7.69,7.70
1532,0.31,-7.75,7.87
1536,-0.05,-7.91,8.23
1541,-0.34,-7.71,8.34
1546,-0.68,-7.56,8.75
1551,-0.59,-7.45,8.72
1555,-0.70,-7.17,8.87
1560,-0.89,-7.01,9.45
1564,-0.87,-6.53,9.45
1568,-1.02,-6.14,9.68
1573,-1.14,-5.84,9.88
1578,-1.11,-5.68,9.68
1583,-1.26,-5.39,9.57
1587,-1.29,-5.21,9.51
1592,-1.19,-5.09,9.36
1597,-1.10,-4.89,9.15
1602,-1.14,-4.67,9.29
1606,-1.20,-4.00,9.12
1610,-1.16,-3.59,9.03
1615,-0.80,-3.10,8.59
1619,-1.04,-2.95,8.25
1624,-1.35,-2.76,8.13
1629,-1.36,-2.55,8.07
