timestamp,accX,accY,accZ
0,9.21,-3.16,1.46
91,9.36,-3.22,1.28
95,9.16,-3.24,1.35
100,9.22,-3.20,1.23
104,9.32,-3.27,1.38
109,9.22,-3.12,1.59
113,9.11,-3.16,1.61
118,9.17,-3.15,1.66
123,9.20,-3.23,1.64
127,9.32,-2.97,2.13
132,9.56,-2.94,2.29
137,9.67,-2.85,2.45
141,9.78,-2.78,2.74
145,9.94,-2.87,3.41
150,10.01,-2.87,3.62
155,10.13,-3.00,4.21
160,10.26,-3.17,4.44
164,10.49,-2.94,4.88
169,10.77,-2.88,5.72
174,11.14,-2.77,5.70
179,11.37,-2.70,6.28
183,11.58,-2.64,6.79
187,11.99,-2.60,7.12
192,12.21,-2.58,7.26
197,12.54,-2.65,7.76
201,12.90,-2.61,8.46
206,13.29,-2.82,9.31
211,13.49,-3.14,10.05
215,13.58,-3.48,10.60
220,14.01,-3.57,11.41
225,14.24,-3.57,11.65
229,14.71,-3.79,12.73
234,14.87,-3.83,13.14
238,15.08,-3.73,13.46
243,15.30,-3.79,14.16
248,15.50,-3.62,14.56
253,15.90,-3.44,14.64
257,16.35,-3.42,15.03
262,16.80,-3.33,15.09
266,17.18,-2.94,15.07
271,17.58,-3.13,14.85
275,17.81,-3.07,14.60
280,17.89,-3.14,14.63
285,18.04,-3.15,15.02
290,18.25,-3.18,15.19
294,18.29,-3.25,15.14
299,18.23,-3.36,15.18
304,18.54,-3.36,15.26
308,18.82,-3.51,14.96
313,18.87,-3.62,14.96
317,19.13,-3.83,14.46
322,19.24,-4.34,14.31
327,19.31,-4.68,13.79
332,19.41,-4.77,13.38
336,19.50,-4.96,12.71
341,19.34,-5.25,12.28
346,19.44,-5.38,12.03
350,19.34,-5.32,11.90
354,19.40,-5.43,11.89
359,19.46,-5.46,11.93
364,19.32,-5.55,11.98
368,19.20,-5.48,11.49
373,19.08,-5.70,11.48
378,19.00,-5.84,11.10
383,19.10,-5.86,10.91
388,18.79,-5.96,10.83
391,18.53,-5.67,10.41
396,18.29,-5.65,9.85
401,17.82,-5.30,9.59
406,18.13,-5.13,8.43
410,17.71,-5.06,7.62
415,17.17,-5.25,7.38
420,16.56,-5.54,7.37
425,15.84,-5.77,6.92
429,15.45,-6.09,6.69
433,14.79,-6.45,6.92
438,14.17,-6.54,6.74
443,14.80,-3.43,7.82
447,13.52,-1.25,6.96
452,13.70,-4.06,5.17
457,14.03,-7.31,3.18
462,14.08,-8.36,2.24
466,12.91,-9.78,1.36
471,11.72,-9.16,2.22
