timestamp,accX,accY,accZ
0,15.71,-2.43,13.31
91,16.27,-2.25,14.09
95,16.50,-2.19,14.93
100,16.73,-2.30,15.58
105,16.79,-2.65,15.75
110,16.90,-3.14,16.01
115,17.25,-3.53,16.91
119,17.69,-3.85,17.23
124,18.01,-4.15,17.22
128,18.21,-4.16,17.57
133,18.56,-4.27,17.50
137,18.85,-4.41,17.47
142,18.89,-4.61,17.25
147,18.94,-4.64,17.44
152,19.13,-4.74,17.12
156,19.15,-4.84,17.18
161,19.18,-4.78,16.26
166,19.18,-4.75,15.80
170,19.16,-4.58,15.20
174,19.17,-4.35,14.58
179,19.16,-4.11,14.18
184,18.95,-3.81,14.06
189,19.08,-3.53,13.59
193,18.80,-3.27,13.25
198,18.78,-3.43,12.29
203,18.74,-3.53,11.50
208,18.77,-3.40,10.58
212,18.61,-3.35,9.75
216,18.88,-3.56,9.30
221,18.69,-3.63,8.62
226,18.36,-3.55,7.76
230,18.12,-3.65,7.17
235,17.67,-3.58,6.71
240,17.51,-3.58,5.72
245,17.08,-3.48,5.72
249,16.81,-3.15,5.66
253,16.52,-3.06,5.64
258,16.31,-2.89,5.59
263,15.85,-2.95,5.42
267,15.40,-3.24,5.47
272,15.04,-3.28,6.91
277,14.26,-0.68,6.49
282,13.68,-0.75,6.14
286,14.05,-2.25,5.16
291,14.08,-3.77,3.78
295,13.78,-5.17,2.68
300,12.73,-6.66,3.01
304,11.73,1.64,3.55
309,11.10,5.54,3.36
314,12.77,8.60,0.78
319,12.77,3.73,-0.49
323,11.52,-2.25,-2.74
328,9.41,-5.59,-5.58
333,7.59,-11.19,-7.22
337,6.91,-11.10,-6.75
341,5.39,-7.05,-5.51
346,5.16,-5.45,-5.20
351,5.08,-6.44,-4.50
356,4.09,-7.57,-4.26
360,3.16,-7.77,-4.81
365,2.30,-7.59,-4.17
370,2.03,-6.27,-4.05
374,1.47,-3.96,-3.52
378,1.07,-2.49,-3.59
383,0.85,-3.17,-4.62
388,0.00,-3.45,-5.37
392,-0.92,-4.00,-6.19
397,-1.48,-3.72,-5.95
402,-1.52,-2.73,-5.37
407,-1.89,-1.84,-5.25
411,-2.04,-1.10,-5.04
416,-2.49,-0.46,-4.55
420,-2.80,-0.33,-4.00
424,-3.07,0.42,-3.48
429,-3.23,1.02,-3.30
434,-3.46,1.66,-3.27
438,-3.72,2.03,-3.21
443,-4.00,2.14,-3.38
448,-4.40,1.72,-3.67
453,-4.98,1.47,-3.76
457,-5.12,0.82,-4.47
461,-5.13,0.33,-4.46
466,-5.21,0.14,-5.54
471,-5.18,-0.07,-5.78
475,-5.30,-0.39,-6.39
480,-5.41,-0.43,-6.97
485,-5.67,-0.51,-7.24
490,-6.09,-0.62,-7.43
494,-5.82,-0.50,-7.52
499,-6.06,-0.28,-7.50
503,-6.21,0.04,-7.54
507,-6.20,0.11,-7.99
512,-6.30,0.29,-7.71
517,-6.30,0.32,-7.91
522,-6.45,0.47,-7.49
526,-6.60,0.51,-7.27
531,-6.57,0.50,-7.19
536,-6.54,0.42,-6.61
541,-6.45,0.79,-6.44
544,-6.34,0.82,-6.35
549,-6.24,1.25,-5.75
554,-6.24,1.56,-5.03
558,-6.23,1.91,-4.40
563,-6.19,2.14,-4.04
568,-5.92,2.36,-3.60
573,-5.82,2.51,-3.50
577,-5.78,2.58,-3.44
582,-5.67,2.80,-3.06
586,-5.67,2.68,-3.06
590,-5.69,2.98,-2.75
595,-5.58,2.98,-2.31
600,-5.53,3.04,-2.11
605,-5.39,3.12,-1.85
609,-5.38,3.19,-1.76
614,-5.38,2.92,-1.48
619,-5.16,2.75,-1.65
624,-5.22,2.77,-1.62
627,-4.99,2.66,-1.79
632,-5.16,2.68,-1.43
637,-4.97,2.58,-1.43
642,-4.89,2.37,-1.70
646,-4.83,1.96,-1.55
651,-4.59,1.30,-1.75
656,-4.37,0.75,-1.82
661,-4.29,0.11,-1.59
665,-4.09,-0.41,-1.73
