timestamp,accX,accY,accZ
0,15.45,-0.63,18.99
90,15.82,-0.80,18.92
94,16.12,-1.05,19.09
99,16.50,-1.28,19.20
104,16.95,-1.68,19.17
109,17.09,-1.86,19.30
113,17.63,-2.07,19.16
118,18.05,-2.15,19.14
123,18.65,-2.06,18.97
128,19.17,-2.18,18.79
132,19.21,-2.18,18.14
136,19.36,-2.33,17.77
141,19.44,-2.39,17.53
146,19.51,-2.38,17.31
151,19.52,-2.41,17.20
155,19.54,-2.54,17.00
160,19.54,-2.62,16.73
165,19.53,-2.69,16.68
170,19.54,-2.98,16.29
173,19.54,-3.17,15.88
178,19.54,-3.42,15.74
183,19.52,-3.47,14.99
188,19.48,-3.31,14.65
192,19.51,-3.08,14.08
197,19.41,-2.71,13.96
202,19.46,-2.75,13.52
207,19.42,-2.57,13.36
211,19.37,-2.62,13.05
215,19.35,-2.63,12.37
220,19.33,-2.89,11.85
225,19.43,-3.07,11.25
230,19.50,-3.32,10.81
234,19.53,-3.52,9.57
239,19.54,-3.76,7.94
244,19.54,-3.85,6.43
248,19.48,-3.98,4.89
253,19.05,-4.20,3.60
257,18.71,-4.49,3.09
262,17.50,-4.37,2.09
267,16.17,-4.34,1.50
271,15.68,-2.67,1.13
276,14.20,-3.08,1.33
281,13.88,-3.43,1.67
286,12.98,-3.63,2.74
290,11.40,2.16,3.37
295,10.54,4.32,3.17
299,11.47,4.70,1.51
304,10.92,1.61,-0.26
308,8.92,-0.16,-1.59
313,8.09,-1.85,-2.03
318,6.95,-2.87,-2.87
323,5.94,-5.21,-3.27
327,5.82,-6.96,-2.84
332,4.27,-7.37,-2.19
337,3.50,-5.86,-0.85
341,3.31,-4.60,-0.27
345,3.32,-5.21,-0.57
350,3.06,-6.75,-0.94
355,2.44,-6.76,-1.14
359,1.97,-5.54,-1.60
364,1.73,-4.66,-1.62
369,1.75,-3.01,-2.52
374,1.66,-3.25,-4.22
378,1.32,-4.08,-5.85
382,0.68,-4.67,-7.27
387,-0.10,-4.88,-7.91
392,-0.67,-4.68,-8.54
396,-0.70,-4.38,-8.72
401,-1.02,-3.32,-8.23
406,-1.63,-2.45,-7.73
411,-1.81,-1.44,-7.63
415,-2.36,-0.71,-7.50
420,-2.87,-0.02,-7.68
424,-3.65,0.35,-7.27
429,-4.26,0.44,-7.31
433,-4.63,1.02,-7.10
438,-4.91,1.41,-6.80
443,-4.96,1.48,-6.95
447,-5.13,1.28,-6.84
452,-5.23,1.15,-6.64
457,-5.41,0.85,-6.47
462,-5.57,0.82,-6.12
465,-5.57,0.85,-6.09
470,-5.51,0.78,-5.95
475,-5.72,0.88,-5.81
479,-5.65,0.77,-5.53
484,-5.64,0.98,-5.85
489,-5.84,1.18,-5.80
494,-5.86,1.38,-5.78
498,-5.95,1.57,-5.76
503,-6.03,1.77,-6.30
507,-5.64,1.69,-6.14
511,-5.42,1.71,-6.55
516,-5.26,1.90,-6.65
521,-5.21,1.87,-6.40
526,-5.10,1.89,-6.47
530,-4.92,1.83,-6.67
535,-4.96,1.76,-6.75
540,-4.89,1.72,-6.45
545,-4.72,1.56,-6.83
548,-4.65,1.46,-6.61
553,-4.54,1.19,-6.73
558,-4.44,1.03,-6.86
562,-4.08,0.72,-6.80
567,-3.83,0.39,-6.85
572,-3.80,0.15,-6.81
577,-3.35,-0.09,-6.62
581,-3.32,-0.41,-6.84
586,-2.81,-0.94,-6.93
590,-2.62,-1.71,-6.68
595,-2.29,-2.39,-6.49
599,-1.76,-3.04,-6.06
604,-1.40,-3.15,-5.44
609,-1.18,-3.30,-4.93
614,-1.08,-3.25,-4.31
618,-1.15,-3.27,-4.30
623,-0.94,-3.46,-3.74
628,-0.61,-3.60,-3.67
631,-0.36,-3.78,-3.71
636,0.14,-3.80,-3.20
641,0.71,-3.97,-2.65
646,1.06,-3.98,-2.70
650,1.31,-4.05,-2.15
655,1.37,-3.91,-1.63
660,1.65,-3.93,-0.76
665,2.01,-3.96,-0.25
669,2.38,-4.27,0.54
673,2.92,-4.51,1.95
678,3.36,-5.40,2.96
683,3.61,-6.32,4.62
687,3.86,-7.26,5.94
692,4.39,-8.39,6.97
697,4.62,-9.48,8.54
701,5.11,-10.48,10.14
706,5.03,-10.98,11.39
711,5.74,-11.75,12.37
715,6.85,-12.72,13.23
719,7.21,-14.08,13.64
724,7.83,-15.34,14.91
729,8.48,-16.56,15.74
734,9.07,-17.77,17.09
738,9.76,-18.30,18.41
743,10.55,-19.15,19.21
748,10.81,-19.43,19.46
753,10.79,-19.51,19.52
757,11.06,-19.53,19.54
761,11.43,-19.52,19.54
766,11.63,-18.77,19.54
771,11.72,-16.50,19.54
776,11.63,-15.21,19.54
781,11.07,-12.66,19.54
785,10.33,-10.22,19.54
790,10.10,-7.82,19.54
795,9.22,-6.22,19.54
798,8.53,-5.11,19.54
803,7.28,-4.59,19.54
808,6.38,-4.34,19.54
813,5.92,-4.13,19.54
817,5.50,-3.75,19.54
822,5.44,-3.16,19.54
827,5.20,-2.62,19.54
832,4.85,-2.36,19.54
836,4.43,-2.23,19.54
840,4.04,-2.17,19.29
845,3.57,-2.54,18.44
850,3.25,-3.22,17.52
854,2.90,-4.13,16.78
859,2.81,-4.93,16.17
864,2.65,-5.03,15.84
869,2.57,-5.28,15.43
873,2.59,-5.14,14.84
878,2.47,-5.10,14.52
882,2.24,-5.07,14.02
887,2.29,-4.58,13.91
891,2.01,-3.22,13.25
896,2.03,-0.84,13.33
901,2.17,0.36,12.24
906,1.93,-0.11,11.04
910,2.10,-1.81,10.84
915,2.39,-2.43,10.44
920,2.15,-2.46,10.31
924,1.63,-2.18,10.13
928,1.25,-2.39,10.06
933,1.50,-2.94,9.61
938,1.43,-3.04,9.87
942,1.34,-3.04,9.86
947,1.30,-2.64,9.69
952,1.25,-0.98,9.50
957,0.75,-2.67,9.25
961,0.79,-2.41,9.22
965,0.85,-2.10,9.02
970,1.00,-1.42,8.37
974,0.50,-1.65,7.77
979,0.36,-1.71,7.58
984,0.11,-1.85,7.16
989,0.41,-1.85,6.77
993,0.63,-1.77,6.08
998,0.52,-1.77,6.09
1003,0.62,-1.63,6.14
1007,0.63,-1.69,5.81
1011,0.83,-1.71,5.65
1016,0.72,-1.88,5.68
1021,0.66,-2.06,6.04
1025,0.79,-1.82,5.94
1030,0.77,-1.84,6.21
1035,0.64,-1.85,6.71
1040,0.76,-1.84,7.26
1044,0.79,-1.89,7.42
1048,0.75,-2.04,7.63
1053,0.80,-2.16,7.42
1057,0.94,-2.00,7.65
1062,1.11,-1.91,7.59
1067,1.22,-1.99,7.91
1072,1.16,-1.85,8.16
1076,1.35,-1.39,8.02
1081,1.78,-0.92,7.89
1086,1.78,-0.39,8.01
1090,1.93,-0.11,8.38
1094,1.93,0.34,8.29
1099,2.07,0.84,7.89
1104,2.10,1.15,8.42
1108,2.44,1.59,8.88
1113,2.94,1.92,8.95
1118,3.30,2.24,9.32
1122,3.34,2.68,9.65
1127,3.67,3.06,10.00
1131,4.35,3.22,10.34
1136,4.74,3.03,10.86
1140,5.33,2.75,11.24
1145,5.78,2.61,12.04
1150,6.26,2.35,12.28
1154,6.88,1.75,12.60
1159,7.04,1.43,12.90
1164,7.68,1.13,13.04
1169,8.06,1.02,13.31
1172,8.59,1.24,13.74
1177,8.99,1.25,13.76
1182,9.49,1.54,14.33
1187,10.00,1.88,14.60
1192,10.18,2.12,14.69
1196,10.54,2.54,15.19
1201,11.25,2.64,15.33
1206,11.61,2.42,15.89
1211,12.30,2.12,15.78
1214,12.85,1.97,15.93
1219,13.47,1.98,15.85
1224,14.15,1.97,15.92
1229,14.50,1.80,15.93
1234,14.78,1.71,16.03
1238,15.14,1.67,15.69
1243,15.08,1.52,15.51
1248,15.33,1.48,15.85
1252,15.70,1.61,16.06
1256,16.25,1.65,16.15
1261,16.19,1.55,15.99
1266,16.93,1.25,16.43
1271,17.66,0.66,16.43
1275,18.21,-0.20,16.54
1280,18.63,-1.16,16.94
1285,19.26,-1.75,17.13
1290,19.44,-2.89,17.75
1294,19.49,-4.33,17.52
1298,19.53,-5.86,17.82
1303,19.54,-7.57,17.51
1308,19.54,-9.15,17.59
1312,19.54,-11.04,16.57
1317,19.53,-12.10,16.07
1322,19.53,-13.83,15.39
1327,19.38,-15.25,14.35
1331,18.49,-16.58,13.38
1336,17.21,-17.51,12.31
1340,16.08,-18.41,11.60
1345,14.45,-18.93,10.40
1349,12.98,-18.91,9.58
1354,11.81,-18.74,8.89
1359,10.74,-18.01,8.80
1364,10.33,-17.22,8.38
1368,9.33,-16.20,8.29
1373,8.36,-15.05,8.47
1378,7.84,-13.79,9.01
1382,7.70,-12.68,9.17
1386,6.80,-12.07,9.14
1391,5.87,-10.98,9.20
1396,5.66,-10.28,9.47
1401,5.16,-9.67,9.03
1405,4.52,-9.11,9.22
1410,4.13,-8.57,9.19
1415,3.96,-8.13,9.17
1420,3.50,-8.11,8.96
1423,3.23,-8.28,9.06
1428,3.02,-8.32,9.22
1433,2.56,-8.28,9.22
1438,2.18,-8.08,9.26
1442,1.79,-8.17,8.94
1447,1.65,-8.04,8.78
1452,1.48,-7.99,8.99
1456,1.24,-7.92,8.88
1461,1.18,-7.72,8.51
1465,0.90,-7.55,8.45
1470,0.64,-7.17,8.32
1474,0.59,-6.78,8.33
1479,0.40,-6.76,8.63
1484,0.56,-6.27,8.85
1488,0.43,-5.60,8.62
1493,0.32,-5.04,8.59
1498,0.14,-4.30,8.54
1503,0.33,-3.50,8.54
1506,0.05,-2.78,8.71
1511,0.07,-2.64,8.83
1516,-0.15,-2.13,8.73
1521,-0.22,-1.81,8.68
1525,-0.20,-1.72,8.66
1530,-0.11,-1.74,8.62
1535,-0.16,-1.55,8.71
1539,-0.23,-1.60,8.64
1544,-0.04,-1.64,8.72
1548,-0.05,-1.37,8.60
1553,0.10,-1.47,8.54
1557,-0.08,-1.54,8.63
1562,-0.23,-1.59,8.43
1567,-0.14,-1.62,8.57
1571,0.00,-1.51,8.45
1576,-0.29,-1.24,8.62
1581,-0.13,-1.01,8.74
1586,-0.09,-1.06,8.44
1589,0.05,-0.78,8.54
1594,0.05,-0.59,8.77
1599,0.13,-0.56,8.71
1603,-0.06,-0.31,8.94
1608,-0.01,-0.22,8.94
1613,-0.23,-0.05,9.42
1618,-0.36,-0.10,9.22
1622,-0.44,-0.17,9.45
1627,-0.28,-0.02,9.25
