timestamp,accX,accY,accZ
0,10.15,-2.64,2.33
91,10.56,-2.52,2.21
95,10.69,-2.17,2.98
99,10.72,-1.84,3.20
104,11.20,-1.56,4.29
109,11.44,-1.50,4.66
113,11.61,-1.25,5.08
118,11.95,-1.04,6.33
123,12.18,-0.84,6.84
128,12.37,-0.77,8.31
132,12.62,-0.75,8.86
137,12.57,-0.90,9.56
141,13.02,-0.97,10.38
146,13.43,-1.23,11.45
150,13.67,-1.65,12.23
155,13.96,-2.04,13.40
160,14.51,-2.30,14.10
165,15.15,-2.57,14.60
169,15.37,-2.77,14.89
174,15.91,-3.04,15.45
179,16.27,-3.11,15.87
183,16.90,-3.43,15.84
187,17.21,-3.73,15.67
192,17.52,-3.98,15.76
197,17.92,-3.86,15.98
201,18.37,-3.62,15.82
206,18.78,-3.55,15.94
211,19.13,-3.24,16.10
216,19.43,-3.20,16.24
221,19.46,-3.18,16.01
224,19.49,-3.27,15.77
229,19.53,-3.22,15.38
234,19.54,-3.35,15.06
239,19.54,-3.44,14.69
243,19.54,-3.51,14.76
248,19.54,-3.62,14.36
253,19.54,-3.81,14.25
257,19.54,-3.82,14.19
262,19.54,-3.79,14.28
266,19.54,-3.61,14.05
271,19.54,-3.23,14.23
276,19.54,-2.99,14.00
280,19.54,-2.75,14.16
285,19.54,-2.65,13.78
290,19.54,-2.40,13.55
295,19.54,-2.07,13.45
299,19.54,-1.78,13.24
304,19.54,-1.66,13.03
308,19.54,-1.71,12.44
313,19.54,-2.00,12.40
318,19.54,-2.24,12.40
322,19.54,-2.55,12.29
327,19.54,-2.96,12.35
332,19.54,-3.19,12.40
336,19.54,-3.22,12.32
341,19.51,-3.18,11.84
346,19.54,-3.55,11.29
350,19.50,-4.04,10.16
355,19.52,-4.05,9.60
359,19.01,-5.27,7.88
364,19.09,-5.79,7.08
369,18.21,-6.30,5.93
373,17.57,-5.95,6.01
378,15.59,-5.29,5.28
383,15.25,-4.74,3.97
388,14.52,-2.97,3.99
392,13.26,3.96,3.55
396,13.40,5.49,2.45
401,14.32,1.15,-0.78
406,13.60,-0.47,-3.39
