timestamp,accX,accY,accZ
0,10.70,-4.44,6.26
91,10.89,-4.40,6.20
95,10.79,-4.62,6.43
99,10.87,-4.59,6.88
104,10.87,-4.67,6.89
108,11.02,-4.76,7.16
113,11.04,-4.67,7.16
118,11.12,-4.63,8.21
123,11.23,-4.60,8.21
127,11.51,-4.67,8.68
132,11.58,-4.46,9.57
137,11.83,-4.55,10.46
141,12.08,-4.45,11.06
145,12.18,-4.37,11.47
150,12.29,-3.99,11.99
155,12.48,-3.81,12.21
160,12.75,-3.44,13.17
165,13.31,-2.82,13.51
169,13.74,-2.71,14.03
174,14.51,-2.27,13.77
179,14.86,-1.54,13.28
183,15.18,-0.91,13.27
187,15.26,-0.52,13.40
192,15.52,-0.37,13.62
197,15.92,-0.12,14.02
202,16.35,-0.14,14.07
206,16.52,-0.39,14.83
211,16.35,-0.64,15.76
216,16.82,-1.01,16.18
221,17.02,-1.49,16.73
224,17.35,-1.90,17.16
229,17.32,-2.50,17.66
234,17.46,-2.96,17.83
239,17.65,-3.67,18.51
243,17.86,-4.18,18.44
248,17.98,-4.55,18.46
253,17.78,-5.25,18.74
258,17.99,-6.04,18.30
263,18.00,-6.55,18.14
266,17.88,-6.84,17.39
271,18.10,-7.15,16.88
276,18.06,-7.16,16.45
281,17.83,-7.23,15.81
285,17.55,-7.32,15.45
290,17.62,-7.00,15.11
295,17.76,-6.83,14.32
300,17.71,-6.65,13.41
304,17.41,-6.51,12.58
308,17.12,-5.78,11.88
313,17.15,-5.09,11.36
318,17.04,-4.61,10.57
322,16.55,-3.96,9.85
327,16.44,-3.73,9.83
332,15.81,-3.10,9.45
337,15.49,-2.81,9.19
341,14.98,-2.42,9.14
346,14.72,-1.82,9.11
350,14.38,-1.61,8.81
355,14.05,-1.36,8.57
359,13.55,-0.80,8.84
364,13.45,0.54,8.38
369,12.97,0.96,7.63
374,13.58,0.36,6.78
378,12.61,0.87,6.77
383,12.28,9.37,7.52
388,12.31,15.71,5.01
392,14.39,15.77,3.12
396,14.83,12.29,-3.05
401,13.52,6.76,-5.60
406,10.13,-2.47,-8.39
411,7.24,-13.13,-9.80
415,6.12,-17.12,-10.97
420,3.80,-18.60,-9.58
425,2.54,-16.00,-8.03
430,2.15,-13.34,-5.15
434,2.32,-11.12,-2.81
438,2.94,-10.79,-2.02
443,2.90,-12.11,-3.53
448,2.81,-13.55,-5.02
452,2.34,-12.57,-5.52
457,2.19,-9.46,-5.96
462,2.20,-6.28,-6.37
467,2.09,-4.92,-8.00
471,1.64,-4.67,-9.26
475,0.74,-3.71,-10.18
480,0.56,-1.81,-10.60
485,0.09,-0.12,-10.75
489,-0.18,1.71,-10.87
494,-0.58,3.33,-10.58
499,-1.17,4.18,-9.55
503,-1.48,5.42,-9.07
508,-1.91,6.25,-8.33
513,-2.54,6.68,-8.13
516,-3.27,5.85,-8.00
521,-3.72,5.51,-7.83
526,-4.38,5.37,-7.03
531,-4.65,4.97,-6.21
535,-4.81,4.17,-5.96
540,-4.81,3.11,-5.39
545,-5.00,2.43,-4.96
550,-5.09,1.56,-4.78
554,-5.08,0.93,-4.24
558,-5.18,0.76,-3.78
563,-5.35,0.34,-3.47
567,-5.26,0.09,-3.09
572,-5.12,-0.19,-2.97
577,-5.26,-0.21,-2.73
582,-5.33,-0.09,-2.72
586,-5.18,-0.08,-2.61
591,-5.08,-0.05,-2.90
596,-5.04,-0.23,-3.28
599,-5.04,-0.50,-3.47
604,-5.17,-0.92,-3.57
609,-5.08,-1.65,-3.78
614,-5.04,-1.58,-4.05
618,-4.93,-1.33,-4.05
623,-4.75,-1.13,-3.82
628,-4.45,-0.64,-3.90
633,-4.16,-0.54,-3.89
637,-4.16,-0.34,-3.98
641,-4.21,-0.27,-4.13
646,-4.29,-0.15,-4.21
651,-4.29,-0.08,-4.10
655,-4.06,-0.09,-4.13
660,-3.94,-0.14,-4.21
665,-3.78,-0.19,-4.74
669,-3.54,-0.30,-4.70
674,-3.23,-0.53,-4.65
679,-2.92,-0.83,-4.89
683,-2.75,-1.09,-5.04
687,-2.42,-1.31,-4.42
692,-2.42,-1.26,-3.62
697,-2.16,-1.43,-3.30
702,-2.14,-1.64,-2.82
706,-1.94,-1.85,-2.23
711,-1.55,-1.93,-1.85
716,-1.30,-2.58,-1.10
721,-0.79,-3.22,-0.40
724,-0.75,-3.67,0.47
729,-0.43,-4.06,1.53
734,0.04,-4.45,1.65
739,0.16,-4.65,2.51
743,0.60,-5.05,2.79
748,0.75,-5.37,3.17
753,0.72,-5.96,3.54
758,0.87,-6.67,4.19
762,1.09,-7.30,4.70
766,1.62,-8.14,4.70
771,2.17,-8.60,5.41
775,2.95,-8.78,5.97
780,3.58,-9.47,6.81
785,3.97,-10.41,7.48
790,4.67,-11.32,8.45
794,5.18,-12.52,9.72
799,5.57,-13.66,10.21
804,6.09,-14.44,12.21
808,6.88,-14.71,13.73
812,7.17,-15.19,15.31
817,7.04,-15.35,16.04
822,6.91,-16.08,16.85
827,7.22,-17.22,16.94
831,7.85,-18.29,17.47
836,8.72,-18.28,18.48
841,9.20,-17.91,19.13
846,9.80,-17.59,19.45
850,10.04,-16.57,19.52
854,10.21,-15.48,19.54
859,10.16,-13.85,19.54
864,9.84,-12.43,19.54
869,9.28,-11.11,19.54
873,8.82,-9.99,19.54
878,8.38,-9.39,19.54
883,8.03,-8.22,19.54
888,7.28,-7.41,19.54
891,7.13,-6.95,19.54
896,6.54,-6.41,19.54
901,5.99,-5.78,19.54
906,5.68,-5.18,19.53
910,5.11,-4.89,19.35
915,4.42,-4.24,19.00
920,3.82,-3.74,18.74
925,3.57,-3.33,17.91
929,3.26,-3.00,16.92
933,2.82,-2.98,16.59
938,2.46,-3.53,15.51
943,2.24,-3.95,14.73
947,2.14,-5.01,14.01
952,2.12,-6.07,13.38
957,2.07,-7.31,12.56
962,1.97,-8.41,12.37
966,2.02,-8.79,12.41
971,2.08,-7.38,12.15
975,2.33,-7.66,11.31
979,2.43,-9.10,10.64
984,1.78,-10.24,9.80
989,1.97,-10.91,9.64
994,1.71,-11.24,9.74
998,1.56,-11.19,10.18
1003,1.37,-10.80,10.36
1008,1.58,-10.23,10.84
1013,1.87,-8.80,10.45
1016,2.12,-7.26,10.47
1021,2.01,-6.46,10.07
1026,2.08,-6.14,9.40
1031,1.88,-6.20,9.25
1035,1.79,-6.40,8.88
1040,1.77,-6.33,8.79
1045,1.92,-5.81,8.52
1050,2.03,-5.53,8.31
1054,2.09,-5.32,7.99
1058,1.90,-5.22,8.17
1063,1.96,-5.25,8.12
1068,1.87,-5.21,8.22
1072,1.82,-5.15,8.06
1077,1.65,-4.98,8.23
