timestamp,accX,accY,accZ
0,15.98,-4.44,13.82
91,16.07,-4.27,14.01
95,16.45,-4.51,14.32
99,16.68,-4.83,14.64
104,16.71,-5.40,14.70
109,16.97,-5.58,14.97
114,17.18,-5.77,15.51
118,17.49,-5.85,15.58
123,17.67,-5.76,15.99
128,17.75,-5.59,15.93
133,18.21,-5.48,15.83
137,18.61,-5.33,15.65
141,18.70,-4.97,15.71
146,18.77,-4.91,15.51
151,19.14,-4.65,15.84
155,19.12,-4.29,15.31
160,19.33,-4.22,14.79
165,19.46,-3.85,14.78
170,19.41,-3.48,14.36
175,19.45,-3.30,13.70
179,19.50,-2.93,13.80
183,19.53,-2.58,13.54
188,19.54,-2.01,13.26
192,19.53,-1.50,13.32
197,19.52,-0.83,13.41
202,19.54,-0.58,13.35
207,19.54,-0.24,13.85
211,19.54,-0.25,13.75
216,19.54,-0.11,13.42
221,19.54,-0.28,13.47
225,19.54,-0.86,12.70
230,19.54,-1.54,12.10
234,19.54,-2.57,12.12
239,19.54,-3.36,11.56
244,19.54,-3.96,10.56
249,19.54,-4.99,9.61
253,19.46,-5.66,8.86
258,19.39,-6.55,8.14
263,19.22,-6.94,7.17
267,18.31,-7.52,7.01
271,17.74,-7.73,6.71
276,17.07,-7.73,5.75
281,16.23,-7.65,5.02
286,15.20,-7.53,5.00
290,14.23,-5.95,4.32
295,13.33,-4.88,3.83
300,12.98,-2.05,3.76
305,12.29,3.46,4.87
308,12.60,3.21,3.71
313,12.86,0.13,0.66
318,10.77,-3.84,-1.95
323,9.49,-4.45,-2.36
327,8.12,-2.48,-1.83
332,7.66,-1.15,-1.59
337,7.09,-2.58,-1.27
342,5.66,-4.52,-1.61
346,4.52,-5.57,-1.36
350,3.59,-6.31,-0.45
355,3.33,-4.85,-0.27
359,3.19,-4.26,-0.72
364,3.11,-5.24,-1.39
369,2.27,-6.26,-1.93
374,1.23,-6.51,-3.02
378,0.88,-5.61,-3.84
383,0.74,-4.55,-4.99
388,1.07,-4.09,-6.67
391,0.77,-4.59,-7.56
396,-0.14,-5.10,-8.99
401,-1.33,-5.23,-10.35
406,-1.93,-5.23,-10.94
410,-2.50,-4.34,-10.25
415,-2.69,-2.99,-9.79
420,-3.00,-1.27,-9.12
424,-3.20,-0.11,-8.55
429,-3.46,1.04,-8.03
433,-3.52,1.55,-8.03
438,-4.02,2.06,-7.49
443,-4.52,2.75,-6.43
447,-4.67,2.87,-6.41
452,-4.87,2.60,-6.19
457,-5.17,2.65,-6.05
461,-5.44,2.85,-5.93
466,-5.82,3.11,-5.12
471,-6.07,3.35,-4.75
475,-6.07,3.65,-4.02
479,-6.18,3.91,-3.28
484,-6.25,4.68,-1.95
489,-6.39,5.38,-1.50
494,-6.46,5.74,-0.63
498,-6.52,5.81,-0.05
503,-6.46,6.03,-0.16
508,-6.40,5.89,0.09
512,-6.24,5.61,-0.58
516,-6.08,5.16,-0.89
521,-5.71,4.54,-1.13
526,-5.54,3.68,-1.80
530,-5.55,3.26,-2.30
535,-5.26,2.41,-2.91
540,-5.19,1.44,-3.57
545,-4.86,0.30,-4.11
549,-4.58,-0.23,-4.62
554,-4.66,-0.87,-4.86
558,-4.18,-1.17,-5.42
563,-4.31,-1.35,-5.68
567,-4.07,-1.46,-5.59
572,-4.05,-1.57,-5.24
577,-3.86,-1.46,-5.61
582,-3.87,-1.48,-5.20
586,-3.84,-1.21,-4.89
591,-3.69,-1.02,-5.06
596,-3.29,-0.94,-5.03
600,-3.33,-0.89,-4.45
604,-3.06,-0.67,-4.82
609,-2.89,-0.69,-4.59
614,-2.75,-0.71,-4.33
618,-2.43,-0.66,-4.26
623,-2.21,-0.92,-4.66
628,-1.96,-0.93,-4.90
633,-1.75,-1.29,-4.89
637,-1.63,-1.64,-4.58
641,-1.48,-2.30,-4.48
646,-1.43,-2.98,-4.06
651,-1.21,-3.96,-4.04
655,-1.02,-4.89,-2.74
660,-1.00,-5.32,-1.60
665,-0.61,-6.05,-0.57
670,-0.33,-6.65,0.50
674,-0.05,-7.19,1.86
679,-0.20,-7.86,2.66
683,0.24,-8.55,3.41
688,0.24,-8.68,4.93
692,0.26,-9.26,6.41
697,0.56,-9.60,7.63
702,0.66,-10.13,8.85
706,1.13,-10.20,9.87
711,1.48,-10.25,9.90
716,1.99,-10.56,10.90
721,2.71,-10.57,11.22
724,3.29,-11.19,11.59
729,3.80,-11.75,11.64
734,4.57,-12.33,12.33
739,5.36,-12.79,13.36
743,5.86,-13.22,14.20
748,6.50,-13.75,15.54
753,6.64,-14.06,16.89
758,6.89,-14.61,18.39
762,6.93,-15.30,19.09
766,7.36,-16.28,19.33
771,7.63,-16.38,19.49
776,7.81,-16.62,19.52
780,7.84,-16.43,19.54
785,8.05,-16.20,19.54
790,8.36,-15.62,19.54
795,7.92,-14.36,19.54
799,7.90,-12.99,19.54
804,7.71,-11.71,19.54
808,7.42,-10.65,19.54
813,7.12,-9.64,19.54
818,6.83,-8.67,19.54
822,6.25,-8.31,19.54
827,5.69,-7.32,19.54
832,5.47,-6.49,19.54
837,4.96,-5.43,19.54
841,4.65,-4.28,19.54
846,3.91,-3.54,19.53
850,3.08,-2.63,19.47
855,2.60,-2.39,19.46
859,2.32,-2.09,18.92
864,1.88,-2.28,18.15
869,1.31,-2.77,17.39
874,1.27,-2.91,16.76
878,1.25,-2.89,16.20
883,1.07,-2.86,15.51
888,1.01,-2.98,14.65
892,1.12,-3.63,13.84
896,0.81,-3.96,13.33
901,0.85,-4.17,13.17
