timestamp,accX,accY,accZ
0,19.54,-7.33,14.91
91,19.49,-7.61,13.87
95,19.52,-7.70,13.35
99,19.54,-7.93,12.15
104,19.54,-7.91,11.52
109,19.54,-7.64,11.20
114,19.54,-7.62,10.01
118,19.54,-7.42,8.86
123,19.53,-7.44,8.26
128,19.45,-7.40,8.02
133,19.32,-7.21,7.55
137,19.07,-6.80,7.64
141,19.15,-6.83,7.38
146,18.99,-6.05,7.04
150,18.55,-5.70,6.62
155,17.74,-5.38,6.93
160,17.32,-5.17,6.63
165,16.70,-4.82,6.93
170,16.04,-4.27,6.76
174,15.68,-4.19,6.73
178,15.03,-3.61,6.52
183,14.75,-2.97,6.32
188,14.61,1.43,7.17
192,13.77,2.68,6.02
197,13.78,2.08,5.33
202,13.77,0.19,3.45
207,13.88,-0.73,2.15
211,13.04,-2.62,1.71
216,12.42,-3.28,2.04
220,11.48,-1.17,4.63
225,11.18,8.76,6.67
229,11.52,13.90,5.93
234,12.44,18.13,4.43
239,12.83,18.84,-0.93
244,10.72,13.20,-7.28
248,9.77,-5.92,-10.95
253,7.26,-13.05,-11.47
258,3.66,-13.44,-9.41
262,2.07,-12.24,-8.38
266,1.80,-9.91,-4.71
271,1.96,-8.54,-1.20
276,2.35,-6.28,1.16
280,2.25,-6.18,1.02
285,1.55,-8.50,-0.39
290,0.55,-9.24,-0.97
295,-0.10,-7.32,-1.66
299,-0.44,-6.12,-1.88
303,-0.22,-2.98,-1.48
308,-0.42,-0.09,-1.86
312,-0.64,0.07,-2.84
317,-1.26,-1.53,-3.58
322,-2.34,-2.52,-3.91
326,-2.84,-2.45,-4.38
331,-2.80,-2.22,-4.62
336,-2.76,-1.62,-4.90
341,-3.06,-1.39,-4.98
345,-3.47,-1.20,-4.96
349,-3.80,-0.77,-4.56
354,-4.10,-0.48,-4.05
359,-4.27,-0.08,-3.98
363,-4.61,0.22,-3.74
368,-5.08,0.66,-3.68
373,-5.17,1.29,-3.38
377,-5.27,1.25,-3.30
382,-5.86,0.82,-3.53
387,-6.10,0.26,-3.35
390,-6.24,-0.19,-3.44
395,-6.11,-0.60,-3.46
400,-6.39,-0.51,-2.73
405,-6.35,-0.41,-2.65
409,-6.36,-0.56,-2.39
414,-6.18,-0.44,-2.06
419,-6.31,-0.17,-1.48
424,-6.27,-0.38,-1.23
428,-6.49,-0.34,-1.15
432,-6.38,-0.53,-0.89
437,-6.50,-0.55,-0.65
442,-6.49,-0.74,-0.79
446,-6.40,-0.65,-0.47
451,-6.21,-0.71,-0.60
456,-6.24,-0.43,-0.49
460,-6.14,-0.12,-0.67
465,-5.99,0.14,-1.56
470,-6.04,0.23,-1.69
474,-5.87,0.36,-2.43
479,-5.80,0.84,-2.65
483,-5.63,0.92,-3.21
488,-5.73,1.22,-3.62
493,-5.65,1.44,-3.58
497,-5.77,1.79,-3.64
502,-5.59,1.80,-3.64
507,-5.72,1.89,-3.66
512,-5.56,1.95,-3.63
515,-5.46,1.94,-3.05
520,-5.42,1.54,-3.10
525,-5.36,1.15,-2.69
530,-5.26,0.69,-2.65
534,-5.10,0.47,-2.15
539,-4.99,0.31,-2.27
544,-4.79,0.05,-1.52
549,-4.82,-0.17,-1.26
553,-4.33,-0.62,-1.00
557,-4.24,-1.08,-0.91
562,-4.22,-1.62,-0.61
