timestamp,accX,accY,accZ
0,15.38,-4.44,12.18
90,15.95,-3.94,12.77
94,15.99,-3.40,13.68
99,16.51,-3.22,14.26
104,16.94,-2.85,14.74
109,17.19,-2.68,15.11
113,17.20,-2.58,14.96
118,17.20,-2.64,14.65
123,17.46,-2.59,14.56
128,17.53,-2.28,14.39
132,17.73,-1.72,14.54
136,17.89,-1.41,14.90
141,18.33,-0.83,15.74
146,18.38,-0.24,16.35
150,18.88,0.25,17.58
155,19.11,0.88,17.84
160,19.38,1.05,18.14
165,19.50,1.17,18.51
170,19.53,1.15,18.22
173,19.54,0.77,18.24
178,19.54,0.30,18.03
183,19.54,-0.16,17.70
188,19.54,-0.52,17.70
192,19.54,-0.91,17.66
197,19.54,-0.98,17.59
202,19.54,-1.24,17.92
206,19.54,-1.74,17.51
211,19.54,-2.10,17.43
215,19.54,-2.68,16.87
220,19.54,-3.37,16.25
224,19.54,-4.15,15.82
229,19.54,-4.77,15.36
234,19.54,-5.34,14.08
239,19.54,-6.24,12.60
244,19.54,-7.17,10.95
248,19.54,-8.03,9.53
253,19.54,-8.35,8.55
257,19.54,-8.30,8.01
262,19.36,-6.36,6.89
266,18.74,-4.89,6.25
271,19.09,-4.82,5.71
276,19.15,-5.35,4.03
281,18.77,-6.50,3.62
285,18.20,-0.57,5.87
290,15.93,11.35,3.16
295,16.38,14.03,3.01
299,16.97,9.71,0.69
303,16.67,2.16,-0.65
308,15.98,-1.43,-2.33
313,15.49,-5.87,-3.44
318,14.13,-9.21,-3.09
322,12.37,-8.27,-2.64
327,10.79,-5.36,-1.45
332,9.60,-5.56,-0.65
337,8.67,-6.76,-1.02
340,7.76,-9.94,-1.29
345,7.53,-11.00,-1.15
350,7.35,-9.18,-0.86
355,7.35,-6.59,-1.00
359,6.76,-5.35,-1.31
364,5.90,-5.86,-2.67
369,5.52,-6.24,-4.69
374,4.70,-6.73,-5.44
378,4.09,-6.77,-4.94
382,3.28,-5.20,-5.42
387,2.64,-2.86,-5.56
391,2.27,-0.84,-5.52
396,1.41,-0.06,-5.46
401,0.84,1.51,-6.09
406,0.55,0.90,-6.32
410,-0.02,1.17,-5.97
415,-0.64,1.37,-5.46
420,-1.37,1.17,-4.35
423,-1.97,0.32,-3.99
428,-2.18,-0.11,-3.67
433,-2.85,-1.01,-3.69
438,-3.22,-1.94,-3.36
442,-3.31,-2.68,-3.27
447,-3.68,-3.15,-3.45
452,-3.95,-3.70,-3.98
457,-3.93,-4.41,-4.68
461,-3.77,-4.52,-5.36
465,-3.78,-4.72,-6.51
470,-3.62,-4.68,-7.13
475,-3.96,-4.97,-8.25
479,-3.93,-5.28,-8.23
484,-3.77,-5.59,-9.39
489,-3.83,-5.66,-10.26
494,-4.07,-5.80,-10.43
498,-4.07,-6.25,-10.92
503,-4.09,-6.05,-10.99
507,-4.18,-6.03,-11.42
512,-4.57,-6.12,-11.85
516,-4.86,-6.02,-12.05
521,-4.68,-5.98,-12.13
526,-4.86,-5.99,-12.20
531,-4.89,-5.80,-12.01
535,-4.73,-5.46,-11.89
540,-4.47,-5.03,-11.43
545,-4.30,-4.70,-11.31
549,-4.02,-4.38,-11.05
553,-3.72,-3.98,-10.56
558,-3.41,-4.06,-10.25
563,-3.02,-3.66,-9.74
568,-2.66,-3.41,-9.66
572,-2.20,-3.07,-9.75
577,-1.98,-2.86,-9.87
582,-1.77,-2.77,-9.89
587,-1.53,-2.52,-9.57
590,-1.30,-2.41,-9.29
595,-0.87,-2.49,-8.81
600,-0.54,-2.42,-8.76
604,-0.23,-2.29,-8.71
609,0.15,-1.85,-8.65
614,0.57,-1.27,-8.93
619,1.04,-0.89,-9.17
623,1.43,0.00,-9.32
628,1.78,1.06,-9.56
632,1.91,1.93,-9.36
637,2.09,2.80,-8.92
641,2.43,3.31,-8.67
646,3.12,3.25,-8.00
651,3.58,2.94,-6.47
655,4.29,2.27,-5.33
660,4.67,1.80,-3.74
665,4.78,1.34,-1.79
670,5.26,0.53,0.03
673,5.52,-0.02,1.10
678,5.69,0.91,3.58
683,6.23,1.45,5.26
688,6.42,1.87,6.96
692,6.52,1.45,8.53
697,6.14,0.66,10.43
702,5.45,-0.17,11.69
707,4.62,-0.72,14.26
711,4.02,-0.66,15.59
715,4.72,-0.51,16.83
720,5.35,0.40,17.71
724,5.58,1.23,18.38
729,6.16,1.54,18.32
734,6.33,1.38,18.20
739,6.26,1.06,18.28
743,6.35,0.78,18.46
748,6.23,0.46,18.39
753,5.93,-0.05,18.99
757,5.85,-0.09,19.39
762,6.02,0.11,19.50
766,6.06,1.25,19.52
771,6.35,2.32,19.54
776,6.46,3.18,19.54
781,6.62,3.67,19.54
785,6.54,4.29,19.54
790,6.00,4.41,19.54
795,5.83,4.31,19.54
799,5.21,3.61,19.54
803,4.67,3.14,19.54
808,4.23,2.75,19.54
813,3.77,2.57,19.54
818,3.29,1.92,19.54
822,3.09,1.15,19.54
827,3.09,0.39,19.54
832,3.09,-0.43,19.54
837,3.64,-1.23,19.54
840,4.06,-1.66,19.54
845,4.73,-1.47,19.54
850,5.46,-1.31,19.54
855,6.33,-1.02,19.54
859,6.71,-0.38,19.36
864,6.99,0.45,18.37
869,7.28,1.55,17.72
874,7.34,0.84,16.21
878,7.48,2.92,15.74
882,7.20,3.66,15.01
887,6.79,5.86,14.98
892,6.53,6.97,14.39
896,6.43,6.69,14.29
901,5.83,6.75,14.27
906,5.45,7.88,15.13
911,4.82,9.05,15.66
916,3.97,9.47,15.93
920,3.64,9.60,15.76
924,3.37,9.32,15.91
929,3.13,8.90,14.74
934,2.58,8.33,14.29
938,2.36,7.32,13.81
943,2.32,5.88,12.77
948,1.98,4.71,11.80
953,1.89,4.14,11.28
958,1.72,3.75,11.48
962,1.64,4.14,11.38
966,1.38,4.81,10.91
971,1.39,4.26,10.78
976,1.21,2.82,10.28
980,1.22,2.32,10.59
985,1.07,2.40,11.03
990,0.72,3.17,11.60
994,0.91,3.74,11.71
999,0.77,4.08,12.15
1004,0.39,3.96,12.37
1007,0.57,3.84,12.53
