timestamp,accX,accY,accZ
0,19.54,-6.44,14.68
90,19.54,-7.32,14.64
94,19.52,-8.15,13.94
99,19.51,-8.41,13.92
104,19.47,-8.97,13.61
109,19.30,-9.48,13.28
113,19.05,-9.93,12.59
118,18.79,-10.41,11.41
123,18.34,-10.05,11.08
128,18.42,-9.61,9.72
132,18.29,-9.01,8.28
136,17.72,-8.67,6.93
141,17.18,-8.09,5.47
146,16.66,-7.17,4.41
150,16.07,-6.16,3.87
155,15.24,-4.95,3.43
160,14.77,-3.49,3.48
165,14.25,-2.45,4.49
169,13.12,1.80,5.09
173,12.02,2.76,5.35
178,11.68,1.38,2.81
183,10.39,-2.54,3.56
187,10.66,-4.78,3.59
192,10.35,0.46,6.58
197,8.15,5.88,9.70
201,7.80,10.13,11.17
206,8.81,10.66,7.96
211,9.75,5.28,5.80
215,9.02,1.94,4.39
219,8.26,-4.23,2.33
224,7.48,-8.93,1.39
229,6.71,-9.84,1.93
234,6.04,-7.88,3.26
238,5.69,-5.21,5.14
243,6.15,-5.08,5.33
248,6.56,-7.65,4.56
253,6.04,-10.38,2.93
256,5.06,-10.40,2.02
261,4.79,-9.56,2.27
266,4.64,-6.35,2.63
270,4.70,-4.05,1.28
275,4.26,-4.56,-0.25
280,3.53,-5.18,-1.13
285,2.77,-5.53,-2.04
289,2.33,-5.00,-2.92
294,1.95,-3.68,-2.73
298,1.60,-1.91,-2.07
302,0.92,-0.36,-1.78
307,0.64,1.22,-0.81
312,-0.09,3.14,-1.03
317,-0.38,4.37,-1.38
321,-0.47,4.95,-2.10
326,-1.33,4.37,-2.82
331,-1.76,3.17,-2.37
336,-2.38,3.44,-2.20
340,-3.24,3.61,-2.00
344,-3.42,2.83,-2.74
349,-3.02,2.44,-3.64
354,-2.85,1.89,-3.87
358,-3.02,1.63,-4.20
363,-3.44,1.24,-5.04
368,-3.56,0.57,-5.60
372,-3.98,0.22,-6.06
377,-4.08,-0.12,-6.84
381,-3.87,-0.64,-7.40
385,-3.71,-1.21,-8.57
390,-3.65,-1.38,-9.04
395,-3.68,-1.56,-9.45
400,-3.80,-1.93,-9.63
404,-4.23,-2.20,-9.95
409,-4.22,-2.65,-10.32
414,-4.49,-2.95,-10.04
418,-4.84,-3.43,-9.68
423,-4.62,-3.64,-9.58
427,-4.77,-3.63,-9.38
432,-4.90,-3.50,-9.20
436,-5.06,-3.71,-8.61
441,-4.97,-3.82,-8.23
446,-4.83,-4.03,-8.08
451,-4.76,-4.05,-7.61
455,-4.80,-4.18,-7.19
460,-4.54,-4.35,-7.07
465,-4.46,-4.37,-6.90
469,-4.21,-4.41,-6.53
473,-4.15,-4.41,-5.88
478,-4.06,-4.38,-5.34
483,-4.00,-4.39,-4.72
487,-3.85,-4.41,-4.67
492,-3.84,-4.20,-4.65
497,-3.69,-4.20,-4.06
502,-3.69,-4.07,-3.84
506,-3.67,-3.93,-3.43
510,-3.72,-3.68,-3.27
515,-3.62,-3.33,-3.21
520,-3.34,-2.84,-3.09
524,-3.35,-2.54,-2.76
529,-3.42,-2.15,-3.17
534,-3.34,-1.74,-2.73
539,-3.23,-1.73,-2.70
543,-3.15,-1.35,-2.44
548,-3.08,-1.14,-2.30
552,-2.94,-0.86,-2.32
557,-3.01,-0.53,-2.55
561,-2.97,-0.16,-3.07
566,-3.05,0.07,-3.57
571,-2.89,0.86,-3.82
576,-3.07,1.81,-3.94
580,-2.97,2.62,-4.01
585,-2.88,3.39,-4.25
590,-2.85,3.72,-4.18
593,-2.47,3.93,-3.77
598,-2.13,3.69,-3.86
603,-1.45,3.17,-3.12
607,-1.35,2.39,-2.60
612,-0.56,1.39,-1.87
617,0.26,-0.02,-1.61
621,0.91,-1.58,-0.04
626,1.46,-2.54,0.38
631,1.99,-4.55,1.57
635,2.28,-6.49,2.02
639,3.24,-8.15,2.73
644,3.98,-9.96,3.66
649,5.03,-11.89,4.19
654,5.81,-13.94,5.42
658,6.69,-15.05,6.53
663,7.40,-17.41,7.71
668,7.81,-18.98,9.21
673,8.96,-19.40,11.02
676,9.92,-19.50,12.87
681,11.12,-19.53,13.75
686,11.75,-19.53,16.28
691,12.67,-19.53,18.14
696,13.27,-19.53,19.16
700,14.38,-19.53,19.45
705,14.80,-19.29,19.31
710,16.50,-17.72,19.48
715,13.44,-18.21,19.51
718,13.82,-16.43,19.54
723,14.30,-14.57,19.54
728,14.59,-13.33,19.54
733,13.81,-11.45,19.54
738,12.82,-9.36,19.54
742,11.97,-7.06,19.54
747,10.77,-5.35,19.54
752,9.11,-3.92,19.54
756,7.63,-2.93,19.54
760,6.58,-2.34,19.54
765,5.96,-2.37,19.54
770,5.82,-1.96,19.54
775,5.97,-1.61,19.54
779,5.81,-1.43,19.54
784,5.29,-0.49,19.54
789,5.08,-1.57,19.06
794,4.83,-1.19,17.62
798,4.23,-1.57,16.45
802,4.01,-1.23,15.77
807,3.07,0.06,14.54
811,2.90,-0.08,13.36
816,2.53,-0.61,12.63
821,2.52,-1.58,11.32
826,2.39,-1.75,10.12
831,1.93,-1.61,9.60
835,1.41,-1.63,9.08
840,1.51,-2.38,8.79
844,0.88,-3.62,8.44
848,0.51,-5.13,8.86
853,0.45,-6.21,8.99
858,0.51,-6.20,9.53
863,0.34,-4.66,9.83
867,0.47,-3.95,10.13
872,0.20,-5.30,9.56
877,0.15,-6.71,8.97
881,-0.23,-7.10,8.97
885,-0.45,-6.79,9.35
890,-0.27,-5.70,9.66
894,-0.21,-4.31,9.91
899,-0.19,-3.50,10.06
904,-0.15,-3.07,9.40
909,-0.36,-2.37,8.70
913,-0.52,-1.85,8.21
918,-0.55,-1.29,7.66
923,-0.71,-0.65,6.92
927,-0.66,-1.49,6.51
931,-0.80,-1.34,6.20
936,-1.06,-0.38,6.20
941,-0.82,0.60,6.87
946,-0.67,1.41,6.90
950,-0.78,1.69,6.92
955,-1.07,1.64,7.09
960,-1.13,0.88,7.19
964,-1.01,0.09,6.83
968,-0.74,-0.52,6.44
973,-0.46,-0.94,6.25
977,-0.46,-1.19,6.60
982,-0.55,-1.41,6.87
987,-0.57,-1.48,7.41
992,-0.49,-1.42,7.59
996,-0.35,-1.43,7.66
1001,-0.20,-1.41,7.72
1006,-0.13,-1.42,7.84
1009,0.06,-1.61,7.90
1014,0.33,-1.81,7.67
1019,0.41,-1.82,7.67
1024,0.58,-1.57,7.37
1028,0.57,-1.18,7.55
1033,0.51,-1.24,7.83
1038,0.72,-1.14,7.95
1042,0.91,-0.96,8.16
1047,1.06,-0.86,8.71
1051,1.31,-0.57,9.19
1056,1.95,-0.37,9.19
1060,2.49,0.09,9.89
1065,2.67,0.22,10.04
1070,2.83,0.51,9.77
1074,2.98,0.86,9.85
1079,3.02,1.11,9.67
1084,2.86,1.37,9.92
1089,3.06,1.62,10.16
1092,3.30,1.95,9.96
1097,3.58,2.17,10.22
1102,3.73,2.43,10.58
1107,3.92,2.80,10.82
1111,4.01,3.11,11.42
1116,4.34,3.39,11.78
1121,4.45,3.68,12.13
1126,4.77,4.05,12.81
1130,5.22,4.39,13.75
1134,5.47,4.43,14.11
1139,6.21,4.84,14.94
1144,6.70,5.12,15.62
1149,7.11,5.35,16.02
1153,7.42,5.60,16.07
1158,7.98,5.90,16.64
1163,8.43,6.24,16.60
1167,8.79,6.48,16.89
1172,9.15,6.87,16.80
1176,9.43,7.30,16.97
1181,10.04,7.52,17.12
1186,10.68,7.46,17.29
1190,11.02,7.43,17.52
1195,11.54,7.45,17.72
1200,12.11,7.36,17.75
1205,12.71,7.28,18.11
1209,13.05,6.90,18.36
1214,13.36,6.31,18.47
1218,13.81,5.86,18.62
1223,14.45,5.48,18.66
1228,14.72,4.89,19.05
1232,15.16,4.45,19.36
1237,15.64,4.21,19.44
1242,16.65,3.30,19.46
1247,17.14,2.14,19.52
1251,17.84,0.91,19.54
1256,18.49,-0.79,19.54
1260,18.46,-2.44,19.54
1264,18.78,-4.39,19.54
1269,18.78,-5.05,19.54
1274,18.44,-6.53,19.54
1279,17.31,-8.47,19.50
1284,16.75,-10.29,19.15
1288,15.63,-12.27,18.16
1293,14.81,-14.02,17.32
1298,13.56,-14.81,16.02
1302,12.51,-14.87,14.74
1306,11.43,-15.03,14.03
1311,10.66,-14.66,13.12
1316,10.01,-14.34,12.50
1321,9.28,-13.88,11.69
1326,8.33,-13.25,11.34
1330,7.67,-12.28,10.50
1335,6.95,-10.50,9.80
1340,5.94,-9.90,9.22
1343,4.99,-8.84,8.19
1348,4.65,-8.50,7.94
1353,3.90,-8.18,7.38
1358,2.92,-7.59,7.17
1362,2.30,-6.78,7.39
1367,1.90,-6.28,7.80
1372,1.56,-5.45,8.30
1376,1.59,-4.99,9.25
1381,1.21,-4.70,10.00
1385,0.93,-4.21,10.22
1390,0.30,-3.69,10.38
1394,-0.16,-3.58,10.60
1399,-0.47,-3.93,10.61
1404,-0.54,-4.44,10.70
1409,-0.51,-5.02,10.37
1413,-0.44,-5.67,10.20
1418,-0.50,-6.20,10.26
1423,-0.75,-6.95,9.67
1427,-0.74,-7.42,9.16
1431,-0.91,-7.67,8.78
1436,-0.73,-7.98,8.14
1441,-0.84,-8.05,7.65
1446,-1.08,-7.79,7.31
1450,-1.25,-7.64,6.91
1455,-1.25,-7.41,6.61
1460,-1.33,-6.94,6.19
1464,-1.50,-6.75,5.80
1468,-1.50,-6.06,6.11
1473,-1.59,-5.55,6.33
1478,-1.48,-4.90,6.73
1482,-1.73,-4.64,6.71
1487,-1.89,-4.60,6.95
1492,-2.11,-4.55,7.66
1496,-1.94,-4.58,8.04
1501,-2.04,-4.72,8.08
1506,-2.02,-4.58,8.61
1510,-2.12,-4.60,8.71
1514,-2.14,-4.33,8.96
1519,-2.05,-4.13,9.00
1524,-1.97,-3.85,9.21
1528,-2.04,-3.46,9.13
1533,-2.09,-2.98,9.20
1538,-2.19,-2.72,9.69
1543,-2.05,-2.30,10.00
1548,-1.94,-1.93,10.27
1551,-2.10,-1.85,9.98
1556,-1.71,-1.64,10.16
1561,-2.02,-1.50,10.41
1566,-2.05,-1.34,10.31
1570,-2.16,-1.20,10.45
1575,-2.15,-1.18,10.25
1580,-2.27,-1.03,10.41
1585,-2.37,-0.94,10.57
1589,-2.41,-0.99,10.38
1593,-2.29,-0.79,10.33
1598,-2.32,-0.63,10.22
1603,-2.44,-0.51,9.90
1607,-2.42,-0.55,10.10
1612,-2.45,-0.57,9.83
1617,-2.45,-0.65,10.03
1622,-2.62,-0.75,9.54
1626,-2.41,-0.74,9.67
