timestamp,accX,accY,accZ
0,16.97,0.84,14.21
91,17.71,0.14,14.79
95,17.29,-0.60,14.82
100,17.85,-0.80,13.62
104,18.82,-1.63,13.00
109,19.06,-2.98,12.11
113,19.22,-4.50,11.73
118,19.41,-6.06,11.51
123,19.51,-7.76,10.56
128,19.52,-9.18,9.54
132,19.45,-9.89,8.44
137,19.25,-10.88,7.38
141,18.86,-11.64,7.02
146,18.39,-12.00,6.40
150,17.39,-11.93,6.23
155,16.32,-11.34,6.00
160,15.55,-10.38,5.70
165,14.93,-9.88,5.85
170,14.27,-8.65,5.84
174,13.58,-7.54,5.53
179,13.18,-6.63,5.70
183,12.17,-5.36,6.63
188,11.79,-1.23,6.49
192,10.99,-0.15,6.25
197,10.30,-0.91,5.08
202,9.55,-2.75,3.81
206,7.97,-4.53,4.04
211,7.65,-5.28,5.09
216,6.12,-1.35,9.04
221,5.24,9.61,11.22
225,5.52,10.59,11.35
229,8.45,14.05,9.90
234,8.31,10.72,7.43
239,7.77,7.41,5.10
243,5.70,2.02,2.64
248,4.38,-5.34,0.50
253,2.56,-6.75,0.66
258,0.82,-3.94,1.59
262,0.82,-1.81,3.97
266,2.19,0.08,4.73
271,2.60,-1.89,4.78
276,2.13,-4.13,4.94
280,1.39,-4.06,4.84
285,1.56,-2.85,5.25
290,2.24,-2.14,4.56
295,2.85,-2.27,2.68
299,2.63,-2.71,1.20
304,2.46,-3.09,-0.71
308,2.22,-3.50,-2.44
313,1.47,-4.01,-3.52
317,0.80,-3.87,-4.03
322,-0.26,-3.26,-5.00
327,-0.59,-2.81,-6.03
331,-1.09,-2.15,-6.84
336,-1.30,-1.59,-7.39
341,-1.82,-0.79,-7.99
346,-2.58,0.03,-7.97
350,-3.60,0.58,-7.65
354,-3.85,1.27,-7.66
359,-4.45,1.71,-7.52
364,-4.95,1.97,-7.32
368,-5.24,2.02,-6.90
373,-5.58,1.80,-6.64
378,-5.80,1.17,-6.50
383,-5.97,0.63,-5.83
387,-5.85,0.09,-5.20
391,-5.83,0.02,-4.54
396,-5.91,-0.46,-4.19
400,-5.85,-0.96,-4.22
405,-5.65,-1.50,-4.01
410,-5.75,-1.98,-4.25
415,-5.86,-2.67,-4.19
419,-5.76,-2.97,-3.50
424,-5.49,-3.57,-3.61
429,-5.36,-3.98,-3.31
433,-5.54,-4.25,-2.89
437,-5.45,-4.38,-2.57
442,-5.54,-4.43,-2.62
447,-5.50,-4.37,-1.98
452,-5.12,-4.29,-1.59
456,-5.23,-4.09,-1.22
461,-5.04,-4.05,-1.36
466,-4.76,-3.88,-1.73
470,-4.91,-3.90,-1.68
475,-4.83,-3.84,-1.48
479,-4.68,-3.81,-1.68
484,-4.81,-3.83,-2.01
488,-4.75,-3.96,-2.45
493,-4.70,-4.13,-2.94
498,-4.80,-4.03,-2.96
503,-4.68,-4.25,-3.26
507,-4.58,-4.39,-3.85
512,-4.58,-4.44,-4.07
516,-4.31,-4.35,-4.36
521,-4.13,-4.40,-4.19
525,-4.29,-4.37,-4.48
530,-4.20,-4.26,-5.03
535,-4.15,-4.37,-4.93
540,-4.14,-4.26,-5.25
544,-3.93,-4.17,-5.25
549,-3.77,-4.12,-5.03
554,-3.55,-3.97,-5.10
558,-3.45,-3.46,-4.58
562,-3.01,-2.81,-4.48
567,-2.76,-2.21,-4.46
572,-2.67,-1.72,-3.80
576,-2.28,-1.77,-3.53
581,-2.16,-1.62,-3.24
586,-2.14,-1.51,-3.01
590,-2.10,-1.78,-2.32
595,-1.55,-2.16,-2.06
600,-1.18,-2.73,-1.46
604,-0.94,-3.07,-0.84
608,-0.38,-3.25,-0.10
613,-0.19,-3.66,0.38
618,-0.23,-4.24,1.38
623,0.17,-4.66,2.39
627,0.65,-5.13,2.68
632,1.04,-5.67,3.11
637,1.66,-5.87,3.82
641,2.04,-6.45,4.61
645,2.67,-7.05,4.85
650,2.94,-7.92,5.41
655,3.53,-9.22,5.54
659,4.03,-10.79,5.72
664,4.69,-12.35,5.77
669,5.20,-13.30,6.31
673,6.21,-15.17,6.94
678,6.54,-17.41,8.37
683,7.18,-18.92,10.29
687,7.93,-19.38,11.72
691,8.64,-19.49,14.05
696,9.26,-19.52,16.85
701,9.45,-19.53,18.06
706,8.72,-19.53,19.18
711,9.33,-19.53,19.46
715,9.38,-18.93,19.52
720,9.34,-17.14,19.54
725,8.91,-15.06,19.54
729,7.97,-13.09,19.54
733,7.10,-11.61,19.54
738,6.59,-10.81,19.54
743,5.79,-9.81,19.54
748,5.49,-8.92,19.54
752,4.97,-7.92,19.54
757,4.50,-7.13,19.54
762,3.83,-6.73,19.44
766,3.17,-6.25,18.95
770,2.56,-5.90,17.69
775,1.96,-5.65,16.49
780,1.15,-5.18,15.64
785,0.78,-4.79,14.91
789,0.03,-4.44,13.96
794,-0.39,-4.45,13.99
799,-0.76,-4.48,13.57
804,-0.48,-4.52,12.72
808,-0.33,-4.67,11.91
812,-0.22,-4.89,10.88
817,-0.05,-5.57,10.07
822,0.03,-6.51,9.25
