timestamp,accX,accY,accZ
0,19.50,-5.06,7.76
91,18.99,-5.38,8.00
95,18.38,-5.38,7.95
100,18.03,-5.00,7.96
105,17.70,-4.75,7.85
110,16.94,-4.73,7.51
113,16.01,-4.81,7.06
118,15.62,-4.75,6.93
123,14.90,-4.73,6.53
128,13.90,-4.65,6.44
132,12.88,-3.44,7.21
137,11.86,0.11,7.42
142,11.55,2.25,7.17
147,11.76,1.72,5.50
151,11.81,-0.87,2.36
155,11.27,-5.76,0.61
160,10.76,-6.95,-0.14
165,9.78,-5.69,-0.35
170,8.72,-4.11,0.17
174,8.66,-3.65,0.55
179,7.52,-3.72,0.80
184,6.53,-3.98,0.58
189,5.97,-4.96,-0.07
193,5.22,-5.86,-0.62
197,4.52,-5.93,-1.12
202,3.53,-6.45,-1.66
207,2.72,-6.76,-1.98
211,2.07,-6.82,-2.18
216,1.98,-6.13,-2.61
221,1.98,-5.48,-2.92
226,1.75,-5.50,-4.03
230,1.34,-6.39,-4.46
235,0.96,-6.23,-5.01
239,0.57,-5.38,-5.58
244,0.17,-4.89,-5.58
248,-0.15,-3.80,-5.86
253,-0.11,-2.91,-6.22
258,-0.79,-2.81,-6.26
262,-1.34,-2.15,-6.85
267,-2.11,-1.34,-6.03
272,-2.33,-0.72,-5.17
277,-2.65,0.31,-4.86
280,-2.97,0.98,-4.62
285,-3.13,1.30,-4.76
290,-3.13,1.50,-4.98
295,-3.40,1.50,-4.87
299,-3.53,1.14,-5.19
304,-3.72,1.14,-5.00
309,-3.88,1.00,-5.59
313,-3.90,0.90,-5.60
318,-4.18,0.67,-5.55
322,-4.15,0.38,-5.40
326,-4.05,0.35,-5.84
331,-4.07,0.40,-6.13
336,-4.02,0.38,-6.30
341,-3.92,0.39,-6.78
345,-4.10,0.43,-7.27
350,-4.33,0.41,-7.30
355,-4.37,0.26,-7.43
359,-4.41,-0.06,-7.40
363,-4.56,-0.26,-8.17
368,-4.50,-0.83,-8.26
373,-4.31,-1.16,-8.31
378,-4.17,-1.31,-8.29
382,-4.16,-1.39,-8.31
387,-4.27,-1.43,-8.11
392,-4.25,-1.53,-7.94
396,-4.44,-1.52,-7.71
401,-4.08,-1.37,-7.60
405,-4.09,-1.38,-7.28
410,-4.17,-1.46,-6.87
414,-3.84,-1.53,-6.71
419,-3.67,-1.48,-6.85
424,-3.52,-1.54,-6.32
429,-3.45,-1.80,-6.16
433,-3.22,-1.99,-6.22
438,-3.13,-1.99,-6.07
443,-2.79,-1.97,-5.96
447,-2.89,-1.72,-5.92
451,-2.85,-1.70,-5.43
456,-2.77,-1.60,-5.27
461,-2.70,-1.48,-4.95
465,-2.74,-1.25,-4.44
470,-2.77,-0.96,-4.40
475,-2.73,-0.88,-3.86
480,-2.42,-0.57,-3.97
484,-2.16,-0.23,-4.15
488,-2.32,-0.32,-3.49
493,-2.22,-0.11,-3.32
497,-2.21,-0.06,-3.09
502,-2.15,0.05,-2.74
507,-2.36,0.69,-1.74
512,-2.43,1.65,-0.61
516,-2.31,2.27,0.40
521,-2.45,2.24,0.96
526,-2.62,2.05,1.49
530,-2.67,1.57,1.49
534,-2.93,1.06,2.47
539,-2.98,0.90,2.40
544,-2.84,0.78,2.98
549,-2.63,0.89,3.70
553,-2.76,0.60,3.76
558,-2.60,0.33,3.43
563,-2.22,0.02,3.20
567,-1.75,-0.51,2.80
571,-1.23,-1.06,2.30
576,-0.72,-1.83,2.34
580,-0.40,-2.20,2.49
585,0.37,-2.95,3.05
590,0.79,-3.87,3.86
595,1.74,-5.05,4.67
599,2.55,-6.19,5.21
604,3.14,-7.58,6.85
609,3.60,-8.23,8.66
612,4.15,-9.51,10.85
617,4.49,-10.58,12.45
622,5.03,-11.62,14.29
626,5.42,-12.60,14.87
631,5.67,-13.48,16.54
636,6.01,-14.12,17.93
641,6.59,-14.43,18.87
646,6.94,-15.03,19.33
650,7.29,-15.83,19.49
654,7.77,-16.08,19.53
659,8.46,-15.97,19.54
664,8.63,-15.83,19.54
668,9.44,-15.46,19.54
673,10.05,-15.02,19.54
678,11.04,-14.01,19.54
683,11.62,-12.93,19.54
688,11.97,-11.78,19.54
692,12.37,-10.67,19.54
696,12.64,-9.40,19.54
701,12.57,-8.22,19.54
706,12.10,-7.23,19.54
710,11.34,-6.66,19.54
715,10.62,-5.70,19.54
720,10.35,-4.70,19.54
725,9.76,-3.82,19.54
729,8.93,-3.16,19.54
734,8.33,-4.64,19.54
738,7.96,-2.62,19.54
743,7.28,-2.65,19.54
747,6.85,-3.16,19.54
752,6.20,-3.95,19.54
757,6.27,-4.58,19.54
762,6.35,-3.53,19.54
766,6.26,-1.09,19.54
771,6.03,0.01,19.49
776,5.53,-0.30,18.81
779,5.03,-1.99,17.24
784,4.91,-4.37,16.00
789,4.63,-6.02,15.41
794,4.26,-6.35,15.07
799,4.15,-3.97,15.26
803,4.20,-3.29,14.52
808,4.21,-4.25,12.70
813,4.05,-6.97,11.49
