timestamp,accX,accY,accZ
0,-2.65,-7.13,12.74
91,19.54,-9.28,13.00
95,19.46,-11.47,13.39
100,19.49,-13.21,13.97
105,19.44,-13.77,14.02
110,19.40,-14.80,13.82
114,18.89,-15.38,13.44
119,18.76,-15.30,12.81
123,18.67,-14.86,12.82
128,18.78,-14.10,11.90
133,18.66,-13.27,11.49
137,18.29,-12.63,10.68
142,17.77,-12.29,9.07
147,16.99,-11.89,7.47
152,16.06,-11.31,6.14
157,15.10,-10.44,5.74
161,14.08,-9.53,5.75
165,13.47,-8.59,6.23
170,12.49,-7.56,7.18
174,11.67,-6.28,9.00
179,11.04,-5.55,10.84
184,10.59,-4.10,12.27
189,10.44,-2.89,13.52
194,9.67,-0.35,15.20
198,9.10,4.08,16.27
203,8.85,8.05,16.05
207,8.91,6.53,13.68
211,9.48,3.63,10.60
216,9.57,-0.13,9.70
221,9.59,0.08,9.59
226,9.54,2.96,9.16
230,9.88,6.41,9.03
235,10.17,7.85,7.63
240,10.32,7.85,5.75
245,9.04,7.03,3.20
248,7.85,5.50,1.56
253,7.68,5.63,0.79
258,7.65,5.01,-1.39
263,6.94,-0.73,-2.47
267,5.26,-3.11,-2.73
272,4.26,-2.28,-1.91
277,4.01,0.20,-1.18
281,4.39,3.08,-1.49
286,4.17,2.59,-3.35
290,3.34,0.94,-5.24
295,2.24,-1.47,-5.77
299,1.02,-2.06,-6.08
304,0.12,-1.80,-5.98
309,-0.79,-1.27,-5.24
314,-0.85,-0.26,-4.35
318,-1.41,0.60,-3.50
323,-1.61,2.12,-2.83
328,-1.95,4.96,-1.94
332,-2.28,7.43,-1.45
336,-2.69,8.36,-1.55
341,-3.30,8.66,-2.78
346,-3.58,7.53,-3.15
350,-3.93,7.49,-2.83
355,-4.04,8.48,-2.68
360,-4.22,8.82,-2.16
365,-4.02,8.53,-2.69
369,-4.11,8.27,-2.80
373,-4.24,7.89,-2.78
378,-4.23,7.66,-3.10
383,-4.27,7.45,-3.22
387,-4.39,6.83,-3.27
392,-4.60,6.07,-4.22
397,-4.58,5.25,-4.66
402,-4.34,5.00,-4.68
406,-4.42,4.40,-5.15
411,-4.46,3.68,-5.71
415,-4.49,2.77,-6.36
420,-4.76,1.90,-6.23
424,-4.86,1.04,-6.38
429,-4.75,0.58,-6.47
434,-4.64,0.45,-6.53
439,-4.51,0.19,-6.32
443,-4.54,0.17,-6.70
448,-4.57,0.16,-6.73
453,-4.50,0.21,-6.76
457,-4.65,0.11,-6.55
461,-4.63,0.43,-7.15
466,-4.62,0.64,-7.16
471,-4.62,0.88,-7.09
476,-4.57,1.05,-7.16
480,-4.77,1.14,-7.43
485,-4.66,1.02,-7.15
490,-4.45,0.83,-7.30
494,-4.41,0.84,-7.59
498,-4.39,0.59,-7.75
503,-4.47,0.36,-7.65
508,-4.29,0.26,-8.08
512,-4.30,0.29,-7.75
517,-4.16,0.33,-7.31
522,-3.96,0.57,-7.15
527,-3.91,0.49,-7.05
531,-3.78,0.38,-6.97
536,-3.88,0.37,-6.76
540,-3.86,0.21,-6.23
545,-3.87,0.05,-5.99
549,-3.78,-0.19,-5.97
554,-3.64,-0.50,-5.50
559,-3.57,-0.68,-5.51
563,-3.44,-1.15,-5.09
568,-3.28,-1.56,-4.59
573,-3.24,-1.83,-4.13
578,-3.07,-2.30,-4.32
581,-2.74,-2.67,-4.46
586,-2.60,-2.80,-4.62
591,-2.51,-2.92,-5.01
596,-2.49,-3.16,-4.99
600,-2.20,-3.52,-5.20
605,-1.74,-3.57,-4.96
610,-1.36,-3.54,-4.75
615,-0.86,-3.52,-4.98
619,-0.68,-3.58,-4.73
623,-0.28,-3.92,-4.28
628,-0.01,-4.33,-3.21
632,0.04,-4.49,-2.22
637,0.34,-4.84,-0.95
642,0.42,-5.19,-0.31
646,0.77,-5.65,0.57
651,1.00,-5.81,1.80
656,1.19,-6.22,2.50
661,1.54,-6.43,3.07
664,2.07,-6.22,3.63
669,2.46,-5.79,3.67
674,2.95,-5.13,3.98
678,3.17,-4.70,4.01
683,3.78,-4.02,4.61
688,4.18,-3.29,5.34
692,4.93,-3.25,6.00
697,5.36,-3.97,6.21
702,5.85,-5.35,7.17
706,6.54,-7.14,8.00
710,7.27,-8.13,8.39
715,7.85,-10.52,8.93
720,8.08,-13.28,9.84
724,8.96,-16.65,10.54
729,9.99,-18.81,10.91
734,10.87,-19.36,12.06
739,12.05,-19.45,13.11
744,13.09,-19.51,14.08
747,14.10,-19.53,15.50
752,14.75,-19.53,16.59
757,15.88,-19.53,18.21
762,17.46,-19.53,18.85
766,17.69,-19.53,19.37
771,17.71,-19.53,19.50
776,18.32,-19.53,19.53
781,19.17,-19.53,19.54
785,19.36,-19.53,19.54
789,19.50,-19.53,19.54
794,19.53,-19.53,19.54
799,19.54,-19.46,19.54
804,19.53,-17.48,19.54
808,19.52,-14.91,19.54
813,19.39,-13.10,19.54
818,18.81,-10.25,19.54
823,18.26,-7.64,19.54
828,16.34,-5.26,19.54
831,14.09,-3.14,19.54
836,12.05,-1.25,19.54
841,10.23,0.44,19.54
846,8.55,0.92,19.27
850,6.80,1.53,18.02
855,6.20,2.73,16.79
860,5.72,4.26,15.82
864,5.19,4.79,15.18
869,4.67,4.59,15.02
873,3.52,3.65,13.96
878,2.85,3.04,12.98
882,2.48,1.77,11.77
887,2.11,0.68,11.48
892,1.67,0.53,11.46
897,1.44,2.42,11.90
902,1.36,2.80,11.64
906,1.07,3.56,11.23
911,0.90,4.56,11.14
915,0.71,3.45,10.33
919,0.27,-2.34,9.90
924,-0.37,-5.85,9.83
929,-0.43,-7.10,10.21
933,0.14,-4.63,10.91
938,0.61,-1.74,11.65
943,0.57,-1.04,11.50
948,0.71,-0.85,11.22
952,0.96,-1.04,11.59
956,1.25,-1.19,10.70
961,1.34,-2.73,10.22
966,1.46,-3.36,9.90
970,1.47,-3.45,9.58
975,1.60,-3.66,8.76
980,1.77,-3.52,8.62
985,2.01,-3.03,8.42
989,2.15,-2.44,8.58
994,1.99,-1.98,8.32
998,2.06,-1.69,8.06
1002,1.96,-1.68,7.81
1007,1.94,-1.39,7.79
1012,2.01,-1.12,8.04
1017,1.85,-0.86,8.44
1021,1.90,-0.55,8.59
1026,2.11,-0.60,8.66
1031,2.11,-0.32,8.78
1035,2.20,-0.36,9.14
1039,2.20,0.02,9.94
1044,2.16,-0.01,10.50
1049,2.16,-0.13,10.65
1053,2.30,-0.21,10.69
1058,2.31,-0.75,11.15
1063,2.65,-0.98,11.40
1068,2.89,-1.53,11.42
1072,3.07,-2.05,11.33
1077,3.08,-2.59,11.52
1081,3.36,-2.91,11.18
1086,3.70,-2.98,11.28
1090,4.11,-2.67,11.26
1095,4.46,-2.00,11.09
1100,4.54,-1.94,10.09
1105,4.67,-1.27,9.88
1109,5.04,-0.56,9.10
1114,5.22,0.03,8.95
1119,5.42,0.58,9.07
1123,5.48,1.33,8.86
1127,5.63,1.76,8.83
1132,6.03,2.56,9.04
1137,6.29,3.67,9.38
1141,6.81,4.96,9.82
1146,7.51,5.61,10.58
1151,8.20,6.01,11.08
1156,8.78,5.96,12.10
1160,9.62,5.71,12.36
1164,10.29,5.40,12.96
1169,10.66,5.04,13.37
1174,11.69,3.32,14.18
1178,12.38,2.51,15.02
1183,13.33,2.40,15.68
1188,13.86,2.36,16.28
1193,14.08,2.41,16.90
1197,14.40,2.46,17.73
1202,14.85,2.46,18.32
1206,15.41,2.60,17.97
1211,16.07,2.92,18.08
1216,16.30,2.97,18.11
1220,16.64,2.63,18.10
1225,16.98,2.26,17.83
1230,17.45,2.05,18.26
1235,18.08,1.24,18.54
1239,18.63,0.57,18.97
1244,19.02,-0.04,19.30
1248,19.34,-0.69,19.40
1253,19.49,-1.43,19.48
1257,19.53,-2.35,19.52
1262,19.54,-3.05,19.53
1267,19.54,-4.47,19.54
1272,19.54,-6.19,19.54
1276,19.54,-8.00,19.54
1281,19.54,-10.18,19.54
1286,19.54,-12.44,19.54
1290,19.54,-14.62,19.30
1295,19.54,-16.98,18.74
1299,19.54,-17.87,17.30
1304,19.54,-19.11,13.90
1309,19.42,-19.43,8.37
1314,16.17,-19.51,7.67
1318,15.28,-19.53,8.34
1323,15.63,-19.53,8.19
1328,13.59,-19.53,6.66
1332,10.28,-19.53,5.10
1336,7.79,-19.53,4.22
1341,7.07,-19.21,4.01
1346,6.67,-17.46,4.36
1350,6.49,-15.42,4.55
1355,5.71,-13.33,4.56
1360,4.72,-11.76,4.72
1365,3.98,-10.93,4.95
1370,3.86,-9.41,5.25
1373,3.62,-9.26,5.61
1378,3.43,-9.02,5.78
1383,3.23,-8.79,5.91
1387,2.64,-8.86,6.12
1392,2.14,-8.96,6.30
1397,2.20,-9.66,6.33
1402,1.93,-10.53,5.97
1406,1.77,-11.45,6.32
1411,1.32,-11.95,6.03
1415,0.99,-12.30,5.87
1420,0.83,-12.26,5.75
1424,0.57,-12.08,5.76
1429,0.34,-11.67,6.02
1434,0.13,-10.83,5.86
1439,0.05,-10.16,6.25
1443,-0.28,-9.50,6.51
1448,-0.62,-9.17,6.40
1453,-0.70,-8.37,6.47
1457,-0.64,-8.10,6.99
1461,-0.69,-7.85,7.05
1466,-0.92,-7.66,7.16
1471,-0.70,-6.88,7.78
1476,-0.79,-6.22,7.69
1480,-1.03,-5.85,7.92
1485,-0.95,-5.35,7.93
1490,-1.04,-4.66,8.10
1495,-1.22,-4.49,8.35
1498,-1.34,-4.08,8.54
1503,-1.32,-3.92,8.55
1508,-1.05,-3.18,8.79
1512,-1.10,-2.85,8.36
1517,-1.46,-2.77,8.48
1522,-1.37,-2.64,8.43
1527,-1.50,-2.07,8.29
1531,-1.58,-1.84,8.54
1536,-1.70,-1.54,8.31
1540,-1.68,-1.07,8.47
1545,-1.68,-0.80,8.79
1549,-1.53,-0.76,9.00
1554,-1.64,-0.78,9.29
1559,-1.61,-0.96,9.25
1563,-1.54,-1.24,9.41
1568,-1.47,-1.74,9.55
1573,-1.48,-2.25,9.53
1578,-1.26,-2.41,9.43
1581,-1.30,-2.50,9.44
1586,-1.25,-2.59,9.41
1591,-1.14,-2.70,9.34
1596,-1.27,-2.86,9.11
1600,-1.30,-3.17,9.07
1605,-1.32,-3.40,9.01
1610,-1.30,-3.48,9.25
1614,-1.66,-3.67,9.34
1619,-1.34,-3.52,9.13
1623,-1.53,-3.37,9.78
1628,-1.29,-3.02,9.46
