timestamp,accX,accY,accZ
0,16.64,-1.01,10.51
91,17.07,-0.99,11.70
95,17.28,-0.86,12.63
100,17.41,-1.28,13.40
105,17.41,-1.79,14.12
110,17.83,-1.95,15.55
114,18.15,-2.00,16.21
119,18.07,-1.59,16.99
123,18.10,-1.24,18.40
128,18.14,-1.08,18.87
133,18.38,-0.95,19.31
137,18.58,-0.85,19.45
142,18.77,-0.68,19.52
147,19.18,-0.68,19.34
152,19.41,-0.80,19.36
156,19.46,-1.09,18.55
161,19.46,-1.36,17.44
165,19.52,-1.77,16.10
170,19.53,-2.35,14.58
174,19.54,-3.25,13.45
179,19.54,-4.19,11.84
184,19.54,-5.46,11.08
189,19.54,-6.49,9.27
193,19.54,-7.26,8.00
198,19.54,-7.70,6.63
203,19.46,-8.17,5.20
207,19.46,-8.33,3.45
211,19.27,-7.64,2.53
216,19.41,-6.94,1.86
221,19.03,-6.62,1.25
226,17.81,-6.29,0.91
230,17.00,-6.03,1.22
235,16.51,-5.42,2.13
240,16.25,-4.88,3.15
244,15.71,-4.49,3.87
248,15.19,-4.27,4.08
253,14.50,-3.98,4.37
258,14.23,-3.03,6.48
263,14.50,-3.24,5.78
268,14.74,-4.43,5.14
272,14.40,-4.82,5.40
277,13.69,-4.89,5.45
282,13.17,-2.89,6.34
286,13.39,-1.36,5.63
290,12.31,-3.20,5.59
295,12.62,-3.70,4.45
300,12.97,-6.53,2.61
305,11.99,-9.98,1.44
309,11.27,-9.92,3.49
314,9.42,2.63,7.49
319,9.36,11.85,8.07
324,13.85,13.80,1.80
328,15.64,1.65,-1.87
332,14.20,-2.52,-6.40
337,10.41,-12.95,-10.84
342,9.35,-17.89,-11.72
346,6.49,-19.13,-9.94
351,4.42,-16.21,-8.49
356,3.91,-11.00,-5.48
361,3.62,-6.81,-2.18
365,3.52,-5.84,-0.29
369,3.39,-7.25,-0.17
374,3.19,-10.46,-0.67
379,2.48,-10.86,0.27
383,1.90,-7.85,0.67
388,1.85,-4.04,1.76
393,2.19,-1.76,1.88
398,2.14,-1.77,0.95
402,1.71,-2.90,-0.35
407,1.50,-3.79,-1.32
411,0.90,-3.39,-1.91
415,0.44,-2.74,-2.16
420,0.17,-2.64,-3.97
425,0.57,-1.78,-3.14
430,-0.06,-0.85,-4.09
434,-0.87,-0.22,-2.69
439,-1.38,0.72,-1.57
444,-2.16,2.06,-0.17
449,-2.54,3.74,0.37
453,-2.95,4.76,1.16
457,-3.59,5.17,1.41
462,-3.78,4.67,1.34
467,-4.18,3.78,1.32
471,-4.67,3.20,1.57
476,-4.65,2.82,1.48
481,-4.80,2.43,1.50
485,-4.70,2.10,1.71
490,-4.85,1.98,1.67
494,-5.08,1.72,1.55
499,-4.98,1.75,1.46
503,-5.16,1.72,0.95
508,-4.96,1.76,0.73
513,-4.84,1.95,0.39
518,-4.83,1.91,-0.28
522,-4.74,1.86,-1.01
527,-4.74,1.79,-1.96
532,-4.59,1.91,-2.71
536,-4.83,1.94,-3.27
540,-4.94,1.97,-4.20
545,-4.86,1.80,-5.24
550,-5.06,1.67,-6.50
554,-4.97,1.64,-7.00
559,-4.83,1.62,-7.71
564,-5.20,1.68,-8.42
568,-5.35,1.72,-8.68
573,-5.42,1.55,-9.36
578,-5.38,1.27,-10.13
582,-5.63,1.30,-10.21
