timestamp,accX,accY,accZ
0,0.51,-1.81,16.25
91,16.99,-1.84,16.43
94,17.36,-1.71,17.05
99,17.32,-1.91,17.74
104,17.52,-1.90,18.08
109,17.63,-2.00,18.55
113,17.82,-2.06,18.74
118,17.91,-2.13,18.73
123,18.29,-2.07,18.49
128,18.72,-2.13,18.10
132,19.04,-2.24,17.66
136,19.21,-2.23,16.99
141,19.44,-2.31,16.63
146,19.52,-2.85,15.97
150,19.54,-3.75,14.82
155,19.54,-4.17,14.26
160,19.53,-4.95,13.22
165,19.49,-5.57,12.40
170,19.43,-6.04,11.82
174,19.34,-6.27,11.35
178,19.04,-6.30,10.80
183,18.57,-6.28,9.79
187,18.13,-6.18,8.84
192,17.71,-6.07,7.94
197,16.76,-5.76,7.24
202,16.19,-5.12,6.75
206,15.58,-4.51,6.00
211,14.85,-3.73,6.14
216,14.59,-2.40,6.12
220,13.16,-0.21,6.10
224,12.85,0.61,5.43
229,13.11,0.66,4.34
234,13.09,1.07,4.37
239,12.02,8.09,4.50
243,11.46,11.60,3.69
248,12.06,9.73,1.64
253,13.21,9.25,-0.45
258,12.29,7.94,-2.85
261,10.53,1.18,-5.46
266,9.61,-4.38,-7.02
271,7.23,-7.32,-7.39
276,4.87,-9.24,-7.38
280,3.41,-8.87,-5.55
285,2.45,-7.42,-3.84
290,2.03,-6.49,-1.75
295,2.06,-5.55,-0.65
299,1.90,-6.44,-0.87
303,1.90,-7.76,-1.45
308,1.92,-8.19,-1.50
313,2.14,-7.55,-1.87
317,1.82,-7.04,-2.74
322,1.36,-6.07,-4.01
327,0.76,-6.56,-5.35
331,0.58,-7.12,-6.64
336,-0.20,-7.03,-7.36
341,-1.18,-6.56,-7.05
345,-2.22,-5.56,-5.86
349,-2.97,-4.78,-4.82
354,-3.53,-2.81,-3.80
359,-3.69,-1.13,-2.48
364,-4.14,0.98,-0.78
368,-4.20,1.62,-0.06
373,-4.53,2.76,0.12
378,-4.84,3.93,0.44
382,-5.13,4.17,0.39
