timestamp,accX,accY,accZ
0,19.54,-0.75,13.10
91,19.54,-0.80,12.31
94,19.54,-1.02,11.41
99,19.54,-1.33,10.54
104,19.54,-1.93,9.72
109,19.54,-2.36,8.31
113,19.54,-3.07,7.37
118,19.54,-3.82,6.33
123,19.54,-4.22,4.78
128,19.54,-4.79,4.16
132,19.54,-5.12,3.89
136,19.54,-5.24,3.60
141,19.45,-4.90,3.72
146,19.47,-4.28,4.42
150,18.70,-3.39,4.82
155,18.97,-3.41,4.00
160,18.94,-2.52,3.68
165,17.92,2.18,2.60
170,17.51,3.26,-2.20
174,18.77,-7.28,-6.37
178,18.09,-10.72,-7.38
183,14.41,-7.88,-7.05
188,12.00,-6.74,-6.07
192,10.66,-6.50,-5.08
197,8.90,-7.73,-4.42
202,7.85,-9.41,-3.02
207,6.54,-9.31,-1.41
211,5.69,-7.70,-1.14
216,5.51,-8.45,-0.59
220,4.69,-9.34,-0.97
224,3.65,-11.22,-1.50
229,3.18,-12.93,-1.17
234,2.90,-13.48,-0.68
239,2.65,-13.24,-0.89
243,2.28,-12.94,-0.95
248,1.84,-12.90,-1.31
253,1.61,-12.78,-1.90
258,1.58,-12.51,-2.88
261,1.58,-11.92,-3.49
266,1.55,-11.36,-4.18
271,1.26,-10.10,-4.68
276,0.84,-9.18,-4.79
280,0.10,-8.23,-4.80
285,-0.05,-7.12,-4.62
290,-0.65,-6.55,-4.58
295,-0.80,-5.00,-4.61
299,-1.14,-3.57,-4.41
303,-1.17,-2.38,-4.19
308,-1.31,-1.38,-4.24
313,-1.57,-0.52,-4.28
317,-2.06,-0.29,-4.48
322,-2.33,0.35,-4.98
327,-2.32,1.13,-5.45
331,-2.39,1.74,-5.89
336,-2.94,2.41,-6.38
341,-3.60,2.82,-6.51
345,-3.83,3.47,-6.29
349,-4.21,3.61,-6.30
354,-4.35,4.21,-5.73
359,-4.51,4.61,-5.55
364,-4.54,4.87,-5.36
368,-5.17,5.21,-5.18
373,-5.39,5.26,-4.62
378,-5.52,5.35,-4.62
382,-5.79,5.41,-4.52
386,-5.96,5.34,-3.96
391,-5.95,5.35,-3.67
396,-5.96,3.98,-3.50
400,-6.13,4.06,-3.11
405,-5.85,4.34,-2.67
410,-5.47,4.39,-2.24
414,-5.33,4.28,-1.99
419,-5.39,4.22,-1.57
424,-5.42,3.95,-1.89
428,-5.41,3.89,-1.50
432,-5.28,3.88,-1.89
437,-5.24,4.08,-1.88
442,-5.21,4.09,-2.29
446,-5.13,4.16,-2.58
451,-5.23,4.53,-2.44
456,-5.09,4.93,-2.48
461,-4.94,5.14,-2.90
466,-4.86,5.52,-3.38
469,-4.94,5.77,-3.29
474,-4.96,5.71,-3.77
479,-4.76,5.73,-4.19
483,-4.68,5.84,-4.28
488,-4.48,5.72,-4.62
493,-4.57,5.44,-4.89
498,-4.33,5.34,-5.15
502,-3.92,5.27,-6.43
507,-3.56,5.09,-7.32
511,-3.54,4.30,-8.20
516,-3.38,4.41,-8.97
520,-2.84,3.98,-10.37
525,-2.50,3.53,-11.09
530,-2.21,2.99,-11.88
535,-1.71,2.33,-11.92
539,-1.25,2.07,-12.16
544,-0.78,1.62,-11.97
549,-0.66,0.99,-11.00
553,-0.05,0.15,-10.48
557,0.44,-0.82,-10.03
562,0.77,-1.92,-9.45
567,1.21,-2.53,-8.44
572,1.70,-3.63,-7.42
576,2.36,-4.69,-6.32
581,2.66,-5.77,-5.30
586,3.34,-6.72,-4.88
591,3.76,-7.53,-4.79
594,4.20,-8.04,-3.37
599,4.75,-8.39,-2.57
604,5.57,-8.67,-2.12
608,5.93,-8.60,-1.48
613,6.68,-8.19,-0.69
618,7.52,-7.43,-0.44
622,8.69,-7.01,0.46
627,10.12,-6.93,1.07
632,11.04,-7.17,1.84
636,12.25,-8.16,2.76
641,13.62,-9.41,4.04
645,14.19,-10.93,6.16
650,15.91,-12.44,8.07
655,17.36,-14.19,9.39
660,18.22,-15.22,12.35
664,18.01,-15.09,15.58
669,18.60,-15.35,18.39
674,19.17,-15.38,19.22
678,18.94,-15.37,19.46
683,18.21,-13.65,19.52
687,19.22,-11.97,19.53
692,19.46,-9.11,19.54
697,19.52,-6.00,19.54
702,19.54,-4.42,19.54
706,19.54,-1.11,19.54
711,19.04,1.75,19.54
716,18.55,3.82,19.54
720,17.49,4.72,19.54
724,16.12,5.40,19.54
729,15.52,5.98,19.54
734,15.54,6.27,19.54
739,15.30,6.94,19.54
743,14.80,7.81,19.54
748,14.66,8.49,19.54
753,13.90,8.89,19.54
758,13.05,9.22,19.54
761,11.76,9.24,19.54
766,9.96,8.77,19.45
771,8.31,8.59,18.64
776,6.68,8.35,17.12
781,6.16,7.96,15.15
785,5.40,7.74,14.05
790,4.79,7.71,13.22
795,4.23,7.91,12.74
799,4.31,7.95,12.72
803,4.08,7.69,12.14
808,3.65,6.42,12.12
813,3.62,4.14,11.77
818,3.47,1.29,11.88
822,3.49,-0.21,12.39
827,3.79,-0.74,12.65
832,3.75,-1.50,13.23
836,4.17,-2.04,13.52
841,4.22,-2.34,13.83
845,4.02,-1.68,13.66
850,4.11,-3.10,13.56
855,4.32,-3.06,13.54
859,4.48,-1.43,13.25
864,4.42,-2.47,11.90
869,4.45,-3.34,10.62
873,4.79,-4.07,10.24
878,4.99,-4.12,9.73
883,5.10,-3.38,9.39
887,4.85,-1.46,9.11
891,4.67,0.82,8.73
896,4.43,1.86,8.28
901,4.21,1.95,7.93
906,4.34,1.17,7.90
910,4.33,0.34,7.87
915,4.35,-0.19,8.39
920,4.10,-0.39,8.67
924,3.59,-0.63,9.28
928,3.49,-0.71,9.86
933,3.51,-0.75,10.57
938,3.46,-0.89,10.96
942,3.30,-0.86,11.79
947,3.10,-0.80,11.93
952,2.71,-0.81,12.19
957,2.63,-0.54,12.13
961,2.62,-0.35,11.78
966,2.49,0.09,11.60
970,2.30,0.32,11.75
975,2.59,0.53,10.79
979,2.60,0.78,10.50
984,2.73,0.82,10.16
989,2.79,1.07,9.21
994,2.87,1.22,8.92
998,3.07,1.56,8.04
1003,3.33,1.73,7.25
1008,3.30,1.84,7.15
1011,3.65,1.99,6.48
1016,3.54,2.23,6.26
1021,3.64,2.64,5.65
1026,3.79,2.80,5.25
1030,3.82,3.45,5.14
1035,3.86,4.27,5.35
1040,3.78,4.94,5.79
1045,3.77,5.66,5.79
1049,4.02,6.15,6.45
1053,4.04,6.49,6.85
1058,4.17,6.62,7.50
1063,4.41,6.83,8.38
1067,4.61,7.05,8.81
1072,4.73,7.50,9.53
1077,4.98,8.22,9.58
1082,5.07,8.68,10.13
1086,5.58,9.45,10.52
1091,6.15,9.62,10.76
1095,6.63,10.58,11.57
1099,6.83,11.40,11.92
1104,7.50,11.91,11.95
1109,8.11,12.40,12.18
1114,8.69,13.05,12.26
1118,9.14,13.46,12.40
1123,9.94,13.41,12.55
1128,10.75,13.51,13.02
1133,11.08,13.55,13.54
1137,11.83,13.58,14.34
1141,13.00,13.40,14.69
1146,13.71,12.91,14.97
1151,14.49,12.44,14.86
1156,15.41,12.18,15.29
1160,16.12,11.42,15.63
1165,17.20,10.57,15.77
1170,17.61,10.09,16.23
1175,18.41,9.80,16.43
1179,18.89,8.95,16.16
1183,19.17,7.99,16.51
1188,19.42,6.81,16.81
