timestamp,accX,accY,accZ
0,16.27,3.46,12.32
91,16.43,3.51,11.83
95,16.39,2.96,11.43
99,16.07,4.43,11.93
104,15.00,6.55,11.81
109,15.73,5.11,10.48
113,16.24,0.21,7.89
118,15.95,-3.64,6.23
123,15.14,-5.56,6.56
128,13.47,1.09,9.83
133,12.58,12.28,10.49
137,14.28,15.49,9.61
141,16.72,8.16,3.82
146,16.74,5.20,0.90
151,13.65,1.13,-2.82
155,12.28,-7.14,-6.03
160,10.18,-11.19,-7.02
165,7.34,-10.25,-5.73
170,5.89,-6.96,-4.67
174,6.35,-3.30,-1.67
179,7.42,-1.60,-0.13
183,7.40,-0.79,-0.21
188,6.27,-3.59,-2.16
193,5.53,-7.52,-4.02
197,4.09,-9.33,-5.80
202,3.16,-8.57,-6.11
207,2.75,-5.74,-6.59
212,2.49,-4.36,-7.67
216,1.18,-4.35,-8.72
221,-0.10,-4.29,-9.89
225,-0.94,-4.73,-10.62
229,-2.11,-4.04,-10.80
234,-2.96,-2.23,-9.17
239,-3.98,-1.59,-9.27
244,-4.14,-1.03,-8.23
248,-4.02,0.54,-7.89
253,-5.12,1.45,-7.00
258,-5.33,2.39,-6.47
263,-5.49,2.87,-5.59
266,-5.48,3.46,-5.18
271,-5.92,3.82,-3.88
276,-6.03,3.79,-2.99
280,-6.03,3.82,-2.60
285,-6.16,3.69,-1.92
290,-6.40,3.43,-1.09
295,-6.38,3.16,-0.74
300,-6.59,3.11,-0.48
304,-6.35,2.76,-0.20
308,-6.30,2.77,0.00
313,-6.26,2.62,-0.11
318,-5.90,2.31,-0.11
322,-5.97,1.88,-0.36
327,-5.84,1.46,-0.69
332,-5.72,0.79,-1.17
337,-5.67,0.10,-1.03
341,-5.50,-0.24,-1.39
346,-5.43,-0.70,-2.39
350,-5.46,-1.12,-2.80
354,-5.27,-1.60,-2.92
359,-5.43,-2.00,-3.16
364,-5.44,-2.06,-3.53
368,-5.28,-1.99,-3.52
373,-5.29,-1.91,-3.82
378,-5.33,-1.71,-4.16
383,-5.31,-1.54,-4.47
387,-5.38,-1.44,-5.05
391,-5.51,-1.28,-5.12
396,-5.30,-1.22,-5.12
401,-5.41,-1.26,-5.00
405,-5.24,-1.23,-4.73
410,-5.17,-1.07,-4.92
415,-5.20,-0.85,-4.88
420,-5.27,-0.64,-4.44
424,-5.17,-0.66,-4.26
429,-4.84,-0.48,-4.23
433,-4.63,-0.38,-4.11
438,-4.70,-0.43,-3.60
442,-4.45,-0.76,-3.49
447,-4.24,-0.65,-3.28
452,-4.04,-0.69,-2.94
456,-4.05,-0.79,-3.06
461,-4.07,-1.00,-2.53
466,-4.01,-1.12,-2.40
471,-3.88,-1.18,-2.23
474,-3.82,-1.01,-2.15
479,-3.83,-1.01,-2.12
484,-3.61,-0.97,-2.04
488,-3.46,-0.98,-2.09
493,-3.27,-1.04,-1.93
498,-2.99,-0.83,-1.71
503,-2.82,-0.83,-1.86
507,-2.61,-0.90,-1.71
512,-2.38,-1.00,-2.11
516,-2.12,-1.17,-2.11
520,-1.81,-1.39,-1.67
525,-1.47,-1.38,-1.03
530,-1.38,-1.53,-0.16
535,-1.41,-1.62,0.93
539,-1.07,-1.74,2.27
544,-0.61,-2.24,2.81
549,0.00,-3.05,3.76
553,0.56,-3.64,4.93
557,0.61,-5.12,5.85
562,0.76,-6.75,6.76
567,1.09,-8.39,7.96
571,1.52,-9.67,9.09
576,2.39,-11.04,9.69
581,3.06,-12.01,10.71
586,3.76,-12.28,11.87
590,4.51,-13.19,13.49
595,5.65,-14.05,14.78
599,6.02,-15.10,16.26
604,6.80,-16.78,17.72
609,7.31,-18.52,18.19
613,8.11,-19.27,19.07
618,8.84,-19.47,19.41
623,9.79,-19.50,19.51
628,10.82,-19.53,19.54
633,11.35,-19.53,19.54
637,11.71,-19.53,19.54
641,13.03,-19.53,19.54
646,14.97,-19.53,19.54
651,16.39,-19.53,19.54
655,17.78,-18.77,19.54
660,17.02,-16.58,19.54
665,17.31,-15.81,19.54
670,18.24,-12.53,19.54
675,18.08,-8.36,19.54
679,17.31,-3.77,19.54
683,16.08,0.23,19.54
688,13.96,2.85,19.54
693,11.49,3.88,19.54
697,8.85,4.13,19.54
702,7.11,4.11,19.54
707,5.82,3.62,19.54
712,5.30,2.51,19.38
717,4.12,2.01,19.17
721,2.61,0.95,18.78
725,1.59,0.29,17.86
730,1.39,0.31,17.00
735,1.19,0.61,16.23
739,1.25,1.07,15.12
744,1.17,1.51,14.35
749,1.42,2.46,12.95
754,0.99,1.57,11.95
758,0.89,0.66,11.52
763,0.70,1.02,11.49
767,0.41,2.22,11.49
771,0.16,2.67,11.52
776,-0.11,1.02,10.95
781,0.10,-0.72,10.89
786,-0.20,-1.45,11.29
790,-0.03,-1.02,12.10
795,-0.33,-0.56,12.06
800,-0.10,0.38,11.10
805,-0.03,-0.31,10.31
808,0.34,-1.51,10.04
813,0.11,-1.95,10.02
818,0.33,-2.36,9.78
822,0.44,-2.73,9.26
827,0.67,-2.99,8.84
832,0.77,-2.99,8.57
837,1.04,-2.69,8.34
841,1.01,-2.42,8.15
846,0.98,-2.02,8.41
850,0.83,-1.50,7.86
855,0.88,-1.25,7.42
859,1.19,-0.73,7.57
864,1.10,-0.63,7.79
869,1.48,-0.65,7.72
873,1.46,-0.75,7.62
878,1.28,-0.80,7.63
883,1.24,-0.70,7.94
887,1.11,-0.87,8.07
891,1.12,-1.10,8.44
896,1.32,-1.38,8.25
901,1.20,-1.50,7.97
905,1.42,-1.72,8.33
910,1.63,-1.75,8.32
915,1.62,-1.84,8.74
920,1.61,-1.65,8.91
924,1.74,-1.38,8.93
929,1.79,-1.33,9.13
933,1.86,-1.14,9.05
937,2.13,-1.08,9.34
942,2.14,-1.11,9.14
947,2.22,-1.22,9.45
951,2.44,-1.28,9.18
956,2.68,-1.16,9.26
961,2.69,-0.85,9.43
966,2.88,-0.45,9.23
970,2.94,-0.11,9.35
974,3.44,0.18,8.89
979,3.58,0.61,8.99
984,3.55,0.80,8.99
988,3.82,0.58,9.12
993,4.44,0.34,9.62
998,4.66,-0.01,9.87
1003,5.14,-0.43,10.02
1007,5.33,-0.66,10.29
1012,5.71,-1.22,11.10
1016,5.79,-1.50,11.63
1021,6.12,-1.44,12.10
1025,6.33,-1.29,12.17
1030,6.90,-0.94,12.18
1035,7.14,-0.59,12.02
1040,7.56,-0.37,12.04
1044,8.22,0.05,12.17
1049,8.41,0.44,12.27
1054,8.54,0.63,12.31
1058,9.11,0.42,12.77
1062,10.10,0.07,12.74
1067,10.53,-0.48,13.09
1072,11.07,-0.94,13.92
1077,11.34,-1.70,14.19
1081,11.34,-2.04,14.62
1086,11.46,-1.98,15.21
1091,11.56,-1.59,15.24
1096,11.57,-0.77,15.39
1100,11.70,0.05,15.78
1104,11.85,0.98,15.88
1109,11.98,1.55,15.97
1114,11.94,2.34,15.79
1118,12.16,2.84,15.63
1123,12.32,3.05,15.83
1128,12.66,2.98,15.87
1133,13.25,2.42,15.78
1138,13.63,1.67,16.30
1141,14.19,1.25,16.05
1146,14.39,0.30,16.25
1151,14.60,-0.78,16.06
1156,14.59,-1.53,15.89
1160,14.68,-2.23,15.95
1165,14.90,-2.85,15.76
1170,14.71,-3.10,15.73
1175,14.68,-3.19,15.95
1179,14.43,-3.49,16.23
1183,13.98,-3.80,15.86
1188,13.86,-4.02,16.34
1193,13.46,-4.31,16.25
1198,13.33,-4.89,16.37
1202,12.92,-5.57,16.20
1207,12.38,-6.44,16.20
1212,12.09,-6.64,16.04
1217,11.78,-7.42,15.62
1221,11.50,-8.07,15.27
1225,11.04,-8.69,14.91
1230,10.49,-9.31,14.83
1235,9.95,-9.91,14.63
1239,9.30,-10.58,13.99
1244,8.70,-11.02,13.38
1249,8.11,-11.96,13.25
1254,7.85,-11.90,11.82
1258,7.03,-13.30,10.96
1263,6.52,-13.08,9.70
1267,6.14,-13.25,9.23
1272,5.42,-12.85,8.26
1276,4.66,-12.57,7.36
1281,3.73,-12.23,6.75
1286,3.42,-11.93,6.11
1291,2.70,-11.58,5.75
1295,2.40,-10.73,5.47
1300,2.10,-9.75,5.23
1305,1.51,-8.50,5.78
1309,1.20,-7.99,6.00
1313,0.82,-6.71,6.04
1318,0.66,-5.84,6.34
1323,0.15,-5.13,6.29
1327,-0.08,-4.64,6.30
1332,-0.19,-3.75,6.67
1337,-0.53,-3.53,6.98
1341,-0.61,-2.92,7.62
1346,-0.80,-2.79,8.16
1350,-0.93,-2.57,8.47
1355,-0.81,-2.44,9.31
1359,-1.06,-2.25,9.63
1364,-1.32,-2.24,9.90
1369,-1.35,-2.25,10.03
1374,-1.33,-2.13,9.97
1378,-1.52,-2.11,10.36
1383,-1.49,-2.01,10.12
1388,-1.46,-1.79,9.91
1392,-1.37,-1.41,10.03
1396,-1.19,-1.11,9.65
1401,-1.44,-1.04,9.70
1406,-1.65,-0.66,9.27
1411,-1.56,-0.60,9.11
1415,-1.50,-0.32,8.78
1420,-1.70,-0.11,9.00
1425,-1.53,-0.01,8.80
1429,-1.44,0.13,8.94
1433,-1.42,0.21,9.09
1438,-1.67,0.35,9.28
1442,-1.45,0.58,9.48
1447,-1.48,0.72,9.64
1452,-1.30,0.86,9.72
1457,-1.32,0.92,9.60
1461,-1.33,0.98,9.92
1466,-1.29,0.98,10.16
1471,-1.31,0.92,9.79
1474,-1.34,0.74,9.80
1479,-1.37,0.69,9.99
1484,-1.19,0.78,9.91
1488,-1.42,0.85,9.90
1493,-1.43,0.81,9.99
1498,-1.41,0.91,9.61
1503,-1.24,1.23,9.47
1507,-1.28,1.42,9.47
1512,-1.37,1.63,9.31
1516,-1.33,1.67,9.52
1521,-1.31,1.74,9.23
1525,-1.12,1.79,9.26
1530,-1.00,1.96,9.45
1535,-1.24,2.06,9.35
1539,-1.25,1.85,9.52
1544,-1.30,1.59,9.00
1549,-1.42,1.57,8.89
1554,-1.48,1.55,8.81
1557,-1.56,1.39,9.02
1562,-1.48,1.15,9.54
1567,-1.36,1.09,9.28
1572,-1.28,1.04,9.17
1576,-1.36,1.06,9.47
1581,-1.32,1.15,9.36
1586,-1.46,1.29,9.51
1591,-1.61,1.55,9.51
1595,-1.61,1.83,9.35
1599,-1.82,2.13,9.37
1604,-1.82,2.22,9.63
1609,-1.93,2.40,9.58
1613,-1.82,2.56,9.86
1618,-1.75,2.48,9.54
1623,-1.50,2.43,9.22
1628,-1.53,2.51,9.39
