timestamp,accX,accY,accZ
0,16.09,-2.47,19.54
91,17.23,-2.22,19.54
95,17.73,-2.05,19.54
99,18.02,-1.88,19.54
104,18.97,-1.73,19.54
109,19.25,-1.77,19.54
113,19.47,-2.04,19.54
118,19.53,-2.80,19.54
123,19.54,-4.44,19.43
128,19.54,-5.27,18.76
132,19.54,-6.91,16.94
137,19.54,-8.39,15.41
141,19.54,-9.21,14.57
146,19.54,-10.03,12.73
150,19.54,-11.30,11.99
155,19.54,-12.66,10.02
160,19.54,-14.05,8.36
165,19.54,-14.73,7.21
170,19.54,-15.55,6.94
174,19.54,-16.30,6.10
178,19.54,-17.11,5.92
183,19.54,-17.52,5.88
188,19.52,-18.08,5.58
192,19.13,-18.23,5.48
197,18.15,-18.21,5.43
202,16.75,-17.97,5.20
207,16.27,-17.18,4.62
211,15.32,-16.00,4.03
216,14.31,-14.46,4.54
220,13.47,-12.52,4.36
225,12.85,-9.58,5.10
229,11.67,-7.14,6.46
234,10.10,3.69,5.72
239,10.46,4.29,1.18
244,11.35,-8.64,-2.16
248,11.61,-12.84,-1.94
253,8.58,-9.59,-1.32
258,6.50,-4.31,1.17
262,6.13,-0.77,4.07
266,5.73,4.35,6.21
271,5.18,7.55,7.28
276,5.33,5.38,5.93
281,4.97,4.62,4.48
285,4.43,2.98,4.23
290,3.89,2.31,3.42
295,3.36,1.64,3.33
300,3.65,2.43,2.26
303,3.55,1.61,1.29
308,3.25,3.18,0.24
313,2.46,4.67,-0.27
317,1.74,2.78,-1.84
322,0.88,0.59,-3.19
327,-0.06,0.03,-3.79
332,-0.83,0.24,-3.32
336,-0.97,1.84,-2.43
341,-0.99,3.39,-2.29
345,-1.67,3.07,-2.32
349,-2.21,3.29,-1.60
354,-2.76,3.37,-0.26
359,-3.12,4.10,0.90
363,-3.19,4.96,1.66
368,-3.36,5.79,1.99
373,-3.39,6.04,2.01
378,-3.72,5.80,2.43
382,-3.76,5.51,2.16
387,-3.86,5.17,1.75
391,-3.95,4.89,1.53
395,-4.13,4.68,1.00
400,-3.94,4.72,0.75
405,-3.90,4.86,0.71
410,-3.71,4.21,-0.60
414,-3.87,4.30,-1.02
419,-3.75,4.19,-1.24
424,-3.66,4.40,-2.11
428,-3.49,4.30,-3.36
432,-3.44,4.14,-3.78
437,-3.58,3.63,-4.23
442,-3.56,3.36,-4.91
446,-3.62,2.50,-6.04
451,-3.43,1.20,-6.99
456,-3.23,0.78,-6.88
460,-3.89,-0.07,-6.99
465,-4.15,-0.59,-6.91
470,-4.21,-0.97,-7.05
474,-4.01,-0.96,-7.26
478,-3.97,-1.05,-7.63
483,-4.08,-1.25,-7.46
488,-4.32,-1.35,-7.47
492,-4.14,-1.33,-7.76
497,-4.37,-1.12,-7.87
502,-4.31,-1.14,-7.82
507,-4.41,-1.11,-7.70
511,-4.25,-1.02,-7.92
515,-4.09,-0.96,-7.97
520,-3.90,-0.80,-8.18
525,-3.94,-0.54,-7.98
529,-3.95,-0.42,-8.27
534,-3.95,-0.25,-8.58
539,-3.88,-0.11,-9.10
544,-3.76,0.16,-9.28
548,-3.72,0.45,-9.52
553,-3.59,0.55,-9.72
557,-3.27,0.84,-9.92
561,-3.32,0.81,-9.76
566,-3.25,0.78,-9.84
571,-2.96,0.57,-9.67
576,-2.64,0.19,-9.31
580,-2.61,-0.50,-9.26
585,-2.23,-1.21,-9.22
590,-2.25,-1.93,-8.95
595,-2.04,-2.52,-8.26
598,-1.40,-2.87,-7.73
603,-1.01,-3.24,-7.51
608,-0.92,-3.83,-6.96
612,-0.44,-4.26,-6.32
617,-0.43,-4.81,-6.31
622,-0.11,-5.16,-5.97
626,0.14,-5.49,-5.17
631,0.74,-5.80,-4.66
636,1.10,-6.00,-4.64
640,1.38,-6.36,-3.91
644,1.81,-6.97,-3.65
649,2.24,-7.59,-2.62
654,3.06,-7.52,-1.62
658,3.63,-7.57,-0.28
663,3.96,-7.50,1.20
668,4.42,-7.64,2.45
672,4.92,-8.20,2.88
677,5.66,-8.83,3.85
681,5.89,-9.28,5.13
686,6.18,-9.41,6.58
690,6.60,-9.43,7.78
695,6.93,-9.11,8.99
700,7.37,-8.80,9.80
704,7.42,-8.74,10.95
709,7.66,-8.98,12.44
714,7.52,-9.31,13.69
719,8.37,-10.79,14.89
722,9.05,-12.56,16.25
727,9.56,-14.73,17.25
732,10.37,-17.41,18.58
737,11.17,-19.01,19.00
742,11.48,-19.41,19.41
746,11.71,-19.50,19.51
751,12.26,-19.52,19.54
756,12.60,-19.53,19.54
761,12.71,-19.53,19.54
764,12.80,-19.53,19.54
769,13.01,-19.53,19.54
774,13.51,-19.53,19.54
779,13.86,-19.48,19.54
783,14.47,-19.12,19.54
788,14.64,-17.60,19.54
793,14.43,-15.82,19.54
798,14.48,-14.04,19.54
802,14.41,-12.56,19.54
806,14.18,-11.11,19.54
811,14.08,-9.79,19.54
816,13.77,-9.00,19.54
820,13.10,-7.63,19.54
825,12.39,-5.86,19.54
830,11.85,-3.86,19.54
835,9.79,-1.93,19.54
839,9.50,0.85,19.54
844,8.56,3.39,19.54
848,7.13,4.98,19.53
853,5.28,5.14,19.54
857,3.79,5.09,19.42
862,3.23,4.67,18.88
867,2.54,3.87,17.51
872,1.68,2.69,17.01
876,1.29,1.34,15.45
881,1.02,0.54,14.77
886,1.43,0.14,13.89
890,1.46,-0.33,13.06
894,1.56,-0.77,12.65
899,2.06,-1.42,11.85
904,1.87,-1.47,11.72
909,1.82,-0.40,11.34
913,1.95,-0.91,11.22
918,2.12,-1.40,10.54
923,1.61,-0.88,10.77
928,1.68,0.54,10.33
931,1.34,-1.62,9.46
936,0.97,-6.22,9.54
941,1.02,-8.31,9.90
946,1.23,-8.52,11.00
950,1.63,-7.07,12.02
955,1.34,-3.76,12.37
960,1.11,-1.76,12.00
964,0.82,-1.91,11.30
969,0.72,-3.10,10.76
973,1.08,-3.91,10.53
978,1.14,-4.20,10.04
982,1.08,-4.14,9.52
987,1.05,-3.96,8.95
992,1.36,-3.95,8.29
996,1.44,-3.97,7.74
1001,1.25,-3.86,7.46
1006,1.27,-3.70,7.73
1011,1.22,-3.63,7.57
1014,1.06,-3.30,7.63
1019,1.08,-3.20,7.51
1024,1.15,-3.24,7.78
1028,1.02,-2.94,7.78
1033,1.05,-2.79,8.21
1038,0.97,-2.58,8.23
1042,0.94,-2.61,8.59
1047,1.12,-2.39,8.55
1052,1.06,-2.19,8.52
1056,1.02,-2.16,8.46
1060,0.99,-2.16,8.44
1065,1.12,-2.48,8.24
1070,1.17,-2.46,8.32
1075,1.14,-2.80,8.08
1079,1.25,-2.89,7.74
1084,1.40,-3.07,7.30
1089,1.74,-3.10,6.91
1093,1.47,-3.12,6.82
1097,1.58,-3.26,6.80
1102,1.80,-3.06,6.56
1107,1.81,-2.47,6.75
1111,1.59,-1.83,6.77
1116,1.84,-1.15,6.69
1121,1.85,-0.75,6.77
1126,1.82,-0.56,6.79
1130,1.98,-0.33,7.30
1135,2.16,-0.21,7.63
1139,2.21,-0.22,7.85
1143,2.43,-0.03,8.24
