timestamp,accX,accY,accZ
0,19.35,-5.52,19.54
91,19.44,-5.90,19.54
94,19.46,-6.26,19.49
99,19.50,-6.18,19.53
104,19.53,-6.31,19.54
109,19.54,-6.54,19.54
114,19.54,-6.71,19.54
118,19.54,-6.75,19.52
123,19.54,-7.05,19.51
128,19.54,-7.36,19.10
132,19.54,-7.75,18.36
136,19.54,-8.01,16.79
141,19.54,-8.35,15.46
146,19.54,-8.43,15.18
151,19.54,-8.14,14.24
155,19.54,-7.94,12.94
160,19.54,-7.47,12.02
165,19.54,-7.30,11.12
170,19.53,-6.83,10.54
174,19.52,-5.88,10.32
178,19.46,-4.82,10.36
183,19.12,-3.85,9.74
188,18.32,-3.70,9.98
192,17.60,-0.26,9.14
197,17.66,-1.79,7.96
202,17.87,-1.94,6.55
207,17.63,-1.38,5.69
211,15.87,11.42,7.03
216,16.74,11.61,4.64
220,18.77,9.22,0.71
225,17.64,7.03,-2.48
229,16.74,4.60,-5.81
234,16.13,-2.16,-7.67
239,13.64,-7.95,-9.41
244,11.16,-10.74,-9.57
249,8.26,-10.48,-8.64
253,6.32,-9.09,-6.37
257,5.37,-4.95,-3.57
262,4.77,-2.86,-1.51
266,4.81,-2.70,-0.88
271,5.09,-5.35,-1.43
276,4.57,-6.15,-1.81
281,4.05,-5.00,-2.47
285,3.61,-4.18,-2.95
290,3.31,-2.55,-3.65
295,2.83,-1.53,-4.47
299,2.71,-1.53,-6.03
303,1.94,-1.73,-7.59
308,1.40,-1.88,-7.90
313,1.15,-1.88,-8.54
318,1.03,-0.66,-9.49
322,-0.14,-0.21,-8.95
327,-1.04,0.48,-9.46
332,-1.17,0.31,-9.88
337,-2.11,0.39,-9.65
341,-3.07,0.75,-9.62
345,-3.95,1.19,-9.29
350,-4.42,1.25,-8.19
355,-4.79,0.66,-7.76
359,-4.69,-0.14,-7.45
364,-5.06,-0.60,-6.74
369,-5.12,-1.14,-6.07
373,-5.09,-1.26,-5.67
378,-5.35,-1.15,-4.87
382,-5.63,-1.07,-3.86
387,-5.77,-1.29,-3.00
391,-5.62,-1.13,-2.02
396,-5.58,-0.77,-1.60
401,-5.81,-0.43,-1.43
406,-5.65,0.35,-0.73
410,-5.80,0.88,-0.11
415,-5.67,0.97,-0.20
420,-5.86,1.25,-0.07
424,-5.75,1.67,-0.30
428,-6.01,1.80,-0.24
433,-6.05,2.10,-0.47
438,-5.98,1.94,-0.64
443,-5.92,1.70,-0.98
447,-5.80,1.56,-1.08
452,-5.47,1.69,-1.67
457,-5.39,1.33,-2.08
461,-5.06,1.25,-2.61
466,-5.20,1.24,-2.87
470,-5.09,0.95,-3.55
475,-5.00,0.86,-3.65
479,-4.70,0.68,-4.43
