timestamp,accX,accY,accZ
0,15.83,-3.60,16.97
91,16.72,-3.43,16.81
94,17.17,-3.31,16.43
99,17.84,-2.91,15.72
104,17.79,-3.00,15.40
109,17.78,-3.35,14.38
114,17.62,-3.84,13.31
118,17.56,-4.20,12.40
123,17.37,-4.79,12.00
128,17.41,-5.30,11.95
133,17.34,-5.93,11.46
136,17.41,-6.29,11.18
141,17.55,-6.68,10.68
146,17.37,-7.26,10.18
151,17.29,-7.43,9.97
155,16.91,-7.78,9.67
160,16.27,-8.01,9.34
165,16.24,-7.85,9.43
170,15.84,-7.64,9.71
174,15.56,-7.35,10.05
178,15.27,-6.91,10.38
183,15.01,-6.80,10.43
188,14.79,-6.56,10.58
192,14.72,-6.31,10.99
197,14.59,-6.08,11.13
202,14.80,-5.91,10.84
207,15.00,-5.51,10.62
212,15.14,-5.30,9.87
216,14.88,-5.21,9.29
220,14.45,-5.33,8.58
225,14.23,-5.05,7.72
230,14.22,-4.62,7.03
234,14.06,-4.28,6.40
239,13.59,-3.92,6.24
244,12.83,-3.46,6.01
249,11.57,-1.48,6.88
253,10.47,3.18,7.74
258,10.01,3.80,6.93
262,10.38,2.51,5.58
267,10.56,1.04,4.25
271,9.90,0.28,3.55
276,8.48,-0.29,3.89
281,7.22,-2.23,4.31
286,5.60,-2.44,5.70
290,5.05,-2.00,7.24
295,4.79,1.64,9.81
300,5.05,3.06,10.32
303,5.42,1.64,10.52
308,5.67,2.73,11.07
313,5.00,2.67,10.90
318,5.32,4.00,10.16
322,5.71,2.42,8.77
327,6.32,-0.30,6.34
332,6.31,-2.20,5.26
336,5.40,-2.07,4.50
341,4.23,-3.01,3.49
345,3.63,-4.17,2.21
350,3.08,-6.79,1.29
354,2.76,-6.67,0.84
359,1.99,-6.69,0.76
364,1.77,-6.58,0.57
369,1.48,-5.75,0.73
373,1.48,-1.61,1.02
378,1.72,-0.10,0.70
383,1.57,0.17,-0.70
387,1.22,-3.03,-2.42
391,0.12,-5.73,-3.33
396,-0.87,-6.23,-3.44
401,-1.17,-5.47,-3.29
405,-0.91,-4.21,-2.98
410,-0.91,-3.62,-2.58
415,-0.95,-2.61,-2.54
420,-1.04,-1.93,-3.01
424,-1.21,-1.38,-3.38
428,-1.52,-0.98,-3.78
433,-1.75,-0.50,-4.31
438,-2.09,-0.25,-4.60
442,-2.55,0.36,-5.07
447,-2.94,1.21,-5.31
452,-3.09,1.67,-5.45
456,-3.42,2.09,-5.90
461,-3.82,2.08,-6.03
466,-3.90,1.76,-6.04
470,-4.07,1.48,-6.39
474,-4.06,1.13,-6.75
479,-4.16,0.79,-6.80
484,-4.34,0.47,-7.27
488,-4.53,0.15,-7.50
493,-4.67,0.09,-7.39
498,-4.76,-0.03,-7.45
503,-4.88,-0.33,-7.21
507,-5.11,-0.75,-6.78
511,-4.96,-1.12,-6.93
516,-4.95,-1.26,-6.57
520,-4.95,-1.24,-6.19
525,-4.80,-1.21,-6.22
530,-4.56,-1.19,-5.99
535,-4.75,-1.17,-5.29
539,-4.69,-1.29,-5.39
544,-4.76,-1.39,-5.53
549,-4.73,-1.50,-5.46
553,-4.49,-1.53,-5.37
557,-4.34,-1.39,-5.29
562,-4.33,-1.42,-5.62
567,-4.34,-1.46,-5.85
571,-4.20,-1.11,-6.45
576,-3.96,-0.40,-6.67
581,-3.77,0.13,-6.99
586,-3.84,0.86,-6.82
590,-3.70,1.11,-6.77
594,-3.70,1.85,-6.55
599,-3.72,2.22,-6.64
604,-3.49,2.42,-5.95
608,-3.34,2.47,-5.33
613,-3.23,1.97,-5.22
618,-3.13,1.81,-4.89
622,-2.99,1.52,-4.37
627,-2.43,0.79,-3.89
632,-2.37,0.39,-3.19
636,-1.94,-0.11,-2.16
640,-1.49,-0.59,-1.76
645,-1.10,-1.00,-1.48
650,-0.80,-1.28,-1.26
655,-0.47,-1.49,-1.50
659,-0.08,-1.39,-1.62
664,0.25,-1.39,-1.93
669,0.97,-1.38,-2.07
674,1.33,-1.48,-2.16
677,1.63,-1.85,-2.36
682,2.19,-2.27,-1.96
687,2.86,-3.67,-1.41
691,3.07,-5.22,-0.27
696,3.81,-7.27,1.72
701,3.99,-9.59,2.72
705,4.02,-12.05,5.11
710,4.31,-14.19,8.09
715,4.70,-15.05,10.88
719,5.20,-16.25,14.41
723,5.52,-16.61,17.16
728,5.82,-16.40,18.78
733,5.85,-16.77,19.17
738,6.51,-17.13,19.46
742,7.56,-17.22,19.52
747,8.94,-17.12,19.54
752,10.63,-16.94,19.54
757,11.86,-16.40,19.54
761,12.30,-15.82,19.54
765,12.89,-15.24,19.54
770,13.23,-14.67,19.54
775,13.48,-13.68,19.54
780,14.14,-12.87,19.54
785,14.91,-12.95,19.54
789,15.29,-12.62,19.54
794,15.17,-12.37,19.54
799,15.30,-11.72,19.54
803,15.72,-10.77,19.54
807,15.68,-9.80,19.54
812,15.39,-9.15,19.54
817,15.34,-8.76,19.54
822,15.21,-7.55,19.54
826,14.92,-5.97,19.54
831,14.74,-4.52,19.54
836,14.32,-3.07,19.54
841,13.76,-1.68,19.54
844,12.48,-0.64,19.54
849,11.18,0.40,19.54
854,9.97,0.66,19.54
859,9.13,1.68,19.54
863,8.53,2.77,19.54
868,7.85,3.55,19.54
873,6.54,4.15,19.54
