timestamp,accX,accY,accZ
0,15.91,0.86,19.45
91,16.04,0.48,19.30
95,15.84,0.17,19.27
100,15.98,-0.14,18.71
104,16.04,-0.28,18.61
109,15.91,-0.62,18.48
114,15.77,-0.57,18.41
118,15.69,-0.54,18.37
123,15.70,-0.56,18.17
128,15.76,-0.64,18.13
133,16.00,-0.56,17.87
137,16.40,-0.59,16.84
142,16.72,-0.66,16.53
146,17.42,-0.87,14.67
151,17.25,-1.20,13.77
155,17.07,-1.26,13.24
160,17.08,-0.08,12.95
165,16.87,3.82,13.95
170,15.75,5.05,11.00
174,16.26,1.41,6.80
179,18.57,-2.45,6.44
184,18.98,-0.63,5.67
188,18.49,-4.39,3.53
193,16.94,-11.24,2.03
197,13.67,-12.35,2.51
202,10.63,-9.63,3.77
207,10.36,-6.16,7.20
212,11.88,1.73,7.46
216,12.52,-2.02,5.40
221,12.48,-4.44,2.36
226,10.81,-8.02,-1.53
230,9.81,-11.63,-2.87
234,9.53,-10.56,-5.14
239,9.26,-10.07,-7.16
244,7.97,-8.83,-7.77
249,6.47,-8.17,-8.10
253,5.83,-7.82,-8.50
258,4.86,-6.95,-8.01
263,3.91,-4.79,-7.52
268,3.39,-3.52,-7.63
271,2.01,-3.44,-7.21
276,0.74,-3.51,-6.78
281,-0.07,-3.48,-5.83
286,-0.49,-2.40,-3.66
290,-0.90,-1.37,-1.99
295,-1.35,-0.08,-1.26
300,-1.80,1.20,-0.23
305,-2.18,1.58,0.49
309,-2.49,2.22,0.64
313,-2.73,2.39,0.64
318,-3.20,1.94,0.40
322,-3.45,1.33,0.13
327,-3.63,0.38,-0.41
332,-3.93,0.36,-0.06
337,-3.87,0.69,0.49
341,-3.98,1.21,1.21
346,-3.75,1.59,1.26
351,-3.41,1.42,1.36
355,-3.20,1.31,1.14
359,-3.29,0.69,0.75
364,-3.36,0.41,0.05
369,-3.42,0.07,-0.48
373,-3.47,0.07,-0.71
378,-3.73,0.12,-1.33
383,-3.74,0.20,-1.38
387,-3.53,0.12,-1.69
392,-3.56,0.01,-2.12
396,-3.69,-0.11,-3.03
400,-3.42,-0.23,-3.23
405,-3.51,-0.35,-3.89
410,-3.43,-0.38,-4.48
415,-3.54,-0.30,-4.72
419,-3.43,-0.11,-5.53
424,-3.50,-0.03,-6.11
429,-3.66,0.14,-6.44
434,-3.72,0.19,-6.60
437,-3.71,0.60,-7.18
442,-3.78,0.86,-7.10
447,-3.79,1.01,-6.99
452,-4.05,0.88,-6.94
456,-4.26,0.60,-6.52
461,-4.06,0.03,-6.08
466,-4.16,-0.51,-5.66
470,-3.99,-1.21,-5.12
475,-3.82,-1.60,-4.96
479,-3.63,-2.19,-3.92
483,-3.50,-2.48,-3.09
488,-3.17,-2.73,-2.26
493,-2.94,-3.21,-1.68
498,-2.77,-3.93,-0.76
502,-2.70,-4.30,-0.14
507,-2.82,-4.70,1.00
512,-2.78,-5.01,1.69
517,-2.43,-5.16,2.45
520,-2.45,-5.52,2.84
525,-2.29,-5.60,3.05
530,-2.37,-5.77,3.22
534,-2.10,-5.80,3.19
539,-1.84,-5.85,3.42
544,-1.49,-5.82,4.16
548,-1.09,-6.07,4.86
553,-0.80,-6.40,5.88
558,-0.92,-6.70,7.53
562,-0.30,-6.91,9.23
566,-0.13,-6.93,9.78
571,-0.03,-6.90,11.69
576,-0.15,-7.06,13.41
581,0.11,-7.32,15.00
585,0.12,-7.85,16.01
590,0.38,-8.83,17.24
595,1.18,-10.11,17.43
600,1.48,-11.32,17.73
603,2.22,-12.72,17.71
608,2.97,-13.52,17.66
613,3.93,-15.14,17.65
618,4.49,-16.76,17.85
622,4.84,-18.14,18.43
627,6.10,-19.14,18.82
632,7.53,-19.43,18.97
637,8.42,-19.48,19.22
641,8.91,-19.38,19.46
645,9.38,-18.37,19.52
650,9.42,-16.67,19.54
655,9.28,-14.56,19.54
659,9.30,-12.90,19.54
664,9.53,-11.29,19.54
669,9.49,-9.61,19.54
674,9.13,-8.08,19.54
679,8.17,-7.18,19.54
683,7.38,-5.34,19.54
687,6.86,-3.44,19.54
692,6.03,-1.69,19.54
696,5.50,-0.13,19.54
701,4.75,1.63,19.54
706,3.83,2.34,19.54
711,2.72,3.95,19.54
715,1.63,5.08,19.49
720,1.08,6.17,18.78
725,-0.21,6.72,18.00
729,-0.72,6.95,17.68
733,-0.82,6.22,16.99
738,-0.99,4.56,16.39
743,-1.19,3.54,14.98
748,-1.65,1.70,14.00
752,-1.88,-0.37,13.33
757,-1.95,-2.00,12.40
762,-1.97,-3.12,12.14
767,-2.18,-3.53,11.93
771,-2.25,-2.97,11.40
775,-2.07,-2.48,11.07
780,-2.08,-0.61,10.94
785,-2.04,1.62,9.70
790,-2.21,2.00,9.04
794,-2.21,0.98,8.71
799,-2.31,0.20,8.59
804,-2.37,0.60,9.32
809,-2.21,1.11,9.51
812,-1.94,1.98,9.61
817,-1.69,2.39,9.97
822,-1.71,2.32,9.80
827,-1.38,1.81,10.01
831,-1.18,1.99,10.36
836,-1.25,2.19,10.13
841,-1.44,2.18,10.25
846,-1.35,1.60,10.07
850,-1.18,0.66,9.45
854,-1.03,-0.27,9.34
859,-1.14,-1.20,9.42
863,-1.22,-2.15,9.22
868,-1.32,-3.01,9.15
873,-1.23,-3.30,8.71
878,-1.04,-3.53,8.83
882,-1.07,-3.71,8.65
887,-0.71,-3.57,8.86
892,-0.54,-3.61,9.17
896,-0.28,-3.40,9.22
900,-0.30,-3.23,9.22
905,-0.28,-3.04,8.98
910,-0.30,-2.86,9.04
915,-0.31,-2.75,8.88
919,-0.04,-2.68,8.99
924,0.10,-2.76,8.79
929,0.17,-2.72,8.84
933,0.28,-2.80,8.99
937,0.44,-2.93,9.05
942,1.11,-3.10,8.85
947,1.09,-3.27,8.94
951,1.11,-3.41,8.68
956,1.26,-3.55,8.34
961,1.48,-3.53,8.01
966,1.68,-3.50,7.77
970,2.10,-3.28,7.51
975,2.09,-3.01,6.59
979,2.07,-2.37,6.38
983,2.13,-1.56,6.11
988,2.29,-0.45,5.60
993,2.26,1.22,5.16
997,2.26,2.13,4.96
1002,2.46,4.54,5.11
1007,2.57,7.03,5.64
1012,2.78,9.82,6.10
1016,2.90,12.45,6.45
1020,3.54,14.52,7.77
1025,3.87,16.01,8.68
1030,4.38,16.59,10.17
1034,5.23,17.70,11.68
1039,5.98,18.76,12.90
1044,7.13,19.31,14.00
1049,7.77,19.48,14.70
1053,8.41,19.53,15.74
1058,9.22,19.54,17.22
1062,10.42,19.54,18.45
1067,12.31,19.54,19.26
1071,13.23,19.54,19.47
1076,14.98,19.44,19.53
1081,17.13,18.12,19.54
1086,18.56,16.57,19.54
1090,19.30,15.15,19.54
1095,19.48,14.46,19.54
1100,19.53,12.93,19.54
1104,19.54,11.19,19.54
1109,19.54,9.68,19.45
1113,19.54,8.14,19.15
1118,19.54,7.09,19.09
1123,19.54,6.12,18.43
1128,19.54,5.32,18.03
1132,19.54,4.82,17.10
1137,19.54,3.74,16.84
1142,19.54,2.77,16.15
1146,19.54,2.11,16.29
1150,19.54,1.56,16.04
1155,19.54,1.03,15.98
1160,19.54,0.53,16.21
1165,19.54,0.09,16.05
1169,19.54,-1.07,16.09
1174,19.54,-2.34,16.15
1179,19.54,-3.76,16.08
1184,19.53,-5.03,16.01
1187,19.49,-6.60,16.47
1192,19.39,-7.63,17.05
1197,18.30,-8.52,16.99
1202,17.37,-9.95,16.78
1206,16.79,-11.66,16.11
1211,15.90,-11.94,16.52
1216,14.48,-13.62,15.91
1221,14.06,-14.00,15.25
1225,12.87,-14.45,15.03
1229,11.59,-14.70,15.36
