timestamp,accX,accY,accZ
0,19.54,-3.14,11.70
91,19.54,-3.01,10.82
95,19.54,-3.16,9.62
100,19.54,-3.41,8.65
105,19.54,-3.52,7.64
110,19.53,-3.69,7.15
114,19.50,-4.12,6.14
118,19.03,0.09,6.77
123,16.57,4.79,5.47
128,17.10,2.66,1.58
133,18.08,-6.93,-0.74
137,19.18,-8.36,-0.68
142,18.57,-6.81,-0.66
147,16.69,-12.20,-1.25
152,14.60,-16.84,-0.80
155,12.27,-16.31,1.04
160,10.35,-12.28,4.25
165,9.78,-2.16,7.16
170,10.51,-5.08,7.63
174,11.69,-1.07,5.88
179,11.38,-1.36,5.05
184,11.04,-2.67,2.44
189,11.41,-4.54,-0.32
193,11.07,-5.66,-2.13
197,10.80,-3.36,-3.91
202,10.13,-4.34,-5.65
207,8.59,-5.97,-7.41
211,6.73,-5.60,-8.04
216,4.61,-4.27,-8.20
221,4.01,-3.32,-7.97
226,3.29,-1.55,-7.39
230,2.81,-1.58,-6.72
235,1.29,-2.55,-5.62
239,-0.21,-1.70,-4.63
243,-0.92,0.15,-1.17
248,-1.31,1.85,1.54
253,-1.65,2.57,3.95
258,-2.24,3.99,5.59
262,-2.29,4.82,7.05
267,-2.39,5.25,7.32
272,-2.23,5.00,7.63
277,-2.11,4.41,7.73
280,-1.71,3.38,7.08
285,-1.20,2.40,6.67
290,-0.81,1.51,6.45
295,-0.52,1.10,6.30
299,-0.13,0.71,5.68
304,0.53,-0.01,5.02
309,0.83,-0.65,3.68
314,0.88,-1.23,1.83
318,0.68,-1.46,0.44
322,0.49,-2.02,-0.93
327,0.42,-2.33,-2.11
332,0.17,-2.72,-3.58
336,-0.18,-3.44,-4.05
341,-0.22,-3.47,-5.37
346,-0.41,-3.48,-6.70
350,-0.51,-3.33,-7.79
355,-0.78,-3.11,-8.60
360,-1.23,-3.38,-9.23
364,-1.56,-3.40,-10.10
368,-1.75,-3.07,-10.29
373,-2.07,-2.66,-10.34
378,-2.29,-2.55,-10.99
382,-2.69,-2.35,-11.20
387,-2.77,-1.76,-11.41
392,-2.81,-1.40,-11.99
397,-2.62,-0.81,-12.01
401,-2.42,-0.65,-12.24
405,-2.59,-0.69,-12.45
410,-2.90,-1.17,-12.42
415,-3.35,-1.59,-12.24
419,-3.54,-2.04,-12.32
424,-3.50,-2.56,-11.71
429,-3.28,-2.98,-11.00
434,-2.86,-3.39,-10.67
438,-2.95,-3.95,-10.29
443,-2.68,-3.95,-9.55
447,-2.35,-4.17,-9.03
452,-2.24,-4.13,-8.44
456,-1.99,-4.25,-7.93
461,-1.93,-4.08,-7.85
466,-1.88,-4.06,-7.42
470,-1.63,-4.05,-7.02
475,-1.21,-4.04,-6.83
480,-0.87,-4.07,-6.53
485,-0.50,-4.06,-6.52
488,-0.39,-3.97,-6.14
493,-0.16,-4.22,-5.96
498,0.17,-4.43,-5.34
503,0.59,-4.50,-4.80
507,0.84,-4.64,-3.77
512,1.07,-4.89,-2.67
517,1.42,-5.24,-1.55
521,1.94,-5.53,-0.37
526,2.21,-6.04,-0.06
530,2.51,-6.84,1.12
535,3.05,-7.40,2.26
539,3.66,-8.21,3.51
544,4.12,-9.22,5.14
549,4.22,-10.32,6.74
554,4.77,-11.27,7.88
558,5.33,-11.79,8.75
563,6.45,-12.17,10.49
568,7.81,-12.31,12.01
572,8.76,-12.53,12.84
576,9.14,-12.60,13.46
581,10.02,-12.16,13.72
586,10.65,-11.27,14.43
591,12.37,-10.02,14.68
