timestamp,accX,accY,accZ
0,17.88,-4.36,19.54
91,17.98,-3.81,19.54
95,18.47,-3.30,19.49
100,18.70,-2.62,19.46
105,19.05,-2.06,18.99
110,19.07,-1.89,18.74
114,19.13,-1.78,17.80
118,19.20,-1.93,16.88
123,19.29,-1.91,15.57
128,19.39,-2.15,14.33
133,19.45,-2.31,13.68
137,19.42,-2.54,13.09
142,19.44,-2.64,12.81
147,19.18,-2.75,12.23
152,19.30,-2.84,11.89
156,19.46,-3.09,10.86
160,19.28,-3.33,9.98
165,19.35,-3.63,9.00
170,19.44,-2.67,9.15
174,18.10,3.80,9.71
179,18.01,10.45,9.40
184,17.58,-3.12,1.61
189,19.01,-10.39,-0.80
193,18.66,-16.88,-4.95
198,15.67,-17.22,-6.54
202,14.10,-13.61,-5.19
207,11.50,-8.82,-2.20
211,10.36,-4.19,-0.23
216,10.14,1.98,2.54
221,10.31,-2.09,2.59
226,10.77,-3.02,1.13
231,8.53,-6.07,0.19
235,8.10,-7.43,-1.27
240,7.38,-8.94,-2.51
244,6.97,-6.65,-2.54
249,5.98,-6.46,-2.67
253,4.69,-7.32,-2.21
258,3.35,-7.70,-1.20
263,2.16,-6.26,0.57
267,1.80,-4.41,1.64
272,1.81,-2.62,2.54
277,1.90,2.51,2.91
281,2.40,4.94,2.74
285,2.36,5.21,1.30
290,1.78,3.55,-0.43
295,1.54,0.66,-1.48
299,0.63,0.47,-0.58
304,-1.07,1.77,-0.05
309,-1.82,3.07,1.47
313,-1.68,3.91,2.35
318,-1.08,4.11,2.28
323,-1.13,3.71,2.37
327,-1.48,3.08,2.10
331,-1.96,2.16,1.75
336,-2.39,1.51,1.59
341,-2.87,0.99,0.72
345,-3.19,1.12,-0.49
350,-3.41,1.58,-1.51
355,-3.47,2.24,-1.78
360,-3.45,2.88,-2.26
364,-3.75,3.30,-2.51
368,-4.32,3.44,-3.73
373,-4.88,3.47,-4.41
378,-5.45,3.22,-5.46
382,-5.94,3.07,-5.29
387,-6.35,2.65,-5.50
392,-6.55,2.62,-5.43
396,-6.80,2.86,-5.24
401,-6.96,3.00,-4.85
406,-6.96,3.03,-4.62
410,-6.86,3.00,-4.30
414,-6.83,2.96,-4.05
419,-6.74,2.80,-3.89
424,-6.63,2.84,-3.56
429,-6.52,2.91,-3.64
433,-6.60,2.74,-3.15
438,-6.45,2.63,-3.10
443,-6.48,2.57,-2.84
448,-6.40,2.35,-2.74
451,-6.27,2.05,-2.85
456,-6.44,1.71,-2.62
461,-6.66,1.25,-2.41
466,-6.84,1.00,-1.88
470,-7.04,0.82,-2.01
475,-7.03,0.76,-2.18
480,-6.60,0.76,-2.41
484,-6.72,0.93,-2.12
489,-6.36,1.10,-2.76
493,-6.35,1.27,-2.75
498,-6.25,1.62,-3.37
502,-6.19,1.71,-3.73
507,-6.26,1.83,-4.40
512,-6.09,1.75,-4.83
516,-5.57,1.55,-5.97
521,-5.29,1.35,-6.44
526,-5.20,0.93,-6.45
531,-4.86,0.64,-6.78
535,-4.49,0.05,-7.19
539,-4.22,-0.52,-7.28
544,-4.01,-1.25,-8.02
548,-3.66,-2.02,-8.39
553,-3.27,-2.80,-8.30
558,-2.65,-3.53,-8.32
563,-2.38,-3.98,-8.45
567,-2.11,-4.70,-8.60
572,-1.88,-5.23,-8.72
576,-1.69,-5.58,-8.74
580,-1.22,-5.96,-8.44
585,-0.78,-6.38,-7.87
590,-0.05,-6.44,-7.58
595,0.69,-6.69,-7.46
599,1.21,-6.89,-7.17
604,1.43,-7.17,-6.66
609,1.95,-7.64,-6.49
613,2.66,-8.53,-5.72
618,3.15,-9.52,-5.02
622,3.90,-9.93,-4.66
627,4.38,-10.91,-3.82
631,5.35,-11.88,-2.94
636,5.60,-12.66,-2.36
641,6.61,-13.57,-0.95
646,7.62,-14.37,-0.41
651,8.33,-15.33,0.98
655,9.46,-15.63,2.27
660,10.00,-16.73,4.30
664,10.73,-17.65,6.28
669,11.24,-18.55,9.35
673,12.32,-19.24,12.07
678,13.22,-19.38,13.18
683,14.18,-19.49,15.87
688,14.87,-19.50,18.14
692,15.64,-19.52,19.18
697,16.30,-19.46,19.46
701,16.68,-18.96,19.52
706,17.18,-17.65,19.54
711,18.00,-17.28,19.54
715,18.15,-16.57,19.54
720,18.19,-15.63,19.54
725,18.59,-15.06,19.54
730,18.79,-13.73,19.54
734,18.82,-12.22,19.54
739,18.75,-10.58,19.54
743,17.87,-7.57,19.54
748,16.52,-4.71,19.54
753,15.69,-1.08,19.54
757,13.82,2.21,19.54
762,11.67,3.63,19.54
767,9.25,4.97,19.54
772,6.73,4.51,19.54
776,5.84,3.66,19.54
781,4.51,2.63,19.54
785,3.72,1.80,19.54
790,3.58,1.13,19.54
794,3.43,0.89,19.54
799,3.50,0.46,19.54
804,3.53,0.13,19.52
809,3.63,-0.21,19.45
813,3.77,-0.97,18.29
818,3.99,-1.54,17.76
823,3.98,-2.18,16.57
827,3.90,-2.02,15.24
831,3.73,-2.22,14.11
836,3.51,-2.87,12.47
841,3.42,-4.51,10.82
846,3.14,-6.03,10.23
850,3.33,-6.61,9.75
855,3.28,-6.68,9.05
860,3.30,-6.49,8.40
865,3.54,-6.34,8.09
868,3.73,-5.85,7.97
873,3.57,-4.30,8.36
878,3.72,-2.59,8.16
883,3.73,-2.59,7.63
887,3.56,-3.98,7.07
892,3.21,-4.58,7.01
897,2.78,-5.31,7.27
901,2.61,-5.18,8.05
906,2.45,-4.72,9.37
910,2.39,-4.13,10.52
915,2.33,-3.67,10.57
919,2.00,-3.64,10.79
924,1.99,-3.45,11.49
929,1.81,-3.42,11.82
934,1.72,-3.09,11.91
938,1.56,-2.63,11.59
943,1.62,-2.15,11.57
948,1.76,-1.78,11.57
952,1.84,-1.51,11.16
956,1.99,-1.40,10.84
961,2.16,-1.51,10.55
966,2.33,-1.63,9.74
970,2.51,-1.81,8.89
975,2.54,-1.87,8.52
980,2.65,-1.54,8.08
985,2.51,-1.41,7.77
989,2.64,-1.40,7.28
993,2.91,-1.24,7.38
998,3.06,-0.99,7.69
1003,3.14,-0.50,7.72
1007,3.11,-0.15,7.88
1012,2.99,-0.05,7.87
1017,3.18,0.14,8.33
1021,3.40,0.47,8.51
1026,3.27,0.70,8.91
1031,3.26,0.93,9.36
1035,3.39,1.06,9.61
1039,3.50,1.20,10.00
1044,3.69,1.75,10.32
1049,3.83,1.91,10.89
1054,4.10,2.21,11.53
1058,4.40,2.88,11.87
1063,4.39,3.71,12.17
1068,4.90,4.75,12.43
1072,5.12,6.00,12.79
1076,5.47,6.74,13.32
1081,5.71,8.55,13.61
1086,6.06,10.39,14.31
1090,6.47,12.28,14.20
1095,7.04,14.09,14.75
1100,7.52,15.77,15.10
1105,7.82,16.79,15.79
1109,8.11,17.57,16.96
1114,9.43,18.16,18.12
1118,11.04,18.71,19.01
1123,11.99,19.07,19.41
1127,13.37,19.38,19.51
1132,14.68,19.02,19.53
1137,16.43,18.32,19.54
1142,18.14,17.86,19.54
1146,19.15,17.70,19.54
1151,19.45,16.85,19.54
1156,19.52,15.93,19.54
1160,19.53,14.79,19.54
1165,19.54,12.95,19.54
1170,19.54,10.71,19.54
1174,19.54,7.63,19.54
1179,19.54,4.21,19.54
1184,19.54,0.69,19.54
1189,19.54,-0.75,19.54
1194,19.54,-3.20,19.54
1198,19.54,-5.55,19.47
1202,19.54,-8.03,18.98
1207,19.54,-9.99,18.65
1212,19.54,-12.17,17.06
1216,19.54,-16.65,13.24
1221,19.54,-18.10,10.52
1226,19.54,-18.78,10.57
1231,19.54,-18.39,11.17
1236,19.54,-18.73,10.86
1240,19.44,-19.31,10.53
1244,18.10,-19.48,10.28
1249,16.93,-19.52,9.75
1254,15.58,-19.53,9.44
1258,14.79,-19.53,9.87
1263,13.61,-19.53,9.92
1268,12.15,-19.53,10.07
1273,11.40,-19.16,10.19
1278,10.16,-18.27,10.13
1282,9.09,-17.38,9.97
1286,8.37,-16.30,10.39
1291,7.75,-15.43,10.52
1296,7.12,-15.00,10.20
1301,6.31,-14.04,9.67
1305,5.46,-13.38,9.60
1310,5.32,-12.84,9.28
1315,4.48,-12.52,9.09
1320,3.91,-12.26,8.76
1324,2.92,-10.97,8.64
1328,2.51,-12.29,7.93
1333,2.16,-11.53,7.24
1338,1.97,-11.84,6.44
1342,1.68,-12.21,5.88
1347,1.51,-12.69,5.98
1352,0.80,-12.80,5.70
1357,0.31,-12.91,5.44
1361,0.20,-12.98,5.58
1366,-0.07,-12.82,5.42
1370,-0.25,-12.53,5.24
1374,-0.55,-12.00,5.57
1379,-0.75,-11.31,5.32
1384,-1.01,-10.54,5.35
1389,-0.92,-9.78,5.33
1393,-1.23,-9.41,5.19
1398,-1.51,-8.65,4.99
1403,-1.47,-8.12,4.66
1408,-1.65,-7.93,4.41
1411,-1.95,-7.66,4.30
1416,-2.17,-7.46,4.19
1421,-2.31,-7.30,4.78
1425,-2.69,-6.60,5.69
1430,-2.93,-6.20,5.18
1435,-3.54,-6.21,4.66
1440,-3.50,-5.87,4.83
1444,-3.55,-5.46,4.71
1449,-3.85,-5.29,5.16
1453,-3.99,-5.06,5.81
1458,-3.92,-4.56,6.18
1462,-4.06,-4.11,6.48
1467,-3.92,-3.69,6.84
1472,-4.02,-3.47,6.82
1477,-4.05,-3.55,7.08
1481,-3.98,-3.90,6.84
1486,-4.21,-3.76,6.94
1491,-4.09,-4.23,6.91
1495,-4.14,-4.96,6.82
1499,-4.10,-5.30,7.01
1504,-4.40,-5.05,7.36
1509,-4.45,-3.97,7.53
1513,-4.39,-3.20,7.69
1518,-4.21,-2.93,7.98
1523,-4.33,-3.07,8.17
1527,-4.44,-3.00,8.58
1532,-4.38,-2.96,8.54
1536,-4.44,-2.69,8.85
1541,-4.40,-2.45,9.00
1545,-4.33,-2.11,9.45
1550,-4.21,-1.77,9.39
1555,-4.22,-1.39,9.65
1560,-4.21,-1.13,9.64
1564,-4.28,-0.79,9.66
1569,-4.35,-0.49,9.88
1574,-4.42,-0.36,9.77
1577,-4.21,-0.29,9.65
1582,-4.17,-0.07,9.60
1587,-4.26,-0.13,10.01
1592,-4.36,-0.32,9.57
1596,-4.57,-0.50,9.54
1601,-4.45,-0.58,9.64
1606,-4.42,-0.68,9.86
1611,-4.31,-0.83,9.88
1615,-4.40,-1.01,9.38
1619,-4.44,-1.23,9.08
1624,-4.16,-1.28,8.97
1629,-4.06,-1.26,9.01
