timestamp,accX,accY,accZ
0,-4.13,-5.60,13.84
91,19.50,-5.72,13.29
95,19.53,-5.95,12.81
100,19.54,-6.07,12.12
105,19.42,-6.15,11.59
110,19.20,-6.12,10.86
114,19.23,-5.92,10.50
118,19.10,-5.36,10.31
123,19.44,-5.08,9.22
128,19.52,-4.83,7.71
132,19.51,-4.84,6.38
137,19.41,-4.77,5.02
142,19.08,-3.88,4.75
147,18.65,-1.16,4.20
151,17.65,0.55,3.70
156,18.09,0.45,2.61
160,18.15,-2.93,-0.24
165,17.07,-5.64,-1.93
169,16.08,-7.00,-1.56
174,14.23,-0.89,3.53
179,12.75,13.75,6.11
184,13.59,18.10,5.81
188,17.36,18.82,-4.89
193,14.05,7.17,-10.70
198,11.24,-8.18,-14.52
202,9.52,-16.70,-14.70
207,7.51,-17.09,-12.55
211,4.93,-12.74,-10.90
216,3.07,-9.50,-7.42
221,1.71,-7.77,-3.82
226,0.77,-6.82,-0.50
230,1.02,-6.94,1.93
235,1.37,-8.58,2.96
239,2.07,-9.02,3.22
243,2.65,-7.40,3.53
248,3.54,-4.17,3.51
253,4.06,-1.52,3.76
258,4.33,3.60,2.65
262,3.94,4.52,0.22
267,3.66,2.30,-2.03
272,2.73,-0.69,-3.96
277,1.39,-0.43,-5.18
281,1.32,0.45,-5.08
285,0.32,1.19,-4.55
290,-0.51,1.87,-3.67
295,-1.06,2.44,-3.24
299,-1.76,2.41,-2.74
304,-2.63,2.23,-2.22
309,-3.35,2.68,-1.35
313,-4.05,2.84,-0.88
318,-4.21,3.04,-0.39
323,-4.29,2.88,-0.15
326,-3.97,2.13,-0.13
331,-4.21,1.20,-0.05
336,-4.01,0.06,-0.21
341,-4.41,-1.07,-0.57
345,-4.81,-1.38,-0.92
350,-4.96,-2.02,-1.52
355,-4.94,-2.43,-2.16
360,-4.96,-2.60,-2.84
364,-4.85,-3.02,-3.70
368,-4.93,-3.14,-4.08
373,-5.08,-3.50,-4.81
377,-5.25,-3.53,-5.09
382,-5.25,-3.59,-5.93
387,-5.18,-3.22,-6.89
392,-5.20,-2.85,-7.83
396,-5.33,-2.71,-8.29
401,-5.66,-2.69,-9.36
406,-5.85,-2.68,-10.40
410,-6.03,-2.58,-10.65
414,-6.30,-2.30,-10.92
419,-6.55,-2.07,-10.99
424,-6.71,-1.77,-10.91
429,-6.82,-1.29,-11.04
433,-6.71,-0.69,-10.06
438,-6.36,-0.08,-9.31
443,-6.20,-0.02,-9.07
448,-6.09,0.63,-8.49
451,-6.14,1.16,-7.32
456,-5.98,1.52,-6.31
461,-5.71,1.93,-6.42
466,-5.59,2.43,-5.50
470,-5.48,2.60,-5.12
475,-5.43,2.62,-4.13
480,-5.05,2.47,-3.40
485,-4.95,2.21,-2.80
489,-4.84,1.70,-2.53
493,-4.46,1.28,-2.31
498,-4.14,0.72,-1.93
502,-4.18,0.31,-1.74
507,-3.76,-0.39,-1.46
512,-3.43,-1.20,-1.43
517,-3.23,-1.72,-1.02
521,-2.88,-2.21,-1.08
526,-2.66,-2.78,-0.85
531,-2.49,-3.07,-0.91
534,-2.20,-3.04,-0.58
539,-2.11,-2.92,-0.88
544,-1.97,-2.69,-0.57
548,-1.96,-2.44,-0.32
553,-1.80,-2.24,0.00
558,-1.33,-2.23,0.61
563,-0.86,-2.14,0.85
567,-0.38,-2.32,1.09
572,-0.11,-2.60,1.26
576,0.16,-3.29,1.23
580,0.78,-3.99,1.00
585,1.18,-4.74,1.22
590,1.53,-5.16,1.58
595,2.32,-6.11,1.35
599,3.26,-7.03,1.94
604,3.82,-7.92,2.45
609,4.77,-9.15,3.05
613,5.59,-10.65,3.29
