timestamp,accX,accY,accZ
0,-7.98,-1.21,4.68
91,-7.85,-1.17,4.50
95,-7.97,-1.17,4.63
100,-7.89,-1.14,4.48
105,-7.78,-1.31,4.78
109,-7.73,-1.18,4.64
114,-7.77,-1.11,4.72
119,-7.88,-1.15,4.60
124,-7.95,-1.25,4.81
127,-7.71,-1.11,4.44
132,-7.84,-1.13,4.71
137,-7.77,-1.25,4.46
142,-7.74,-1.27,4.27
146,-7.95,-1.20,4.60
151,-7.87,-1.06,4.63
156,-7.93,-1.20,4.67
160,-7.84,-1.16,4.69
165,-7.84,-1.14,4.37
169,-7.89,-0.87,4.17
174,-7.96,-0.92,4.60
178,-8.09,-0.87,4.33
183,-7.98,-0.92,4.61
188,-7.88,-1.01,4.58
193,-7.98,-1.02,4.65
197,-8.03,-1.01,4.69
202,-8.13,-0.93,4.75
207,-8.01,-0.91,4.69
210,-8.06,-0.94,4.71
215,-7.87,-0.89,4.54
220,-8.05,-0.73,4.86
225,-8.14,-0.91,4.65
229,-8.08,-0.91,4.41
234,-7.93,-0.81,4.24
239,-7.95,-1.11,4.67
244,-7.89,-1.11,4.56
248,-7.85,-1.02,4.61
252,-7.97,-1.05,4.67
257,-8.02,-1.09,4.38
261,-7.94,-1.02,4.38
266,-8.03,-1.16,4.66
271,-8.08,-1.25,4.49
276,-8.08,-1.12,4.53
280,-7.84,-1.20,4.75
285,-7.87,-1.11,4.73
290,-7.94,-1.13,4.65
294,-7.94,-1.22,4.74
298,-7.73,-1.11,4.33
303,-8.02,-1.06,4.58
308,-8.02,-1.02,4.87
312,-7.89,-1.22,4.75
317,-7.83,-1.22,4.54
322,-7.77,-1.11,4.46
327,-7.84,-1.06,4.43
331,-8.05,-1.11,4.43
335,-8.03,-1.06,4.48
340,-7.89,-1.09,4.57
345,-7.86,-0.96,4.32
349,-8.05,-0.96,4.60
354,-8.04,-1.18,4.53
359,-8.06,-1.18,4.52
364,-7.92,-1.21,4.44
368,-7.63,-1.08,4.47
373,-7.63,-1.19,4.29
377,-7.90,-1.02,4.31
382,-7.92,-1.14,4.55
386,-7.91,-1.31,4.59
391,-7.92,-1.25,4.66
396,-7.87,-1.15,4.54
400,-7.89,-1.19,4.76
405,-7.87,-1.08,4.83
410,-7.96,-0.99,4.66
415,-8.06,-1.00,4.40
418,-8.00,-0.84,4.50
423,-8.07,-0.89,4.81
428,-8.14,-0.92,4.65
433,-7.98,-0.87,4.77
437,-7.98,-0.81,4.78
442,-7.75,-0.83,4.50
447,-7.98,-0.80,4.40
452,-8.08,-0.80,4.63
456,-8.10,-0.77,4.86
460,-8.03,-0.91,4.99
465,-8.08,-1.01,4.95
470,-8.07,-1.07,5.01
474,-8.04,-1.09,5.05
479,-7.96,-1.18,4.70
484,-8.09,-1.10,4.92
488,-8.08,-1.14,5.12
493,-7.84,-1.09,5.05
498,-7.85,-1.18,4.67
502,-7.82,-1.13,4.50
506,-7.93,-1.13,4.41
511,-8.10,-1.19,4.73
516,-8.01,-1.25,4.76
520,-8.05,-1.41,4.54
525,-7.78,-1.40,4.42
530,-7.90,-1.25,4.52
535,-7.96,-1.26,4.42
539,-7.96,-1.15,4.38
543,-7.95,-1.03,4.84
548,-7.89,-1.07,4.89
553,-7.77,-1.06,4.61
557,-7.91,-1.07,4.58
562,-8.00,-1.00,4.76
567,-7.85,-1.07,4.72
571,-7.85,-1.06,4.37
576,-7.98,-0.97,4.42
581,-8.01,-0.90,4.28
585,-7.85,-0.84,4.24
589,-8.06,-1.04,4.39
594,-8.07,-1.07,4.70
599,-7.96,-1.07,4.21
604,-7.86,-1.03,4.15
608,-7.92,-0.97,4.32
613,-8.12,-0.97,4.51
618,-8.06,-1.14,4.67
622,-7.87,-0.98,4.39
626,-8.09,-1.05,4.73
631,-8.03,-1.03,4.91
636,-7.92,-1.04,4.82
640,-7.87,-1.10,4.55
645,-7.94,-0.99,4.71
650,-8.05,-0.94,4.92
654,-8.05,-1.15,4.69
659,-7.95,-1.08,4.56
664,-8.05,-1.04,4.36
668,-8.10,-1.11,4.60
672,-8.00,-1.11,4.48
677,-8.07,-1.13,4.86
682,-7.95,-1.22,4.59
687,-7.92,-1.05,4.56
691,-7.98,-1.11,4.54
696,-8.02,-1.17,5.06
701,-7.89,-1.23,4.86
705,-7.87,-1.18,4.69
