timestamp,accX,accY,accZ
0,-7.94,-2.07,9.54
91,-0.08,-2.13,9.37
95,0.06,-2.18,9.63
100,0.06,-2.04,9.52
105,0.01,-2.09,9.46
110,-0.11,-1.97,9.42
114,0.04,-2.06,9.30
118,0.00,-2.20,9.45
123,-0.17,-2.24,9.45
127,-0.11,-2.31,9.31
132,-0.10,-2.22,9.22
137,-0.15,-2.25,9.41
142,0.07,-2.27,9.52
146,0.04,-2.03,9.67
151,-0.10,-2.13,9.35
156,-0.19,-2.06,9.67
159,-0.03,-2.03,9.46
164,0.02,-1.88,9.28
169,-0.12,-2.12,9.50
174,-0.01,-2.12,9.09
178,-0.05,-2.03,9.22
183,-0.04,-2.05,9.35
188,-0.05,-2.12,9.36
192,-0.14,-2.16,9.39
197,-0.07,-2.33,9.67
201,-0.02,-2.11,9.30
206,-0.04,-2.05,9.40
210,-0.13,-2.13,9.30
215,-0.10,-2.14,9.50
220,-0.05,-1.99,9.48
225,-0.13,-2.12,9.65
229,-0.02,-2.08,9.48
234,-0.04,-2.23,9.40
239,-0.01,-2.12,9.44
242,-0.10,-1.92,9.34
247,-0.03,-1.92,9.28
252,0.02,-1.98,9.16
257,-0.26,-1.93,9.16
261,-0.32,-2.01,9.10
266,-0.36,-2.14,9.40
271,-0.26,-2.08,9.33
275,-0.21,-2.15,9.19
280,-0.15,-2.06,8.86
284,-0.21,-2.15,9.28
289,-0.35,-2.07,9.03
293,-0.29,-2.08,8.98
298,-0.17,-1.88,9.19
303,-0.20,-1.98,8.99
308,-0.42,-1.98,9.21
312,-0.40,-1.98,9.47
317,-0.11,-1.93,8.97
322,-0.18,-1.93,9.23
325,-0.03,-1.91,9.30
330,-0.29,-1.85,9.11
335,-0.29,-1.90,9.29
340,-0.26,-1.89,9.35
344,-0.03,-1.87,9.33
349,-0.20,-1.87,9.57
354,-0.04,-1.85,9.57
359,0.02,-1.86,9.24
363,0.07,-1.93,9.50
367,-0.17,-2.10,9.60
372,0.00,-2.06,9.49
376,0.13,-2.33,9.19
381,0.10,-2.24,9.49
386,0.07,-2.23,9.81
391,0.07,-2.32,9.75
395,0.11,-2.32,9.76
400,0.24,-2.29,9.84
405,0.19,-2.38,9.33
408,0.11,-2.32,9.38
413,-0.01,-2.34,9.33
418,-0.06,-2.32,9.22
423,-0.18,-2.32,9.67
427,-0.16,-2.12,9.72
432,-0.15,-2.01,9.64
437,-0.11,-1.96,9.67
441,-0.12,-2.04,9.75
446,-0.06,-2.01,9.39
450,-0.01,-2.13,9.54
455,0.04,-2.07,9.57
459,-0.05,-2.07,9.66
464,-0.16,-2.13,9.85
469,-0.20,-2.20,9.64
