timestamp,accX,accY,accZ
0,-0.29,-2.15,9.07
91,-0.50,-2.13,9.45
94,-0.25,-2.24,9.26
99,-0.27,-2.22,9.18
104,-0.27,-2.23,9.30
109,-0.35,-2.25,9.17
113,-0.25,-2.19,9.12
118,-0.34,-2.16,9.46
123,-0.34,-2.12,8.99
127,-0.22,-2.06,9.01
132,-0.30,-1.98,9.16
136,-0.35,-1.95,9.49
141,-0.47,-1.96,9.31
145,-0.50,-2.10,9.28
150,-0.41,-2.15,9.20
155,-0.45,-2.09,9.28
160,-0.24,-2.14,9.11
164,-0.34,-2.25,9.39
169,-0.25,-2.23,9.15
174,-0.37,-2.28,9.42
178,-0.21,-2.37,9.51
182,-0.32,-2.27,9.40
187,-0.28,-2.17,9.14
192,-0.48,-2.24,9.27
197,-0.49,-2.38,9.13
201,-0.36,-2.33,9.08
206,-0.40,-2.37,9.34
211,-0.41,-2.33,9.21
216,-0.51,-2.21,9.08
219,-0.45,-2.11,9.21
224,-0.54,-2.18,9.19
229,-0.51,-2.13,9.19
233,-0.53,-2.20,9.34
238,-0.42,-2.13,9.60
243,-0.48,-2.28,9.86
248,-0.38,-2.19,9.64
252,-0.31,-2.21,9.59
257,-0.20,-2.11,9.50
261,-0.19,-2.11,9.28
265,-0.18,-2.21,9.23
270,-0.39,-2.17,9.07
275,-0.51,-2.14,9.23
280,-0.39,-2.12,9.26
284,-0.33,-1.95,9.27
289,-0.40,-2.03,9.51
294,-0.43,-2.08,9.31
299,-0.27,-2.16,9.10
302,-0.30,-1.98,9.41
307,-0.39,-2.04,9.55
312,-0.42,-2.04,9.62
316,-0.25,-2.10,9.33
321,-0.25,-2.14,9.13
326,-0.39,-2.01,9.25
331,-0.43,-2.06,9.15
335,-0.43,-1.96,9.46
340,-0.38,-1.87,9.46
344,-0.37,-2.03,9.45
349,-0.31,-1.92,9.21
353,-0.22,-1.93,9.15
358,-0.28,-1.97,9.44
363,-0.50,-1.83,9.33
367,-0.60,-1.90,9.37
372,-0.44,-1.93,9.35
377,-0.55,-2.06,9.32
382,-0.57,-2.06,9.30
385,-0.41,-2.06,9.66
390,-0.34,-2.14,9.46
395,-0.51,-2.09,9.57
400,-0.42,-2.03,9.48
404,-0.47,-2.15,9.13
409,-0.57,-2.13,9.45
414,-0.58,-2.20,9.46
419,-0.60,-2.18,9.69
423,-0.39,-2.09,9.50
427,-0.30,-2.11,9.20
432,-0.44,-2.07,9.40
437,-0.48,-2.23,9.56
441,-0.36,-2.09,9.68
446,-0.50,-2.03,9.35
451,-0.51,-1.94,9.59
456,-0.46,-2.00,9.47
460,-0.42,-2.14,9.51
465,-0.38,-2.07,9.86
469,-0.34,-2.16,9.64
474,-0.35,-2.07,9.63
478,-0.45,-1.96,9.44
483,-0.40,-2.10,9.29
488,-0.54,-2.16,9.13
492,-0.45,-2.26,9.37
497,-0.38,-2.29,9.28
502,-0.30,-2.23,9.19
507,-0.49,-2.18,9.08
510,-0.57,-2.31,9.07
515,-0.42,-2.29,9.24
520,-0.24,-1.92,9.24
525,-0.54,-1.99,9.23
529,-0.53,-1.88,9.28
534,-0.46,-1.93,9.26
539,-0.54,-1.94,9.20
543,-0.41,-2.03,9.27
548,-0.25,-2.15,9.35
552,-0.35,-2.13,9.41
557,-0.40,-2.20,9.56
561,-0.27,-2.13,9.45
566,-0.34,-2.22,9.50
571,-0.23,-2.12,9.63
576,-0.16,-2.16,9.27
580,-0.30,-2.04,9.06
585,-0.37,-1.97,9.24
590,-0.31,-2.07,9.18
593,-0.19,-2.10,9.20
598,-0.39,-2.10,9.20
603,-0.37,-2.07,9.26
607,-0.34,-2.03,9.22
612,-0.47,-2.19,9.15
617,-0.41,-2.04,9.48
622,-0.26,-1.91,9.52
626,-0.43,-1.81,9.51
631,-0.49,-1.83,9.67
635,-0.53,-1.97,9.86
640,-0.38,-1.92,9.84
644,-0.18,-2.00,9.70
649,-0.07,-1.99,9.75
654,-0.16,-2.08,9.51
658,-0.34,-2.16,9.31
663,-0.23,-2.19,9.46
668,-0.42,-2.24,9.36
673,-0.43,-2.16,9.26
676,-0.49,-2.14,9.39
681,-0.47,-2.25,9.55
686,-0.26,-2.23,9.41
691,-0.24,-2.17,9.35
695,-0.34,-2.26,9.34
