timestamp,accX,accY,accZ
0,-0.50,-1.99,9.50
91,-0.52,-2.00,9.67
95,-0.64,-1.99,9.46
100,-0.52,-2.10,9.01
105,-0.46,-1.96,9.22
109,-0.49,-2.00,9.38
113,-0.67,-2.13,9.27
118,-0.73,-2.42,9.43
123,-0.51,-2.40,9.16
128,-0.33,-2.33,9.39
132,-0.46,-2.35,9.20
137,-0.24,-2.33,9.32
142,-0.45,-2.26,9.22
146,-0.52,-2.23,9.33
151,-0.36,-2.01,8.91
155,-0.58,-2.06,9.22
160,-0.57,-2.21,9.40
164,-0.53,-2.24,9.45
169,-0.59,-2.20,9.14
174,-0.40,-2.16,9.23
178,-0.38,-2.22,9.46
183,-0.52,-2.25,9.23
188,-0.56,-2.31,9.17
193,-0.50,-2.23,9.17
196,-0.56,-2.24,9.09
201,-0.53,-2.22,9.36
206,-0.54,-2.17,9.56
211,-0.51,-2.21,9.22
215,-0.55,-2.14,9.11
220,-0.56,-2.15,9.21
225,-0.64,-1.99,9.27
230,-0.60,-2.13,9.33
234,-0.42,-2.16,9.22
238,-0.53,-2.11,9.51
243,-0.46,-2.22,9.54
248,-0.53,-2.22,9.68
252,-0.34,-2.22,9.74
257,-0.34,-2.22,9.48
262,-0.49,-2.34,9.74
266,-0.27,-2.31,9.71
271,-0.37,-2.24,9.33
276,-0.33,-2.23,9.57
280,-0.38,-2.34,9.52
284,-0.38,-2.21,9.36
289,-0.41,-2.31,9.59
294,-0.43,-2.25,9.33
299,-0.49,-2.23,9.45
303,-0.32,-2.39,9.20
308,-0.35,-2.45,9.25
313,-0.48,-2.38,9.33
317,-0.53,-2.44,9.22
321,-0.47,-2.48,9.02
326,-0.56,-2.39,9.18
331,-0.57,-2.42,9.47
335,-0.52,-2.32,9.09
340,-0.40,-2.16,9.22
345,-0.55,-2.20,9.48
350,-0.51,-2.16,9.31
354,-0.54,-2.21,9.18
359,-0.55,-2.29,9.15
363,-0.47,-2.21,9.16
367,-0.56,-2.31,9.13
372,-0.49,-2.22,9.26
377,-0.67,-2.10,9.36
382,-0.60,-2.18,9.56
386,-0.51,-2.11,9.47
391,-0.58,-2.20,9.52
396,-0.52,-2.34,9.67
400,-0.53,-2.27,9.43
404,-0.45,-2.23,9.56
409,-0.34,-2.35,9.21
414,-0.49,-2.34,9.12
418,-0.64,-2.17,9.11
423,-0.68,-2.14,9.28
428,-0.46,-2.13,9.27
433,-0.65,-2.26,9.39
437,-0.56,-2.27,9.32
442,-0.52,-2.27,8.98
446,-0.62,-2.23,9.20
450,-0.58,-2.25,9.16
455,-0.73,-2.18,9.20
460,-0.46,-2.27,9.02
465,-0.38,-2.30,9.12
469,-0.68,-2.33,9.42
474,-0.72,-2.35,9.29
479,-0.63,-2.33,9.14
484,-0.70,-2.32,9.23
487,-0.58,-2.32,9.13
492,-0.52,-2.21,9.22
497,-0.50,-2.27,9.42
501,-0.40,-2.34,9.49
506,-0.40,-2.39,9.31
511,-0.37,-2.41,9.33
516,-0.26,-2.25,9.52
520,-0.49,-2.39,9.74
525,-0.34,-2.36,9.47
529,-0.28,-2.35,9.36
534,-0.28,-2.37,9.18
538,-0.48,-2.38,9.35
543,-0.44,-2.29,9.63
548,-0.34,-2.33,9.46
552,-0.50,-2.34,9.29
557,-0.57,-2.40,9.23
562,-0.57,-2.21,9.33
567,-0.50,-2.17,9.30
570,-0.44,-2.25,9.40
575,-0.51,-2.17,9.53
580,-0.46,-2.23,9.65
584,-0.36,-2.25,9.54
589,-0.44,-2.18,9.27
594,-0.49,-2.31,9.45
599,-0.56,-2.39,9.42
603,-0.62,-2.39,9.40
608,-0.55,-2.30,9.08
612,-0.48,-2.34,8.96
617,-0.46,-2.25,9.17
621,-0.52,-2.34,9.08
626,-0.46,-2.40,9.08
631,-0.40,-2.38,9.25
636,-0.50,-2.32,9.26
640,-0.67,-2.30,9.48
645,-0.48,-2.24,9.46
650,-0.39,-2.17,9.49
653,-0.56,-2.31,9.51
658,-0.59,-2.46,9.24
663,-0.46,-2.39,9.05
668,-0.53,-2.37,9.05
672,-0.47,-2.35,9.45
677,-0.45,-2.17,9.32
