timestamp,accX,accY,accZ
0,-0.44,-2.03,9.55
91,-0.66,-2.04,9.39
95,-0.51,-2.20,9.58
100,-0.47,-2.23,9.54
105,-0.40,-2.15,9.35
110,-0.32,-2.29,9.44
114,-0.38,-2.39,9.57
119,-0.52,-2.39,9.69
123,-0.51,-2.38,9.53
128,-0.42,-2.44,9.53
132,-0.61,-2.45,9.23
137,-0.61,-2.33,9.43
142,-0.52,-2.35,9.41
147,-0.52,-2.31,9.02
151,-0.58,-2.32,8.90
156,-0.50,-2.18,9.15
161,-0.71,-2.29,9.21
164,-0.50,-2.19,9.56
169,-0.51,-2.09,9.51
174,-0.47,-2.07,9.41
179,-0.52,-2.07,9.25
183,-0.75,-2.04,9.46
188,-0.69,-2.21,9.42
193,-0.68,-2.29,9.61
198,-0.49,-2.25,9.30
202,-0.62,-2.22,9.49
206,-0.50,-2.15,9.59
211,-0.57,-2.15,9.37
215,-0.65,-2.22,9.29
220,-0.75,-2.17,9.35
225,-0.72,-2.16,9.27
230,-0.62,-2.14,9.32
234,-0.57,-2.14,9.30
239,-0.69,-2.10,9.22
244,-0.54,-2.15,9.13
248,-0.71,-2.13,9.13
252,-0.53,-2.20,9.23
257,-0.57,-2.12,9.18
262,-0.76,-2.17,9.40
267,-0.59,-2.16,9.41
271,-0.67,-2.21,9.11
276,-0.62,-2.26,9.23
281,-0.57,-2.34,9.18
285,-0.51,-2.19,9.29
289,-0.61,-2.18,9.47
294,-0.49,-2.13,9.37
299,-0.59,-2.16,9.52
303,-0.48,-2.25,9.45
308,-0.71,-2.26,9.65
313,-0.89,-2.38,9.59
318,-0.60,-2.31,9.23
322,-0.55,-2.20,9.29
327,-0.56,-2.26,9.29
331,-0.51,-2.40,9.40
336,-0.60,-2.35,9.19
340,-0.53,-2.32,9.42
345,-0.67,-2.32,9.30
350,-0.69,-2.38,9.57
354,-0.51,-2.42,9.69
359,-0.54,-2.29,9.67
364,-0.53,-2.34,9.50
369,-0.49,-2.40,9.18
372,-0.52,-2.31,9.21
377,-0.67,-2.37,9.15
382,-0.60,-2.35,9.55
387,-0.49,-2.32,9.39
391,-0.62,-2.33,9.46
396,-0.49,-2.40,9.42
401,-0.63,-2.41,9.15
405,-0.53,-2.40,9.31
410,-0.48,-2.30,9.19
414,-0.39,-2.41,9.13
419,-0.67,-2.46,9.28
423,-0.40,-2.39,9.18
428,-0.48,-2.37,9.40
433,-0.61,-2.40,9.69
438,-0.50,-2.45,9.63
442,-0.50,-2.49,9.35
447,-0.63,-2.45,9.58
452,-0.46,-2.44,9.63
455,-0.37,-2.44,9.66
460,-0.43,-2.39,9.47
465,-0.51,-2.42,9.42
470,-0.60,-2.30,9.57
474,-0.50,-2.24,9.24
479,-0.77,-2.35,9.39
484,-0.60,-2.38,9.36
489,-0.53,-2.28,9.15
493,-0.59,-2.28,9.14
497,-0.69,-2.29,9.29
502,-0.57,-2.38,9.39
507,-0.59,-2.42,9.32
511,-0.59,-2.39,9.44
516,-0.56,-2.28,9.38
521,-0.57,-2.19,9.25
526,-0.62,-2.29,9.49
530,-0.63,-2.28,9.40
535,-0.68,-2.21,9.43
539,-0.80,-2.33,9.34
544,-0.71,-2.29,9.13
548,-0.78,-2.25,9.04
553,-0.71,-2.27,9.22
558,-0.56,-2.08,9.24
562,-0.89,-2.24,9.60
567,-0.71,-2.21,9.41
572,-0.59,-2.28,9.16
577,-0.57,-2.25,9.47
580,-0.56,-2.32,9.55
585,-0.41,-2.38,9.18
590,-0.55,-2.26,8.98
594,-0.60,-2.36,9.25
599,-0.57,-2.35,9.43
604,-0.59,-2.44,9.50
609,-0.59,-2.53,9.19
613,-0.61,-2.39,9.23
618,-0.58,-2.41,9.36
622,-0.69,-2.39,9.38
627,-0.58,-2.43,9.22
631,-0.50,-2.31,9.21
636,-0.56,-2.27,9.37
641,-0.60,-2.37,9.24
646,-0.63,-2.37,9.30
650,-0.61,-2.25,9.24
655,-0.49,-2.24,8.97
660,-0.62,-2.33,9.01
664,-0.50,-2.29,9.46
668,-0.65,-2.32,9.45
673,-0.51,-2.27,9.19
678,-0.59,-2.24,9.32
682,-0.57,-2.35,9.28
687,-0.62,-2.22,9.14
692,-0.64,-2.37,9.30
697,-0.75,-2.41,9.45
701,-0.37,-2.31,9.35
705,-0.53,-2.27,9.03
710,-0.56,-2.32,9.40
714,-0.70,-2.29,9.33
719,-0.81,-2.37,9.22
724,-0.58,-2.29,9.47
729,-0.55,-2.20,9.21
733,-0.81,-2.25,9.29
738,-0.69,-2.22,9.58
743,-0.64,-2.13,9.37
747,-0.69,-2.07,9.56
751,-0.58,-2.03,9.45
756,-0.69,-2.18,9.44
761,-0.65,-2.07,9.55
766,-0.65,-2.18,9.29
770,-0.54,-2.29,9.66
775,-0.61,-2.26,9.52
780,-0.60,-2.31,9.53
784,-0.43,-2.32,9.35
788,-0.58,-2.20,9.64
793,-0.52,-2.36,9.49
798,-0.55,-2.44,9.72
802,-0.50,-2.49,9.49
807,-0.54,-2.42,9.21
812,-0.73,-2.39,9.45
817,-0.69,-2.35,9.36
821,-0.81,-2.28,9.46
826,-0.58,-2.13,9.20
830,-0.70,-2.16,8.98
835,-0.48,-2.19,9.39
839,-0.68,-2.27,9.68
844,-0.70,-2.30,9.43
849,-0.52,-2.14,9.09
854,-0.55,-2.26,9.07
858,-0.59,-2.35,9.34
863,-0.71,-2.39,9.34
868,-0.64,-2.33,9.36
871,-0.78,-2.26,9.38
876,-0.75,-2.30,9.18
881,-0.52,-2.20,9.22
886,-0.51,-2.17,9.15
890,-0.65,-2.13,9.45
895,-0.57,-2.23,9.28
900,-0.63,-2.28,9.30
905,-0.68,-2.35,9.39
909,-0.70,-2.25,9.22
913,-0.73,-2.39,9.24
