timestamp,accX,accY,accZ
0,-0.62,-1.35,9.67
91,-0.47,-1.40,9.76
95,-0.44,-1.27,9.41
100,-0.40,-1.33,9.19
105,-0.54,-1.19,9.45
109,-0.61,-1.22,9.34
114,-0.69,-1.18,9.54
119,-0.81,-1.09,9.87
123,-0.58,-1.22,9.87
127,-0.54,-1.06,9.53
132,-0.59,-1.03,9.42
137,-0.48,-0.99,9.35
142,-0.61,-0.94,9.69
146,-0.72,-0.96,9.76
151,-0.65,-0.88,9.69
156,-0.57,-0.93,9.66
160,-0.68,-0.95,9.64
164,-0.55,-0.92,9.61
169,-0.56,-0.97,9.27
174,-0.63,-1.00,9.24
178,-0.65,-1.11,9.48
183,-0.62,-1.16,9.11
188,-0.53,-1.24,9.31
193,-0.65,-1.04,9.25
197,-0.57,-1.09,9.29
202,-0.62,-1.22,9.24
206,-0.39,-1.02,9.14
211,-0.45,-0.95,9.08
215,-0.53,-0.92,9.21
220,-0.64,-0.88,9.30
225,-0.56,-0.68,9.47
230,-0.57,-0.68,9.38
234,-0.53,-0.60,9.50
239,-0.62,-0.53,9.37
244,-0.68,-0.33,9.30
248,-0.58,-0.36,9.42
252,-0.74,-0.15,9.62
257,-0.80,-0.14,9.39
261,-0.80,-0.16,9.55
266,-0.66,-0.14,9.42
271,-0.67,-0.17,9.34
276,-0.67,-0.22,9.35
280,-0.56,-0.31,9.55
285,-0.55,-0.34,9.57
289,-0.50,-0.57,9.46
294,-0.62,-0.57,9.68
298,-0.49,-0.72,9.25
303,-0.46,-0.85,9.72
308,-0.39,-0.82,9.77
313,-0.29,-0.72,9.71
317,-0.53,-0.88,9.67
322,-0.49,-0.86,9.61
327,-0.47,-0.97,9.55
331,-0.51,-0.92,9.63
335,-0.40,-0.89,9.86
340,-0.34,-0.84,9.87
345,-0.43,-0.88,9.66
349,-0.47,-0.92,9.49
354,-0.51,-0.86,9.59
359,-0.59,-0.84,9.90
364,-0.46,-0.83,9.81
368,-0.48,-0.84,9.94
373,-0.57,-0.84,9.87
377,-0.59,-0.89,9.66
382,-0.60,-0.99,9.60
386,-0.52,-1.05,9.85
391,-0.39,-0.94,9.91
396,-0.34,-1.02,9.63
400,-0.41,-1.02,9.25
405,-0.53,-0.99,9.38
410,-0.67,-0.96,9.28
414,-0.65,-1.07,9.64
418,-0.64,-1.04,9.41
423,-0.67,-1.08,9.65
428,-0.74,-1.02,9.71
433,-0.91,-0.99,9.42
437,-0.51,-0.99,9.64
442,-0.63,-0.85,9.63
447,-0.68,-0.86,10.03
452,-0.62,-0.80,9.68
456,-0.63,-0.78,9.68
460,-0.59,-0.73,9.57
465,-0.49,-0.73,9.72
469,-0.53,-0.65,9.66
474,-0.61,-0.59,9.74
479,-0.73,-0.63,9.75
484,-0.81,-0.74,9.73
488,-0.85,-0.68,9.56
493,-0.77,-0.64,9.45
498,-0.75,-0.67,9.62
501,-0.81,-0.64,9.34
506,-0.85,-0.80,9.19
511,-0.86,-0.70,9.22
516,-0.87,-0.87,9.11
520,-0.82,-0.83,9.16
525,-0.72,-0.89,9.53
530,-0.58,-0.98,9.40
535,-0.62,-0.93,9.13
539,-0.64,-0.92,9.51
543,-0.52,-0.92,9.41
548,-0.56,-0.94,9.41
552,-0.76,-1.02,9.54
557,-0.47,-0.95,9.49
562,-0.75,-1.03,9.64
567,-0.70,-0.98,9.60
571,-0.60,-0.92,9.82
576,-0.57,-1.04,9.74
581,-0.56,-1.02,9.78
585,-0.57,-0.96,9.67
