timestamp,accX,accY,accZ
0,-0.75,-0.71,9.42
91,-0.64,-0.65,9.60
95,-0.89,-0.71,9.77
99,-0.64,-0.80,9.83
104,-0.52,-0.86,9.64
109,-0.51,-0.80,9.36
113,-0.65,-0.87,9.38
118,-0.54,-0.84,9.74
123,-0.66,-0.86,9.57
128,-0.60,-0.89,9.45
132,-0.83,-0.80,9.79
137,-0.91,-0.79,9.50
141,-0.88,-0.78,9.70
146,-0.76,-0.72,9.82
150,-0.70,-0.67,9.70
155,-0.75,-0.56,9.89
160,-0.70,-0.69,9.95
164,-0.74,-0.55,9.73
169,-0.51,-0.55,9.96
174,-0.48,-0.65,9.71
179,-0.61,-0.60,9.78
182,-0.60,-0.81,9.80
187,-0.60,-0.86,9.40
192,-0.59,-0.83,9.38
196,-0.68,-0.76,9.48
201,-0.57,-0.74,9.55
206,-0.74,-0.73,9.55
211,-0.74,-0.97,9.74
215,-0.56,-0.89,9.67
220,-0.55,-0.88,9.87
224,-0.55,-0.89,9.40
229,-0.67,-0.66,9.72
233,-0.75,-0.87,9.57
238,-0.55,-0.83,9.70
243,-0.57,-0.81,9.47
247,-0.59,-0.78,9.87
252,-0.56,-0.86,10.08
257,-0.56,-0.88,10.11
262,-0.43,-0.88,9.89
265,-0.53,-0.80,9.70
270,-0.51,-0.84,9.58
275,-0.55,-0.74,9.59
280,-0.81,-0.61,9.65
284,-0.73,-0.56,9.62
289,-0.66,-0.61,9.93
294,-0.67,-0.66,9.81
299,-0.57,-0.67,9.33
304,-0.61,-0.51,9.68
307,-0.72,-0.50,9.64
312,-0.76,-0.51,9.67
317,-0.74,-0.60,9.65
321,-0.57,-0.55,9.38
326,-0.61,-0.54,9.29
331,-0.75,-0.48,9.50
335,-0.67,-0.44,9.46
340,-0.68,-0.63,9.51
345,-0.80,-0.49,9.61
349,-0.77,-0.54,9.61
353,-0.62,-0.51,9.47
358,-0.78,-0.56,9.45
363,-0.79,-0.67,9.70
367,-0.81,-0.85,9.54
372,-0.62,-0.80,9.41
377,-0.72,-0.75,9.41
382,-0.79,-0.84,9.65
386,-0.75,-0.98,9.78
