timestamp,accX,accY,accZ
0,-0.84,-0.71,9.42
91,-1.06,-0.77,9.68
95,-0.89,-0.66,9.66
100,-0.89,-0.78,9.57
105,-0.99,-0.72,9.59
110,-0.85,-0.71,9.77
114,-0.93,-0.72,9.84
118,-1.02,-0.77,9.94
123,-1.02,-0.79,9.94
128,-0.77,-0.81,9.56
132,-0.88,-0.80,9.35
137,-0.80,-0.68,9.72
142,-0.83,-0.86,9.60
146,-0.76,-0.74,9.79
151,-0.71,-0.81,9.48
156,-0.86,-0.71,9.80
160,-0.77,-0.61,9.77
164,-0.69,-0.72,9.73
169,-0.86,-0.55,9.68
174,-0.80,-0.56,9.44
179,-0.80,-0.44,9.45
183,-0.85,-0.49,9.61
188,-0.91,-0.57,9.65
193,-0.90,-0.71,9.74
197,-1.00,-0.68,9.65
201,-0.77,-0.73,9.58
206,-0.80,-0.71,9.16
211,-0.86,-0.70,9.41
215,-1.05,-0.70,9.59
220,-0.84,-0.59,9.55
225,-0.68,-0.67,9.51
230,-0.74,-0.57,9.53
234,-0.73,-0.54,9.36
239,-0.87,-0.57,9.61
243,-0.83,-0.50,9.63
247,-1.06,-0.58,9.76
252,-0.99,-0.67,9.82
257,-0.65,-0.70,9.72
262,-0.62,-0.87,9.70
266,-0.70,-0.80,9.47
271,-0.78,-0.70,9.42
276,-0.74,-0.65,9.61
281,-0.70,-0.88,9.93
284,-0.80,-0.98,9.73
289,-0.68,-0.98,9.85
294,-0.72,-0.93,9.68
298,-0.67,-0.85,9.44
303,-0.78,-0.73,9.59
308,-0.79,-0.62,9.47
313,-0.76,-0.52,9.64
317,-0.81,-0.60,9.65
322,-0.86,-0.62,9.60
326,-0.88,-0.74,9.43
331,-0.75,-0.67,9.29
335,-0.92,-0.53,9.28
340,-0.96,-0.60,9.56
345,-0.95,-0.51,9.47
349,-0.99,-0.36,9.61
354,-0.80,-0.48,9.56
359,-0.83,-0.41,9.35
364,-0.95,-0.41,9.54
368,-0.95,-0.54,9.54
372,-0.88,-0.66,9.61
377,-0.88,-0.76,9.50
382,-0.80,-0.69,9.52
386,-0.67,-0.69,9.77
391,-0.69,-0.74,9.51
