timestamp,accX,accY,accZ
0,-1.02,-0.90,9.22
90,-0.93,-0.80,9.43
94,-0.96,-0.67,9.29
99,-0.93,-0.77,9.57
104,-1.07,-0.70,9.75
109,-0.99,-0.69,9.85
113,-1.06,-0.67,9.91
118,-1.00,-0.78,9.55
123,-1.08,-0.72,9.66
127,-1.12,-0.69,9.56
131,-1.07,-0.66,9.69
136,-1.12,-0.74,9.56
141,-1.15,-0.70,9.39
145,-0.88,-0.67,9.42
150,-1.02,-0.70,9.56
155,-1.14,-0.82,9.53
160,-1.02,-0.89,9.66
164,-0.83,-0.75,9.23
169,-0.99,-0.77,9.25
173,-1.12,-0.74,9.30
177,-0.98,-0.80,9.53
182,-0.97,-0.77,9.67
187,-1.01,-0.89,9.51
192,-1.05,-0.94,9.65
196,-1.00,-0.74,9.37
201,-1.06,-0.79,9.23
206,-0.96,-0.75,9.30
211,-0.83,-0.76,9.29
214,-0.95,-0.68,9.64
219,-1.01,-0.90,9.49
224,-1.14,-0.96,9.61
229,-1.00,-1.11,9.48
233,-1.02,-0.98,9.12
238,-0.95,-1.04,9.52
243,-0.81,-1.06,9.36
247,-0.76,-0.98,9.36
252,-0.79,-1.08,9.52
256,-0.70,-1.02,9.53
261,-0.82,-0.82,9.54
265,-0.91,-0.85,9.56
270,-0.93,-0.95,9.82
275,-0.93,-0.99,9.77
280,-0.80,-0.97,9.60
285,-0.80,-0.92,9.42
289,-1.06,-0.82,9.42
294,-0.95,-0.80,9.50
298,-0.90,-0.82,9.60
303,-0.76,-0.71,9.57
307,-0.84,-0.79,9.47
312,-0.90,-0.72,9.51
317,-0.97,-0.70,9.43
322,-0.96,-0.75,9.51
326,-1.11,-0.80,9.59
331,-1.11,-0.89,9.85
336,-1.02,-0.85,9.45
339,-0.94,-0.76,9.45
344,-1.02,-0.80,9.39
349,-1.01,-0.78,9.39
354,-0.99,-0.75,9.45
358,-0.87,-0.82,9.36
363,-0.93,-0.92,9.38
368,-0.86,-0.93,9.50
373,-0.92,-0.87,9.57
377,-0.99,-0.79,9.32
381,-0.95,-0.70,9.59
386,-0.89,-0.78,9.72
391,-0.95,-0.65,9.93
395,-0.89,-0.69,9.91
400,-0.80,-0.71,10.05
405,-1.01,-0.65,9.73
409,-0.90,-0.75,9.62
414,-0.88,-0.72,9.38
419,-0.90,-0.83,9.18
423,-1.02,-0.65,9.25
427,-1.05,-0.67,9.12
432,-0.92,-0.64,9.22
437,-0.97,-0.77,9.56
442,-1.00,-0.90,9.67
446,-1.06,-0.91,9.32
451,-0.85,-0.95,9.57
456,-0.99,-0.80,9.28
461,-1.11,-0.70,9.23
464,-1.21,-0.62,9.90
469,-0.95,-0.57,9.89
474,-0.87,-0.64,9.68
479,-1.04,-0.54,9.59
483,-1.07,-0.56,9.78
488,-1.05,-0.63,9.67
493,-1.15,-0.81,9.67
498,-0.88,-1.03,9.44
502,-0.85,-0.93,9.38
506,-0.95,-0.81,9.40
511,-0.91,-0.77,9.73
516,-0.80,-0.70,9.55
520,-0.92,-0.70,9.67
525,-0.83,-0.81,9.58
530,-0.87,-0.91,9.61
534,-1.05,-0.85,9.55
539,-1.07,-0.84,9.37
544,-1.06,-0.88,9.42
548,-0.90,-0.92,9.68
552,-0.93,-0.83,9.67
557,-0.98,-0.79,9.66
562,-0.93,-0.74,9.50
567,-1.01,-0.73,9.50
571,-0.92,-0.67,9.28
576,-0.98,-0.68,9.40
581,-0.97,-0.77,9.38
585,-0.94,-0.77,9.50
589,-1.00,-0.86,9.63
594,-0.98,-0.87,9.50
599,-1.05,-0.86,9.86
603,-1.02,-0.83,9.80
608,-1.02,-0.83,9.87
613,-0.80,-0.81,9.63
618,-0.87,-0.78,9.47
622,-0.95,-0.83,9.86
627,-0.91,-0.94,9.62
631,-0.98,-0.98,9.81
635,-1.23,-0.93,10.01
640,-0.98,-0.89,9.55
645,-0.89,-1.03,9.46
650,-0.84,-0.93,9.40
654,-0.98,-0.85,9.80
659,-0.97,-0.93,9.54
664,-0.94,-1.02,9.56
669,-0.83,-0.96,9.59
672,-0.99,-0.80,9.46
677,-0.93,-0.83,9.38
682,-1.13,-0.74,9.51
686,-1.22,-0.92,9.45
691,-1.16,-0.86,9.75
696,-1.02,-0.94,9.67
701,-0.80,-0.88,9.58
705,-0.99,-0.89,9.34
710,-1.11,-0.78,9.45
714,-0.99,-0.83,9.27
719,-1.16,-0.76,9.45
723,-1.18,-0.70,9.62
728,-1.20,-0.80,9.85
733,-1.07,-0.75,9.56
738,-1.14,-0.75,9.52
742,-1.07,-0.79,9.65
747,-1.01,-0.91,9.75
752,-0.97,-0.81,9.48
755,-0.95,-0.80,9.26
760,-1.23,-0.85,9.55
765,-1.00,-0.82,9.49
770,-1.09,-0.96,9.26
774,-1.15,-0.85,9.52
779,-0.89,-0.69,9.38
784,-0.91,-0.71,9.59
789,-0.93,-0.80,9.73
793,-0.88,-0.80,9.53
797,-1.12,-0.80,9.63
802,-0.99,-0.74,9.86
806,-1.02,-0.86,10.01
811,-0.87,-0.82,9.84
816,-1.12,-0.94,9.89
821,-0.85,-0.96,9.85
825,-0.87,-0.93,9.59
830,-0.87,-0.94,9.90
835,-0.96,-0.90,9.64
839,-0.88,-1.01,9.57
843,-0.95,-0.95,9.78
848,-0.94,-0.93,9.85
853,-0.96,-0.80,9.89
857,-0.85,-0.85,9.76
862,-1.02,-0.87,9.54
867,-0.95,-0.84,9.40
872,-0.83,-0.81,9.74
876,-0.85,-0.86,9.65
880,-0.92,-0.96,9.40
885,-0.93,-0.88,9.67
889,-1.00,-0.82,9.62
894,-0.83,-0.79,9.46
899,-0.99,-0.83,9.59
904,-0.86,-0.69,9.70
908,-1.14,-0.78,9.73
913,-0.79,-0.84,9.56
918,-0.85,-0.79,9.56
922,-0.90,-0.91,9.53
926,-0.84,-0.86,9.52
931,-0.88,-0.71,9.47
936,-0.99,-0.63,9.79
940,-1.08,-0.70,9.60
945,-1.14,-0.67,9.67
950,-1.08,-0.73,9.51
955,-1.05,-0.63,9.73
959,-0.91,-0.74,9.74
963,-0.90,-0.81,9.59
968,-0.83,-0.69,9.56
972,-0.89,-0.74,9.29
977,-0.93,-0.69,9.61
982,-1.05,-0.58,9.52
987,-1.19,-0.63,9.70
991,-1.02,-0.67,9.69
996,-1.02,-0.67,9.58
1001,-0.93,-0.71,9.20
1005,-1.04,-0.63,9.53
1009,-0.99,-0.69,9.75
1014,-0.98,-0.70,9.85
1019,-0.90,-0.87,9.65
1023,-1.07,-0.85,9.51
1028,-0.91,-0.86,9.98
1033,-0.82,-0.78,9.65
1038,-0.91,-0.90,10.07
1042,-0.86,-0.83,9.97
1047,-0.96,-0.77,10.05
1051,-0.96,-0.95,9.88
1056,-0.78,-0.82,9.45
1060,-0.75,-0.79,9.96
1065,-0.96,-0.85,9.90
1070,-0.95,-0.79,10.06
1074,-0.87,-0.75,9.76
1079,-0.80,-0.71,9.69
1084,-0.92,-0.70,9.58
1088,-1.00,-0.91,9.51
1092,-0.81,-0.84,9.52
1097,-1.00,-0.75,9.56
1102,-0.88,-0.73,9.71
1106,-1.04,-0.49,9.56
1111,-0.96,-0.58,9.73
1116,-1.13,-0.75,9.66
1121,-1.06,-0.79,9.81
1125,-0.92,-0.84,9.52
1130,-1.04,-0.80,9.58
1134,-1.01,-0.70,9.38
1139,-1.17,-0.73,9.70
1143,-0.99,-0.79,9.38
1148,-0.80,-0.74,9.69
1153,-0.86,-0.79,9.67
1157,-0.79,-0.67,9.43
1162,-0.89,-0.74,9.53
1167,-1.07,-0.72,9.64
1172,-1.19,-0.71,9.60
1175,-1.16,-0.58,9.51
1180,-1.13,-0.65,9.81
1185,-1.04,-0.73,9.65
1190,-0.94,-0.64,9.74
1195,-1.06,-0.54,9.43
1199,-0.98,-0.65,9.40
1204,-0.92,-0.70,9.36
1209,-0.95,-0.74,9.28
1213,-1.02,-0.72,9.67
1217,-1.24,-0.80,9.61
1222,-1.11,-0.90,9.40
1227,-0.97,-0.90,9.34
