timestamp,accX,accY,accZ
0,-6.44,-0.05,6.63
90,-6.49,-0.06,6.82
94,-6.51,-0.08,6.75
99,-6.57,-0.12,6.94
104,-6.32,0.06,6.66
108,-6.34,0.14,6.88
113,-6.54,0.24,6.68
118,-6.65,0.19,6.92
123,-6.42,0.01,6.76
127,-6.65,0.00,6.78
131,-6.49,0.05,6.94
136,-6.53,0.06,6.64
141,-6.81,0.15,6.61
145,-6.67,0.03,6.74
150,-6.51,-0.08,6.48
155,-6.60,0.02,6.45
160,-6.62,0.24,6.49
164,-6.78,0.09,6.37
169,-6.65,0.09,7.03
173,-6.66,0.08,6.96
178,-6.70,0.09,7.15
182,-6.47,0.04,6.99
187,-6.49,0.04,6.81
192,-6.71,0.11,6.80
196,-6.53,0.18,7.02
201,-6.57,0.16,7.02
206,-6.37,0.17,6.86
211,-6.52,0.23,7.22
214,-6.56,0.02,6.83
219,-6.65,0.01,6.84
224,-6.49,-0.06,6.97
228,-6.44,0.07,6.69
233,-6.34,-0.07,6.86
238,-6.59,-0.09,7.06
243,-6.53,0.11,6.86
247,-6.42,0.11,6.98
252,-6.44,0.00,6.86
256,-6.53,0.07,6.80
260,-6.85,-0.02,6.93
265,-6.49,-0.12,6.90
270,-6.36,-0.13,6.74
274,-6.41,-0.09,6.99
279,-6.44,-0.24,6.76
284,-6.45,-0.22,6.57
289,-6.50,-0.22,7.00
293,-6.32,-0.22,7.07
297,-6.34,-0.25,7.14
302,-6.46,-0.02,7.09
307,-6.45,0.00,7.03
311,-6.37,0.02,7.03
316,-6.41,-0.02,7.11
321,-6.29,0.00,7.05
325,-6.30,0.04,7.02
330,-6.40,0.09,6.79
335,-6.51,0.26,7.20
339,-6.43,0.14,7.09
343,-6.56,0.09,6.89
348,-6.23,0.10,6.83
353,-6.45,0.09,6.59
357,-6.39,0.12,6.88
362,-6.27,0.15,6.71
367,-6.37,0.34,6.71
371,-6.41,0.33,6.55
376,-6.52,0.23,6.53
380,-6.41,0.23,6.67
385,-6.44,0.11,6.65
389,-6.79,0.17,6.68
394,-6.50,0.12,6.71
399,-6.51,0.20,6.71
404,-6.38,0.13,6.75
408,-6.17,0.18,6.97
413,-6.30,0.41,6.82
418,-6.48,0.34,6.84
422,-6.39,0.15,6.85
426,-6.48,-0.01,6.67
431,-6.36,0.10,6.64
436,-6.47,-0.09,7.07
441,-6.26,-0.03,6.82
445,-6.28,0.09,6.73
450,-6.50,-0.07,6.62
455,-6.50,-0.04,7.00
459,-6.32,-0.13,7.01
463,-6.24,-0.11,6.98
468,-6.37,-0.09,6.97
473,-6.31,-0.04,6.66
477,-6.52,-0.18,6.99
482,-6.47,-0.18,6.71
487,-6.47,-0.11,6.71
491,-6.53,-0.11,6.86
496,-6.46,-0.13,6.55
501,-6.51,-0.27,7.08
505,-6.44,-0.29,7.00
509,-6.57,-0.44,6.82
514,-6.31,-0.31,6.78
519,-6.40,-0.34,6.72
524,-6.49,-0.27,6.84
528,-6.39,-0.39,6.93
533,-6.36,-0.33,6.65
538,-6.45,-0.31,6.86
543,-6.45,-0.19,6.56
546,-6.39,-0.05,6.88
551,-6.61,-0.11,6.86
556,-6.61,-0.04,6.72
560,-6.50,0.02,6.57
565,-6.59,0.01,6.90
570,-6.55,0.18,7.00
574,-6.56,0.16,6.78
579,-6.61,0.23,7.26
584,-6.62,0.16,7.06
588,-6.39,0.20,7.20
592,-6.60,0.02,6.81
597,-6.46,0.07,6.67
602,-6.52,0.09,6.59
607,-6.51,0.02,7.11
611,-6.59,0.13,7.03
616,-6.57,0.00,6.98
621,-6.45,0.05,7.03
625,-6.55,0.08,6.98
629,-6.49,0.06,6.94
634,-6.47,0.04,6.77
639,-6.44,0.03,6.59
643,-6.50,-0.02,6.72
648,-6.61,-0.03,6.94
653,-6.56,-0.02,6.93
658,-6.35,-0.02,6.59
662,-6.54,0.02,6.80
667,-6.38,0.01,6.94
671,-6.57,-0.08,6.84
675,-6.69,-0.08,6.89
680,-6.71,-0.01,6.98
685,-6.71,-0.13,6.98
690,-6.57,-0.10,7.13
694,-6.52,-0.11,7.14
699,-6.60,-0.14,6.90
704,-6.55,-0.11,6.98
708,-6.43,-0.14,6.75
712,-6.34,-0.11,6.99
717,-6.47,-0.25,7.01
722,-6.35,-0.15,6.77
726,-6.37,-0.13,6.78
731,-6.48,-0.15,6.81
736,-6.47,-0.21,6.70
741,-6.40,-0.18,6.96
745,-6.37,-0.12,7.15
750,-6.33,-0.29,6.92
754,-6.32,-0.22,6.74
759,-6.28,-0.09,6.79
763,-6.33,-0.08,6.83
768,-6.29,-0.23,6.87
773,-6.20,-0.20,6.72
778,-6.13,-0.14,6.59
782,-6.20,-0.06,6.82
787,-6.36,-0.15,6.99
792,-6.60,-0.05,6.92
796,-6.28,-0.07,7.19
800,-6.24,-0.11,6.69
805,-6.19,-0.06,6.50
810,-6.32,0.01,6.65
815,-6.42,0.05,6.60
819,-6.62,-0.07,6.47
824,-6.63,0.09,6.49
829,-6.49,0.07,6.73
833,-6.49,0.04,6.57
837,-6.48,0.00,6.92
842,-6.46,-0.06,7.00
847,-6.49,-0.04,6.86
851,-6.45,-0.02,6.68
856,-6.55,0.04,6.72
861,-6.43,-0.10,6.96
865,-6.54,0.00,6.81
870,-6.71,-0.08,6.95
875,-6.37,0.08,6.64
879,-6.45,0.04,6.76
883,-6.46,0.07,6.84
888,-6.43,0.06,6.74
893,-6.46,0.10,6.64
897,-6.48,0.06,6.72
902,-6.51,0.06,6.70
907,-6.64,0.08,6.81
912,-6.69,0.10,6.67
916,-6.54,0.01,7.01
920,-6.51,-0.02,6.96
925,-6.47,-0.08,7.07
930,-6.41,-0.05,6.86
934,-6.33,0.04,6.92
939,-6.26,-0.01,7.02
944,-6.45,0.05,7.08
948,-6.49,-0.01,7.06
953,-6.56,0.01,6.71
958,-6.44,-0.04,6.41
962,-6.45,0.01,6.51
966,-6.48,-0.02,6.40
971,-6.65,-0.07,6.39
976,-6.74,-0.03,6.55
980,-6.71,0.08,6.71
985,-6.62,0.10,6.60
990,-6.32,0.04,6.66
995,-6.47,0.00,6.59
999,-6.36,-0.04,6.84
1003,-6.34,0.06,6.78
1008,-6.47,-0.10,6.63
1013,-6.39,-0.09,6.71
1017,-6.49,-0.16,6.98
1022,-6.31,-0.16,6.86
1027,-6.19,-0.09,6.54
1031,-6.38,-0.08,6.84
1036,-6.44,0.01,6.72
1041,-6.33,-0.01,6.71
1045,-6.35,-0.06,6.99
1049,-6.51,-0.32,6.94
1054,-6.31,-0.31,6.83
1059,-6.34,-0.07,6.64
1063,-6.59,-0.13,6.75
1068,-6.38,-0.10,6.86
1073,-6.35,-0.09,6.74
1078,-6.34,-0.03,6.80
1082,-6.29,-0.09,6.39
1086,-6.46,-0.12,6.71
1091,-6.35,0.01,6.73
1096,-6.45,-0.18,6.98
1100,-6.34,-0.12,6.52
1105,-6.53,-0.09,6.57
1110,-6.77,-0.05,6.56
1114,-6.49,0.06,6.83
1119,-6.43,0.00,6.77
1124,-6.27,-0.02,6.83
1128,-6.35,0.05,6.66
1132,-6.51,0.07,6.95
1137,-6.56,0.03,6.94
1142,-6.24,0.02,6.82
1146,-6.23,-0.07,6.74
1151,-6.20,0.00,6.85
1156,-6.12,-0.11,6.74
1161,-6.28,0.06,7.04
1165,-6.44,0.14,7.02
1169,-6.38,-0.04,6.96
1174,-6.43,0.03,7.05
1179,-6.34,-0.07,7.00
1183,-6.51,-0.07,6.83
1188,-6.43,0.07,6.98
1193,-6.40,0.18,6.71
1198,-6.49,0.00,7.01
1202,-6.33,0.06,7.06
1207,-6.42,0.02,7.40
1211,-6.48,0.13,7.56
1215,-6.32,0.02,6.96
1220,-6.32,0.02,6.87
1225,-6.59,-0.04,6.76
1230,-6.49,-0.16,6.49
1234,-6.46,-0.02,6.62
1239,-6.44,0.09,6.55
1244,-6.56,0.00,6.53
1248,-6.63,0.08,6.54
1253,-6.35,0.05,6.52
1257,-6.46,0.05,6.57
1262,-6.59,-0.04,6.69
1266,-6.63,0.05,6.72
1271,-6.67,0.08,6.90
1276,-6.41,0.08,7.13
1281,-6.56,-0.03,7.02
1285,-6.48,-0.13,6.96
1290,-6.33,-0.09,6.93
1294,-6.49,-0.05,7.13
1299,-6.48,-0.21,7.28
1303,-6.55,-0.27,6.93
1308,-6.44,-0.21,6.84
1313,-6.53,-0.10,6.93
1317,-6.60,-0.21,6.73
1322,-6.59,-0.30,6.78
1327,-6.44,-0.37,6.76
1332,-6.37,-0.41,6.86
1336,-6.32,-0.42,7.01
1340,-6.42,-0.38,6.65
1345,-6.45,-0.42,6.66
1350,-6.34,-0.40,6.76
1354,-6.38,-0.50,6.89
1359,-6.27,-0.47,6.95
1364,-6.47,-0.36,7.09
1369,-6.49,-0.51,6.91
1373,-6.40,-0.43,6.84
1378,-6.28,-0.36,6.97
1382,-6.29,-0.34,7.01
1387,-6.46,-0.37,6.85
1391,-6.34,-0.43,7.05
1396,-6.18,-0.39,7.23
1401,-6.22,-0.44,7.07
1405,-6.45,-0.23,7.15
1410,-6.33,-0.19,6.89
1415,-6.36,-0.20,7.00
1419,-6.25,-0.19,7.21
1424,-6.26,-0.19,7.15
1428,-6.21,-0.15,6.75
1433,-6.46,-0.15,6.87
1438,-6.49,-0.02,6.99
1443,-6.48,-0.03,6.95
1447,-6.54,-0.02,6.86
1452,-6.34,-0.29,6.69
1457,-6.42,-0.14,7.07
1461,-6.50,-0.16,7.34
1465,-6.48,-0.18,7.09
1470,-6.65,-0.12,7.30
1475,-6.53,-0.17,7.39
1480,-6.47,-0.12,6.99
1484,-6.48,-0.18,6.93
1489,-6.45,-0.26,7.01
1494,-6.31,-0.24,6.88
1498,-6.33,-0.18,6.98
1503,-6.51,-0.21,7.08
1507,-6.50,-0.17,7.39
1512,-6.40,-0.14,7.32
1516,-6.35,-0.11,6.79
1521,-6.27,-0.16,6.83
1526,-6.29,-0.08,7.12
1530,-6.37,-0.16,6.73
1535,-6.45,-0.14,6.93
1540,-6.38,-0.08,6.67
1544,-6.40,-0.11,6.48
1548,-6.48,-0.18,6.68
1553,-6.49,-0.23,6.76
1558,-6.46,-0.20,6.67
1563,-6.45,0.07,6.31
1567,-6.55,0.04,6.57
1572,-6.59,0.06,6.96
1577,-6.75,0.02,7.05
1582,-6.56,0.01,6.82
1586,-6.42,-0.07,6.90
1590,-6.39,-0.02,6.76
1595,-6.41,-0.17,6.76
1599,-6.48,-0.11,6.65
1604,-6.26,-0.16,6.62
1609,-6.54,-0.06,6.71
1614,-6.59,0.02,6.68
1618,-6.48,-0.07,6.98
1623,-6.49,0.00,7.03
