timestamp,accX,accY,accZ
0,-6.33,-0.18,6.70
91,-6.41,-0.20,7.05
94,-6.48,0.00,6.69
99,-6.54,-0.09,6.73
104,-6.46,-0.15,6.82
108,-6.48,-0.23,6.67
113,-6.56,-0.23,6.55
118,-6.43,-0.16,6.67
123,-6.44,-0.25,6.79
127,-6.43,-0.24,6.94
132,-6.29,-0.07,6.90
136,-6.26,-0.08,6.75
140,-6.28,-0.01,6.93
145,-6.61,-0.04,6.70
150,-6.55,-0.08,6.81
155,-6.30,-0.11,6.62
159,-6.40,-0.07,6.56
164,-6.31,-0.15,7.12
169,-6.22,-0.21,7.25
174,-6.14,-0.17,7.22
177,-6.34,-0.10,7.04
182,-6.37,0.07,6.82
187,-6.49,-0.04,7.06
191,-6.48,-0.08,6.94
196,-6.33,-0.15,6.96
201,-6.42,-0.15,6.84
206,-6.46,-0.08,7.12
210,-6.40,-0.08,7.10
215,-6.30,-0.04,7.08
219,-6.41,0.00,7.18
223,-6.19,-0.02,6.92
228,-6.42,-0.27,7.12
233,-6.32,-0.23,7.10
238,-6.29,-0.11,7.31
242,-6.38,-0.16,7.10
247,-6.37,-0.19,7.28
252,-6.30,-0.15,7.28
257,-6.28,-0.07,6.93
260,-6.19,-0.08,6.61
265,-6.34,-0.03,6.92
270,-6.34,-0.12,7.19
275,-6.35,-0.11,6.94
279,-6.33,-0.06,6.76
284,-6.21,-0.05,7.07
289,-6.22,-0.04,7.18
293,-6.49,-0.11,6.87
298,-6.47,-0.06,6.87
302,-6.53,-0.09,7.06
307,-6.40,-0.02,6.87
311,-6.42,-0.09,7.02
316,-6.55,-0.09,7.06
321,-6.65,-0.11,6.96
326,-6.45,-0.18,6.85
330,-6.37,-0.11,6.71
335,-6.34,-0.04,6.51
340,-6.42,-0.30,6.41
344,-6.28,-0.26,6.32
348,-6.49,-0.21,6.66
353,-6.51,-0.08,6.63
358,-6.42,-0.11,6.84
362,-6.62,-0.10,6.94
367,-6.48,-0.09,7.05
372,-6.41,-0.01,7.28
377,-6.33,0.01,7.32
381,-6.29,0.13,6.94
385,-6.32,-0.02,6.98
390,-6.41,-0.07,6.72
394,-6.37,0.02,6.60
399,-6.48,-0.04,6.66
404,-6.43,-0.05,6.43
409,-6.49,0.01,6.38
413,-6.31,-0.05,6.69
418,-6.41,0.03,6.87
423,-6.49,-0.13,6.66
427,-6.40,-0.13,6.71
431,-6.47,-0.08,6.90
436,-6.47,-0.02,6.76
441,-6.49,0.12,6.65
445,-6.53,0.20,6.65
450,-6.37,0.09,6.60
455,-6.41,-0.16,6.55
460,-6.39,-0.22,6.06
464,-6.45,-0.10,6.19
468,-6.42,-0.11,6.30
473,-6.58,-0.09,6.42
477,-6.51,-0.23,6.31
482,-6.49,-0.14,6.58
487,-6.52,0.03,7.01
492,-6.48,0.07,7.01
496,-6.65,0.17,7.03
501,-6.43,-0.11,6.97
506,-6.33,-0.11,6.74
510,-6.33,-0.07,7.09
514,-6.35,-0.19,7.17
519,-6.41,-0.28,6.92
524,-6.04,-0.30,6.74
528,-6.31,-0.36,6.95
533,-6.37,-0.37,7.08
538,-6.38,-0.45,6.88
543,-6.23,-0.38,6.87
547,-6.44,-0.19,6.90
551,-6.12,-0.22,7.05
556,-6.43,-0.26,7.09
561,-6.38,-0.25,7.12
565,-6.24,-0.29,6.70
570,-6.49,-0.19,6.84
575,-6.50,-0.20,7.00
580,-6.40,-0.29,6.96
584,-6.53,-0.37,6.71
589,-6.49,-0.25,7.04
593,-6.49,-0.31,7.01
598,-6.26,-0.20,7.27
602,-6.42,-0.16,6.87
607,-6.30,-0.19,6.92
612,-6.34,-0.13,6.74
617,-6.39,-0.14,6.93
621,-6.46,-0.12,6.93
626,-6.46,-0.01,6.90
631,-6.50,0.00,6.71
634,-6.36,0.00,6.87
639,-6.44,0.00,6.96
644,-6.45,-0.04,6.65
649,-6.24,-0.09,6.84
653,-6.40,-0.14,6.82
658,-6.26,-0.23,6.95
663,-6.26,-0.14,6.84
667,-6.22,0.01,7.00
672,-6.38,0.06,7.07
676,-6.23,-0.09,6.94
681,-6.24,0.00,6.74
685,-6.41,0.03,6.66
690,-6.51,0.05,6.87
695,-6.54,-0.04,6.85
700,-6.48,-0.03,6.98
704,-6.31,-0.07,6.81
709,-6.28,-0.03,6.99
714,-6.34,0.00,6.78
717,-6.04,-0.12,6.90
722,-6.29,-0.11,6.94
727,-6.41,-0.11,7.26
732,-6.49,-0.09,7.17
736,-6.52,0.01,7.17
741,-6.55,-0.10,7.46
746,-6.51,-0.06,7.29
750,-6.43,-0.13,7.21
755,-6.44,-0.11,7.11
759,-6.42,-0.11,6.95
764,-6.46,-0.11,6.76
768,-6.46,-0.14,6.88
773,-6.40,-0.28,6.58
778,-6.49,-0.11,6.90
782,-6.42,-0.18,6.95
787,-6.35,-0.19,6.97
792,-6.34,-0.16,7.07
797,-6.57,-0.21,6.83
800,-6.37,-0.09,7.06
805,-6.45,-0.01,7.13
810,-6.43,-0.10,6.80
814,-6.26,-0.06,7.14
819,-6.42,0.01,6.94
824,-6.33,-0.12,7.06
829,-6.28,-0.03,6.75
833,-6.49,-0.02,6.78
838,-6.38,-0.06,6.67
842,-6.56,-0.07,6.79
847,-6.62,-0.30,6.71
