timestamp,accX,accY,accZ
0,-6.48,-0.12,7.14
91,-6.19,-0.10,6.89
95,-6.38,-0.13,6.87
100,-6.40,-0.09,6.71
105,-6.46,-0.23,6.96
108,-6.37,-0.22,7.13
113,-6.38,-0.12,6.88
118,-6.45,-0.07,6.73
123,-6.56,-0.09,6.96
127,-6.47,-0.08,7.01
132,-6.52,-0.16,6.74
137,-6.57,-0.14,6.61
142,-6.60,-0.01,6.76
146,-6.43,0.07,6.88
150,-6.50,-0.02,6.73
155,-6.52,-0.01,7.01
159,-6.66,-0.08,6.90
164,-6.49,-0.09,6.84
169,-6.52,-0.08,6.95
174,-6.49,-0.06,7.08
178,-6.50,-0.17,6.96
183,-6.59,-0.22,6.92
188,-6.44,-0.08,6.74
192,-6.57,-0.19,6.83
196,-6.45,-0.27,6.86
201,-6.48,-0.21,6.85
206,-6.47,-0.11,6.67
211,-6.49,0.05,6.78
215,-6.56,-0.02,6.94
220,-6.57,-0.07,6.90
225,-6.53,0.02,6.94
229,-6.54,0.00,6.98
233,-6.49,-0.07,7.12
238,-6.18,-0.06,7.11
243,-6.20,-0.14,6.96
247,-6.29,-0.10,6.96
252,-6.37,-0.08,6.83
257,-6.54,-0.19,6.85
262,-6.37,-0.10,6.71
266,-6.27,-0.03,6.29
271,-6.49,-0.06,6.62
275,-6.63,-0.20,6.45
280,-6.57,-0.19,6.33
284,-6.55,0.01,6.47
289,-6.63,-0.06,6.60
294,-6.64,-0.03,6.63
298,-6.64,-0.04,6.66
303,-6.59,-0.11,6.67
308,-6.49,-0.13,6.81
313,-6.49,-0.08,6.57
316,-6.26,-0.15,6.48
321,-6.44,-0.14,6.46
326,-6.49,-0.09,6.80
331,-6.57,-0.22,6.90
335,-6.49,-0.13,6.95
340,-6.57,-0.17,6.65
345,-6.60,-0.06,6.84
350,-6.54,-0.11,6.75
354,-6.58,-0.29,6.71
358,-6.51,-0.16,6.98
363,-6.52,-0.31,6.83
368,-6.34,-0.26,6.71
372,-6.43,-0.15,6.68
377,-6.66,-0.17,6.94
382,-6.54,-0.29,6.87
387,-6.37,-0.23,6.88
391,-6.45,-0.20,6.52
396,-6.53,-0.22,6.76
400,-6.64,-0.26,7.07
404,-6.50,-0.07,6.95
409,-6.29,0.04,6.96
414,-6.47,0.07,7.10
419,-6.37,0.06,6.95
423,-6.57,0.04,6.99
428,-6.54,-0.05,7.38
433,-6.32,-0.04,7.35
438,-6.39,-0.03,6.77
441,-6.49,0.10,7.07
446,-6.65,0.11,6.91
451,-6.40,0.14,6.95
455,-6.30,0.26,6.96
460,-6.45,-0.01,7.18
465,-6.37,-0.14,6.81
470,-6.34,-0.07,6.59
474,-6.47,-0.14,6.61
479,-6.44,-0.11,6.78
483,-6.62,-0.31,6.76
487,-6.43,-0.27,6.80
492,-6.51,-0.14,6.94
497,-6.41,-0.08,7.12
502,-6.53,0.00,7.33
506,-6.31,-0.15,7.11
511,-6.49,-0.20,6.87
516,-6.53,-0.12,6.69
520,-6.75,-0.15,6.61
524,-6.62,-0.20,6.71
529,-6.40,-0.16,6.46
534,-6.52,-0.16,6.70
538,-6.51,-0.14,6.70
543,-6.54,-0.20,6.71
548,-6.49,-0.18,6.46
552,-6.45,-0.11,6.29
557,-6.42,-0.11,6.35
562,-6.49,-0.13,6.65
566,-6.50,-0.34,6.56
570,-6.31,-0.11,6.66
575,-6.58,-0.10,6.76
580,-6.50,-0.15,6.67
585,-6.70,-0.16,6.75
589,-6.56,-0.16,6.80
594,-6.55,-0.12,6.81
599,-6.47,-0.03,6.84
603,-6.49,-0.08,6.99
607,-6.58,-0.15,7.18
612,-6.37,-0.22,6.82
617,-6.42,-0.17,6.84
621,-6.44,-0.27,6.82
626,-6.49,-0.27,6.84
631,-6.50,-0.36,6.73
636,-6.49,-0.20,6.89
640,-6.57,-0.06,7.19
645,-6.49,-0.20,6.72
649,-6.46,-0.18,6.66
654,-6.49,-0.20,7.06
658,-6.38,-0.22,6.97
663,-6.59,-0.29,7.06
668,-6.50,-0.25,7.06
673,-6.49,-0.21,6.78
677,-6.49,-0.18,6.84
682,-6.68,-0.10,6.80
687,-6.69,0.01,6.95
690,-6.74,0.08,6.97
695,-6.65,-0.13,7.05
700,-6.52,-0.04,6.75
704,-6.49,-0.03,6.54
709,-6.60,0.01,6.52
714,-6.74,-0.01,6.65
718,-6.83,-0.07,6.66
723,-6.65,-0.01,6.56
728,-6.51,-0.04,6.61
732,-6.58,-0.05,6.79
736,-6.68,-0.14,6.82
741,-6.67,-0.25,6.96
746,-6.49,-0.21,7.00
750,-6.43,-0.29,7.26
755,-6.57,-0.28,6.94
760,-6.52,-0.18,6.83
765,-6.49,-0.09,7.06
769,-6.41,-0.27,7.04
773,-6.36,-0.22,7.07
778,-6.30,-0.25,6.96
783,-6.31,-0.24,7.01
787,-6.40,-0.25,6.80
792,-6.49,-0.19,6.39
797,-6.50,-0.21,6.73
801,-6.53,-0.26,6.68
806,-6.31,-0.22,6.46
811,-6.48,-0.19,6.69
815,-6.46,-0.14,6.94
819,-6.36,-0.11,6.71
824,-6.42,-0.07,6.71
829,-6.51,-0.13,6.77
834,-6.37,-0.11,6.79
838,-6.50,-0.06,6.71
843,-6.62,-0.11,6.68
848,-6.60,-0.11,6.77
853,-6.48,-0.09,6.71
856,-6.36,-0.07,6.71
861,-6.39,-0.25,6.59
866,-6.53,-0.11,6.84
870,-6.44,-0.06,6.91
875,-6.57,-0.01,6.70
880,-6.48,0.06,6.53
885,-6.63,0.03,6.93
889,-6.60,-0.03,6.85
894,-6.59,-0.11,6.83
898,-6.63,-0.06,6.45
902,-6.66,-0.13,6.41
907,-6.58,-0.10,6.87
912,-6.47,-0.11,6.63
916,-6.44,-0.11,6.67
921,-6.59,-0.17,6.71
926,-6.37,-0.04,6.85
931,-6.56,0.09,7.05
935,-6.58,0.09,6.95
939,-6.55,-0.06,6.76
944,-6.37,-0.08,6.86
949,-6.51,-0.07,6.55
953,-6.49,0.01,6.71
958,-6.49,-0.16,6.50
963,-6.57,-0.21,6.32
967,-6.48,0.01,6.54
972,-6.63,0.02,6.59
977,-6.68,0.00,6.88
981,-6.60,-0.11,7.03
985,-6.59,0.01,7.04
990,-6.47,-0.04,7.09
995,-6.50,-0.11,6.85
999,-6.44,-0.11,6.88
1004,-6.48,-0.11,6.78
1009,-6.31,-0.17,6.87
1014,-6.32,-0.16,6.66
1018,-6.43,-0.12,6.84
1022,-6.71,-0.22,6.87
1027,-6.55,-0.24,6.94
1032,-6.27,-0.26,6.92
1036,-6.18,-0.19,6.94
1041,-6.52,-0.11,7.05
1046,-6.60,-0.21,7.36
1050,-6.46,-0.12,7.04
1055,-6.31,-0.28,6.64
1060,-6.49,-0.30,6.69
1064,-6.34,-0.20,6.89
1068,-6.54,-0.29,6.94
1073,-6.42,-0.32,6.82
