timestamp,accX,accY,accZ
0,-6.49,-0.04,6.94
90,-6.49,-0.04,7.02
94,-6.46,-0.01,6.71
99,-6.46,0.08,6.65
104,-6.54,-0.02,6.71
109,-6.60,0.04,6.59
113,-6.55,0.00,6.57
118,-6.61,0.07,6.40
123,-6.49,0.06,6.68
127,-6.56,0.00,6.63
131,-6.39,0.19,6.51
136,-6.65,0.15,6.91
140,-6.37,-0.11,6.80
145,-6.45,-0.01,6.95
150,-6.50,-0.04,6.99
155,-6.49,-0.17,6.75
159,-6.44,-0.16,6.77
164,-6.42,-0.11,6.86
168,-6.60,-0.02,6.93
173,-6.49,0.00,6.91
177,-6.55,-0.07,6.86
182,-6.46,-0.05,6.51
187,-6.52,-0.08,6.61
191,-6.50,0.06,6.52
196,-6.50,0.10,6.70
201,-6.71,-0.03,6.85
206,-6.44,-0.02,6.85
210,-6.23,-0.08,6.97
214,-6.40,-0.11,6.95
219,-6.45,-0.05,6.76
223,-6.42,-0.04,6.49
228,-6.56,-0.18,6.45
233,-6.64,-0.16,6.71
238,-6.58,-0.10,6.59
242,-6.67,-0.09,7.07
247,-6.71,-0.17,6.97
252,-6.62,-0.24,6.92
255,-6.61,-0.28,6.69
260,-6.39,-0.05,6.88
265,-6.32,-0.11,6.97
270,-6.44,-0.17,6.89
274,-6.61,-0.05,6.59
279,-6.57,-0.14,6.79
284,-6.56,-0.13,6.52
288,-6.54,-0.17,6.64
293,-6.45,-0.09,6.89
297,-6.47,0.04,6.88
302,-6.46,-0.13,6.91
306,-6.58,-0.11,6.92
311,-6.40,-0.15,6.64
316,-6.36,0.01,6.84
320,-6.49,-0.10,6.96
325,-6.64,-0.05,6.91
330,-6.69,0.01,7.02
335,-6.46,-0.13,7.10
338,-6.51,0.02,6.93
343,-6.54,-0.03,7.17
348,-6.49,0.06,6.97
353,-6.51,-0.05,6.63
357,-6.35,-0.13,6.66
362,-6.35,-0.08,6.66
367,-6.26,0.03,6.35
372,-6.40,0.07,6.82
376,-6.43,0.01,6.81
380,-6.37,-0.21,6.56
385,-6.51,-0.03,6.59
389,-6.50,0.02,6.91
394,-6.52,0.01,6.98
399,-6.67,-0.03,6.91
403,-6.61,-0.11,6.92
408,-6.56,0.04,6.71
413,-6.49,-0.13,6.78
418,-6.31,-0.04,6.93
421,-6.21,-0.06,6.62
426,-6.37,-0.02,6.90
431,-6.56,0.10,6.65
436,-6.39,-0.15,6.66
440,-6.45,-0.10,6.70
445,-6.43,-0.02,6.66
450,-6.41,-0.13,6.89
454,-6.41,-0.14,7.04
459,-6.28,-0.19,6.81
463,-6.38,-0.08,6.64
467,-6.22,-0.14,6.51
472,-6.39,-0.09,6.71
477,-6.44,-0.15,6.71
482,-6.34,-0.29,6.70
486,-6.33,-0.19,6.91
491,-6.50,-0.08,6.63
496,-6.58,-0.11,6.72
501,-6.44,-0.20,6.47
505,-6.50,-0.14,6.56
509,-6.44,-0.18,6.94
514,-6.31,-0.32,7.10
519,-6.30,-0.32,6.95
523,-6.21,-0.33,6.91
528,-6.46,-0.21,6.89
533,-6.53,-0.07,7.06
538,-6.40,-0.12,6.87
542,-6.31,-0.27,6.97
546,-6.38,-0.34,7.00
551,-6.50,-0.15,6.97
555,-6.51,-0.11,6.86
560,-6.46,-0.19,6.87
565,-6.30,-0.17,6.69
570,-6.44,-0.18,7.01
574,-6.44,-0.05,6.71
579,-6.55,-0.20,7.15
584,-6.39,-0.17,6.68
588,-6.42,-0.20,6.90
592,-6.45,-0.13,6.42
597,-6.61,-0.13,6.55
602,-6.56,-0.17,6.47
607,-6.33,-0.04,6.68
611,-6.60,0.10,6.53
616,-6.55,0.02,6.35
621,-6.75,-0.09,6.36
625,-6.67,-0.11,6.50
629,-6.69,-0.07,6.46
634,-6.61,-0.06,6.65
638,-6.52,-0.07,6.42
643,-6.65,0.02,6.38
648,-6.55,0.07,6.64
653,-6.40,0.01,6.60
657,-6.49,0.04,6.67
662,-6.51,-0.01,6.94
667,-6.49,0.08,6.93
671,-6.49,0.05,6.68
675,-6.39,0.11,6.63
680,-6.50,0.07,6.43
685,-6.59,-0.11,6.38
690,-6.44,-0.10,6.47
694,-6.47,-0.12,6.55
699,-6.48,0.04,6.61
704,-6.43,-0.04,6.61
708,-6.34,-0.04,6.66
712,-6.56,-0.03,6.67
717,-6.59,0.04,6.94
722,-6.66,-0.08,7.17
726,-6.65,-0.07,6.81
731,-6.54,-0.08,7.14
736,-6.43,-0.13,6.88
741,-6.48,-0.10,6.59
745,-6.56,0.04,6.71
750,-6.59,-0.02,6.85
754,-6.44,-0.14,6.98
758,-6.58,-0.14,7.08
763,-6.45,-0.02,6.67
768,-6.45,0.04,6.94
773,-6.55,-0.11,6.82
777,-6.59,0.00,6.76
782,-6.52,-0.01,6.68
787,-6.58,0.00,6.83
791,-6.41,-0.06,6.80
795,-6.43,-0.11,6.52
800,-6.40,-0.05,6.64
804,-6.61,-0.15,6.70
809,-6.45,-0.09,6.83
814,-6.52,0.09,6.92
819,-6.51,0.15,6.98
823,-6.54,0.07,7.09
828,-6.38,0.07,6.95
833,-6.29,-0.04,7.04
837,-6.37,-0.06,6.65
841,-6.55,-0.03,6.71
846,-6.67,-0.08,6.43
851,-6.63,-0.02,6.67
855,-6.52,-0.11,6.56
860,-6.55,0.02,6.92
865,-6.51,-0.23,7.06
870,-6.34,-0.25,6.90
874,-6.35,-0.16,7.02
878,-6.35,-0.24,6.82
883,-6.41,-0.39,6.92
887,-6.31,-0.42,6.86
892,-6.40,-0.22,6.83
897,-6.53,-0.26,7.08
902,-6.41,-0.31,6.98
906,-6.58,-0.31,6.75
911,-6.46,-0.09,6.57
916,-6.49,-0.15,6.40
920,-6.49,-0.15,6.95
924,-6.32,-0.17,6.68
929,-6.50,-0.09,6.67
934,-6.79,-0.24,6.82
938,-6.57,-0.24,6.69
943,-6.51,-0.14,6.60
948,-6.51,-0.06,6.76
953,-6.56,-0.22,6.71
957,-6.32,-0.11,6.64
961,-6.58,-0.23,6.67
966,-6.61,-0.18,6.93
970,-6.49,-0.11,7.13
975,-6.49,-0.19,7.10
980,-6.48,-0.24,6.97
985,-6.44,-0.33,6.93
989,-6.51,-0.19,7.14
994,-6.47,-0.15,6.76
999,-6.35,-0.08,6.66
1003,-6.44,0.04,6.60
1007,-6.45,-0.01,6.82
1012,-6.59,-0.11,7.09
1017,-6.56,-0.09,6.99
1022,-6.55,-0.11,6.83
1026,-6.55,-0.03,6.68
1031,-6.68,-0.16,6.83
1036,-6.40,-0.08,6.83
1041,-6.39,0.02,6.95
1044,-6.41,-0.05,7.11
1049,-6.56,-0.14,6.75
1054,-6.50,-0.12,6.74
1058,-6.49,0.02,7.04
1063,-6.60,0.12,7.21
1068,-6.50,0.04,6.92
1073,-6.61,0.13,6.98
1077,-6.62,0.04,6.72
1082,-6.49,-0.06,7.06
1086,-6.40,-0.06,6.85
1091,-6.50,-0.15,6.84
1095,-6.37,-0.14,6.87
1100,-6.57,-0.17,6.70
1105,-6.65,-0.06,6.69
1110,-6.64,-0.09,6.97
1114,-6.60,-0.08,6.98
1119,-6.62,-0.19,6.89
1124,-6.67,-0.15,6.78
1128,-6.47,-0.17,6.77
1132,-6.62,-0.33,6.86
1137,-6.53,-0.24,6.59
1142,-6.39,-0.23,6.67
1146,-6.50,-0.11,6.77
1151,-6.38,-0.11,6.63
1156,-6.57,-0.06,6.47
1161,-6.68,-0.09,6.65
1165,-6.56,0.11,7.00
1169,-6.71,-0.08,6.91
1174,-6.59,-0.05,6.89
1178,-6.54,-0.09,6.75
1183,-6.45,-0.07,6.68
1188,-6.34,-0.07,6.77
1193,-6.36,-0.03,6.52
1197,-6.37,-0.03,6.81
1202,-6.49,-0.11,6.94
1207,-6.40,-0.09,6.53
1211,-6.54,-0.09,6.59
1216,-6.46,-0.16,6.88
1220,-6.41,-0.12,6.65
1225,-6.38,-0.03,6.40
1230,-6.48,-0.20,6.47
1234,-6.43,-0.06,6.67
1239,-6.51,-0.04,6.66
1244,-6.49,-0.02,6.85
1249,-6.50,-0.01,6.80
1252,-6.59,-0.01,6.77
1257,-6.54,0.02,6.85
1262,-6.58,0.12,6.72
1267,-6.73,-0.03,6.66
1271,-6.59,-0.06,6.89
1276,-6.36,0.06,6.78
1281,-6.42,-0.10,6.78
1285,-6.46,-0.01,6.90
1290,-6.30,-0.12,6.77
1294,-6.35,0.07,6.64
1299,-6.59,-0.03,6.58
1303,-6.72,-0.02,6.86
1308,-6.62,-0.12,6.94
1313,-6.49,-0.09,6.93
1318,-6.40,-0.19,6.93
1322,-6.50,-0.11,6.71
1327,-6.63,-0.07,6.77
1332,-6.59,-0.10,6.84
1336,-6.49,-0.04,6.86
1340,-6.57,-0.19,6.64
1345,-6.61,-0.25,6.52
1350,-6.46,-0.16,6.60
1354,-6.39,-0.18,6.63
1359,-6.61,-0.23,6.49
1364,-6.61,-0.12,6.76
1369,-6.54,-0.15,6.55
1373,-6.61,-0.11,6.54
1377,-6.67,-0.10,6.81
1382,-6.52,-0.18,6.94
1387,-6.52,-0.20,6.64
1391,-6.55,-0.12,6.54
1396,-6.74,-0.23,6.68
1401,-6.51,-0.25,6.33
1405,-6.57,-0.18,6.80
1410,-6.59,-0.11,7.13
1415,-6.52,-0.07,6.92
1419,-6.51,-0.08,7.02
1423,-6.46,0.01,6.71
1428,-6.48,-0.05,6.78
1433,-6.43,-0.12,6.78
1437,-6.62,-0.09,6.57
1442,-6.72,-0.10,6.80
1447,-6.70,-0.07,6.98
1452,-6.71,-0.11,6.96
1456,-6.44,-0.11,7.05
1460,-6.47,-0.17,6.83
1465,-6.44,-0.08,6.65
1470,-6.61,-0.06,6.56
1474,-6.80,-0.20,6.85
1479,-6.35,-0.09,7.00
1484,-6.37,-0.21,6.97
1488,-6.66,-0.15,6.71
1493,-6.58,-0.19,6.56
1498,-6.55,-0.16,6.90
1502,-6.58,-0.20,6.78
1506,-6.58,-0.08,6.61
1511,-6.49,-0.20,6.53
1516,-6.62,-0.19,6.75
1521,-6.62,-0.07,6.69
1525,-6.60,-0.15,6.81
1530,-6.52,-0.20,6.73
1535,-6.26,-0.05,6.30
1539,-6.48,0.02,6.35
1543,-6.67,0.00,6.66
1548,-6.51,-0.06,6.73
1553,-6.51,0.00,6.90
1557,-6.41,0.02,6.86
1562,-6.52,-0.11,6.76
1567,-6.38,-0.03,6.71
1572,-6.46,-0.03,6.51
1576,-6.56,-0.01,6.73
1581,-6.70,-0.11,6.77
1585,-6.83,-0.11,7.03
1590,-6.66,-0.02,7.05
1594,-6.49,-0.04,7.17
1599,-6.47,0.06,7.01
1604,-6.56,0.02,6.49
1608,-6.59,0.12,6.61
1613,-6.34,-0.09,6.86
1618,-6.50,-0.09,6.79
1623,-6.41,-0.06,6.36
