timestamp,accX,accY,accZ
0,-6.67,0.10,6.73
91,-6.45,0.17,6.68
95,-6.43,0.22,6.78
100,-6.45,0.15,7.06
105,-6.47,0.15,7.10
109,-6.35,0.11,6.66
113,-6.49,0.03,6.66
118,-6.48,-0.03,6.87
123,-6.32,0.01,6.79
127,-6.28,-0.10,6.51
132,-6.41,-0.06,6.50
137,-6.24,-0.14,6.75
142,-6.32,-0.06,6.78
146,-6.43,0.13,6.98
150,-6.56,-0.07,6.91
155,-6.46,-0.06,6.64
159,-6.49,-0.02,6.68
164,-6.51,0.05,6.59
169,-6.62,-0.11,6.94
174,-6.51,-0.04,6.95
178,-6.45,-0.04,6.76
183,-6.61,0.06,6.85
188,-6.66,0.06,6.65
192,-6.67,-0.03,6.61
196,-6.52,0.07,6.85
201,-6.54,-0.04,6.77
206,-6.59,-0.04,7.03
210,-6.47,-0.27,6.78
215,-6.65,-0.13,6.56
220,-6.69,-0.15,6.96
225,-6.70,-0.10,6.65
229,-6.48,0.03,6.68
233,-6.61,-0.04,6.71
238,-6.41,0.02,6.68
243,-6.36,0.05,6.63
247,-6.45,-0.07,6.54
252,-6.48,-0.07,6.71
257,-6.71,0.06,6.75
261,-6.56,0.04,6.81
266,-6.65,-0.07,6.71
271,-6.70,0.01,6.76
275,-6.60,0.00,6.88
279,-6.52,-0.01,6.71
284,-6.49,-0.04,6.70
289,-6.56,-0.04,6.92
293,-6.36,-0.07,6.80
298,-6.49,-0.03,6.65
303,-6.56,-0.08,6.69
308,-6.55,0.04,6.79
312,-6.65,-0.01,6.95
316,-6.56,-0.03,6.82
321,-6.56,-0.01,6.75
325,-6.58,0.02,6.84
330,-6.55,0.04,6.66
335,-6.71,0.11,6.59
339,-6.75,-0.02,6.59
344,-6.61,0.06,6.74
349,-6.67,-0.01,6.84
354,-6.70,-0.03,6.66
357,-6.50,-0.04,6.96
362,-6.42,-0.13,6.55
367,-6.64,-0.26,6.83
372,-6.58,-0.05,7.02
376,-6.62,-0.10,7.34
381,-6.72,-0.12,7.24
386,-6.81,-0.09,7.22
390,-6.63,-0.11,6.95
395,-6.56,-0.11,6.47
399,-6.52,0.09,6.88
404,-6.60,0.05,7.03
408,-6.68,-0.17,7.05
413,-6.76,-0.17,6.83
418,-6.70,-0.03,6.96
423,-6.56,0.06,7.07
427,-6.63,-0.05,6.95
432,-6.50,0.00,6.91
437,-6.68,-0.05,6.83
440,-6.70,-0.11,6.92
445,-6.57,-0.08,6.82
450,-6.54,-0.19,6.72
455,-6.35,-0.12,6.84
459,-6.57,-0.16,6.80
464,-6.68,-0.20,6.62
469,-6.44,-0.22,6.55
473,-6.49,-0.20,6.74
478,-6.62,-0.23,6.48
482,-6.62,-0.25,6.74
487,-6.44,-0.21,6.46
491,-6.62,-0.15,6.27
496,-6.68,-0.14,6.64
501,-6.62,-0.08,6.41
506,-6.63,-0.07,6.40
510,-6.60,-0.25,6.51
515,-6.52,-0.05,6.33
520,-6.49,-0.14,6.17
523,-6.79,-0.15,6.28
528,-6.78,0.02,6.22
533,-6.74,-0.08,6.35
538,-6.81,-0.09,6.43
542,-6.80,-0.08,6.78
547,-6.61,-0.08,6.45
552,-6.58,-0.15,6.63
557,-6.66,-0.05,6.53
561,-6.68,-0.11,6.62
565,-6.48,-0.12,6.94
570,-6.48,-0.14,6.99
574,-6.49,-0.13,6.70
579,-6.53,-0.18,6.49
584,-6.31,-0.12,6.58
589,-6.57,-0.24,6.68
593,-6.62,-0.16,7.01
598,-6.47,-0.12,6.78
603,-6.47,-0.19,6.84
606,-6.51,-0.22,6.85
611,-6.52,-0.20,6.77
616,-6.35,-0.20,6.74
621,-6.45,-0.13,6.75
625,-6.52,-0.02,6.99
630,-6.57,-0.13,6.89
635,-6.52,-0.16,6.84
640,-6.46,-0.11,6.79
644,-6.56,-0.09,6.89
648,-6.49,-0.13,7.12
653,-6.47,-0.07,7.25
658,-6.51,-0.09,6.97
662,-6.31,-0.15,6.71
667,-6.49,0.01,6.96
672,-6.72,0.00,6.93
676,-6.62,-0.10,6.89
681,-6.51,0.04,6.68
686,-6.51,-0.04,6.84
689,-6.35,0.06,6.60
694,-6.59,0.14,6.61
699,-6.71,0.05,6.74
704,-6.75,0.03,6.63
708,-6.71,0.10,6.54
713,-6.80,0.19,6.49
718,-6.72,0.00,6.74
723,-6.63,-0.06,6.80
727,-6.52,-0.04,6.70
731,-6.46,-0.03,6.91
736,-6.40,-0.05,6.70
740,-6.47,-0.24,6.56
745,-6.46,-0.10,6.46
750,-6.50,-0.11,6.53
755,-6.34,0.04,6.68
759,-6.41,-0.11,6.92
764,-6.46,-0.28,6.64
769,-6.50,-0.21,6.71
773,-6.51,-0.17,7.01
777,-6.66,-0.21,6.83
782,-6.65,-0.28,7.02
787,-6.46,-0.32,6.59
791,-6.44,-0.22,6.74
796,-6.45,-0.28,7.11
801,-6.63,-0.31,6.70
806,-6.40,-0.26,6.50
810,-6.48,-0.20,7.10
814,-6.44,-0.19,7.06
819,-6.50,-0.21,6.82
824,-6.55,-0.12,6.45
828,-6.74,-0.14,6.73
833,-6.41,-0.10,6.61
838,-6.57,-0.14,6.86
843,-6.77,-0.03,6.78
847,-6.62,-0.06,6.63
852,-6.55,-0.01,6.45
856,-6.56,0.11,6.77
861,-6.60,0.12,6.63
865,-6.52,0.01,6.63
870,-6.58,-0.01,6.17
875,-6.51,-0.10,6.34
879,-6.51,-0.08,6.64
884,-6.49,0.03,6.88
889,-6.72,0.04,6.70
894,-6.77,0.03,6.79
898,-6.77,0.05,6.91
902,-6.57,0.05,6.85
907,-6.64,0.05,6.59
911,-6.61,0.12,6.92
916,-6.43,0.03,6.96
921,-6.62,-0.07,6.55
926,-6.45,-0.07,6.46
930,-6.50,0.06,6.56
935,-6.51,-0.06,6.63
939,-6.55,0.03,6.74
943,-6.68,0.02,6.42
948,-6.66,-0.10,6.68
953,-6.58,-0.11,6.56
958,-6.62,-0.08,6.51
962,-6.50,-0.12,6.62
967,-6.55,-0.04,6.75
972,-6.43,-0.06,6.80
977,-6.44,-0.12,6.87
981,-6.43,-0.06,6.81
985,-6.57,-0.02,7.26
990,-6.50,0.11,6.94
994,-6.62,0.06,7.00
999,-6.44,-0.05,7.23
1004,-6.49,-0.02,7.02
1009,-6.51,0.00,6.93
1013,-6.63,0.04,6.50
1018,-6.61,0.06,6.23
1023,-6.59,0.09,6.31
1026,-6.60,0.09,6.86
1031,-6.49,0.17,6.71
1036,-6.53,0.07,6.92
1041,-6.67,-0.01,6.89
1045,-6.70,0.00,7.02
1050,-6.60,0.01,7.03
1055,-6.58,0.03,6.89
1059,-6.55,-0.05,6.70
1064,-6.76,-0.10,6.76
1068,-6.70,-0.13,6.69
1073,-6.46,-0.13,6.71
1077,-6.71,-0.11,6.78
1082,-6.48,-0.08,6.95
1087,-6.52,-0.09,7.00
1092,-6.49,0.06,6.67
1096,-6.54,-0.07,6.44
1101,-6.60,-0.15,6.79
1106,-6.82,-0.21,6.94
1109,-6.63,-0.20,6.92
1114,-6.49,-0.24,6.77
1119,-6.43,-0.11,6.87
1124,-6.26,-0.23,6.58
1128,-6.48,-0.20,6.71
1133,-6.52,-0.17,6.69
1138,-6.66,-0.15,6.82
1143,-6.56,-0.13,6.90
1147,-6.36,-0.07,6.71
1151,-6.49,-0.07,6.61
1156,-6.62,0.02,6.53
1160,-6.48,0.03,6.60
1165,-6.60,0.04,6.91
1170,-6.55,0.00,6.62
1175,-6.56,-0.05,6.59
1179,-6.53,0.14,6.61
1184,-6.49,0.07,6.47
1189,-6.54,0.10,6.94
1192,-6.39,0.04,6.95
1197,-6.45,-0.01,7.06
1202,-6.65,0.03,7.07
1207,-6.78,0.12,6.83
1211,-6.60,0.04,6.71
1216,-6.71,0.00,6.81
1221,-6.65,0.02,6.87
1225,-6.41,0.05,6.73
1230,-6.54,-0.07,6.91
1234,-6.37,0.15,6.71
1239,-6.48,0.12,6.83
1243,-6.37,0.07,6.67
1248,-6.63,-0.07,6.86
1253,-6.50,-0.08,7.07
1258,-6.39,-0.15,7.07
1262,-6.39,-0.18,6.72
1267,-6.51,-0.05,6.85
1272,-6.58,-0.18,6.76
1275,-6.38,-0.02,6.95
1280,-6.55,0.07,7.14
1285,-6.71,-0.13,6.87
1290,-6.49,-0.20,6.71
1295,-6.50,-0.11,6.72
1299,-6.51,-0.10,6.77
1304,-6.53,-0.15,6.61
1309,-6.42,-0.13,6.89
1313,-6.43,-0.15,6.85
1317,-6.42,-0.04,6.74
1322,-6.53,-0.04,6.94
1327,-6.51,-0.12,6.94
1331,-6.32,-0.17,6.63
1336,-6.54,-0.21,6.58
1341,-6.43,-0.10,6.49
1345,-6.48,-0.16,6.51
1350,-6.53,-0.14,6.62
1355,-6.72,-0.20,6.59
1359,-6.62,-0.15,6.63
1363,-6.36,-0.04,6.47
1368,-6.51,0.02,6.71
1373,-6.53,-0.03,6.70
1377,-6.68,0.01,6.72
1382,-6.49,-0.05,6.74
