timestamp,accX,accY,accZ
0,-7.69,-0.11,5.21
91,-7.63,-0.02,5.18
95,-7.83,-0.19,5.30
100,-7.73,-0.14,5.26
105,-7.71,-0.07,5.20
110,-7.71,-0.09,5.20
113,-7.75,-0.11,5.25
118,-7.71,-0.19,5.08
123,-7.70,-0.15,5.04
128,-7.78,-0.11,5.23
132,-7.68,-0.04,5.13
137,-7.67,-0.03,4.75
142,-7.93,0.05,4.95
146,-8.00,0.05,5.12
151,-8.13,-0.12,5.27
155,-8.08,-0.18,5.07
160,-7.90,-0.26,4.69
164,-7.84,-0.20,5.01
169,-7.94,-0.27,4.98
174,-7.81,-0.22,4.96
179,-7.83,-0.20,5.17
183,-7.66,-0.18,5.13
188,-7.72,-0.20,5.46
193,-7.56,-0.12,5.55
196,-7.61,-0.16,5.31
201,-7.85,-0.09,5.15
206,-7.79,-0.14,5.26
211,-7.62,-0.21,5.07
215,-7.68,-0.14,5.19
220,-7.76,-0.16,5.35
225,-7.75,-0.14,5.29
229,-7.68,-0.11,5.25
234,-7.69,-0.21,5.30
238,-7.82,-0.19,5.14
243,-7.74,-0.26,5.29
247,-7.63,-0.12,5.38
252,-7.49,-0.08,5.23
257,-7.66,-0.24,4.92
261,-7.61,-0.33,5.13
266,-7.80,-0.17,5.24
271,-7.76,-0.23,5.29
276,-7.67,-0.07,5.11
279,-7.65,-0.16,4.89
284,-7.67,-0.32,5.26
289,-7.63,-0.26,4.90
294,-7.81,-0.23,5.31
298,-7.89,-0.23,5.34
303,-7.80,-0.15,5.49
308,-7.73,-0.13,5.18
312,-7.73,-0.09,5.17
317,-7.77,-0.06,5.35
321,-7.63,-0.11,5.12
326,-7.63,0.08,5.26
330,-7.65,0.15,5.13
335,-7.76,0.17,5.24
340,-7.87,0.05,5.39
345,-7.72,0.10,5.34
349,-7.51,0.09,5.17
354,-7.78,0.07,5.13
359,-7.85,0.05,5.26
363,-7.95,0.03,5.25
367,-7.84,-0.01,4.94
372,-7.95,0.01,5.04
377,-7.85,0.05,5.33
382,-7.95,-0.07,5.18
386,-7.72,-0.07,4.88
391,-7.70,-0.14,4.79
396,-7.68,-0.10,5.14
400,-7.85,-0.20,5.03
404,-7.75,-0.11,4.73
409,-7.85,-0.11,4.87
414,-7.82,-0.10,4.89
418,-7.84,-0.07,5.20
423,-7.79,0.07,5.25
428,-7.83,0.04,5.25
432,-7.72,0.11,5.43
437,-7.86,0.02,5.64
442,-7.67,0.01,5.31
446,-7.79,-0.02,5.32
450,-7.83,-0.07,5.09
455,-7.99,-0.13,5.18
460,-7.93,-0.27,5.24
464,-7.76,-0.24,4.92
469,-7.67,-0.22,4.78
474,-7.78,-0.16,5.03
479,-7.77,-0.11,5.10
483,-7.89,-0.22,5.14
487,-7.87,0.08,5.33
492,-7.90,-0.07,5.18
497,-7.84,-0.04,5.15
501,-7.77,-0.05,4.90
506,-7.80,-0.09,4.88
511,-7.65,-0.11,4.86
516,-7.66,0.11,5.06
520,-7.78,-0.16,5.20
525,-7.73,-0.04,5.36
529,-7.63,-0.06,5.05
533,-7.67,-0.03,4.88
538,-7.78,0.06,5.07
543,-7.67,-0.03,5.08
548,-7.85,-0.05,5.03
552,-7.86,0.08,5.14
557,-7.82,0.00,5.20
562,-7.71,0.01,4.97
566,-7.87,0.02,5.51
570,-7.82,-0.08,5.74
575,-7.85,-0.07,5.64
580,-7.75,-0.05,5.61
584,-7.60,-0.12,5.25
589,-7.64,-0.17,5.02
594,-7.65,-0.27,4.83
598,-7.78,-0.33,5.42
603,-7.65,-0.31,5.30
608,-7.69,-0.34,5.11
612,-7.63,-0.39,5.38
616,-7.50,-0.35,5.29
621,-7.53,-0.34,5.06
626,-7.47,-0.39,4.79
631,-7.53,-0.42,4.88
635,-7.52,-0.34,4.85
640,-7.66,-0.22,5.08
645,-7.62,-0.33,5.14
650,-7.61,-0.28,5.08
654,-7.68,-0.24,5.10
658,-7.81,-0.17,5.05
663,-7.62,-0.16,4.76
668,-7.70,-0.07,5.09
672,-7.77,-0.01,5.11
677,-7.68,-0.03,5.02
682,-7.70,0.12,5.39
686,-7.77,0.14,5.20
691,-7.80,0.13,5.39
695,-7.87,0.11,5.35
700,-7.79,0.20,5.29
704,-7.80,0.11,5.43
709,-7.85,-0.05,5.18
714,-7.53,-0.06,4.81
719,-7.63,-0.11,5.06
723,-7.65,-0.17,5.06
728,-7.55,-0.12,5.08
733,-7.73,-0.17,5.18
737,-7.67,-0.06,5.15
741,-7.71,-0.10,5.16
746,-7.91,-0.10,5.36
