timestamp,accX,accY,accZ
0,-7.86,-0.01,4.85
91,-7.85,0.09,4.63
94,-8.06,0.08,4.89
99,-8.03,0.06,5.04
104,-8.01,0.23,5.13
109,-7.89,0.33,5.39
113,-7.90,0.31,5.15
118,-7.76,0.30,5.13
123,-7.97,0.31,4.89
127,-7.85,0.26,4.69
132,-8.05,0.21,5.04
136,-8.02,0.10,5.10
141,-7.96,0.16,5.03
145,-7.94,0.13,5.15
150,-7.75,0.08,4.95
155,-7.82,-0.01,4.95
160,-7.73,0.01,4.66
164,-7.87,-0.04,4.56
169,-7.80,0.07,4.73
174,-7.68,0.05,4.83
178,-7.85,0.13,4.91
182,-7.92,0.11,5.20
187,-7.89,0.08,5.35
192,-7.94,-0.02,5.18
197,-7.71,0.02,4.98
201,-7.78,0.09,5.42
206,-7.85,-0.02,5.06
211,-7.85,-0.05,5.02
216,-7.77,-0.05,4.99
219,-7.85,-0.13,4.93
224,-7.63,0.06,4.73
229,-7.73,0.12,4.82
233,-7.65,-0.09,5.13
238,-7.66,0.01,4.89
243,-7.79,-0.05,4.94
248,-7.55,0.05,4.96
252,-7.65,-0.02,4.82
257,-7.79,0.00,5.04
261,-7.96,0.00,4.93
266,-8.02,-0.03,5.13
270,-7.95,-0.04,4.93
275,-7.82,-0.04,5.13
280,-7.85,0.04,5.23
285,-7.77,-0.03,5.01
289,-7.89,0.08,4.97
294,-7.73,0.05,4.80
299,-7.68,0.01,4.89
302,-7.77,0.07,4.79
307,-7.87,0.02,4.70
312,-7.77,0.06,5.13
317,-7.80,0.09,5.23
321,-7.88,0.09,4.78
326,-7.71,0.09,4.98
331,-7.65,0.02,5.14
336,-7.62,0.13,4.69
340,-7.70,0.12,4.82
344,-7.73,0.12,5.12
349,-7.69,0.05,5.02
353,-7.81,0.13,5.05
358,-7.65,0.11,5.06
363,-7.71,0.11,4.80
368,-7.75,0.18,4.94
372,-7.73,0.17,4.72
377,-7.66,0.11,4.95
382,-7.74,0.11,4.65
385,-7.81,0.22,4.73
390,-7.90,0.18,4.96
395,-7.82,0.27,4.98
400,-7.89,0.26,4.96
405,-7.91,0.21,4.97
409,-7.83,0.17,4.95
414,-7.74,0.23,5.21
419,-8.01,0.27,4.98
423,-8.06,0.33,5.04
427,-7.96,0.32,4.96
432,-7.95,0.37,5.11
437,-7.94,0.43,4.95
441,-7.85,0.53,5.10
446,-7.71,0.43,4.93
451,-7.71,0.43,5.13
456,-7.77,0.45,5.41
460,-7.83,0.42,5.16
465,-7.80,0.34,4.96
469,-7.95,0.29,5.12
473,-7.77,0.34,5.17
478,-7.66,0.41,5.01
483,-7.82,0.41,5.07
488,-7.83,0.46,5.17
492,-7.97,0.36,5.23
497,-7.87,0.35,5.52
502,-7.83,0.34,5.17
507,-7.79,0.30,5.28
510,-7.82,0.27,5.41
515,-7.90,0.21,5.40
520,-7.83,0.19,4.90
525,-7.85,0.14,5.23
529,-7.88,0.12,5.44
534,-7.88,0.12,5.20
539,-7.76,0.12,4.99
543,-7.75,0.20,5.28
548,-7.69,0.04,5.43
552,-7.74,-0.02,5.64
557,-7.66,0.07,5.46
561,-7.69,0.12,5.05
566,-7.83,0.09,5.03
571,-8.02,0.13,4.98
575,-7.99,0.02,5.10
580,-7.93,-0.02,5.00
585,-7.93,0.05,5.18
590,-7.85,-0.11,5.02
593,-7.87,-0.02,5.00
598,-7.85,0.00,5.27
603,-7.71,0.07,5.12
608,-7.94,0.09,5.22
612,-7.88,0.06,5.26
617,-8.00,0.10,5.00
622,-7.85,0.07,5.05
626,-7.91,0.17,5.36
631,-7.81,0.19,5.13
635,-7.89,0.16,5.17
640,-8.08,0.15,5.00
644,-7.87,0.24,4.85
649,-7.88,0.18,5.01
654,-7.77,0.14,4.92
659,-7.78,0.00,4.83
663,-7.89,-0.01,4.89
