timestamp,accX,accY,accZ
0,-7.85,-0.26,4.76
91,-7.85,-0.30,5.08
95,-7.91,-0.21,4.98
100,-7.75,-0.31,5.04
105,-7.68,-0.33,4.95
110,-7.71,-0.23,4.80
114,-7.87,-0.13,4.78
118,-7.96,-0.17,5.17
123,-7.81,-0.11,5.05
127,-7.81,-0.11,4.93
132,-7.88,0.02,4.72
137,-7.89,0.05,4.79
142,-7.97,0.17,4.96
146,-7.91,0.07,4.83
151,-7.98,0.09,4.65
156,-8.04,0.11,4.51
160,-8.12,0.02,4.41
164,-8.12,0.14,4.67
169,-8.00,0.06,4.83
174,-7.99,0.04,4.98
178,-8.06,-0.06,5.15
183,-7.91,0.00,5.20
188,-7.77,-0.01,5.22
193,-7.89,-0.05,5.06
197,-8.03,-0.01,5.15
201,-8.02,-0.09,5.33
206,-8.10,-0.10,4.96
210,-7.96,-0.07,4.90
215,-7.96,-0.04,4.79
220,-7.97,0.09,4.94
225,-7.93,-0.10,4.73
229,-7.96,-0.05,4.84
234,-7.98,-0.12,4.65
239,-8.05,-0.07,4.62
242,-7.90,0.00,4.95
247,-7.82,0.11,4.78
252,-7.93,0.14,4.89
257,-8.06,0.09,5.05
261,-8.02,-0.03,5.07
266,-7.85,0.03,5.01
271,-7.98,0.09,5.00
276,-7.85,0.01,4.69
280,-7.83,-0.03,4.73
284,-7.89,-0.03,5.00
289,-7.83,0.00,4.82
293,-7.84,0.02,4.79
298,-7.68,-0.06,4.74
303,-7.89,0.05,4.94
308,-8.08,-0.16,4.87
312,-8.12,-0.06,5.12
317,-7.91,-0.06,4.91
322,-7.93,0.03,5.12
326,-7.97,0.11,5.26
330,-7.90,-0.01,5.07
335,-7.96,0.02,4.86
340,-7.87,0.05,4.94
345,-7.90,0.05,4.91
349,-8.10,0.01,4.67
354,-7.87,0.01,4.71
359,-8.00,0.08,4.87
363,-7.95,-0.07,4.90
367,-8.08,-0.08,5.03
372,-8.00,-0.21,4.89
377,-7.90,-0.10,4.75
381,-7.72,-0.11,4.87
386,-7.78,-0.09,5.01
391,-7.87,-0.07,4.93
396,-7.82,-0.30,5.04
400,-7.88,-0.17,4.98
405,-7.78,-0.17,5.05
409,-7.82,-0.08,4.84
413,-7.74,-0.11,4.85
418,-7.85,-0.04,4.95
423,-7.87,0.00,4.91
428,-7.90,-0.03,4.69
432,-7.98,-0.01,4.56
437,-7.90,-0.05,4.83
442,-7.95,0.01,4.68
446,-7.86,-0.07,4.81
450,-7.88,0.08,4.83
455,-8.02,0.04,4.70
460,-7.99,0.02,4.97
464,-7.84,0.00,4.89
469,-7.99,-0.03,4.49
474,-7.84,0.09,4.63
478,-7.83,-0.03,4.46
483,-7.92,-0.06,4.68
488,-7.85,-0.09,4.85
492,-7.94,-0.25,4.48
496,-7.61,-0.10,4.62
501,-7.71,-0.19,4.58
506,-7.71,-0.18,4.64
510,-7.98,-0.03,5.04
515,-7.84,-0.04,5.20
520,-8.06,0.01,5.16
525,-7.98,-0.01,5.04
529,-8.07,0.04,5.05
533,-8.07,0.02,4.64
538,-7.84,0.14,4.85
543,-7.96,0.17,5.07
547,-7.96,0.06,4.94
552,-7.82,0.06,4.58
557,-7.84,-0.03,4.48
562,-7.80,0.08,4.86
566,-7.90,0.00,4.93
571,-8.08,-0.04,4.93
575,-7.88,0.00,4.85
579,-7.88,-0.07,4.83
584,-7.84,-0.07,4.56
589,-7.98,0.01,4.60
593,-8.02,0.01,4.40
598,-8.01,0.22,4.62
603,-8.03,0.10,4.72
608,-8.04,0.06,4.64
612,-8.14,0.09,4.59
617,-8.24,0.04,4.65
621,-7.94,0.17,4.76
625,-7.96,0.10,4.69
630,-7.86,0.11,4.65
635,-7.95,0.09,4.72
640,-7.97,0.09,4.82
644,-7.95,0.13,4.85
649,-8.04,0.02,5.27
654,-7.97,0.12,5.30
658,-7.82,-0.07,4.92
662,-7.80,0.05,4.83
667,-7.86,0.08,4.70
672,-7.90,-0.02,4.58
676,-7.94,0.00,4.64
681,-7.96,-0.03,5.08
686,-7.98,0.03,4.96
691,-8.08,-0.01,5.09
695,-8.06,0.17,5.07
700,-8.15,0.11,5.15
704,-7.98,0.11,5.15
708,-7.87,0.07,4.74
713,-8.03,0.10,4.72
718,-7.96,0.08,4.74
723,-8.07,0.12,4.69
727,-8.09,0.05,4.64
732,-7.95,0.05,4.89
737,-8.08,0.06,5.06
741,-8.08,0.04,4.78
745,-8.11,0.08,4.92
750,-8.00,0.09,4.78
755,-7.84,0.08,4.48
759,-7.99,0.10,4.56
764,-8.13,0.14,4.87
769,-8.01,0.12,4.87
774,-7.88,0.07,5.08
778,-7.94,0.14,4.87
783,-7.86,0.01,5.02
787,-7.86,0.02,5.02
792,-7.92,-0.01,4.96
796,-7.90,-0.11,4.66
801,-8.01,-0.03,4.47
806,-8.09,0.00,4.71
810,-8.01,0.01,4.70
815,-8.02,0.02,4.66
820,-7.91,0.02,4.64
825,-7.91,0.06,4.62
828,-8.16,0.13,4.78
833,-8.15,0.01,4.49
838,-8.12,-0.13,4.59
842,-7.98,0.04,4.58
847,-7.93,0.02,4.80
852,-7.86,0.01,4.73
857,-8.04,-0.16,4.83
861,-7.82,0.00,4.89
866,-7.99,-0.09,4.80
870,-8.05,-0.03,4.82
874,-7.87,0.01,5.10
879,-7.74,-0.07,5.06
884,-7.94,-0.01,5.00
889,-8.10,0.00,5.05
893,-8.00,0.09,4.96
898,-7.96,0.02,4.87
903,-8.01,0.02,4.67
907,-7.95,0.00,4.72
911,-7.96,-0.03,4.82
916,-7.88,0.03,5.01
921,-8.08,-0.04,4.92
925,-7.97,-0.18,4.97
930,-7.84,-0.07,5.05
935,-7.75,-0.11,4.83
940,-7.96,-0.11,4.62
944,-7.77,-0.10,4.90
949,-7.77,-0.20,4.99
953,-7.76,-0.20,4.85
958,-7.82,-0.02,4.75
962,-7.91,0.03,5.14
967,-8.02,-0.10,5.26
972,-7.87,-0.19,5.12
976,-8.07,-0.01,5.34
981,-8.05,0.09,5.02
986,-7.91,0.10,4.92
990,-8.08,0.09,4.88
994,-8.14,0.18,4.82
999,-7.89,-0.11,4.88
1004,-7.90,0.04,4.61
1008,-8.03,0.09,4.66
1013,-7.94,0.09,4.61
1018,-7.89,0.09,4.66
1023,-8.00,0.13,4.83
1027,-7.92,0.15,4.74
1032,-8.24,0.18,5.00
1036,-8.06,0.18,5.06
1040,-8.18,-0.06,4.80
1045,-8.06,-0.06,5.07
1050,-7.90,-0.06,5.18
1055,-8.02,-0.06,5.05
1059,-7.89,-0.11,4.75
1064,-7.99,-0.02,4.59
1069,-8.01,0.16,4.76
1074,-8.04,0.21,4.91
1077,-8.05,-0.01,4.80
1082,-8.05,-0.05,4.94
1087,-8.12,-0.06,4.90
1092,-7.85,-0.07,4.93
1096,-7.91,-0.03,4.73
