timestamp,accX,accY,accZ
0,-7.98,-0.03,4.64
91,-8.01,0.00,4.89
95,-8.08,-0.10,4.74
99,-8.18,0.05,4.91
104,-8.04,0.09,4.89
109,-8.04,0.03,5.14
113,-7.93,0.03,4.91
118,-7.84,-0.01,4.95
123,-7.97,0.04,4.99
127,-8.00,0.08,5.02
132,-7.97,0.03,4.94
137,-8.13,0.00,4.96
141,-7.98,0.08,4.79
145,-7.98,0.10,4.57
150,-7.90,0.17,4.56
155,-8.01,0.09,4.67
160,-8.04,0.06,4.71
164,-8.05,-0.01,4.59
169,-8.02,0.06,4.42
174,-7.92,0.00,4.45
178,-8.03,0.14,4.31
182,-8.01,0.05,4.51
187,-8.10,0.03,4.82
192,-7.93,0.11,4.83
196,-7.90,0.11,4.85
201,-7.88,0.10,4.75
206,-7.82,0.06,4.79
210,-7.96,0.07,4.64
215,-8.08,0.19,4.44
220,-8.03,0.13,4.53
224,-8.20,0.11,4.77
228,-8.20,0.09,4.44
233,-8.19,0.08,4.46
238,-7.88,0.13,4.60
243,-7.94,0.09,4.88
247,-8.16,0.07,4.74
252,-8.20,-0.01,4.87
257,-7.91,-0.08,4.67
261,-8.12,-0.14,4.85
265,-7.88,-0.07,4.64
270,-7.86,-0.07,4.89
275,-7.94,-0.08,4.60
279,-7.92,-0.10,4.72
284,-8.10,-0.12,5.18
289,-7.97,-0.03,4.92
293,-7.83,-0.02,4.81
298,-8.00,-0.04,4.75
303,-8.00,0.03,5.03
307,-8.07,-0.09,4.93
311,-8.00,-0.02,4.68
316,-8.17,-0.06,4.99
321,-8.07,-0.06,4.75
326,-8.01,0.01,4.71
330,-7.90,0.09,4.60
335,-7.84,0.06,4.84
340,-8.10,0.03,4.64
344,-8.01,-0.06,4.52
348,-8.09,-0.03,4.74
353,-8.08,-0.01,5.06
357,-8.08,0.07,5.00
362,-8.19,-0.03,4.87
367,-8.06,-0.06,4.74
372,-8.09,-0.09,4.71
376,-8.09,-0.08,4.67
381,-8.14,-0.14,4.73
386,-8.03,-0.03,4.60
390,-8.02,0.11,4.93
394,-8.22,0.04,4.89
399,-8.05,0.08,4.97
404,-7.98,0.09,4.97
409,-8.06,0.07,4.63
413,-8.16,0.20,4.84
418,-7.96,0.28,4.66
423,-7.89,0.25,4.61
428,-8.04,0.23,4.57
431,-8.05,0.18,4.44
436,-7.92,0.13,4.67
441,-7.98,-0.01,4.82
445,-7.93,-0.07,5.12
450,-7.93,0.09,4.66
455,-7.93,0.07,5.12
460,-8.08,0.03,4.82
464,-8.18,0.01,4.66
469,-8.13,0.07,4.85
473,-8.08,0.05,4.90
478,-8.08,-0.02,5.04
482,-8.05,0.08,4.72
487,-7.99,0.12,5.12
492,-7.97,0.13,4.98
496,-8.00,0.07,4.69
501,-7.98,0.07,4.53
