timestamp,accX,accY,accZ
0,-8.03,0.09,4.77
91,-7.98,0.11,4.69
95,-8.10,0.16,4.64
100,-8.03,0.06,4.67
105,-8.11,0.06,4.51
109,-8.04,0.09,4.59
113,-8.06,0.13,4.60
118,-8.02,0.16,4.62
123,-7.97,0.20,4.59
127,-7.93,0.19,4.58
132,-8.32,0.04,4.73
137,-8.16,-0.01,4.97
142,-8.09,0.04,4.87
146,-8.08,0.11,4.92
151,-7.93,0.07,4.91
155,-7.85,0.24,4.67
160,-7.90,0.22,4.97
164,-7.95,0.16,4.89
169,-7.98,0.34,4.65
174,-8.01,0.30,4.66
179,-8.07,0.33,4.76
183,-8.14,0.23,4.67
188,-8.08,0.11,4.96
193,-8.11,0.10,4.67
197,-8.01,0.06,4.67
201,-8.05,0.06,4.66
206,-8.18,0.11,4.55
211,-8.17,0.05,4.75
216,-8.07,-0.06,4.66
220,-8.03,-0.01,4.82
225,-7.95,0.11,4.86
230,-8.05,0.12,4.79
234,-8.24,0.11,4.62
238,-8.13,0.09,4.45
243,-7.98,0.11,4.41
248,-8.06,0.11,4.55
252,-7.99,0.27,4.58
257,-8.09,0.15,4.73
262,-8.07,0.21,4.57
266,-8.23,0.45,4.89
271,-8.12,0.32,5.08
276,-8.04,0.29,4.90
280,-8.04,0.27,4.89
284,-8.01,0.18,4.75
289,-8.00,0.22,4.70
294,-8.00,0.35,4.55
299,-8.13,0.19,4.75
303,-8.04,0.31,4.90
308,-7.84,0.31,5.04
313,-7.95,0.18,4.88
317,-8.18,0.34,4.79
322,-8.10,0.42,5.09
326,-8.17,0.48,4.94
331,-8.23,0.50,5.03
335,-8.20,0.48,5.23
340,-8.03,0.60,4.91
345,-8.22,0.58,4.92
350,-8.22,0.62,5.00
354,-8.14,0.47,5.12
359,-8.14,0.48,4.90
363,-8.05,0.54,4.84
368,-8.23,0.57,5.03
372,-8.40,0.57,5.05
377,-8.24,0.70,5.15
382,-8.19,0.70,5.35
387,-8.18,0.57,5.58
391,-8.09,0.82,5.42
396,-8.29,0.74,5.67
401,-8.25,0.88,5.46
405,-8.30,1.14,5.50
409,-8.41,1.25,5.19
414,-8.36,1.14,5.17
418,-8.19,0.88,4.86
423,-8.19,0.78,4.38
428,-8.16,0.57,4.26
433,-8.24,0.54,3.89
437,-8.35,0.36,3.93
442,-8.31,0.46,3.98
447,-8.38,0.56,4.02
450,-8.57,0.63,4.31
455,-8.57,0.81,4.29
460,-8.73,1.18,4.41
465,-8.71,1.44,4.44
469,-8.86,1.67,4.92
474,-8.76,1.66,4.74
479,-8.72,1.53,4.38
484,-8.83,1.47,4.67
488,-8.81,1.18,4.60
492,-8.79,1.24,4.44
497,-8.83,1.35,4.46
502,-8.91,1.47,4.74
506,-8.77,1.50,4.52
511,-8.76,1.75,4.67
516,-8.84,1.78,4.44
520,-8.72,1.78,4.99
525,-8.77,1.69,4.92
530,-8.58,1.46,4.73
533,-8.63,1.24,4.64
538,-8.52,0.86,4.76
543,-8.38,0.56,4.71
548,-8.12,0.15,4.88
552,-8.06,-0.18,4.48
557,-7.82,-0.26,4.43
562,-8.01,-0.70,4.01
567,-7.85,-1.35,3.90
571,-7.56,-1.91,3.76
575,-7.58,-2.18,3.44
580,-7.59,-2.62,3.21
585,-7.73,-2.63,3.37
589,-7.55,-2.47,3.26
594,-7.38,-2.38,3.34
599,-7.61,-2.32,3.16
603,-7.81,-2.40,3.36
608,-7.67,-2.62,3.18
613,-7.68,-2.66,3.25
616,-7.29,-3.07,3.40
621,-7.20,-3.38,3.25
626,-7.44,-3.57,3.32
631,-7.45,-3.65,3.30
635,-7.24,-3.71,3.26
640,-6.98,-4.17,3.26
645,-6.88,-4.46,3.28
650,-6.78,-4.67,3.39
654,-6.77,-4.89,3.22
658,-6.62,-5.11,3.08
663,-6.62,-5.52,3.10
668,-6.73,-5.37,3.20
672,-6.98,-5.58,3.54
677,-6.99,-5.61,2.69
682,-6.98,-5.42,2.88
687,-6.60,-5.09,2.97
691,-6.73,-5.10,3.12
696,-6.81,-4.94,3.48
700,-6.94,-4.90,3.07
704,-6.93,-4.86,2.83
709,-6.94,-4.95,2.78
714,-6.85,-5.10,3.06
719,-6.65,-5.24,2.93
723,-6.91,-5.54,3.06
728,-6.77,-5.53,2.92
733,-6.63,-5.67,2.79
738,-6.64,-5.60,2.96
741,-6.67,-5.53,2.73
746,-6.68,-5.70,2.92
751,-6.61,-5.95,2.95
755,-6.64,-6.10,3.07
760,-6.65,-6.28,2.42
765,-6.55,-6.38,2.21
770,-6.50,-6.56,2.14
774,-6.74,-6.51,2.16
779,-6.57,-6.75,2.39
783,-6.65,-6.68,2.54
787,-6.71,-6.75,2.62
792,-6.71,-6.65,2.89
797,-6.89,-6.25,3.27
802,-6.79,-5.57,3.36
806,-6.94,-5.08,3.78
811,-6.96,-4.74,3.65
816,-7.00,-4.49,3.40
821,-7.10,-4.50,3.40
824,-7.17,-4.49,3.39
829,-7.08,-4.67,3.27
834,-7.17,-4.93,3.04
839,-7.04,-5.21,2.70
843,-6.89,-5.44,2.67
848,-6.76,-5.78,2.36
853,-6.88,-5.96,2.45
858,-6.80,-6.26,2.56
862,-6.72,-6.57,2.68
866,-6.57,-7.03,2.36
871,-6.57,-6.96,2.42
875,-6.64,-6.69,2.95
880,-6.45,-6.58,2.85
885,-6.70,-6.30,3.37
890,-6.94,-6.04,3.45
894,-6.87,-5.51,3.42
899,-6.77,-5.27,3.19
904,-6.98,-5.38,3.25
908,-7.12,-5.14,3.12
912,-6.94,-5.11,3.30
917,-6.87,-5.33,3.55
922,-6.60,-5.58,3.51
927,-6.63,-5.68,3.33
931,-6.59,-5.67,3.54
936,-6.44,-6.00,3.45
941,-6.48,-6.24,3.09
946,-6.45,-6.68,2.58
949,-6.27,-6.66,2.26
954,-5.99,-6.95,1.95
959,-6.24,-7.39,2.15
964,-6.30,-7.66,2.21
968,-6.51,-7.56,2.41
973,-6.55,-7.63,2.66
978,-6.45,-7.44,2.79
983,-6.49,-6.96,2.95
987,-6.47,-6.41,3.50
991,-6.52,-5.80,3.45
996,-6.82,-5.46,3.35
1000,-6.88,-5.40,3.37
1005,-6.73,-5.19,3.26
1010,-6.87,-5.24,3.46
1014,-6.86,-5.34,3.51
1019,-6.81,-5.40,3.28
1024,-6.70,-5.55,3.25
1029,-6.84,-5.62,3.37
1033,-6.73,-5.69,3.20
1037,-6.71,-5.81,3.20
1042,-6.73,-5.79,3.08
1047,-6.80,-5.87,3.00
1052,-6.76,-5.93,3.41
1056,-6.73,-5.90,3.31
1061,-6.76,-5.67,3.39
1066,-6.92,-5.50,3.36
1071,-6.91,-5.24,3.78
1074,-6.81,-5.23,3.44
1079,-6.99,-5.15,3.52
1084,-7.22,-5.12,3.26
1089,-7.11,-5.25,3.22
1093,-7.06,-5.38,3.33
1098,-6.87,-5.43,3.06
1103,-7.06,-5.34,2.75
1108,-7.22,-5.26,2.87
1112,-7.28,-5.48,2.85
1116,-7.17,-5.40,2.70
1121,-7.26,-5.33,2.89
1126,-7.45,-5.29,3.01
1130,-7.39,-5.32,3.07
1135,-7.32,-5.19,2.93
1140,-7.27,-5.00,2.93
1145,-7.31,-4.88,3.15
1149,-7.19,-4.84,3.31
1154,-7.32,-4.69,3.42
1158,-7.31,-4.78,3.31
1163,-7.44,-4.82,3.12
1167,-7.41,-4.90,3.04
1172,-7.23,-4.96,3.20
1177,-7.28,-5.09,3.24
1181,-7.26,-5.07,3.32
1186,-7.20,-5.06,3.31
1191,-7.28,-4.95,3.41
1196,-7.23,-4.98,3.13
1199,-7.36,-5.03,3.48
1204,-7.30,-5.06,3.45
1209,-7.24,-4.98,3.20
1214,-7.32,-4.97,2.85
1218,-7.14,-5.07,3.09
1223,-7.18,-5.00,3.15
1228,-7.27,-5.20,3.00
1233,-7.25,-5.21,2.95
1237,-7.35,-5.13,2.74
1241,-7.34,-5.16,3.06
1246,-7.49,-5.20,2.87
1250,-7.49,-5.00,2.96
1255,-7.37,-4.79,2.99
1260,-7.34,-4.57,3.21
1265,-7.32,-4.50,3.66
1269,-7.37,-4.49,3.48
1274,-7.31,-4.41,3.41
1279,-7.36,-4.45,3.47
1283,-7.45,-4.41,3.66
1287,-7.41,-4.53,3.77
1292,-7.35,-4.54,3.63
1297,-7.31,-4.59,3.44
1301,-7.39,-4.71,3.53
1306,-7.32,-4.72,3.52
1311,-7.12,-4.90,3.38
1316,-7.24,-4.95,3.53
1320,-7.15,-5.14,3.31
1324,-7.17,-5.16,3.07
1329,-7.30,-5.14,3.03
1334,-7.20,-5.12,3.35
1338,-7.22,-5.13,3.06
1343,-7.26,-5.06,2.69
1348,-7.29,-4.99,2.65
1352,-7.33,-4.95,2.87
1357,-7.33,-4.96,3.07
1362,-7.24,-4.83,2.85
1365,-7.35,-4.69,2.98
1370,-7.48,-4.56,3.21
1375,-7.57,-4.45,3.28
1380,-7.42,-4.46,3.06
1384,-7.62,-4.54,3.10
1389,-7.31,-4.48,3.05
1394,-7.40,-4.40,3.06
1399,-7.52,-4.63,2.99
1403,-7.36,-4.63,2.98
1407,-7.41,-4.67,2.98
1412,-7.32,-4.75,3.30
1417,-7.28,-4.75,3.30
1421,-7.22,-4.82,3.07
