timestamp,accX,accY,accZ
0,-6.30,-6.65,2.75
91,-6.39,-6.52,2.95
95,-6.40,-6.57,2.80
100,-6.49,-6.46,2.79
105,-6.36,-6.32,3.06
110,-6.23,-6.49,3.18
114,-6.18,-6.47,2.79
119,-6.27,-6.37,2.41
124,-6.28,-6.49,2.56
128,-6.47,-6.57,2.46
132,-6.40,-6.66,2.69
137,-6.33,-6.67,2.58
142,-6.32,-6.61,2.60
146,-6.38,-6.49,2.67
151,-6.41,-6.32,2.57
156,-6.40,-6.43,2.56
161,-6.62,-6.48,2.22
165,-6.35,-6.46,2.31
169,-6.11,-6.35,2.38
174,-6.22,-6.34,2.33
179,-6.55,-6.44,2.86
183,-6.35,-6.38,2.98
188,-6.37,-6.41,2.91
193,-6.29,-6.36,2.87
198,-6.44,-6.18,2.87
202,-6.44,-6.09,3.00
207,-6.57,-6.08,2.86
211,-6.48,-6.19,2.96
215,-6.39,-6.12,2.80
220,-6.55,-6.21,2.75
225,-6.51,-6.23,2.70
230,-6.48,-6.18,2.70
234,-6.44,-6.20,2.84
239,-6.34,-6.16,2.91
244,-6.52,-6.19,2.62
249,-6.54,-6.36,2.51
252,-6.44,-6.33,2.62
257,-6.31,-6.18,2.81
262,-6.46,-6.21,3.17
266,-6.43,-6.26,3.04
271,-6.46,-6.31,3.02
276,-6.40,-6.45,3.15
281,-6.19,-6.38,2.79
286,-6.26,-6.40,2.80
290,-6.27,-6.49,2.59
294,-6.40,-6.41,2.98
299,-6.44,-6.46,2.86
303,-6.49,-6.47,2.71
308,-6.33,-6.47,2.61
313,-6.29,-6.33,2.61
318,-6.23,-6.25,2.66
322,-6.48,-6.41,2.48
327,-6.50,-6.41,2.58
332,-6.47,-6.39,2.52
336,-6.56,-6.43,2.92
340,-6.37,-6.44,2.50
345,-6.54,-6.43,2.84
350,-6.52,-6.38,2.57
354,-6.67,-6.43,2.74
359,-6.38,-6.46,2.67
364,-6.15,-6.36,2.71
369,-6.41,-6.27,2.68
373,-6.35,-6.25,2.70
377,-6.53,-6.20,2.79
382,-6.31,-6.19,2.85
387,-6.32,-6.26,2.57
391,-6.45,-6.26,2.46
396,-6.51,-6.11,2.58
401,-6.58,-6.13,2.66
405,-6.68,-6.36,2.59
410,-6.53,-6.52,2.85
415,-6.55,-6.40,2.85
419,-6.43,-6.42,2.39
423,-6.45,-6.43,2.33
428,-6.52,-6.37,2.35
433,-6.61,-6.40,2.37
437,-6.52,-6.38,2.35
442,-6.49,-6.32,2.39
447,-6.37,-6.26,2.84
452,-6.46,-6.23,2.80
456,-6.33,-6.23,2.90
460,-6.42,-6.25,2.58
465,-6.37,-6.26,2.70
470,-6.42,-6.26,2.51
474,-6.53,-6.25,2.67
479,-6.63,-6.41,2.41
484,-6.51,-6.34,2.89
489,-6.58,-6.28,2.63
493,-6.72,-6.36,2.63
498,-6.65,-6.27,2.73
502,-6.42,-6.24,2.48
506,-6.60,-6.26,2.59
511,-6.44,-6.32,2.87
516,-6.46,-6.30,2.87
521,-6.59,-6.31,2.49
525,-6.52,-6.30,2.62
530,-6.49,-6.23,2.45
535,-6.60,-6.24,2.42
540,-6.40,-6.25,2.55
543,-6.40,-6.12,2.62
548,-6.44,-6.11,2.97
553,-6.50,-6.17,2.88
558,-6.53,-6.25,2.64
562,-6.28,-6.30,2.52
567,-6.49,-6.17,2.73
572,-6.25,-6.21,2.94
576,-6.37,-6.21,2.73
581,-6.38,-6.26,2.56
585,-6.24,-6.32,2.35
590,-6.46,-6.28,2.59
594,-6.51,-6.25,2.64
599,-6.60,-6.21,2.80
604,-6.59,-6.13,2.58
608,-6.63,-6.23,2.57
613,-6.57,-6.20,2.52
618,-6.54,-6.21,2.45
623,-6.54,-6.19,2.40
626,-6.69,-6.03,2.31
631,-6.64,-5.99,2.43
636,-6.68,-6.14,2.39
641,-6.51,-6.08,2.51
645,-6.58,-6.11,2.62
650,-6.43,-6.12,2.88
655,-6.57,-6.23,2.89
660,-6.40,-6.29,2.98
664,-6.25,-6.32,2.62
668,-6.37,-6.35,2.60
673,-6.50,-6.33,2.60
678,-6.61,-6.30,2.74
682,-6.60,-6.29,2.58
687,-6.59,-6.32,2.63
692,-6.51,-6.34,2.59
696,-6.63,-6.20,2.60
701,-6.52,-6.12,3.04
706,-6.51,-6.03,2.78
710,-6.27,-6.07,2.66
714,-6.43,-6.05,2.57
719,-6.60,-6.19,3.06
724,-6.46,-6.18,3.05
728,-6.37,-6.33,2.95
733,-6.47,-6.37,2.76
738,-6.27,-6.33,2.95
743,-6.21,-6.43,2.89
747,-6.28,-6.36,2.77
751,-6.53,-6.37,2.64
756,-6.53,-6.40,2.58
761,-6.54,-6.37,2.70
765,-6.49,-6.47,2.85
770,-6.21,-6.33,2.53
775,-6.40,-6.40,2.40
780,-6.48,-6.41,2.61
784,-6.55,-6.29,2.71
789,-6.58,-6.32,2.77
793,-6.65,-6.32,2.75
797,-6.67,-6.23,2.69
802,-6.84,-6.17,2.88
807,-6.66,-6.19,2.85
811,-6.64,-6.10,2.72
816,-6.64,-6.17,2.50
821,-6.50,-6.33,2.69
826,-6.58,-6.24,2.62
830,-6.64,-6.28,2.89
834,-6.61,-6.33,2.72
839,-6.63,-6.24,2.53
844,-6.64,-6.25,2.53
848,-6.54,-6.33,2.58
853,-6.55,-6.29,2.80
858,-6.59,-6.19,2.52
862,-6.56,-6.22,2.55
867,-6.60,-6.27,2.41
872,-6.77,-6.22,2.62
876,-6.68,-6.22,2.58
880,-6.71,-6.24,2.41
885,-6.66,-6.26,2.40
890,-6.71,-6.16,2.12
895,-6.72,-6.13,2.36
899,-6.56,-6.05,2.68
904,-6.44,-6.32,2.58
909,-6.57,-6.34,2.52
914,-6.42,-6.17,2.78
917,-6.67,-6.23,2.74
922,-6.70,-6.27,2.63
927,-6.62,-6.25,2.99
931,-6.56,-6.36,2.88
936,-6.47,-6.38,2.74
941,-6.59,-6.33,2.53
946,-6.35,-6.40,2.61
950,-6.45,-6.40,2.76
955,-6.51,-6.43,2.88
959,-6.43,-6.39,2.63
963,-6.46,-6.27,2.67
968,-6.47,-6.13,2.69
973,-6.56,-6.12,2.75
978,-6.42,-5.99,2.55
982,-6.54,-6.11,2.46
987,-6.58,-6.06,2.49
992,-6.62,-5.96,2.72
997,-6.36,-6.21,2.76
1000,-6.52,-6.22,2.48
1005,-6.53,-6.15,2.29
1010,-6.42,-6.30,2.60
1014,-6.56,-6.38,2.64
1019,-6.48,-6.39,2.47
1024,-6.41,-6.58,2.67
1029,-6.13,-6.47,2.73
1033,-6.31,-6.56,2.39
1038,-6.35,-6.62,2.54
1042,-6.26,-6.62,2.34
1046,-6.35,-6.58,2.58
1051,-6.31,-6.55,2.62
1056,-6.23,-6.57,2.44
1060,-6.32,-6.37,2.40
1065,-6.27,-6.38,2.30
1070,-6.30,-6.39,2.39
1075,-6.46,-6.31,2.53
1079,-6.33,-6.33,2.72
1083,-6.45,-6.17,2.80
1088,-6.37,-6.11,2.74
1093,-6.59,-6.15,2.81
1097,-6.49,-6.13,2.45
1102,-6.53,-6.04,2.64
1107,-6.48,-6.02,2.65
1112,-6.44,-6.17,2.76
1116,-6.62,-6.21,2.41
1121,-6.59,-6.31,2.54
1125,-6.49,-6.32,2.82
1129,-6.49,-6.31,2.76
1134,-6.56,-6.21,2.83
1139,-6.52,-6.28,2.81
1144,-6.41,-6.32,2.47
1148,-6.49,-6.39,2.83
1153,-6.44,-6.36,2.53
1158,-6.49,-6.32,2.66
1163,-6.68,-6.34,2.63
1166,-6.61,-6.26,2.62
1171,-6.65,-6.16,2.61
1176,-6.68,-6.34,2.88
1180,-6.68,-6.28,2.65
1185,-6.65,-6.22,2.60
1190,-6.69,-6.22,2.60
1195,-6.74,-6.21,2.56
1199,-6.68,-6.19,2.67
1204,-6.64,-6.32,2.42
1208,-6.54,-6.22,2.57
1213,-6.50,-6.21,2.80
1217,-6.46,-6.23,2.86
1222,-6.45,-6.23,2.93
1227,-6.52,-6.29,2.84
1231,-6.44,-6.29,2.73
1236,-6.36,-6.35,2.79
1241,-6.53,-6.43,2.96
1246,-6.47,-6.36,2.55
1249,-6.31,-6.36,2.77
1254,-6.55,-6.43,2.68
1259,-6.51,-6.48,2.64
