timestamp,accX,accY,accZ
0,-6.49,-6.25,2.83
91,-6.55,-6.26,3.03
95,-6.66,-6.24,3.04
100,-6.35,-6.20,2.59
104,-6.61,-6.21,2.56
109,-6.67,-6.21,2.92
113,-6.58,-6.27,2.85
118,-6.51,-6.15,2.83
123,-6.32,-5.98,2.53
128,-6.59,-5.97,2.74
132,-6.71,-6.01,2.81
137,-6.69,-6.14,2.71
142,-6.72,-6.22,2.74
145,-6.71,-6.11,2.73
150,-6.82,-6.07,2.91
155,-6.51,-6.08,2.72
160,-6.60,-6.13,2.73
164,-6.50,-6.07,2.67
169,-6.62,-6.17,2.71
174,-6.46,-6.26,2.70
179,-6.51,-6.33,2.63
183,-6.64,-6.45,2.72
187,-6.40,-6.32,2.59
192,-6.47,-6.27,2.41
196,-6.54,-6.37,2.54
201,-6.49,-6.26,2.58
206,-6.46,-6.17,2.50
210,-6.69,-6.21,2.82
215,-6.51,-6.23,2.41
220,-6.67,-6.09,2.51
225,-6.57,-6.18,2.39
228,-6.74,-6.17,2.25
233,-6.75,-6.34,2.29
238,-6.79,-6.18,2.22
243,-6.68,-6.00,2.45
247,-6.73,-6.14,2.45
252,-6.69,-5.98,2.52
257,-6.72,-5.95,2.60
261,-6.92,-6.03,2.74
266,-6.63,-6.09,2.70
270,-6.57,-6.09,2.57
275,-6.67,-6.03,2.53
279,-6.65,-6.03,2.48
284,-6.68,-6.05,2.87
289,-6.60,-6.18,3.18
294,-6.52,-6.17,2.78
298,-6.63,-6.24,2.61
303,-6.40,-6.21,2.73
308,-6.51,-6.09,2.84
312,-6.52,-6.21,2.86
316,-6.61,-6.26,3.08
321,-6.55,-6.26,2.64
326,-6.63,-6.20,2.46
330,-6.67,-6.13,2.41
335,-6.74,-6.14,2.41
340,-6.68,-6.11,2.60
345,-6.44,-6.14,2.37
349,-6.69,-6.26,2.48
353,-6.70,-6.31,2.56
358,-6.71,-6.27,2.39
363,-6.69,-6.22,2.78
367,-6.73,-6.18,2.56
372,-6.46,-6.18,2.47
377,-6.55,-6.24,2.62
382,-6.50,-6.31,2.46
386,-6.56,-6.19,2.44
391,-6.51,-6.40,2.39
395,-6.66,-6.32,2.46
399,-6.47,-6.18,2.46
404,-6.70,-6.06,2.31
409,-6.62,-5.99,2.58
414,-6.66,-6.09,2.57
418,-6.71,-6.15,2.51
423,-6.63,-6.17,2.58
428,-6.57,-6.03,2.85
433,-6.36,-6.21,2.49
436,-6.45,-6.22,2.40
441,-6.53,-6.21,2.62
446,-6.46,-6.18,2.49
450,-6.55,-6.14,2.86
455,-6.56,-6.20,2.51
460,-6.39,-6.17,2.66
465,-6.54,-6.21,2.68
469,-6.63,-6.19,2.75
474,-6.55,-6.18,2.68
478,-6.47,-6.15,2.83
483,-6.58,-6.14,2.68
487,-6.70,-6.19,2.45
492,-6.65,-6.09,2.75
497,-6.65,-6.07,2.81
501,-6.64,-6.17,2.90
506,-6.66,-6.11,2.86
511,-6.48,-6.11,2.72
516,-6.53,-6.24,2.42
519,-6.55,-6.14,2.39
524,-6.55,-6.27,2.34
529,-6.41,-6.20,2.41
534,-6.60,-6.34,2.63
538,-6.61,-6.22,2.61
543,-6.67,-6.20,2.46
548,-6.58,-6.11,2.27
553,-6.60,-6.09,2.71
557,-6.39,-6.24,2.77
561,-6.52,-6.11,2.76
566,-6.82,-6.18,2.74
571,-6.68,-6.20,2.29
575,-6.61,-6.04,2.69
580,-6.49,-6.14,2.45
585,-6.61,-6.11,2.43
589,-6.74,-6.28,2.55
594,-6.47,-6.19,2.35
599,-6.50,-6.15,2.58
603,-6.54,-6.11,2.58
607,-6.64,-6.17,2.67
612,-6.57,-6.19,2.62
617,-6.51,-6.22,2.93
622,-6.54,-6.15,2.59
626,-6.62,-6.29,2.71
631,-6.50,-6.15,2.71
636,-6.44,-6.09,2.92
640,-6.48,-6.06,2.64
644,-6.49,-6.02,2.60
649,-6.64,-6.22,2.81
654,-6.51,-6.21,2.59
658,-6.55,-6.24,2.62
663,-6.39,-6.13,2.53
668,-6.53,-6.11,2.54
673,-6.68,-6.10,2.71
677,-6.77,-6.14,2.69
682,-6.67,-6.17,2.69
686,-6.56,-6.16,2.58
691,-6.61,-5.99,2.63
695,-6.63,-6.03,2.64
700,-6.55,-6.26,2.61
705,-6.56,-6.34,2.41
710,-6.58,-6.26,2.63
714,-6.49,-6.24,2.45
719,-6.55,-6.33,2.57
724,-6.46,-6.37,2.42
727,-6.56,-6.31,2.37
732,-6.66,-6.29,2.27
737,-6.70,-6.26,2.36
742,-6.71,-6.20,2.47
746,-6.80,-6.34,2.62
751,-6.49,-6.30,2.53
756,-6.49,-6.39,2.57
761,-6.44,-6.30,2.57
765,-6.49,-6.26,2.55
769,-6.58,-6.31,2.28
774,-6.64,-6.31,2.69
779,-6.55,-6.24,2.53
783,-6.56,-6.20,2.48
788,-6.46,-6.17,2.54
793,-6.46,-6.12,2.67
797,-6.54,-6.18,2.63
802,-6.56,-6.14,2.83
807,-6.48,-6.29,2.71
811,-6.49,-6.28,2.24
815,-6.57,-6.29,2.45
820,-6.62,-6.17,2.71
825,-6.64,-6.24,2.72
829,-6.43,-6.06,2.58
834,-6.49,-6.07,2.78
839,-6.46,-6.00,2.73
844,-6.73,-6.09,2.83
848,-6.58,-6.13,2.59
852,-6.54,-6.01,2.53
857,-6.56,-6.03,2.84
