timestamp,accX,accY,accZ
0,-6.77,-6.34,2.53
91,-6.48,-6.03,2.62
95,-6.44,-5.99,2.39
100,-6.75,-6.12,2.85
105,-6.59,-6.16,2.57
110,-6.67,-6.00,2.49
114,-6.57,-6.04,2.44
119,-6.49,-6.03,2.53
124,-6.62,-6.08,2.30
127,-6.72,-6.24,2.63
132,-6.52,-6.27,2.62
137,-6.50,-6.12,2.49
142,-6.50,-6.06,2.44
146,-6.69,-6.14,2.42
151,-6.76,-6.23,2.27
156,-6.66,-6.08,2.46
161,-6.53,-6.11,2.90
165,-6.45,-6.24,2.34
169,-6.57,-6.26,2.40
174,-6.64,-6.38,2.43
179,-6.60,-6.46,2.39
183,-6.51,-6.26,2.12
188,-6.47,-6.29,2.50
193,-6.49,-6.25,2.42
197,-6.47,-6.26,2.60
202,-6.47,-6.03,2.39
207,-6.71,-5.91,2.30
211,-6.68,-5.92,2.64
215,-6.58,-5.90,2.66
220,-6.71,-6.04,2.88
225,-6.71,-6.11,2.50
230,-6.71,-6.11,2.27
234,-6.71,-6.16,2.47
239,-6.72,-6.22,2.37
244,-6.77,-6.11,2.50
249,-6.73,-6.18,2.58
252,-6.65,-6.19,2.40
257,-6.77,-6.14,2.56
262,-6.61,-6.18,2.45
266,-6.68,-6.22,2.35
271,-6.74,-6.22,2.67
276,-6.64,-6.34,2.77
281,-6.63,-6.23,2.50
285,-6.63,-6.26,2.56
290,-6.62,-6.33,2.83
294,-6.46,-6.32,2.59
298,-6.44,-6.24,2.64
303,-6.54,-6.17,2.78
308,-6.58,-6.12,2.56
313,-6.58,-6.19,2.48
317,-6.60,-6.06,2.73
322,-6.64,-6.02,2.98
327,-6.68,-6.03,2.80
332,-6.58,-6.08,2.50
335,-6.62,-6.17,2.36
340,-6.61,-6.11,2.35
345,-6.76,-6.11,2.48
349,-6.54,-6.22,2.70
354,-6.60,-6.35,2.46
359,-6.58,-6.25,2.58
363,-6.79,-6.24,2.39
368,-6.73,-6.26,2.47
373,-6.54,-6.16,2.15
377,-6.61,-6.14,2.50
381,-6.78,-6.07,2.80
386,-6.69,-6.09,2.78
391,-6.77,-6.09,2.63
396,-6.66,-6.08,2.45
400,-6.73,-6.11,2.53
405,-6.60,-6.02,2.45
410,-6.56,-6.06,2.50
415,-6.71,-6.11,2.76
418,-6.65,-6.21,3.18
423,-6.69,-6.11,2.88
428,-6.65,-6.17,2.79
432,-6.54,-6.12,2.59
437,-6.70,-6.11,2.90
442,-6.67,-5.99,2.88
447,-6.59,-5.91,2.55
451,-6.62,-6.05,2.34
456,-6.56,-6.01,2.39
460,-6.56,-6.06,2.31
465,-6.63,-6.11,2.21
470,-6.59,-6.12,2.48
474,-6.60,-6.14,2.49
479,-6.63,-6.26,2.45
484,-6.61,-6.35,2.35
488,-6.47,-6.37,2.46
493,-6.41,-6.35,2.45
498,-6.43,-6.26,2.35
502,-6.55,-6.36,2.38
506,-6.53,-6.24,2.56
511,-6.40,-6.21,2.38
516,-6.49,-6.36,2.66
520,-6.56,-6.22,2.56
525,-6.55,-6.22,2.38
530,-6.34,-6.26,2.60
535,-6.45,-6.26,2.74
539,-6.49,-6.35,2.65
543,-6.49,-6.27,2.60
548,-6.64,-6.24,2.51
553,-6.68,-6.22,2.49
557,-6.59,-6.22,2.50
562,-6.55,-6.22,2.58
567,-6.64,-6.25,2.51
571,-6.63,-6.21,2.76
576,-6.70,-6.08,2.61
581,-6.71,-6.07,2.73
585,-6.71,-6.08,2.59
589,-6.63,-6.26,2.35
594,-6.76,-6.25,2.47
599,-6.76,-6.09,2.48
604,-6.71,-6.18,2.79
608,-6.71,-6.15,2.62
613,-6.56,-6.15,2.57
618,-6.72,-6.06,2.79
622,-6.73,-6.28,2.76
626,-6.66,-6.33,2.78
631,-6.47,-6.29,2.83
636,-6.53,-6.26,2.92
640,-6.60,-6.14,2.71
645,-6.61,-6.20,2.83
650,-6.48,-6.17,2.96
655,-6.50,-6.21,2.65
659,-6.67,-6.15,2.80
664,-6.60,-6.24,2.50
668,-6.72,-6.18,2.54
672,-6.83,-6.23,2.65
677,-6.76,-6.05,2.32
682,-6.76,-6.03,2.37
687,-6.81,-5.93,2.75
692,-6.74,-5.92,2.70
696,-6.70,-6.01,2.52
701,-6.74,-5.97,2.40
706,-6.62,-6.04,2.42
709,-6.60,-6.00,2.14
714,-6.75,-6.08,2.26
719,-6.76,-6.06,2.66
724,-6.57,-6.05,2.48
728,-6.68,-5.97,2.29
733,-6.48,-6.12,2.30
738,-6.72,-6.06,2.38
743,-6.60,-6.22,2.27
747,-6.48,-6.13,2.38
751,-6.32,-6.18,2.71
756,-6.40,-6.32,2.48
760,-6.33,-6.38,2.58
765,-6.38,-6.32,2.44
770,-6.26,-6.47,2.60
775,-6.38,-6.35,2.75
779,-6.49,-6.37,2.60
784,-6.42,-6.26,2.84
789,-6.61,-6.25,2.82
793,-6.41,-6.29,2.76
797,-6.68,-6.14,2.40
802,-6.55,-6.20,2.69
807,-6.52,-6.30,2.34
811,-6.54,-6.18,2.64
816,-6.49,-6.22,2.27
821,-6.66,-6.23,2.34
825,-6.72,-6.30,2.43
830,-6.46,-6.34,2.46
834,-6.67,-6.26,2.65
839,-6.58,-6.38,2.49
843,-6.47,-6.44,2.45
848,-6.49,-6.46,2.76
853,-6.46,-6.30,2.75
858,-6.56,-6.31,2.46
862,-6.60,-6.09,2.34
867,-6.70,-6.06,2.52
872,-6.63,-6.03,2.26
875,-6.55,-5.92,2.04
880,-6.85,-5.92,2.33
885,-6.83,-5.92,2.50
890,-6.74,-5.96,2.25
894,-6.66,-5.97,1.90
899,-6.77,-5.88,2.02
904,-6.75,-5.95,2.43
909,-6.55,-6.01,2.38
913,-6.52,-6.09,2.37
917,-6.64,-6.14,2.28
922,-6.64,-6.16,2.22
927,-6.59,-6.14,2.56
931,-6.54,-6.25,2.41
936,-6.68,-6.28,2.52
941,-6.60,-6.17,2.41
945,-6.63,-6.26,2.29
950,-6.60,-6.26,2.56
955,-6.46,-6.22,2.69
959,-6.62,-6.18,2.49
963,-6.71,-6.15,2.49
968,-6.68,-6.13,2.84
973,-6.46,-6.13,2.37
977,-6.54,-6.17,2.64
982,-6.43,-6.22,2.53
987,-6.29,-6.29,2.61
992,-6.31,-6.18,2.58
996,-6.41,-6.21,2.64
1000,-6.50,-6.22,2.74
1005,-6.27,-6.03,2.49
1010,-6.36,-6.08,2.39
1014,-6.64,-6.12,2.38
1019,-6.58,-6.21,2.36
1024,-6.45,-6.26,2.34
1028,-6.43,-6.24,2.37
1033,-6.67,-6.43,2.34
1038,-6.74,-6.41,2.04
1042,-6.64,-6.39,2.20
1046,-6.52,-6.33,2.10
1051,-6.57,-6.37,2.31
1056,-6.50,-6.29,2.41
1061,-6.56,-6.28,2.60
1065,-6.51,-6.16,2.51
1070,-6.62,-6.23,2.38
1075,-6.62,-6.22,2.46
1080,-6.49,-6.17,2.58
1083,-6.55,-6.02,2.72
1088,-6.62,-6.04,2.55
1093,-6.61,-6.15,2.51
1098,-6.58,-6.09,2.56
1102,-6.57,-6.00,2.51
1107,-6.53,-6.06,2.39
1112,-6.38,-6.26,2.33
1116,-6.37,-6.20,2.67
1121,-6.50,-6.18,2.47
1125,-6.49,-6.26,2.47
1129,-6.43,-6.25,2.42
1134,-6.32,-6.37,2.20
1139,-6.43,-6.50,2.29
1144,-6.40,-6.54,2.11
1148,-6.30,-6.56,1.97
1153,-6.35,-6.46,2.06
1158,-6.49,-6.46,1.93
1163,-6.49,-6.45,1.83
1166,-6.46,-6.42,2.32
1171,-6.56,-6.29,2.25
1176,-6.55,-6.26,2.39
1180,-6.38,-6.09,2.15
1185,-6.47,-6.02,2.39
1190,-6.59,-6.08,2.42
1195,-6.56,-6.00,2.36
1199,-6.81,-5.98,2.21
1204,-6.65,-6.02,2.08
1208,-6.43,-6.21,1.89
1213,-6.44,-6.05,1.95
1217,-6.57,-6.20,1.95
1222,-6.67,-6.26,1.69
1227,-6.55,-6.22,1.69
1231,-6.47,-6.19,1.49
1236,-6.56,-6.37,1.45
1241,-6.52,-6.34,1.00
1245,-6.43,-6.38,1.17
1249,-6.46,-6.35,1.11
1254,-6.55,-6.22,1.05
1259,-6.64,-5.96,1.01
1263,-6.74,-5.70,0.76
1268,-6.79,-5.80,0.62
1273,-6.86,-5.86,0.35
1277,-7.11,-5.48,-0.04
1282,-7.17,-5.37,-0.14
1287,-7.28,-5.23,-0.16
1291,-7.38,-5.32,-0.21
1295,-7.29,-5.20,-0.40
1300,-7.28,-5.35,-0.69
1305,-7.24,-5.25,-0.69
1309,-7.32,-5.37,-0.12
1314,-7.10,-5.45,-0.46
1319,-7.10,-5.52,-0.04
1324,-6.98,-5.58,-0.13
1328,-6.96,-5.65,0.15
1333,-6.68,-5.69,0.43
1337,-6.67,-5.70,0.33
1342,-6.73,-5.63,0.76
1346,-6.61,-5.67,0.85
1351,-6.50,-5.50,0.94
1356,-6.27,-5.23,0.82
1360,-6.52,-5.22,1.09
1365,-6.39,-5.22,0.68
1370,-6.26,-5.04,0.59
1374,-6.30,-4.98,0.29
1378,-6.38,-4.90,0.12
1383,-6.45,-5.02,0.40
1388,-6.16,-4.89,0.34
1393,-6.11,-4.67,0.64
1397,-6.10,-4.54,0.82
1402,-6.14,-4.46,0.65
1407,-6.27,-4.14,1.27
1411,-5.91,-4.15,1.27
1416,-5.79,-4.13,1.10
1420,-5.62,-4.32,1.27
1425,-5.51,-4.55,1.33
1429,-5.19,-4.87,1.26
1434,-4.96,-5.28,1.00
1439,-5.03,-5.51,1.00
1443,-4.85,-5.68,1.26
1448,-4.57,-5.98,1.41
1453,-4.35,-5.90,1.52
1458,-4.12,-5.78,1.87
1462,-4.11,-5.56,2.22
1466,-4.01,-5.36,2.07
1471,-3.97,-5.46,1.81
1476,-3.81,-5.54,2.14
1481,-3.69,-5.69,2.18
1485,-3.32,-5.44,2.33
1490,-3.38,-5.52,2.46
1495,-3.25,-5.61,2.46
1499,-3.09,-5.73,2.55
1503,-3.15,-5.74,2.56
1508,-3.01,-5.92,3.21
1513,-2.62,-5.95,3.59
1517,-1.98,-5.81,3.71
1522,-1.92,-5.77,4.08
1527,-1.83,-5.73,4.60
1532,-1.71,-5.72,4.73
1536,-1.67,-6.11,4.76
1541,-1.30,-6.09,4.95
1545,-1.09,-6.37,4.94
1550,-0.86,-6.15,5.15
