timestamp,accX,accY,accZ
0,0.92,-5.29,8.24
91,0.83,-5.17,8.41
94,0.81,-5.17,8.23
99,0.82,-4.96,8.14
104,0.74,-4.68,8.13
109,0.72,-4.55,8.73
113,0.72,-4.59,8.42
118,0.75,-4.67,8.43
123,0.88,-4.68,8.39
127,0.87,-4.86,8.23
132,0.73,-5.03,8.63
136,0.93,-5.13,8.77
141,1.01,-5.19,8.47
145,1.11,-5.05,8.38
150,1.13,-5.04,8.31
155,0.99,-4.97,8.18
160,0.94,-4.73,8.54
164,1.02,-4.67,8.49
169,1.06,-4.59,8.61
174,1.02,-4.53,8.49
178,1.03,-4.59,8.37
182,1.05,-4.57,8.45
187,1.15,-4.73,8.36
192,1.21,-4.80,8.21
197,1.22,-4.90,8.35
201,1.18,-4.97,8.13
206,1.09,-5.01,8.08
211,1.10,-5.11,8.33
215,1.11,-5.01,8.01
219,1.06,-5.06,7.99
224,1.01,-4.94,7.67
229,1.15,-4.97,7.72
233,1.27,-4.83,7.57
238,1.22,-4.82,7.77
243,1.09,-4.67,7.95
248,1.03,-4.52,8.20
252,1.15,-4.45,8.22
257,1.26,-4.44,8.06
261,1.20,-4.29,8.23
265,1.34,-4.29,8.47
270,1.40,-4.39,8.54
275,1.41,-4.45,8.38
280,1.48,-4.54,8.44
284,1.35,-4.63,8.63
289,1.28,-4.70,8.61
294,1.49,-4.97,8.46
299,1.71,-4.96,8.83
302,1.58,-5.07,8.70
307,1.71,-5.28,8.77
312,1.67,-5.38,8.68
317,1.77,-5.39,8.57
321,1.53,-5.44,8.35
326,1.69,-5.45,8.32
331,1.66,-5.36,8.14
336,1.37,-5.42,8.33
340,1.33,-5.35,8.11
344,1.46,-5.09,8.27
349,1.27,-4.76,8.44
354,1.15,-4.54,8.28
358,1.07,-4.17,8.38
363,1.03,-3.90,8.61
368,0.81,-3.74,8.51
373,0.76,-3.61,8.71
377,0.86,-3.44,8.54
382,0.88,-3.49,8.58
386,0.75,-3.77,8.63
390,0.76,-4.05,8.57
395,0.92,-4.39,8.34
400,1.08,-4.44,8.59
405,1.24,-4.81,8.60
409,1.31,-5.05,8.30
414,1.29,-5.37,7.97
419,1.25,-5.36,8.41
424,1.14,-5.51,8.33
427,1.08,-5.54,8.39
432,1.17,-5.54,8.25
437,1.17,-5.50,8.11
442,1.16,-5.61,8.14
446,1.08,-5.59,8.28
451,1.30,-5.48,7.75
456,1.13,-5.45,7.64
461,0.94,-5.47,7.70
465,0.92,-5.35,7.71
469,1.06,-5.24,7.92
474,1.04,-5.10,7.59
479,0.96,-5.07,7.64
483,0.75,-4.82,7.71
488,0.62,-4.52,7.84
493,0.79,-4.28,7.73
498,0.74,-4.21,8.02
502,0.79,-4.09,8.05
507,0.88,-4.15,8.20
511,1.04,-4.52,7.88
516,1.13,-4.83,7.66
520,1.27,-5.27,7.69
525,1.46,-5.50,7.36
530,1.30,-5.59,7.89
535,1.58,-5.66,7.90
539,1.52,-5.64,7.89
544,1.52,-5.69,7.99
549,1.48,-5.77,7.84
553,1.40,-5.94,7.81
557,1.48,-6.03,7.93
562,1.45,-6.04,7.51
567,1.63,-5.97,7.56
571,1.42,-5.82,7.49
576,1.33,-5.64,7.41
581,1.33,-5.41,7.57
586,1.28,-5.11,7.73
590,1.34,-4.92,7.72
594,1.38,-4.78,7.97
599,1.30,-4.67,8.03
604,1.25,-4.40,8.14
608,1.16,-4.53,8.22
613,1.26,-4.38,8.27
618,1.12,-4.21,8.48
622,1.19,-4.22,8.31
627,1.12,-4.22,8.22
632,1.24,-4.25,8.14
636,1.35,-4.56,8.30
640,1.26,-4.59,8.48
645,1.20,-4.68,8.42
650,1.25,-4.94,8.55
654,1.42,-4.94,8.71
659,1.34,-4.89,8.96
664,1.32,-4.98,8.57
669,1.26,-5.02,8.40
673,1.26,-5.02,8.35
677,1.20,-5.01,8.42
682,1.11,-5.07,8.14
687,1.10,-5.00,8.44
691,1.02,-4.89,8.63
696,1.14,-4.67,8.75
701,0.94,-4.44,8.81
706,0.64,-4.21,8.54
710,0.74,-4.00,8.78
715,0.69,-3.70,9.02
719,0.66,-3.90,8.69
723,0.67,-3.72,8.81
728,0.63,-3.77,8.69
733,0.54,-3.76,8.84
738,0.47,-3.97,9.08
742,0.63,-4.13,9.11
747,0.77,-4.12,9.01
752,0.80,-4.33,8.79
756,0.92,-4.51,8.74
760,1.01,-4.53,8.81
765,0.85,-4.66,8.82
770,1.00,-4.77,8.98
774,1.08,-4.69,8.64
779,1.18,-4.69,8.87
784,1.02,-4.69,8.76
789,1.00,-4.74,8.64
793,1.19,-4.69,8.72
798,1.08,-4.43,8.74
802,1.00,-4.34,8.77
