timestamp,accX,accY,accZ
0,0.85,-4.74,8.28
91,0.80,-4.72,8.27
95,0.84,-4.74,8.51
100,0.79,-4.87,8.58
105,0.92,-4.83,8.65
109,0.98,-4.86,8.37
114,0.79,-4.85,8.56
119,0.92,-4.96,8.54
123,1.03,-4.98,8.31
127,0.88,-4.90,8.34
132,1.00,-5.02,8.36
137,0.83,-4.97,8.55
141,0.92,-4.92,8.38
146,0.87,-4.81,8.20
151,0.87,-4.81,8.18
156,0.91,-4.69,8.58
160,0.87,-4.70,8.58
164,0.95,-4.72,8.27
169,0.75,-4.73,8.15
174,0.78,-4.67,8.26
178,0.76,-4.75,8.27
183,1.01,-4.91,8.46
188,1.01,-4.88,8.26
192,1.01,-4.85,8.38
197,1.02,-4.84,8.11
202,0.95,-4.76,8.14
206,0.90,-4.64,8.38
210,0.95,-4.75,8.29
215,0.94,-4.75,8.30
220,0.93,-4.76,8.17
225,0.84,-4.55,8.16
229,0.85,-4.67,8.51
234,0.95,-4.76,8.23
239,0.89,-4.75,8.02
243,0.99,-4.79,8.27
247,1.01,-4.98,8.37
252,1.07,-4.94,8.37
257,1.20,-5.11,8.19
261,1.04,-5.13,8.15
266,1.10,-4.98,8.25
271,1.07,-4.91,8.26
275,0.98,-5.06,8.51
280,1.15,-5.12,8.64
285,1.21,-4.99,8.24
289,1.16,-5.02,8.45
293,1.10,-4.94,8.29
298,1.16,-4.86,8.40
303,1.08,-4.87,8.49
307,0.92,-4.94,8.66
312,0.80,-4.72,8.43
317,0.98,-4.73,8.44
322,0.85,-4.81,8.54
326,0.86,-4.57,8.47
330,1.05,-4.78,8.68
335,0.97,-4.75,8.60
340,1.04,-4.88,8.53
344,0.97,-4.87,8.25
349,0.98,-4.89,8.37
354,0.93,-4.89,8.20
358,0.93,-4.92,8.32
363,0.98,-4.96,8.41
368,1.05,-5.06,8.44
372,1.02,-5.15,8.35
376,0.92,-5.05,8.41
381,0.89,-4.90,8.46
386,0.80,-4.81,8.40
390,0.69,-4.86,8.31
395,0.63,-4.83,8.50
400,0.68,-4.89,8.38
405,0.68,-4.87,8.20
409,0.77,-4.72,8.35
413,0.60,-4.65,8.45
418,0.56,-4.54,8.50
423,0.70,-4.44,8.41
427,0.64,-4.39,8.68
432,0.69,-4.48,8.46
437,0.64,-4.58,8.55
442,0.84,-4.69,8.59
446,0.70,-4.77,8.54
451,0.74,-4.89,8.35
455,0.77,-4.91,8.45
460,0.74,-4.87,8.29
464,0.84,-4.98,8.74
469,0.93,-4.99,8.29
474,0.80,-4.89,8.34
478,0.84,-4.96,8.44
483,0.90,-4.76,8.54
488,0.79,-4.77,8.48
493,0.94,-4.73,8.33
496,0.98,-4.59,8.50
501,0.90,-4.73,8.61
506,0.98,-4.81,8.43
510,1.06,-4.94,8.51
515,0.95,-4.97,8.35
520,0.97,-4.91,8.33
525,0.84,-4.97,8.57
529,0.93,-4.91,8.31
534,1.00,-4.85,8.44
538,0.89,-4.62,8.50
543,0.91,-4.68,8.69
547,0.80,-4.64,8.56
552,0.96,-4.51,8.30
557,0.78,-4.49,8.27
561,0.83,-4.73,8.29
566,0.98,-4.79,8.08
571,0.99,-4.99,8.09
576,1.03,-4.88,8.34
580,0.89,-4.93,8.29
584,0.89,-4.89,8.26
589,0.71,-5.02,8.31
594,0.71,-5.00,8.17
598,0.71,-4.80,8.25
603,0.82,-4.82,8.38
608,0.87,-4.81,8.18
613,0.82,-4.82,8.18
617,0.86,-4.71,8.14
621,0.81,-4.67,8.46
626,0.86,-4.67,8.34
631,0.85,-4.59,8.21
635,0.65,-4.59,8.14
640,0.58,-4.56,8.20
645,0.63,-4.65,8.19
650,0.76,-4.75,8.38
654,0.86,-4.66,8.45
659,0.84,-4.70,8.20
663,0.73,-4.83,8.08
667,0.78,-4.81,8.23
672,0.79,-4.97,8.40
677,0.89,-4.89,8.37
681,0.75,-4.95,8.45
686,0.73,-4.99,8.21
691,0.84,-4.92,7.89
696,0.69,-4.89,8.20
700,0.84,-4.93,8.37
705,0.72,-4.80,8.41
709,0.93,-4.67,8.52
714,0.71,-4.51,8.43
718,0.57,-4.46,8.60
723,0.64,-4.39,8.66
728,0.63,-4.44,8.31
733,0.71,-4.49,8.36
737,0.78,-4.47,8.39
742,0.72,-4.55,8.29
746,0.82,-4.61,8.51
751,0.95,-4.64,8.56
755,0.96,-4.60,8.48
760,0.96,-4.71,8.48
765,0.87,-4.85,8.78
769,0.91,-4.92,8.63
774,1.04,-4.92,8.58
779,1.01,-5.08,8.75
784,1.00,-5.01,8.75
788,0.99,-4.99,8.46
792,0.93,-4.89,8.34
797,0.99,-4.81,8.29
802,0.81,-4.76,8.41
806,0.77,-4.85,8.74
811,0.78,-4.78,8.50
816,0.81,-4.81,8.56
821,0.69,-4.84,8.32
825,0.63,-4.78,8.36
830,0.72,-4.79,8.13
834,0.67,-4.70,8.35
839,0.61,-4.69,8.25
843,0.62,-4.63,8.67
848,0.70,-4.46,8.57
853,0.79,-4.38,8.69
858,0.57,-4.41,8.47
862,0.81,-4.38,8.54
867,0.74,-4.44,8.28
871,0.62,-4.40,8.18
875,0.68,-4.66,8.08
880,0.56,-4.67,8.36
885,0.70,-4.76,8.37
890,0.81,-4.72,8.27
894,0.74,-4.78,8.40
899,0.70,-4.74,8.71
904,0.90,-4.78,8.49
908,0.92,-4.90,8.67
913,0.78,-5.05,8.45
917,0.65,-4.89,8.28
922,0.76,-4.89,8.82
926,0.89,-4.99,8.59
931,0.92,-4.86,8.48
936,1.02,-4.77,8.24
941,0.84,-4.75,8.66
945,0.81,-4.68,8.46
950,0.69,-4.72,8.40
955,0.70,-4.59,8.61
958,0.75,-4.58,8.08
963,0.73,-4.65,8.33
968,0.69,-4.63,8.31
973,0.78,-4.64,8.26
977,0.73,-4.74,8.17
982,0.73,-4.80,8.27
987,0.70,-4.57,8.20
992,0.72,-4.63,8.10
996,0.83,-4.57,8.03
1000,0.70,-4.60,8.34
1005,0.58,-4.54,8.45
1009,0.82,-4.74,8.45
1014,0.71,-4.75,8.32
1019,0.74,-4.69,8.66
1024,0.73,-4.76,8.38
1028,0.79,-4.82,8.24
1033,0.85,-4.81,8.43
1038,0.71,-4.81,8.50
1042,0.60,-4.75,8.68
1046,0.75,-4.91,8.51
1051,0.76,-4.77,8.29
1056,0.79,-4.81,8.46
1061,0.66,-4.78,8.45
1065,0.82,-4.96,8.08
1070,0.77,-4.93,8.18
1075,0.84,-4.93,8.06
1080,0.69,-4.90,8.07
1083,0.58,-4.94,8.02
1088,0.74,-4.91,8.04
1093,0.73,-4.86,8.13
1097,0.63,-4.89,7.85
1102,0.57,-4.84,8.31
1107,0.62,-4.73,8.31
1112,0.57,-4.70,8.20
1116,0.50,-4.61,8.16
1121,0.64,-4.49,8.19
1125,0.51,-4.47,8.31
1130,0.54,-4.55,8.31
1134,0.69,-4.61,8.21
1139,0.57,-4.59,8.36
1144,0.62,-4.63,8.47
1148,0.67,-4.73,8.50
1153,0.80,-4.97,8.60
1158,0.82,-4.85,8.54
1163,0.89,-4.89,8.41
1166,0.76,-5.02,8.30
1171,0.80,-4.92,8.46
1176,1.05,-4.92,8.23
1181,0.78,-5.06,8.50
1185,0.85,-5.07,8.56
1190,1.03,-5.00,8.09
1195,0.91,-4.92,8.36
1199,0.75,-4.96,8.33
1204,0.87,-4.85,8.20
1208,0.80,-4.74,8.35
1212,0.74,-4.81,8.45
1217,0.76,-4.73,8.54
1222,0.79,-4.68,8.47
1227,0.78,-4.64,8.33
1231,0.60,-4.66,8.25
1236,0.66,-4.67,8.31
1241,0.62,-4.69,8.42
1246,0.70,-4.67,8.29
1249,0.60,-4.79,8.41
1254,0.61,-4.90,8.27
1259,0.65,-4.93,8.48
1264,0.86,-4.89,8.45
1269,0.77,-4.89,8.69
1273,0.85,-5.02,8.36
1278,0.87,-4.91,8.41
1283,0.72,-4.92,8.40
1287,0.62,-4.91,8.29
1291,0.67,-4.96,8.32
1296,0.75,-4.92,8.12
1301,0.65,-4.83,8.54
1305,0.79,-4.74,8.29
1310,0.57,-4.59,8.53
1315,0.70,-4.47,8.58
1320,0.57,-4.44,8.34
1324,0.55,-4.42,8.52
1329,0.51,-4.28,8.31
1333,0.67,-4.33,8.64
1337,0.53,-4.57,8.46
1342,0.88,-4.68,8.48
1347,0.80,-4.72,8.38
1352,0.80,-4.77,8.35
1357,0.67,-4.78,8.56
1361,0.86,-4.99,8.41
1366,0.88,-5.01,8.41
1371,0.86,-4.85,8.67
1375,0.64,-5.06,8.66
1379,0.74,-5.09,8.74
1384,0.85,-5.02,8.57
1389,0.66,-4.99,8.73
1394,0.84,-4.80,8.71
1398,0.77,-4.86,8.48
1403,0.67,-4.76,8.45
1408,0.68,-4.88,8.50
1412,0.55,-4.83,8.49
1416,0.80,-4.85,8.29
1421,0.69,-4.81,8.39
1426,0.73,-4.74,8.69
1430,0.75,-4.84,8.32
1435,0.81,-4.75,8.30
1440,0.85,-4.73,8.01
1444,0.60,-4.70,8.05
1449,0.63,-4.62,7.96
1454,0.62,-4.61,7.99
1458,0.68,-4.67,8.45
1462,0.80,-4.69,8.25
1467,0.76,-4.84,8.56
1472,0.68,-4.80,8.41
1477,0.60,-4.89,8.24
1481,0.72,-4.88,8.21
1486,0.71,-4.88,8.08
1491,0.71,-4.78,8.43
1495,0.78,-4.89,8.25
1499,0.71,-5.03,8.13
1504,0.77,-4.88,8.28
1509,0.83,-4.79,8.37
1513,0.71,-4.58,8.37
1518,0.62,-4.40,8.30
1523,0.62,-4.41,8.33
1528,0.64,-4.42,8.59
1532,0.73,-4.48,8.49
1537,0.66,-4.36,8.33
1541,0.47,-4.36,8.52
1545,0.44,-4.29,8.50
1550,0.47,-4.35,8.22
1555,0.58,-4.35,8.32
1560,0.57,-4.43,8.73
1564,0.75,-4.44,8.57
1569,0.76,-4.61,8.73
1574,0.64,-4.75,8.52
1578,0.79,-4.89,8.39
1582,0.73,-4.92,8.48
1587,0.93,-4.98,8.32
1592,0.69,-5.02,8.71
1596,0.78,-5.02,8.68
1601,0.68,-5.09,8.58
1606,0.70,-5.08,8.45
1610,0.93,-5.07,8.44
1615,0.73,-4.98,8.61
1620,0.73,-4.87,8.57
1624,0.78,-4.91,8.57
