timestamp,accX,accY,accZ
0,-0.89,-1.74,9.37
90,-0.99,-1.76,9.22
94,-0.93,-1.71,8.97
99,-0.95,-1.67,8.81
104,-1.11,-1.77,9.11
109,-1.17,-1.76,9.08
113,-1.15,-1.67,9.31
118,-0.98,-1.65,9.17
123,-1.05,-1.57,9.33
127,-0.94,-1.66,9.54
131,-0.80,-1.67,9.30
136,-0.83,-1.75,9.47
141,-0.71,-1.74,9.62
145,-0.87,-1.78,9.62
150,-0.94,-1.69,9.70
155,-0.78,-1.73,9.32
159,-0.64,-1.63,9.18
164,-0.80,-1.51,9.09
169,-1.16,-1.48,9.43
173,-1.08,-1.28,9.23
177,-1.02,-1.03,9.50
182,-1.16,-1.10,9.90
187,-1.02,-1.22,10.08
192,-0.99,-1.22,9.77
196,-0.99,-1.41,9.68
201,-1.06,-1.53,9.62
206,-0.88,-1.60,9.79
210,-0.91,-1.57,9.92
214,-0.91,-1.69,9.65
219,-0.94,-1.75,9.45
224,-0.87,-1.73,9.27
228,-0.87,-1.62,9.45
233,-1.15,-1.48,9.48
238,-1.03,-1.46,9.34
243,-0.99,-1.42,9.61
247,-0.94,-1.25,9.55
252,-1.11,-1.29,9.50
256,-1.10,-1.27,9.31
261,-1.12,-1.31,9.36
265,-1.20,-1.46,9.32
270,-1.19,-1.33,9.52
275,-1.14,-1.35,9.78
280,-1.02,-1.30,9.51
284,-1.02,-1.14,9.69
289,-1.08,-1.19,9.79
294,-1.02,-1.25,9.99
297,-0.87,-1.29,9.74
302,-0.93,-1.25,9.40
307,-0.95,-1.16,9.45
312,-1.26,-1.36,9.65
316,-1.12,-1.40,9.61
321,-1.00,-1.39,9.49
326,-0.93,-1.47,9.51
331,-0.82,-1.55,9.52
335,-0.86,-1.61,9.59
339,-1.02,-1.69,9.42
344,-1.08,-1.69,9.52
349,-0.93,-1.80,9.50
353,-0.85,-1.74,9.61
358,-0.93,-1.72,9.45
363,-0.80,-1.83,9.28
368,-0.99,-1.64,9.64
372,-1.00,-1.74,9.86
377,-0.90,-1.78,9.63
381,-0.96,-1.71,9.45
385,-0.95,-1.69,9.61
390,-0.80,-1.69,9.35
395,-1.07,-1.74,9.45
400,-1.05,-1.86,9.49
404,-1.00,-1.77,9.56
409,-0.73,-1.76,9.45
414,-0.74,-1.72,9.54
418,-0.70,-1.67,9.29
422,-1.14,-1.58,9.47
427,-0.98,-1.47,9.29
432,-0.95,-1.51,9.15
437,-1.06,-1.44,9.54
441,-1.09,-1.42,9.61
446,-0.90,-1.47,9.39
451,-1.09,-1.53,9.39
456,-1.03,-1.55,9.60
460,-0.68,-1.56,9.52
464,-0.77,-1.58,9.74
469,-0.86,-1.69,9.59
473,-0.96,-1.78,9.50
478,-0.89,-1.80,9.15
483,-0.86,-1.78,9.22
488,-0.84,-1.66,9.16
492,-1.02,-1.65,9.07
497,-1.05,-1.57,9.12
502,-1.17,-1.54,9.34
506,-1.07,-1.68,9.45
510,-1.11,-1.57,9.31
515,-1.00,-1.62,9.15
520,-1.04,-1.55,9.29
525,-1.14,-1.37,9.35
529,-1.21,-1.57,9.71
534,-0.98,-1.60,9.59
539,-0.85,-1.65,9.67
544,-0.85,-1.70,9.26
547,-1.13,-1.69,9.48
552,-1.06,-1.60,9.48
557,-1.05,-1.80,9.36
562,-1.14,-1.69,9.11
566,-1.21,-1.57,9.30
571,-0.89,-1.55,9.40
576,-0.90,-1.53,9.38
580,-1.16,-1.58,9.22
585,-1.15,-1.60,9.49
589,-1.01,-1.52,9.28
594,-1.11,-1.28,9.55
598,-1.18,-1.46,9.43
603,-1.02,-1.42,9.31
608,-1.08,-1.34,9.33
613,-1.20,-1.38,9.36
617,-1.02,-1.39,9.44
622,-1.03,-1.37,9.50
627,-1.07,-1.47,9.56
630,-1.05,-1.38,9.65
635,-1.01,-1.44,9.60
640,-1.10,-1.41,9.65
645,-1.09,-1.54,9.68
649,-1.02,-1.61,9.49
654,-1.02,-1.62,9.51
659,-1.13,-1.79,9.36
663,-0.98,-1.85,9.29
668,-0.93,-1.67,9.64
672,-1.00,-1.65,9.47
677,-1.02,-1.66,9.58
681,-0.94,-1.52,9.42
686,-0.91,-1.43,9.80
691,-1.14,-1.55,9.73
696,-0.85,-1.51,9.50
700,-0.96,-1.48,9.71
705,-1.02,-1.56,9.35
710,-1.02,-1.69,9.24
713,-1.08,-1.55,9.61
718,-0.96,-1.56,9.57
723,-0.94,-1.58,9.29
728,-1.04,-1.50,9.58
732,-1.20,-1.43,9.81
737,-1.23,-1.49,9.59
742,-1.07,-1.57,9.63
747,-0.96,-1.59,9.65
751,-0.96,-1.63,9.56
755,-0.97,-1.56,9.61
760,-0.96,-1.55,9.43
765,-1.04,-1.55,9.71
769,-0.89,-1.66,9.24
774,-0.79,-1.82,9.37
779,-0.86,-1.75,9.63
784,-0.89,-1.73,9.25
788,-1.02,-1.67,9.38
793,-0.95,-1.63,9.49
797,-1.12,-1.69,9.33
801,-0.94,-1.69,9.22
806,-0.95,-1.62,9.17
811,-1.15,-1.54,9.14
816,-1.04,-1.48,9.49
821,-1.15,-1.59,9.40
825,-0.96,-1.59,9.42
830,-0.92,-1.65,9.42
835,-0.87,-1.52,9.42
838,-1.01,-1.49,9.60
843,-1.02,-1.63,9.62
848,-0.95,-1.61,9.59
853,-0.86,-1.63,9.22
857,-0.94,-1.51,9.31
862,-1.01,-1.42,9.26
867,-0.98,-1.37,9.22
872,-0.93,-1.24,9.45
876,-0.91,-1.37,9.58
880,-1.01,-1.16,9.52
885,-1.05,-1.22,9.39
889,-1.20,-1.35,9.59
894,-1.02,-1.38,9.46
899,-1.02,-1.36,9.37
904,-1.17,-1.25,9.32
908,-1.24,-1.38,9.54
913,-1.06,-1.36,9.49
918,-1.17,-1.50,9.32
922,-0.86,-1.61,9.52
926,-1.00,-1.50,9.72
931,-0.90,-1.49,9.42
936,-0.95,-1.55,9.40
940,-1.12,-1.62,9.74
945,-0.88,-1.71,9.57
950,-0.94,-1.74,9.34
955,-0.88,-1.80,9.05
959,-1.18,-1.71,9.41
963,-1.15,-1.61,9.22
968,-1.11,-1.41,9.18
973,-1.15,-1.48,9.60
977,-0.77,-1.43,9.63
982,-0.93,-1.45,9.63
987,-0.81,-1.35,9.41
991,-1.00,-1.49,9.36
996,-1.04,-1.52,9.64
1001,-0.96,-1.59,9.93
1005,-0.84,-1.70,9.76
1009,-0.93,-1.71,9.46
1014,-0.74,-1.85,9.24
1019,-0.93,-1.79,9.59
1023,-0.89,-1.87,9.75
1028,-0.85,-1.89,9.30
1033,-0.97,-1.75,9.43
1038,-1.02,-1.83,9.60
1042,-1.11,-1.78,9.57
1046,-1.07,-1.60,9.32
1051,-1.06,-1.63,9.63
1055,-0.95,-1.62,9.73
1060,-1.01,-1.42,9.68
1065,-0.98,-1.53,9.62
1070,-0.93,-1.55,9.37
1074,-1.03,-1.51,9.36
1079,-1.06,-1.42,9.39
1084,-1.22,-1.39,9.27
1088,-1.06,-1.45,9.68
1092,-1.12,-1.48,9.26
1097,-1.17,-1.35,9.15
1102,-1.27,-1.32,9.26
1107,-1.16,-1.43,9.21
1111,-0.99,-1.44,9.11
1116,-1.13,-1.34,9.36
1121,-1.25,-1.23,9.47
1125,-1.05,-1.26,9.15
1130,-1.22,-1.26,9.30
1134,-1.13,-1.20,9.55
1139,-1.10,-1.15,9.21
1143,-1.11,-1.19,9.46
1148,-1.10,-1.32,9.35
1153,-0.95,-1.49,9.44
1158,-0.92,-1.54,9.53
1162,-1.07,-1.37,9.43
1167,-1.11,-1.44,10.02
1171,-0.89,-1.59,9.63
1175,-0.85,-1.55,9.74
1180,-0.98,-1.71,9.70
1185,-0.88,-1.71,9.67
1190,-0.94,-1.70,9.38
1194,-0.90,-1.71,9.32
1199,-1.06,-1.67,9.45
1204,-1.00,-1.68,9.48
1208,-1.08,-1.58,9.43
1213,-1.11,-1.63,9.13
1217,-1.21,-1.57,9.23
1222,-1.12,-1.56,9.49
1226,-0.97,-1.54,9.28
1231,-0.98,-1.62,9.18
1236,-0.94,-1.53,9.27
1240,-0.93,-1.46,9.30
1245,-1.05,-1.54,9.07
1250,-1.07,-1.57,9.21
1255,-1.15,-1.53,9.38
1258,-1.19,-1.73,9.23
1263,-1.05,-1.62,9.14
1268,-1.20,-1.41,9.36
1273,-1.11,-1.52,9.35
1277,-1.08,-1.58,9.22
1282,-1.12,-1.48,9.43
1287,-1.27,-1.57,9.50
1292,-1.18,-1.57,9.79
1296,-0.92,-1.57,9.69
1300,-0.86,-1.66,9.46
1305,-1.05,-1.62,9.46
1310,-0.97,-1.63,9.42
1314,-0.99,-1.65,9.27
1319,-1.00,-1.65,9.41
1324,-1.00,-1.69,9.66
1328,-0.90,-1.69,9.70
1333,-0.83,-1.56,9.56
1338,-0.97,-1.54,9.57
1342,-1.01,-1.50,9.72
1346,-0.96,-1.49,9.68
1351,-0.99,-1.64,9.60
1356,-0.99,-1.66,9.40
1361,-1.19,-1.62,9.36
1365,-1.00,-1.49,9.35
1370,-0.95,-1.42,9.23
1375,-1.11,-1.48,9.32
1380,-1.04,-1.48,9.52
1383,-1.18,-1.36,9.45
1388,-1.23,-1.44,9.35
1393,-1.22,-1.53,9.18
1397,-1.23,-1.53,9.50
1402,-1.26,-1.37,9.50
1407,-1.32,-1.43,9.30
1412,-1.29,-1.51,9.49
1416,-1.21,-1.45,9.42
1421,-1.13,-1.54,9.28
1425,-1.02,-1.45,9.50
1429,-1.31,-1.58,9.39
1434,-1.14,-1.57,9.29
1439,-1.14,-1.50,9.37
1444,-1.08,-1.58,9.41
1448,-1.06,-1.51,9.34
1453,-1.04,-1.62,9.22
1458,-1.02,-1.43,9.04
1462,-1.06,-1.67,9.43
1466,-1.16,-1.63,9.64
1471,-1.00,-1.68,9.56
1476,-0.93,-1.75,9.15
1480,-1.13,-1.72,9.33
1485,-1.17,-1.78,9.33
1490,-0.88,-1.70,9.39
1495,-1.15,-1.66,9.48
1499,-1.18,-1.79,9.22
1504,-1.08,-1.71,9.14
1508,-0.91,-1.70,9.09
1512,-1.02,-1.83,9.33
1517,-1.03,-1.83,9.58
1522,-0.93,-1.80,9.14
