timestamp,accX,accY,accZ
0,-0.98,-2.05,9.38
91,-0.78,-1.93,9.50
95,-0.86,-1.97,9.41
100,-0.97,-1.90,9.62
104,-0.94,-1.90,9.66
109,-1.12,-2.14,9.16
113,-0.87,-1.96,9.09
118,-0.86,-1.93,9.25
123,-0.82,-2.09,9.07
127,-0.82,-2.06,9.23
132,-0.93,-2.00,9.41
137,-0.73,-2.04,9.20
142,-0.83,-2.00,9.29
145,-0.88,-2.05,9.58
150,-0.74,-2.08,9.39
155,-0.80,-1.96,9.40
159,-0.79,-1.92,9.34
164,-0.86,-1.86,9.09
169,-0.86,-1.93,9.03
174,-0.97,-1.98,9.31
179,-0.88,-2.02,9.21
183,-0.96,-2.08,9.47
187,-0.96,-2.09,9.42
192,-0.95,-2.07,9.49
196,-0.99,-2.01,9.62
201,-0.86,-2.07,9.49
206,-0.69,-2.01,9.45
211,-0.94,-1.95,9.23
215,-0.95,-1.91,9.43
220,-0.90,-1.92,9.37
225,-0.89,-1.89,9.31
229,-1.09,-1.90,9.06
233,-0.96,-1.91,9.07
238,-0.94,-1.89,9.54
243,-0.85,-1.94,9.22
247,-0.99,-1.96,9.51
252,-0.94,-1.92,9.63
257,-0.99,-1.96,9.60
262,-0.99,-2.03,9.87
266,-0.90,-2.10,9.61
270,-0.90,-2.02,9.53
275,-0.89,-2.05,9.15
280,-0.80,-2.11,9.22
284,-1.05,-2.06,9.10
289,-1.02,-1.99,9.25
294,-0.96,-1.90,9.35
299,-0.97,-1.92,9.45
303,-0.97,-1.97,9.39
308,-1.14,-1.96,9.45
312,-1.07,-2.07,9.43
316,-0.83,-1.97,9.30
321,-1.07,-2.05,9.08
326,-0.90,-2.04,9.12
331,-0.99,-2.02,9.22
335,-0.99,-1.98,9.52
340,-0.87,-1.98,9.58
345,-0.80,-1.86,9.45
349,-0.81,-1.99,9.59
353,-0.80,-2.02,9.32
358,-0.95,-1.98,9.43
363,-0.88,-1.96,9.46
367,-0.92,-1.98,9.49
372,-0.77,-1.90,9.27
377,-1.04,-1.91,9.50
381,-0.98,-1.94,9.61
386,-0.98,-2.02,9.56
391,-0.89,-1.98,9.48
395,-0.78,-1.88,9.56
399,-0.87,-1.92,9.57
404,-0.97,-1.87,9.68
409,-0.98,-1.84,9.69
414,-1.01,-1.90,9.55
418,-0.94,-1.93,9.83
423,-0.87,-2.02,9.45
428,-0.88,-1.89,9.13
432,-0.99,-1.88,9.32
436,-1.11,-1.85,9.31
441,-0.81,-1.83,9.38
446,-0.85,-1.78,9.23
450,-1.05,-1.81,9.59
455,-0.93,-1.75,9.38
460,-1.08,-1.64,9.29
465,-1.02,-1.55,9.45
469,-1.21,-1.77,9.53
474,-1.07,-1.83,9.31
478,-0.95,-1.77,9.04
483,-1.06,-1.64,9.34
487,-1.09,-1.71,9.50
492,-0.89,-1.88,9.28
497,-0.84,-1.91,9.19
502,-1.07,-1.93,9.24
506,-0.98,-1.84,9.23
511,-1.00,-1.99,9.47
516,-0.80,-2.00,9.45
519,-0.79,-1.98,9.48
524,-0.81,-1.99,9.18
529,-0.99,-1.90,9.49
533,-0.98,-1.93,9.63
538,-0.81,-2.01,9.60
543,-0.71,-2.05,9.60
548,-0.75,-1.93,9.81
552,-0.82,-1.87,9.50
557,-0.89,-1.95,9.61
561,-0.88,-1.93,9.40
566,-0.80,-1.94,9.19
570,-0.81,-1.81,9.45
575,-0.79,-1.82,9.59
580,-0.91,-1.78,9.50
585,-1.04,-1.77,9.18
589,-1.04,-1.75,9.58
594,-1.05,-1.67,9.62
599,-1.20,-1.78,9.47
602,-1.18,-1.89,9.34
607,-0.94,-1.77,9.22
612,-0.98,-1.71,9.41
617,-1.05,-1.81,9.46
621,-1.04,-1.83,9.52
626,-1.02,-1.91,9.48
