timestamp,accX,accY,accZ
0,-0.80,-1.93,9.70
90,-0.81,-1.89,9.64
94,-0.74,-1.97,9.68
99,-0.83,-2.01,9.45
104,-0.80,-1.88,9.45
109,-0.74,-2.06,9.39
113,-0.88,-1.92,9.38
118,-0.91,-2.01,9.63
123,-1.02,-2.04,9.79
128,-0.91,-2.06,9.54
131,-0.90,-2.08,9.47
136,-0.80,-2.04,9.55
141,-0.82,-2.11,9.30
145,-0.82,-1.99,9.43
150,-0.77,-2.05,9.44
155,-0.88,-2.00,9.57
160,-0.83,-2.10,9.61
164,-0.75,-2.16,9.44
169,-0.64,-2.19,9.20
173,-0.85,-2.10,9.45
177,-0.94,-2.09,9.39
182,-0.83,-1.97,9.24
187,-1.05,-2.01,9.23
192,-1.05,-1.97,9.41
197,-0.91,-2.03,9.53
201,-0.88,-2.05,9.55
206,-0.71,-1.95,9.40
211,-0.74,-1.98,9.12
214,-1.04,-1.88,9.33
219,-1.04,-1.92,9.23
224,-0.90,-1.91,9.52
229,-0.93,-1.90,9.59
233,-0.92,-1.83,9.66
238,-0.94,-1.83,9.56
243,-0.99,-1.81,9.67
248,-1.02,-1.93,9.38
252,-1.10,-1.87,9.42
256,-0.98,-2.05,9.12
261,-0.89,-1.93,9.22
266,-1.02,-2.01,9.15
270,-0.84,-2.01,9.25
275,-0.86,-2.05,9.49
280,-0.77,-2.17,9.29
284,-0.83,-2.07,9.40
289,-0.77,-2.06,9.08
294,-0.81,-1.87,9.38
298,-0.88,-1.96,9.24
302,-0.87,-2.05,9.49
307,-0.88,-1.96,9.66
312,-0.80,-1.92,9.48
317,-0.74,-2.10,9.36
321,-0.78,-2.14,9.45
326,-0.85,-2.09,9.41
331,-0.76,-2.03,9.27
336,-0.83,-2.03,9.42
339,-0.80,-2.03,9.50
344,-0.96,-2.08,9.61
349,-1.02,-2.05,9.54
353,-1.00,-1.97,9.79
358,-0.74,-1.98,9.58
363,-0.81,-2.00,9.45
368,-0.91,-1.99,9.65
372,-0.97,-2.00,9.42
377,-0.76,-1.98,9.12
381,-0.86,-1.90,9.25
386,-0.88,-1.79,9.67
390,-0.96,-1.90,9.33
395,-0.93,-1.85,9.58
400,-0.89,-1.86,9.41
404,-1.02,-1.92,9.73
409,-0.84,-1.89,9.77
414,-0.83,-1.96,9.25
419,-0.87,-1.97,9.23
422,-0.89,-1.82,9.51
427,-0.94,-1.87,9.17
432,-0.94,-1.93,9.35
437,-0.92,-1.96,9.35
441,-0.92,-1.78,9.47
446,-1.06,-1.98,9.35
451,-1.09,-1.92,9.49
455,-1.00,-2.01,9.21
460,-0.88,-1.91,9.38
464,-0.85,-1.72,9.46
469,-0.84,-1.79,9.42
473,-0.94,-2.00,9.43
478,-0.82,-1.93,9.39
483,-0.88,-1.85,9.22
487,-0.99,-1.93,9.54
492,-0.90,-2.00,9.51
497,-0.79,-2.11,9.29
502,-0.85,-1.92,9.17
505,-0.95,-1.87,9.45
510,-0.79,-1.94,9.59
515,-0.76,-1.97,9.49
519,-0.90,-2.07,9.39
524,-0.75,-2.08,9.11
529,-1.02,-2.07,9.14
534,-0.86,-2.04,9.45
538,-0.84,-2.11,9.56
543,-0.78,-2.14,9.46
547,-0.85,-2.01,9.60
552,-0.81,-2.09,9.48
556,-0.77,-2.13,9.10
561,-0.89,-2.18,9.25
566,-0.78,-2.23,9.05
570,-0.97,-2.26,9.38
575,-0.90,-2.18,9.64
580,-0.81,-2.07,9.42
585,-0.93,-2.01,9.60
588,-0.79,-2.03,9.52
593,-0.74,-2.04,9.44
598,-0.98,-1.96,9.31
603,-0.93,-2.04,9.18
607,-0.88,-1.95,9.30
612,-0.99,-2.16,9.41
617,-0.93,-2.14,9.14
622,-0.92,-2.13,9.12
626,-0.94,-2.18,9.35
630,-0.77,-2.04,9.56
635,-0.84,-2.10,9.52
640,-0.75,-2.08,9.27
644,-0.92,-2.13,9.56
649,-0.83,-2.13,9.41
654,-0.87,-2.19,9.34
658,-0.99,-2.09,9.11
663,-0.84,-2.11,9.12
668,-0.94,-2.10,9.23
672,-0.96,-2.06,9.64
676,-0.77,-2.05,9.32
681,-0.91,-2.10,9.32
686,-0.85,-1.95,9.42
690,-0.66,-1.98,9.53
695,-0.85,-1.94,9.56
700,-0.94,-2.07,9.52
705,-0.93,-2.05,9.48
709,-0.90,-2.14,9.78
713,-0.87,-2.19,9.49
718,-0.78,-2.08,9.33
723,-0.85,-2.12,9.41
727,-0.87,-2.00,9.70
732,-0.90,-1.99,9.68
737,-0.92,-1.98,9.48
742,-0.97,-2.07,9.35
746,-0.80,-2.07,9.39
751,-0.82,-1.93,9.10
755,-1.05,-1.98,9.42
759,-0.96,-2.04,9.23
764,-0.92,-2.11,9.08
769,-1.01,-1.95,9.16
774,-1.11,-1.93,9.40
779,-1.02,-1.91,9.32
783,-1.02,-2.06,9.22
788,-0.99,-2.16,9.25
793,-1.16,-2.07,9.16
796,-1.02,-2.16,9.17
801,-0.96,-2.16,9.42
806,-0.87,-2.06,9.32
810,-0.87,-2.16,9.04
815,-1.04,-2.09,9.37
820,-1.04,-2.08,9.18
825,-0.92,-1.99,9.19
829,-0.97,-2.12,9.31
834,-0.90,-1.96,9.33
838,-1.07,-1.96,9.29
843,-0.92,-2.06,9.10
847,-1.02,-1.99,9.16
852,-0.87,-2.09,9.04
