timestamp,accX,accY,accZ
0,-0.84,-2.02,9.59
91,-0.89,-1.97,9.43
95,-1.04,-1.99,9.38
100,-0.85,-2.11,9.48
105,-1.00,-2.10,9.62
108,-0.90,-2.05,9.61
113,-0.94,-2.10,9.58
118,-0.92,-2.04,9.43
123,-0.82,-2.20,9.48
127,-0.85,-2.09,9.37
132,-0.89,-2.17,9.01
137,-0.84,-2.14,9.26
142,-0.99,-2.16,9.39
146,-0.93,-2.10,9.43
150,-1.00,-2.09,9.48
155,-0.87,-2.01,9.55
159,-1.00,-1.87,9.49
164,-1.06,-1.91,9.67
169,-0.88,-1.80,9.34
174,-1.00,-1.95,9.59
178,-1.03,-2.09,9.45
183,-0.96,-2.10,9.30
188,-0.80,-2.02,9.40
191,-0.93,-2.12,9.22
196,-0.80,-2.16,9.18
201,-0.89,-2.18,9.14
206,-0.79,-2.20,9.26
210,-0.94,-2.25,9.22
215,-0.94,-2.15,9.33
220,-0.80,-2.16,9.41
224,-0.92,-1.99,9.43
229,-0.90,-2.07,9.33
233,-0.87,-2.26,9.23
238,-0.85,-2.22,9.04
242,-0.99,-2.02,9.38
247,-0.98,-2.18,9.43
252,-0.95,-2.11,9.52
257,-0.82,-2.10,9.24
261,-0.82,-2.12,9.22
266,-0.80,-1.94,8.99
271,-0.94,-2.10,9.43
275,-0.88,-2.17,9.32
279,-0.84,-2.15,9.21
284,-0.92,-2.07,9.27
289,-0.91,-2.10,9.66
293,-0.91,-2.12,9.45
298,-1.02,-2.16,9.50
303,-0.80,-2.11,9.17
308,-0.79,-2.16,9.27
312,-0.78,-2.09,9.32
316,-0.94,-2.18,9.42
321,-0.90,-2.10,9.22
326,-0.80,-2.19,9.30
330,-0.84,-2.14,9.20
335,-0.88,-2.05,8.91
340,-0.95,-1.95,9.02
345,-1.05,-2.10,9.24
349,-1.02,-1.98,9.35
354,-1.18,-1.94,9.32
358,-1.02,-1.92,9.11
362,-0.95,-1.74,9.35
367,-1.04,-1.80,9.17
372,-1.06,-1.82,9.26
377,-1.12,-1.87,9.21
381,-0.98,-1.85,9.42
386,-1.02,-1.91,9.50
391,-0.96,-1.85,9.25
396,-0.92,-1.93,9.54
399,-0.85,-1.85,9.33
404,-0.87,-1.90,9.42
409,-0.97,-2.12,9.57
414,-0.85,-2.16,9.35
419,-0.92,-2.16,9.25
423,-0.86,-2.21,9.31
428,-0.74,-2.11,9.09
433,-0.77,-2.06,9.48
437,-0.94,-2.10,9.47
441,-0.71,-2.19,9.66
446,-0.83,-2.11,9.34
451,-0.86,-2.08,9.69
455,-0.80,-2.02,9.48
460,-0.98,-2.01,9.55
465,-1.04,-2.10,9.24
470,-0.80,-2.03,9.37
474,-0.85,-1.96,9.69
479,-0.83,-2.02,9.58
483,-1.01,-2.10,9.47
487,-1.13,-2.04,9.58
492,-0.89,-2.07,9.43
497,-0.83,-2.04,9.25
502,-0.94,-2.06,9.25
506,-0.95,-2.09,9.36
511,-0.81,-2.12,9.59
516,-1.00,-2.01,9.54
521,-0.94,-2.03,9.36
524,-0.79,-2.18,9.13
529,-0.83,-2.19,9.44
534,-0.92,-2.05,9.60
538,-0.78,-2.22,9.44
543,-0.96,-2.17,9.67
548,-0.79,-2.20,9.61
553,-0.72,-2.26,9.54
558,-0.73,-2.21,9.61
562,-0.89,-2.21,9.82
566,-0.80,-2.17,9.67
571,-0.62,-2.23,9.22
575,-0.79,-2.16,9.64
580,-0.82,-2.17,9.59
585,-0.79,-2.26,9.40
590,-0.76,-2.10,9.47
594,-0.93,-2.16,9.33
599,-0.83,-2.13,9.38
604,-0.83,-2.09,9.42
608,-0.87,-2.07,9.31
612,-0.89,-2.05,9.42
617,-1.02,-2.04,9.45
622,-1.11,-2.03,9.41
627,-1.03,-1.99,9.10
631,-0.87,-1.91,9.50
636,-1.22,-1.95,9.38
641,-1.17,-2.05,9.62
646,-0.76,-1.93,9.61
649,-0.78,-1.90,9.35
654,-0.88,-2.07,9.45
659,-1.01,-1.98,9.49
663,-0.77,-1.98,9.28
668,-0.77,-2.02,9.40
673,-0.93,-1.91,9.44
678,-1.11,-2.13,9.17
682,-0.99,-2.16,9.41
687,-0.95,-2.16,9.15
691,-1.09,-2.11,9.14
696,-0.94,-2.19,9.22
700,-0.87,-2.07,9.16
705,-0.94,-2.07,9.13
710,-0.98,-2.04,9.12
715,-0.93,-2.11,9.53
719,-0.96,-2.10,9.52
724,-0.99,-2.08,9.26
729,-0.80,-1.93,9.63
732,-0.79,-2.11,9.61
737,-0.80,-2.11,9.63
742,-0.80,-2.17,9.39
747,-0.81,-2.27,9.05
751,-0.76,-2.27,9.22
756,-0.77,-2.35,9.24
761,-0.80,-2.23,9.41
765,-0.82,-2.27,9.38
770,-0.72,-2.13,9.32
774,-0.91,-2.15,9.58
779,-0.88,-2.22,9.41
783,-0.82,-2.14,9.33
788,-0.83,-2.13,9.33
793,-0.90,-2.20,9.45
798,-0.80,-2.16,9.43
802,-0.80,-2.16,9.51
807,-0.81,-2.19,9.39
812,-1.03,-2.15,9.22
815,-0.83,-2.19,9.53
820,-0.92,-2.13,9.16
825,-0.87,-2.11,9.19
830,-0.90,-2.09,9.06
834,-0.96,-2.14,9.10
839,-1.02,-2.04,9.32
844,-1.05,-2.10,9.28
849,-0.93,-2.12,9.57
853,-0.96,-2.12,9.55
857,-1.06,-2.15,9.45
862,-0.98,-2.09,9.31
867,-1.14,-2.11,9.16
871,-1.07,-2.12,9.29
876,-0.96,-2.05,9.43
881,-0.94,-2.09,9.46
885,-0.91,-2.08,9.36
890,-0.87,-2.10,8.98
895,-0.97,-2.09,9.00
899,-0.93,-1.99,9.24
903,-1.14,-2.13,9.30
908,-0.93,-2.01,9.53
913,-0.87,-1.94,9.22
918,-0.89,-1.98,9.29
922,-0.97,-2.11,9.22
927,-0.89,-2.05,9.36
932,-0.79,-2.14,9.33
936,-0.95,-2.12,9.29
940,-0.82,-2.12,9.62
945,-0.83,-2.14,9.27
950,-1.02,-2.06,9.53
954,-1.14,-2.10,9.36
959,-1.00,-2.04,9.17
964,-0.85,-1.96,9.48
968,-0.78,-2.03,9.45
973,-0.94,-2.14,9.70
978,-0.84,-2.10,9.58
982,-0.74,-2.06,9.48
986,-0.87,-2.16,9.59
991,-0.86,-2.16,9.37
996,-1.02,-2.23,9.54
1001,-0.93,-2.08,9.61
1005,-0.87,-2.18,9.51
1010,-0.79,-2.20,9.36
1015,-0.75,-2.17,9.14
1020,-1.00,-2.15,9.27
1024,-1.04,-2.06,9.43
1028,-1.01,-2.09,9.74
1033,-1.10,-2.07,9.56
1038,-0.92,-2.04,9.55
1042,-0.87,-2.07,9.43
