timestamp,accX,accY,accZ
0,-0.98,-1.00,9.42
91,0.12,-1.09,9.24
95,-0.07,-1.06,9.22
99,-0.05,-0.91,9.09
104,0.03,-0.96,8.99
108,0.16,-0.95,9.32
113,0.05,-0.73,9.40
118,0.08,-0.65,9.44
123,0.09,-0.69,9.84
127,-0.13,-0.63,9.79
132,-0.07,-0.56,9.89
137,-0.21,-0.50,9.39
141,-0.17,-0.48,9.53
145,-0.13,-0.45,9.70
150,-0.10,-0.60,9.89
155,0.00,-0.67,9.99
159,0.14,-0.79,9.88
164,0.11,-0.79,9.94
169,0.21,-0.69,10.01
173,0.11,-0.84,9.79
178,0.02,-0.88,9.45
182,0.07,-0.94,9.45
187,0.13,-1.06,9.31
191,0.09,-1.00,9.37
196,0.05,-1.13,9.27
201,-0.06,-1.06,9.45
205,0.12,-1.04,9.59
210,0.13,-0.95,9.47
215,-0.07,-1.04,9.67
220,0.08,-0.99,9.69
223,0.11,-0.86,9.61
228,0.06,-0.93,9.98
233,0.18,-0.89,9.74
238,0.03,-0.63,9.77
242,0.08,-0.66,9.75
247,-0.02,-0.73,9.55
252,-0.12,-0.82,9.58
256,-0.01,-0.70,9.30
261,-0.27,-0.68,9.39
265,-0.02,-0.56,9.67
270,0.02,-0.64,9.81
274,0.07,-0.66,9.65
279,-0.07,-0.61,9.74
284,-0.14,-0.58,9.84
289,0.03,-0.61,9.75
293,0.15,-0.65,9.50
298,0.08,-0.53,9.52
303,-0.01,-0.66,9.59
306,0.11,-0.64,9.61
311,0.04,-0.71,9.90
316,0.05,-0.81,9.93
321,0.13,-0.80,9.91
325,0.20,-0.70,10.17
330,0.20,-0.71,9.99
335,0.36,-0.79,9.86
340,0.13,-0.78,9.78
344,0.16,-0.85,10.21
348,0.09,-0.85,10.02
353,0.11,-0.85,9.87
358,0.06,-0.85,9.93
362,0.18,-0.92,9.74
367,0.13,-0.89,9.68
372,0.15,-0.93,9.49
376,-0.01,-0.78,9.77
381,0.10,-0.96,9.72
386,0.07,-0.85,9.67
390,0.27,-0.83,9.66
394,0.10,-0.88,9.85
399,0.18,-0.93,9.67
404,0.21,-0.95,9.45
408,0.08,-0.93,9.54
413,0.10,-0.98,9.71
418,-0.12,-1.00,9.50
423,-0.03,-0.95,9.28
427,0.10,-0.97,9.42
431,0.12,-0.90,9.67
436,0.05,-0.90,9.60
440,-0.02,-1.02,9.71
445,0.06,-0.86,9.78
450,0.04,-0.89,9.79
455,0.04,-0.94,9.45
459,0.11,-0.87,9.48
464,0.15,-1.00,9.59
469,-0.10,-0.98,9.27
473,-0.05,-0.99,9.83
477,0.04,-0.98,9.76
482,-0.17,-1.03,9.72
487,-0.17,-1.00,9.67
492,0.10,-0.94,9.90
496,0.19,-0.94,9.81
501,0.09,-0.87,9.95
506,0.05,-0.87,9.77
510,0.00,-0.82,9.71
514,0.00,-0.91,9.37
519,0.16,-0.84,9.54
524,-0.05,-0.83,9.54
528,0.03,-0.78,9.51
533,-0.07,-0.89,9.76
538,0.07,-0.89,9.69
542,0.13,-0.91,9.73
547,0.07,-0.75,9.51
552,0.17,-0.78,9.46
556,0.02,-0.80,9.33
560,-0.01,-0.79,9.43
565,-0.10,-0.82,9.45
570,-0.11,-0.93,9.42
575,0.08,-0.81,9.40
579,0.20,-0.80,9.46
584,0.09,-0.68,9.84
589,0.15,-0.88,9.96
594,0.18,-0.79,9.64
597,0.09,-0.75,9.57
602,-0.02,-0.65,9.69
607,-0.02,-0.72,9.46
611,0.01,-0.74,9.24
616,0.00,-0.73,9.38
621,-0.03,-0.69,9.60
626,0.06,-0.65,9.86
630,-0.11,-0.90,9.79
635,-0.19,-0.70,9.90
639,-0.07,-0.75,9.78
643,-0.05,-0.78,9.86
648,0.06,-0.90,10.00
653,0.02,-0.95,9.89
658,0.14,-0.91,9.79
662,0.02,-0.94,9.73
667,0.02,-1.00,9.56
672,0.08,-0.99,9.80
676,0.12,-1.02,9.66
681,0.18,-1.15,9.66
685,0.20,-1.12,9.71
690,0.28,-0.90,9.68
694,0.19,-0.99,9.69
699,0.16,-0.91,9.92
704,0.11,-0.93,9.56
709,0.18,-0.84,9.82
713,0.00,-0.80,9.54
718,0.05,-0.92,9.44
722,0.13,-0.98,9.43
726,0.13,-0.97,9.32
731,0.07,-0.95,9.70
736,0.19,-0.91,9.60
741,0.11,-0.88,9.40
746,-0.04,-0.84,9.47
750,0.05,-0.99,9.22
755,0.14,-0.79,9.16
760,0.02,-0.71,9.18
764,0.13,-0.69,9.61
768,0.00,-0.72,9.71
773,-0.11,-0.60,9.74
778,-0.27,-0.58,9.87
782,-0.06,-0.67,9.68
787,0.05,-0.74,9.74
792,0.14,-0.70,9.57
797,0.11,-0.74,9.47
801,0.14,-0.66,9.68
806,0.15,-0.87,9.79
810,0.15,-0.94,9.35
814,0.07,-0.88,9.74
819,0.16,-0.78,9.67
824,0.23,-0.87,9.45
829,0.26,-1.02,9.39
833,0.15,-0.88,9.41
838,0.16,-1.02,9.46
843,0.20,-0.96,9.39
847,0.07,-1.02,9.51
851,0.17,-0.99,9.57
856,0.30,-0.90,9.52
861,0.21,-0.75,9.72
865,0.12,-0.78,9.76
870,0.07,-0.91,10.13
875,0.21,-0.86,10.23
880,0.28,-0.94,9.72
884,0.22,-0.84,9.90
889,0.21,-0.97,9.95
893,0.11,-0.95,9.91
898,0.09,-1.00,9.56
902,0.14,-0.93,9.56
907,0.21,-0.87,9.44
912,0.12,-0.80,9.48
916,0.11,-0.62,9.81
921,0.12,-0.65,9.79
926,0.19,-0.64,9.97
931,0.07,-0.65,9.48
934,0.05,-0.80,9.49
939,0.11,-0.65,9.35
944,-0.01,-0.66,9.20
948,0.05,-0.57,9.24
953,-0.22,-0.57,9.80
958,0.01,-0.58,9.61
963,-0.02,-0.50,9.50
967,-0.10,-0.61,9.83
972,-0.08,-0.60,9.81
976,-0.12,-0.63,9.79
981,-0.14,-0.73,9.87
985,0.01,-0.72,9.65
990,0.12,-0.66,9.58
995,0.04,-0.69,9.67
999,0.11,-0.75,9.66
1004,0.04,-0.74,9.54
1009,-0.02,-0.68,9.48
1014,0.15,-0.79,9.70
1017,0.04,-0.89,10.04
1022,0.06,-0.83,9.49
1027,0.02,-0.81,9.77
1032,0.04,-0.73,9.75
1036,-0.05,-0.78,9.55
1041,0.15,-0.72,9.52
1046,0.16,-0.79,9.67
1050,0.22,-0.80,9.73
1055,-0.02,-0.79,9.69
1059,-0.07,-0.80,9.74
1064,-0.12,-0.85,9.73
1068,0.08,-0.87,9.52
1073,0.14,-0.91,9.71
1078,0.14,-0.89,9.92
1083,0.19,-1.00,9.90
1087,0.25,-0.98,9.59
1092,0.26,-0.94,9.47
1097,-0.01,-0.86,9.45
1100,-0.06,-0.93,9.47
1105,-0.06,-0.96,9.74
1110,-0.07,-0.89,9.82
1115,0.01,-0.89,9.89
1119,0.13,-0.80,9.67
1124,0.16,-0.80,9.69
1129,0.02,-0.72,9.77
1133,0.11,-0.77,9.68
1138,0.00,-0.77,9.69
1142,0.15,-0.80,9.66
1147,0.05,-0.82,9.56
1151,0.17,-0.83,9.50
1156,0.09,-0.82,9.22
1161,0.07,-0.82,9.41
1165,0.21,-0.75,9.40
1170,0.04,-0.66,9.45
1175,0.03,-0.65,9.31
1180,0.00,-0.75,9.10
1183,-0.05,-0.61,9.22
1188,0.03,-0.78,9.20
1193,0.14,-0.82,9.18
1198,0.11,-0.80,9.16
1202,0.07,-0.80,9.36
1207,0.07,-0.85,9.74
1212,0.01,-0.81,9.90
1216,0.10,-0.73,9.99
1221,-0.04,-0.77,10.11
1225,0.12,-0.67,9.53
1230,0.05,-0.71,9.76
1234,0.01,-0.89,10.00
1239,-0.09,-0.97,9.80
1244,0.20,-0.94,9.74
1248,0.21,-0.91,9.61
1253,0.19,-0.89,9.41
1258,0.04,-0.64,9.55
