timestamp,accX,accY,accZ
0,0.04,-1.00,9.87
91,0.11,-1.01,9.69
95,0.15,-1.04,9.76
100,0.28,-0.95,9.87
105,0.08,-0.89,9.89
110,0.12,-0.97,9.67
113,0.04,-0.94,9.59
118,0.10,-0.80,9.59
123,0.00,-0.96,9.66
127,0.01,-0.93,9.59
132,-0.05,-0.98,9.83
137,0.09,-0.86,9.67
142,0.11,-0.97,9.47
146,-0.03,-0.95,9.58
151,-0.13,-1.00,9.89
155,-0.05,-1.02,9.85
160,-0.12,-0.97,9.80
164,-0.01,-0.95,9.76
169,-0.08,-0.97,9.97
174,0.03,-0.91,9.77
179,0.20,-0.80,9.69
183,0.11,-0.58,9.73
188,-0.08,-0.74,10.03
193,0.18,-0.75,9.92
197,0.18,-0.71,10.02
201,0.03,-0.86,9.69
206,0.22,-0.78,9.79
211,0.02,-0.73,9.56
216,-0.10,-0.64,9.38
220,0.02,-0.66,9.68
225,-0.04,-0.71,9.61
230,0.08,-0.74,9.33
234,0.07,-0.75,9.92
238,0.11,-0.89,9.78
243,0.28,-0.94,9.70
248,0.18,-0.88,9.49
252,0.21,-0.80,9.78
257,0.08,-0.95,9.54
262,-0.06,-1.01,9.58
267,-0.12,-1.02,9.86
271,-0.16,-0.86,9.76
276,-0.18,-0.82,9.99
280,-0.07,-0.98,9.57
284,0.07,-0.96,9.48
289,-0.05,-1.03,9.28
294,0.06,-1.03,9.25
298,0.17,-0.98,9.33
303,0.08,-1.02,9.49
308,-0.19,-1.04,9.90
313,0.09,-1.08,9.56
317,0.12,-1.11,9.83
321,-0.04,-0.96,9.61
326,0.14,-0.92,9.58
330,0.11,-1.00,9.75
335,0.14,-1.07,9.48
340,0.07,-0.98,9.45
345,-0.03,-0.90,9.53
349,0.01,-0.98,9.81
354,0.10,-0.88,9.53
359,0.18,-0.85,9.73
363,0.13,-0.82,10.13
367,0.09,-1.00,9.68
372,0.19,-0.97,9.41
377,0.10,-0.91,9.62
381,-0.04,-0.81,9.74
386,-0.02,-0.89,9.35
391,-0.02,-0.88,9.43
396,-0.12,-0.84,9.39
400,0.03,-0.87,9.10
405,0.00,-0.88,9.11
409,-0.15,-0.85,9.14
414,-0.08,-0.86,9.89
418,0.00,-0.85,9.63
423,0.05,-0.85,9.49
428,0.08,-0.74,9.61
432,0.11,-0.82,9.62
437,0.26,-0.80,9.69
442,0.25,-0.82,9.73
446,0.22,-0.96,9.60
450,0.11,-0.97,9.68
455,-0.02,-1.17,10.00
460,0.10,-1.05,9.53
464,0.24,-1.04,9.72
469,0.30,-0.92,9.53
474,0.26,-0.85,9.75
479,0.17,-0.81,9.99
483,0.27,-0.86,9.51
488,0.05,-0.73,9.62
492,0.02,-0.77,9.65
496,0.08,-0.69,9.79
501,0.09,-0.65,9.54
506,0.19,-0.71,9.60
511,0.08,-0.80,9.84
515,0.11,-0.76,9.80
520,0.04,-0.74,9.81
525,-0.31,-0.83,9.68
530,-0.11,-0.86,9.45
533,0.00,-0.72,9.36
538,0.13,-0.76,9.32
543,0.03,-0.80,9.39
547,0.00,-0.74,9.53
552,-0.03,-0.87,9.55
557,-0.11,-0.87,9.61
562,-0.02,-0.87,9.60
566,-0.11,-0.85,9.74
571,-0.01,-0.87,9.77
575,-0.07,-0.94,9.73
580,0.07,-0.92,9.80
584,0.03,-0.94,9.38
589,-0.01,-1.04,9.90
594,0.00,-1.04,9.62
598,0.06,-1.04,9.77
603,0.16,-1.01,9.69
608,0.13,-1.02,9.45
612,0.07,-0.91,9.38
616,-0.03,-0.84,9.41
621,-0.11,-0.99,9.59
626,0.07,-0.96,9.41
630,0.21,-1.09,9.45
635,0.03,-0.95,9.28
640,0.11,-0.86,9.66
644,0.05,-0.85,9.82
649,-0.18,-1.10,9.70
654,-0.11,-0.91,9.92
658,0.07,-0.78,9.57
662,0.11,-0.81,9.62
667,0.02,-0.74,9.62
672,0.00,-0.70,9.79
676,0.22,-0.77,9.61
681,-0.04,-0.67,9.45
686,-0.01,-0.84,9.80
691,0.17,-0.84,10.00
695,0.05,-0.92,9.67
699,0.08,-0.86,9.71
704,0.03,-0.73,9.97
709,0.18,-0.85,9.70
713,0.13,-0.94,9.53
718,0.11,-0.84,9.72
723,0.11,-0.84,9.66
727,0.03,-0.81,9.78
732,0.05,-0.84,9.67
737,0.02,-0.89,9.90
741,-0.06,-0.92,9.93
745,-0.02,-0.99,9.71
750,0.19,-0.86,9.68
755,-0.02,-0.87,9.48
760,-0.10,-0.97,9.62
764,-0.12,-0.92,9.51
769,-0.13,-0.84,9.32
774,-0.13,-0.86,9.78
778,-0.07,-0.92,9.90
782,0.13,-0.91,9.72
787,0.15,-0.86,9.58
792,-0.04,-0.81,9.50
797,0.00,-0.77,9.70
801,-0.13,-0.84,9.64
806,-0.04,-0.89,9.71
811,-0.15,-0.96,9.54
815,-0.06,-0.80,9.68
820,0.12,-0.95,9.71
824,0.28,-1.00,9.81
829,0.21,-1.12,9.54
833,0.05,-1.09,9.57
838,0.11,-1.07,9.54
