timestamp,accX,accY,accZ
0,6.84,-1.88,6.28
91,6.80,-1.72,6.28
95,6.71,-1.70,6.13
99,6.63,-1.66,6.36
104,6.74,-1.57,6.52
109,6.76,-1.58,6.49
113,6.75,-1.42,6.25
118,6.70,-1.46,6.62
123,6.74,-1.62,6.52
128,6.93,-1.72,6.48
132,6.82,-1.71,6.45
137,6.78,-1.85,6.45
141,6.87,-2.09,6.34
145,6.93,-2.07,6.36
150,7.10,-2.08,6.15
155,7.08,-2.19,6.20
159,7.29,-2.19,6.42
164,7.21,-2.21,6.26
169,7.15,-2.34,6.40
174,7.13,-2.37,6.20
178,7.27,-2.37,6.16
182,7.27,-2.23,6.38
187,7.23,-2.27,6.49
192,7.27,-2.21,6.61
196,7.17,-2.13,6.50
201,7.36,-2.12,6.71
206,7.32,-2.10,6.52
210,7.15,-2.11,6.38
215,6.99,-2.05,6.24
220,7.06,-2.00,6.31
224,7.03,-2.02,6.30
228,7.03,-1.83,6.28
233,7.03,-2.03,6.26
238,6.99,-1.87,6.49
243,6.93,-2.13,6.37
247,7.05,-2.23,6.37
252,7.11,-2.23,6.43
257,7.29,-2.34,6.54
262,7.35,-2.33,6.29
265,7.54,-2.44,6.51
270,7.34,-2.60,6.36
275,7.36,-2.56,6.14
280,7.26,-2.53,6.28
284,7.39,-2.51,6.56
289,7.53,-2.55,6.35
294,7.29,-2.58,6.47
299,7.27,-2.58,6.24
303,7.17,-2.52,5.85
307,7.21,-2.37,6.45
312,7.16,-2.31,6.53
316,7.05,-2.31,6.79
321,7.20,-2.21,6.46
326,7.18,-2.29,6.42
331,7.30,-2.17,6.22
335,7.10,-2.07,6.55
340,7.03,-2.16,6.38
345,6.83,-2.11,6.50
349,6.90,-2.04,6.39
354,6.77,-2.07,6.24
358,6.91,-2.00,6.45
363,7.04,-2.10,6.10
368,7.08,-2.11,6.29
372,7.01,-2.12,6.49
377,7.10,-2.12,6.54
382,6.99,-2.18,6.49
387,7.10,-2.15,6.62
390,7.03,-2.23,6.75
395,6.95,-2.21,6.79
400,7.07,-2.16,6.60
405,7.10,-2.18,6.49
409,7.04,-2.16,6.37
414,6.94,-2.18,6.78
419,6.85,-2.14,6.85
423,6.98,-2.15,6.29
428,6.82,-2.16,6.50
432,6.83,-2.05,6.66
437,6.84,-2.04,6.26
441,6.69,-2.00,6.23
446,6.71,-1.92,6.17
451,6.62,-1.82,6.09
456,6.69,-1.82,6.17
460,6.81,-1.78,6.13
465,6.63,-1.74,5.97
470,6.63,-1.71,6.27
474,6.73,-1.85,6.19
478,6.81,-1.79,6.39
483,6.62,-1.85,6.26
488,6.76,-1.87,6.52
493,6.75,-1.91,6.24
497,6.94,-2.04,6.55
502,6.98,-1.97,6.61
507,6.95,-2.13,6.44
511,6.94,-2.05,6.68
515,6.94,-2.05,6.61
520,6.98,-2.16,6.49
525,6.88,-2.15,6.40
529,6.99,-2.20,6.59
534,6.93,-2.22,6.29
539,7.06,-2.18,6.67
544,6.92,-2.22,6.54
548,6.87,-2.19,6.30
553,6.89,-2.24,6.34
557,6.88,-2.24,6.26
562,6.75,-2.16,5.94
566,6.76,-2.17,5.98
571,6.75,-2.19,5.92
576,6.82,-2.17,5.81
581,6.62,-2.16,6.26
585,6.72,-2.19,6.29
590,6.59,-2.12,6.42
595,6.59,-2.17,6.41
599,6.78,-2.10,6.38
603,6.73,-2.08,6.79
608,6.93,-2.22,6.87
613,7.13,-2.17,6.61
618,7.09,-2.20,6.73
622,7.18,-2.29,6.78
627,7.09,-2.48,6.39
632,7.14,-2.46,6.71
637,7.07,-2.62,6.77
640,7.27,-2.60,6.85
645,7.01,-2.61,6.69
650,7.02,-2.62,6.78
655,7.15,-2.59,6.49
659,7.09,-2.53,6.29
664,7.12,-2.51,6.28
669,7.17,-2.49,6.67
673,6.98,-2.36,6.58
678,6.96,-2.35,6.82
682,7.14,-2.31,6.65
687,7.13,-2.26,6.70
691,7.01,-2.14,6.64
696,6.98,-2.06,6.79
701,6.76,-2.12,6.74
706,6.88,-2.11,6.72
710,6.89,-1.98,6.74
715,6.84,-1.85,7.06
720,6.71,-1.90,6.85
724,6.91,-1.86,6.78
728,6.94,-2.00,6.90
733,6.96,-1.98,6.64
738,6.98,-1.97,6.56
742,6.83,-2.04,6.80
747,6.82,-1.97,6.90
752,6.94,-2.02,6.78
757,6.84,-2.06,6.88
761,6.87,-2.25,6.90
765,6.79,-2.21,6.69
770,6.78,-2.22,6.90
775,7.00,-2.22,6.58
779,6.84,-2.13,6.48
784,7.00,-2.20,6.85
789,6.82,-2.30,6.71
793,6.94,-2.28,6.61
798,6.91,-2.26,6.55
803,6.90,-2.37,6.59
807,6.71,-2.24,6.48
811,6.80,-2.28,6.41
816,6.79,-2.20,6.49
821,6.61,-2.19,6.55
826,6.92,-2.17,6.43
830,7.08,-2.04,6.82
835,6.94,-2.05,6.54
840,6.80,-2.07,7.02
845,6.91,-2.25,6.95
848,6.97,-2.25,7.01
