timestamp,accX,accY,accZ
0,6.51,-2.43,6.61
91,6.62,-2.55,7.03
95,6.61,-2.53,6.85
100,6.75,-2.51,6.79
105,6.61,-2.43,6.84
109,6.66,-2.36,7.15
114,6.80,-2.44,6.94
118,6.77,-2.57,6.58
123,6.70,-2.33,6.69
127,6.60,-2.23,6.88
132,6.66,-2.26,6.63
137,6.62,-2.33,6.62
142,6.60,-2.20,6.52
146,6.66,-2.22,6.64
151,6.71,-2.16,6.64
156,6.60,-2.08,6.61
160,6.57,-2.01,6.81
164,6.50,-2.09,6.90
169,6.68,-2.09,7.04
174,6.62,-2.03,6.75
179,6.51,-1.95,6.47
183,6.35,-2.04,6.55
188,6.63,-2.10,6.63
193,6.61,-2.09,6.58
198,6.57,-2.19,6.54
201,6.54,-2.15,6.71
206,6.66,-1.98,7.02
211,6.53,-2.03,7.17
215,6.61,-2.08,7.27
220,6.68,-2.10,7.22
225,6.61,-2.22,6.94
230,6.74,-2.39,6.77
235,6.65,-2.35,6.94
239,6.73,-2.41,6.76
243,6.66,-2.49,6.91
248,6.67,-2.31,6.93
252,6.49,-2.34,6.94
257,6.48,-2.37,6.81
262,6.63,-2.39,7.15
266,6.71,-2.35,6.88
271,6.53,-2.38,6.84
276,6.49,-2.46,6.76
281,6.45,-2.32,7.12
284,6.73,-2.38,6.85
289,6.75,-2.36,6.74
294,6.69,-2.20,6.67
298,6.59,-2.24,6.99
303,6.65,-2.25,6.62
308,6.47,-2.25,6.74
313,6.48,-2.29,6.68
317,6.49,-2.31,6.56
322,6.49,-2.29,6.95
326,6.56,-2.35,7.03
331,6.65,-2.40,6.89
335,6.72,-2.39,6.88
340,6.49,-2.36,6.75
345,6.52,-2.22,6.63
349,6.68,-2.35,6.93
354,6.55,-2.38,6.70
359,6.50,-2.38,6.79
364,6.41,-2.43,6.53
367,6.42,-2.34,6.39
372,6.54,-2.40,6.57
377,6.71,-2.30,6.87
382,6.52,-2.20,6.71
386,6.55,-2.36,6.92
391,6.52,-2.32,6.56
396,6.48,-2.32,6.70
400,6.43,-2.39,6.76
405,6.54,-2.44,6.54
409,6.49,-2.35,6.79
414,6.59,-2.31,6.82
418,6.53,-2.37,6.63
423,6.51,-2.39,6.65
428,6.53,-2.38,6.96
432,6.56,-2.39,6.79
437,6.53,-2.33,6.85
442,6.49,-2.39,6.86
447,6.51,-2.52,6.84
450,6.57,-2.57,6.72
455,6.71,-2.59,6.45
460,6.52,-2.62,6.94
464,6.53,-2.65,6.70
469,6.64,-2.36,6.49
474,6.49,-2.47,6.78
479,6.49,-2.47,6.49
483,6.60,-2.36,6.83
488,6.65,-2.35,6.66
492,6.57,-2.26,6.76
497,6.45,-2.41,6.49
501,6.72,-2.36,6.60
506,6.58,-2.38,6.61
511,6.49,-2.33,6.63
515,6.52,-2.21,6.81
520,6.52,-2.18,6.70
525,6.69,-2.24,6.61
530,6.58,-2.26,6.81
533,6.49,-2.20,6.91
538,6.49,-2.19,6.86
543,6.49,-2.25,6.63
548,6.50,-2.26,6.79
552,6.45,-2.25,6.94
557,6.47,-2.20,6.78
562,6.58,-2.16,7.05
566,6.51,-2.18,6.85
571,6.70,-2.31,6.70
575,6.54,-2.12,6.83
580,6.46,-2.15,7.00
584,6.49,-2.21,6.87
589,6.64,-2.14,6.76
594,6.71,-2.15,6.71
599,6.76,-2.24,6.61
603,6.65,-2.28,6.59
608,6.66,-2.25,6.45
613,6.75,-2.29,6.91
616,6.83,-2.33,7.03
621,6.77,-2.37,6.92
626,6.93,-2.41,7.14
631,6.84,-2.42,6.63
635,6.66,-2.35,6.96
640,6.65,-2.44,6.93
645,6.74,-2.38,6.66
650,6.85,-2.27,6.63
654,6.65,-2.30,6.79
658,6.63,-2.16,6.93
663,6.61,-2.21,6.91
667,6.55,-2.16,7.10
672,6.64,-2.10,6.85
677,6.76,-2.07,6.93
682,6.76,-2.18,6.94
686,6.73,-2.17,6.81
691,6.65,-2.02,6.54
696,6.59,-1.95,6.64
700,6.71,-1.95,6.64
704,6.67,-1.95,6.95
709,6.71,-1.96,7.23
714,6.78,-2.07,7.10
719,6.68,-1.95,6.76
723,6.68,-2.07,7.04
728,6.80,-2.16,6.97
733,6.88,-2.24,6.90
738,6.66,-2.34,6.82
741,6.74,-2.40,7.12
746,6.67,-2.35,6.97
751,6.71,-2.34,7.17
756,6.86,-2.33,7.15
760,6.86,-2.38,6.91
765,6.94,-2.39,7.02
770,6.78,-2.28,6.82
775,6.63,-2.26,7.11
779,6.66,-2.30,7.00
783,6.71,-2.23,6.85
788,6.71,-2.25,6.76
792,6.80,-2.15,6.67
797,6.68,-2.25,6.62
802,6.57,-2.19,6.69
807,6.71,-2.16,6.49
811,6.64,-2.21,6.79
816,6.68,-2.15,6.70
821,6.48,-2.15,6.77
824,6.42,-2.24,6.71
829,6.49,-2.27,6.91
834,6.61,-2.19,7.06
839,6.78,-2.34,6.83
843,6.65,-2.28,6.79
848,6.44,-2.43,6.83
853,6.64,-2.46,6.82
858,6.70,-2.28,6.62
862,6.61,-2.32,6.77
866,6.51,-2.46,6.59
871,6.71,-2.41,6.60
876,6.72,-2.42,6.74
880,6.63,-2.50,6.53
885,6.58,-2.37,6.60
890,6.69,-2.48,6.74
895,6.49,-2.37,6.81
899,6.64,-2.41,6.97
904,6.61,-2.36,6.52
908,6.71,-2.28,6.81
912,6.59,-2.23,6.68
917,6.43,-2.28,6.83
922,6.53,-2.44,6.82
927,6.51,-2.28,6.70
931,6.58,-2.32,6.83
936,6.68,-2.36,6.49
941,6.70,-2.37,6.66
946,6.48,-2.30,6.71
949,6.38,-2.25,6.96
954,6.57,-2.22,6.69
959,6.54,-2.31,6.68
963,6.67,-2.30,6.48
968,6.59,-2.30,6.76
973,6.52,-2.28,6.77
977,6.59,-2.19,6.64
982,6.53,-2.13,6.80
987,6.60,-2.23,6.64
991,6.58,-2.16,6.61
995,6.59,-2.06,6.40
1000,6.42,-2.03,6.56
1005,6.37,-1.93,6.86
1010,6.53,-1.95,6.89
1014,6.59,-1.90,6.69
1019,6.36,-1.90,6.81
1024,6.34,-1.96,6.96
1029,6.46,-2.01,6.89
1032,6.37,-2.10,6.77
1037,6.49,-2.06,6.80
1042,6.59,-2.16,6.47
1047,6.49,-2.03,6.38
1051,6.53,-2.17,6.58
1056,6.65,-2.14,6.49
1061,6.54,-2.23,6.55
1065,6.49,-2.16,6.64
1070,6.53,-2.18,6.67
1074,6.74,-2.16,6.68
1079,6.58,-2.14,6.62
1083,6.61,-2.25,6.93
1088,6.82,-2.23,6.87
1093,6.71,-2.30,6.76
1098,6.73,-2.31,6.71
1102,6.76,-2.39,6.87
1107,6.83,-2.48,6.86
1112,6.89,-2.39,6.90
1115,6.99,-2.39,7.10
1120,6.98,-2.57,6.95
1125,6.82,-2.61,6.91
1130,6.98,-2.54,6.73
1134,6.77,-2.63,7.10
1139,6.90,-2.50,7.14
1144,6.88,-2.52,6.96
1149,6.84,-2.37,7.04
1153,6.73,-2.29,7.02
1157,6.62,-2.34,7.17
1162,6.79,-2.27,7.33
1166,6.70,-2.19,7.36
1171,6.70,-2.14,7.12
1176,6.66,-2.08,7.13
1181,6.76,-1.98,6.94
1185,6.61,-2.09,7.01
1190,6.65,-2.11,6.88
1195,6.71,-2.13,6.91
1199,6.61,-2.32,7.01
1203,6.64,-2.29,6.92
1208,6.68,-2.22,6.97
1213,6.56,-2.28,6.76
1217,6.62,-2.33,6.75
1222,6.75,-2.23,7.00
1227,6.76,-2.25,6.88
1232,6.77,-2.19,6.98
1236,6.78,-2.23,7.05
1240,6.56,-2.29,6.85
1245,6.72,-2.24,6.91
1250,6.70,-2.44,6.69
1254,6.83,-2.39,6.62
1259,6.76,-2.31,6.66
1264,6.69,-2.35,6.50
1268,6.58,-2.23,6.80
1273,6.52,-2.19,6.79
1278,6.69,-2.24,6.94
1282,6.45,-2.26,6.87
1286,6.52,-2.20,6.45
1291,6.53,-2.16,6.34
1296,6.26,-2.02,6.27
1301,6.35,-2.06,6.59
1305,6.33,-2.03,6.70
1310,6.32,-2.14,6.52
1315,6.43,-2.04,6.40
1320,6.36,-1.95,6.68
1323,6.34,-2.11,6.80
1328,6.45,-2.22,6.54
1333,6.43,-2.24,6.42
1338,6.57,-2.37,6.66
1342,6.49,-2.35,6.81
1347,6.53,-2.34,6.71
1352,6.55,-2.37,6.66
1356,6.49,-2.58,6.64
1361,6.48,-2.54,6.75
1365,6.49,-2.47,6.83
1370,6.37,-2.41,6.72
1374,6.46,-2.40,6.83
1379,6.45,-2.43,6.94
1384,6.37,-2.45,6.89
1389,6.63,-2.39,6.91
1393,6.54,-2.39,7.10
1398,6.69,-2.33,6.76
1403,6.70,-2.20,6.63
1407,6.63,-2.28,6.61
1412,6.40,-2.25,6.99
1416,6.34,-2.16,7.02
1421,6.52,-2.13,7.15
1426,6.53,-2.00,7.29
1431,6.40,-1.98,7.12
1435,6.53,-1.99,7.32
1440,6.54,-1.98,6.87
1445,6.48,-2.10,6.75
1448,6.54,-2.04,6.65
1453,6.49,-2.15,6.97
1458,6.51,-2.20,6.87
1462,6.69,-2.27,7.14
1467,6.74,-2.34,6.77
1472,6.70,-2.33,6.98
1477,6.75,-2.41,6.97
1481,6.64,-2.37,7.09
1486,6.70,-2.17,6.94
1490,6.67,-2.35,6.99
1495,6.71,-2.38,6.76
1499,6.75,-2.34,7.13
