timestamp,accX,accY,accZ
0,6.47,-2.37,7.03
91,6.46,-2.46,6.76
95,6.30,-2.52,6.71
99,6.36,-2.62,6.69
104,6.57,-2.59,6.67
109,6.43,-2.61,6.97
113,6.43,-2.63,7.07
118,6.63,-2.38,6.71
123,6.44,-2.33,6.72
127,6.32,-2.37,7.09
132,6.48,-2.43,7.05
137,6.60,-2.39,7.02
141,6.39,-2.42,6.62
145,6.34,-2.38,6.89
150,6.38,-2.52,6.72
155,6.36,-2.53,6.82
159,6.32,-2.44,7.02
164,6.35,-2.43,7.11
169,6.47,-2.38,6.77
174,6.53,-2.27,6.74
178,6.43,-2.21,6.94
182,6.41,-2.19,7.04
187,6.52,-2.15,7.16
192,6.27,-2.14,6.85
196,6.42,-2.24,6.71
201,6.37,-2.13,6.52
206,6.16,-2.17,6.76
210,6.37,-2.03,6.60
215,6.63,-2.18,6.82
220,6.51,-2.20,6.76
224,6.49,-2.21,7.22
228,6.50,-2.32,7.16
233,6.43,-2.25,7.15
238,6.49,-2.28,6.71
243,6.55,-2.28,7.07
247,6.29,-2.21,6.88
252,6.40,-2.32,6.79
257,6.52,-2.21,6.61
262,6.44,-2.21,6.69
265,6.59,-2.27,6.78
270,6.49,-2.30,6.93
275,6.50,-2.07,6.91
279,6.55,-2.17,6.64
284,6.44,-2.27,6.81
289,6.40,-2.21,6.58
294,6.35,-2.14,6.58
298,6.28,-2.25,6.83
303,6.52,-2.26,6.55
307,6.58,-2.28,6.78
311,6.42,-2.24,6.81
316,6.31,-2.42,7.04
321,6.64,-2.41,6.87
326,6.44,-2.31,6.78
330,6.49,-2.37,6.94
335,6.38,-2.48,6.87
340,6.38,-2.45,7.04
345,6.52,-2.39,6.90
348,6.47,-2.27,7.08
353,6.43,-2.42,7.07
358,6.61,-2.40,7.22
363,6.57,-2.36,6.84
367,6.56,-2.35,7.20
372,6.51,-2.37,7.05
377,6.51,-2.49,6.82
381,6.37,-2.40,6.94
386,6.48,-2.47,7.11
390,6.59,-2.49,6.82
394,6.54,-2.38,6.82
399,6.41,-2.31,7.02
404,6.38,-2.29,6.85
409,6.32,-2.29,7.00
413,6.45,-2.37,6.90
418,6.49,-2.35,6.82
423,6.49,-2.31,6.99
428,6.41,-2.42,6.96
431,6.58,-2.47,6.64
436,6.39,-2.33,6.78
441,6.50,-2.25,6.71
445,6.30,-2.31,6.94
450,6.44,-2.40,6.84
455,6.50,-2.47,6.90
460,6.49,-2.46,7.02
464,6.42,-2.52,6.88
469,6.42,-2.53,7.14
473,6.44,-2.52,7.07
478,6.49,-2.55,7.04
482,6.35,-2.57,7.25
487,6.44,-2.61,6.99
492,6.57,-2.58,6.88
497,6.54,-2.60,7.02
501,6.49,-2.52,6.99
506,6.41,-2.55,6.88
511,6.32,-2.55,6.92
514,6.40,-2.52,6.77
519,6.60,-2.43,6.46
524,6.40,-2.37,6.62
528,6.26,-2.31,7.00
533,6.43,-2.21,6.73
538,6.48,-2.23,6.63
543,6.32,-2.21,7.15
547,6.26,-2.12,7.03
552,6.45,-2.28,6.77
556,6.35,-2.16,6.83
560,6.31,-2.22,7.08
565,6.59,-2.15,7.03
570,6.38,-2.27,6.84
575,6.39,-2.32,7.23
579,6.45,-2.30,7.08
584,6.29,-2.37,7.03
589,6.31,-2.27,7.25
594,6.52,-2.18,7.09
597,6.34,-2.21,7.09
602,6.26,-2.38,6.97
607,6.48,-2.26,6.68
612,6.62,-2.32,6.96
616,6.37,-2.28,6.79
621,6.45,-2.40,6.83
626,6.36,-2.32,6.93
631,6.38,-2.16,6.85
635,6.39,-2.32,6.88
639,6.26,-2.42,6.85
644,6.38,-2.39,6.82
648,6.37,-2.38,6.76
653,6.25,-2.35,6.73
658,6.35,-2.33,6.40
663,6.34,-2.20,6.68
667,6.30,-2.35,7.07
672,6.39,-2.26,6.97
677,6.52,-2.28,6.78
681,6.49,-2.29,6.69
685,6.48,-2.18,6.79
690,6.45,-2.22,6.96
695,6.46,-2.46,7.18
700,6.48,-2.44,6.77
704,6.47,-2.35,6.95
709,6.43,-2.42,6.97
714,6.52,-2.44,7.18
718,6.36,-2.35,6.92
722,6.55,-2.40,7.04
727,6.37,-2.39,6.89
732,6.29,-2.49,6.97
736,6.45,-2.40,6.89
741,6.55,-2.45,6.98
746,6.61,-2.29,6.86
751,6.41,-2.21,7.11
755,6.52,-2.25,7.09
760,6.52,-2.24,7.09
764,6.51,-2.33,6.64
768,6.31,-2.22,6.78
773,6.37,-2.38,7.15
778,6.44,-2.31,6.80
783,6.47,-2.25,6.80
787,6.22,-2.23,6.68
792,6.39,-2.33,7.03
797,6.38,-2.45,6.87
801,6.32,-2.27,7.14
805,6.26,-2.34,7.02
810,6.54,-2.33,7.03
815,6.35,-2.24,7.12
819,6.53,-2.26,7.24
824,6.40,-2.30,6.94
829,6.44,-2.27,7.09
833,6.42,-2.29,6.95
838,6.28,-2.41,7.03
843,6.46,-2.31,6.90
847,6.35,-2.36,7.01
851,6.73,-2.38,6.96
856,6.52,-2.43,6.99
861,6.29,-2.59,6.72
865,6.46,-2.50,6.63
870,6.55,-2.37,6.92
875,6.41,-2.36,6.83
880,6.53,-2.38,6.71
885,6.31,-2.42,6.67
888,6.32,-2.34,7.15
893,6.43,-2.27,7.13
898,6.35,-2.29,7.14
902,6.32,-2.40,7.22
907,6.44,-2.30,6.98
912,6.30,-2.32,6.89
917,6.45,-2.34,7.07
921,6.56,-2.23,6.96
926,6.36,-2.16,6.90
930,6.45,-2.24,6.79
935,6.46,-2.30,7.20
939,6.55,-2.38,7.19
944,6.41,-2.27,6.92
949,6.39,-2.20,6.92
953,6.27,-2.25,7.18
958,6.39,-2.20,6.87
963,6.34,-2.12,6.99
968,6.51,-2.15,6.89
972,6.32,-2.22,7.32
976,6.38,-2.24,6.91
981,6.45,-2.30,6.97
986,6.32,-2.26,6.86
990,6.29,-2.16,6.96
995,6.34,-2.18,6.97
1000,6.51,-2.24,6.89
1005,6.27,-2.22,6.82
1009,6.23,-2.40,7.09
1013,6.37,-2.45,6.72
1018,6.55,-2.41,6.61
