timestamp,accX,accY,accZ
0,6.41,-2.51,6.91
91,6.44,-2.58,6.88
95,6.33,-2.61,6.96
100,6.26,-2.60,6.87
105,6.36,-2.57,7.20
110,6.38,-2.47,6.96
114,6.33,-2.40,7.53
118,6.30,-2.39,7.31
123,6.29,-2.44,7.11
127,6.47,-2.41,7.32
132,6.33,-2.21,7.10
137,6.22,-2.18,7.47
142,6.24,-2.27,7.28
146,6.36,-2.19,7.12
151,6.27,-2.24,7.07
156,6.46,-2.25,7.12
160,6.43,-2.19,7.15
164,6.27,-2.42,7.17
169,6.24,-2.37,6.94
174,6.37,-2.34,6.99
178,6.33,-2.26,7.11
183,6.36,-2.37,6.96
188,6.41,-2.27,7.06
193,6.25,-2.25,7.31
197,6.28,-2.32,7.10
201,6.26,-2.32,7.29
206,6.28,-2.32,6.91
211,6.36,-2.31,6.65
215,6.05,-2.20,6.63
220,6.01,-2.09,6.86
225,6.13,-2.07,6.86
229,6.15,-2.15,6.71
234,6.16,-2.16,6.86
239,6.03,-2.04,6.88
243,6.07,-2.23,7.20
247,6.29,-2.17,7.22
252,6.28,-2.16,7.18
257,6.32,-2.16,7.21
262,6.27,-2.21,7.05
266,6.34,-2.30,6.85
271,6.39,-2.38,6.98
276,6.31,-2.36,7.10
280,6.22,-2.30,7.17
284,6.28,-2.35,7.29
289,6.48,-2.51,7.16
294,6.47,-2.45,7.03
298,6.44,-2.57,6.97
303,6.43,-2.40,7.14
308,6.25,-2.38,7.08
313,6.41,-2.48,7.32
317,6.49,-2.51,7.26
322,6.55,-2.48,7.20
326,6.35,-2.34,7.24
331,6.29,-2.49,7.40
335,6.34,-2.51,7.11
340,6.33,-2.47,7.14
345,6.35,-2.38,7.15
350,6.30,-2.44,7.23
354,6.27,-2.41,7.04
359,6.40,-2.42,7.06
364,6.31,-2.35,7.29
367,6.37,-2.45,7.14
372,6.41,-2.54,7.21
377,6.26,-2.47,7.49
382,6.37,-2.46,7.01
386,6.19,-2.39,7.11
391,6.26,-2.22,7.34
396,6.26,-2.35,7.42
400,6.38,-2.27,7.24
405,6.20,-2.20,7.30
409,6.18,-2.27,7.05
414,6.21,-2.21,7.11
418,6.40,-2.28,7.24
423,6.39,-2.23,7.25
428,6.35,-2.18,7.03
433,6.27,-2.23,7.08
437,6.26,-2.20,7.41
442,6.09,-2.26,7.32
447,6.17,-2.20,7.08
451,6.11,-2.09,7.21
455,6.02,-1.99,7.17
460,5.99,-2.12,7.19
465,6.15,-2.12,7.03
469,6.10,-2.15,7.11
474,5.98,-2.10,7.14
479,6.08,-2.11,6.92
483,6.11,-2.10,6.98
488,6.07,-2.10,6.75
492,6.03,-2.16,6.70
497,6.01,-2.10,6.79
501,6.02,-2.15,7.00
506,6.14,-2.18,7.06
511,6.12,-2.30,7.17
516,6.06,-2.32,7.00
520,6.25,-2.21,6.88
525,6.08,-2.29,6.98
530,6.21,-2.34,7.01
533,6.21,-2.39,7.00
538,6.40,-2.39,6.99
543,6.22,-2.44,6.99
548,6.14,-2.51,6.94
552,6.22,-2.40,6.94
557,6.38,-2.39,7.12
562,6.36,-2.40,7.17
567,6.16,-2.43,7.01
571,6.07,-2.41,7.00
575,6.24,-2.35,7.03
580,6.21,-2.32,7.30
585,6.24,-2.30,6.90
589,6.12,-2.35,6.91
594,6.07,-2.28,6.81
599,6.08,-2.22,7.05
603,6.05,-2.30,7.07
608,6.15,-2.30,7.25
613,6.23,-2.41,6.95
617,6.07,-2.38,7.33
621,6.26,-2.31,7.19
626,6.20,-2.30,7.35
631,6.30,-2.28,7.20
636,6.31,-2.30,7.02
640,6.22,-2.30,7.26
645,6.32,-2.33,7.23
650,6.33,-2.34,7.22
655,6.32,-2.45,7.16
658,6.44,-2.26,7.12
663,6.46,-2.36,6.89
668,6.33,-2.25,7.17
672,6.37,-2.35,7.36
677,6.24,-2.44,6.97
682,6.24,-2.20,7.14
687,6.16,-2.37,7.32
691,6.08,-2.17,7.21
696,6.19,-2.09,7.26
700,6.02,-1.96,7.37
704,6.22,-2.09,7.23
709,6.17,-2.17,7.24
714,6.21,-2.18,7.11
719,6.19,-2.22,6.87
723,6.15,-2.28,7.08
728,6.09,-2.26,6.99
733,6.20,-2.37,6.85
738,6.18,-2.19,7.21
741,6.11,-2.21,6.95
746,6.16,-2.29,7.19
751,6.24,-2.29,6.95
755,6.26,-2.30,6.80
760,6.22,-2.24,6.97
765,6.18,-2.32,7.17
770,6.24,-2.25,7.27
774,6.29,-2.30,7.17
779,6.26,-2.17,7.08
783,6.26,-2.12,7.13
788,6.33,-2.26,7.05
792,6.25,-2.21,7.18
797,6.26,-2.28,7.12
802,6.09,-2.29,6.93
807,6.18,-2.30,7.06
811,6.03,-2.27,7.05
816,6.21,-2.16,6.99
