timestamp,accX,accY,accZ
0,7.78,-0.10,6.02
91,7.81,-0.09,5.99
95,7.74,-0.23,5.80
100,7.70,-0.25,5.72
105,7.60,-0.21,6.09
109,7.75,-0.23,6.16
114,7.69,-0.33,6.03
119,7.60,-0.25,5.95
123,7.57,-0.28,5.95
127,7.73,-0.29,5.80
132,7.63,-0.33,5.84
137,7.55,-0.33,5.90
142,7.68,-0.22,5.85
146,7.61,-0.15,5.73
151,7.63,-0.21,5.74
156,7.68,-0.21,5.70
161,7.66,-0.11,5.69
164,7.56,-0.09,6.01
169,7.60,-0.04,6.10
174,7.63,-0.14,5.59
179,7.46,-0.11,5.80
183,7.60,-0.26,5.96
188,7.69,-0.16,5.60
193,7.71,-0.16,5.72
197,7.62,-0.28,5.80
202,7.69,-0.34,5.82
206,7.77,-0.16,5.88
211,7.84,-0.34,5.78
215,7.77,-0.38,5.62
220,7.71,-0.23,5.96
225,7.73,-0.17,5.94
230,7.73,-0.01,6.02
234,7.79,0.01,6.26
239,7.81,-0.16,6.10
244,7.61,-0.16,5.93
248,7.63,-0.25,5.77
252,7.67,-0.15,5.72
257,7.85,-0.18,5.94
262,7.87,-0.24,5.76
266,7.77,-0.28,5.84
271,7.63,-0.33,5.87
276,7.71,-0.33,5.84
281,7.64,-0.16,5.72
285,7.78,-0.10,5.86
289,7.67,-0.06,5.97
294,7.63,0.05,5.92
299,7.63,0.05,5.74
303,7.54,0.04,5.72
308,7.68,0.06,5.82
313,7.58,0.09,5.95
318,7.64,0.04,5.97
322,7.65,-0.02,6.11
327,7.66,-0.14,5.80
331,7.63,-0.12,6.35
336,7.82,-0.04,6.16
340,7.85,-0.08,6.15
345,7.74,-0.23,6.10
350,7.50,-0.16,6.24
354,7.76,-0.27,6.04
359,7.83,-0.26,6.04
364,7.74,-0.25,6.13
369,7.47,-0.33,5.90
372,7.74,-0.38,6.02
377,7.72,-0.51,5.83
382,7.93,-0.45,5.90
386,7.84,-0.45,6.09
391,7.73,-0.16,5.86
396,7.83,-0.24,5.82
400,7.89,-0.29,5.81
405,7.67,-0.20,5.94
410,7.63,-0.13,5.80
414,7.72,0.02,5.68
418,7.65,-0.11,5.78
423,7.67,-0.06,5.71
428,7.66,0.11,5.88
433,7.75,0.14,5.79
437,7.60,0.00,5.91
442,7.57,-0.12,5.93
447,7.71,-0.16,5.79
451,7.77,-0.11,5.79
455,7.68,-0.11,6.03
460,7.49,-0.29,5.95
465,7.56,-0.41,6.05
469,7.66,-0.43,5.82
474,7.82,-0.40,5.87
479,7.86,-0.45,5.78
484,7.67,-0.37,6.08
488,7.65,-0.35,5.88
493,7.62,-0.24,5.99
497,7.71,-0.23,5.98
502,7.73,-0.30,5.70
506,7.54,-0.24,5.73
511,7.68,-0.17,5.84
516,7.62,-0.28,5.71
521,7.69,-0.21,5.58
525,7.80,-0.20,5.99
530,7.77,-0.24,5.85
535,7.79,-0.22,5.86
539,7.61,-0.24,6.03
543,7.67,-0.29,6.18
548,7.79,-0.29,6.05
553,7.86,-0.33,6.07
557,7.90,-0.24,6.09
562,7.91,-0.26,6.20
567,7.92,-0.31,6.17
572,7.71,-0.39,6.18
576,7.76,-0.32,6.30
580,7.76,-0.40,5.88
585,7.64,-0.37,6.06
590,7.76,-0.34,6.06
594,7.80,-0.34,5.73
599,7.82,-0.33,5.98
604,7.71,-0.36,5.83
608,7.76,-0.45,5.64
613,7.67,-0.33,6.01
618,7.68,-0.30,5.66
622,7.76,-0.33,5.52
626,7.70,-0.33,6.16
631,7.82,-0.25,5.95
636,7.67,-0.44,5.88
641,7.46,-0.40,5.79
645,7.65,-0.45,5.75
650,7.82,-0.33,5.74
655,7.76,-0.31,5.81
660,7.79,-0.26,5.72
663,7.65,-0.26,5.72
668,7.73,-0.19,5.93
673,7.58,-0.22,5.83
678,7.58,-0.15,5.71
682,7.43,-0.11,5.88
687,7.63,-0.12,6.14
692,7.67,-0.14,5.77
696,7.53,-0.12,6.15
701,7.63,-0.18,5.80
705,7.57,-0.18,5.92
710,7.62,-0.16,6.08
714,7.74,-0.18,6.04
719,7.73,-0.15,5.89
724,7.60,-0.34,6.03
728,7.75,-0.33,6.06
733,7.73,-0.27,5.92
738,7.56,-0.21,6.02
743,7.63,-0.10,6.04
747,7.63,-0.08,6.08
751,7.59,-0.10,6.03
756,7.63,-0.18,6.00
760,7.66,-0.18,5.97
765,7.60,-0.17,5.95
770,7.68,-0.07,5.98
774,7.58,-0.17,5.72
779,7.50,-0.11,5.76
784,7.54,-0.13,6.06
788,7.50,-0.20,6.08
792,7.64,-0.20,6.03
797,7.71,-0.19,5.83
802,7.65,-0.17,5.98
807,7.84,-0.22,6.18
811,7.73,-0.21,6.21
816,7.85,-0.20,6.04
821,7.89,-0.33,6.30
826,7.91,-0.48,6.26
830,8.00,-0.41,5.98
834,7.82,-0.42,6.26
839,7.83,-0.48,6.22
843,7.91,-0.48,6.28
848,7.90,-0.51,6.10
853,7.86,-0.41,6.25
858,7.77,-0.59,6.18
862,7.87,-0.51,6.26
867,7.82,-0.41,5.97
872,8.00,-0.34,6.05
875,7.85,-0.32,5.93
880,7.76,-0.33,5.86
885,7.56,-0.31,6.08
890,7.66,-0.38,6.01
894,7.65,-0.32,6.05
899,7.77,-0.34,6.04
904,7.76,-0.21,5.91
909,7.81,-0.31,5.88
913,7.62,-0.41,5.49
917,7.66,-0.41,5.80
922,7.62,-0.28,5.83
926,7.65,-0.19,5.87
931,7.59,-0.29,5.80
936,7.74,-0.23,5.99
941,7.72,-0.19,6.30
945,7.57,-0.36,6.36
950,7.75,-0.34,5.80
955,7.75,-0.30,6.14
958,7.58,-0.34,5.74
963,7.48,-0.31,5.89
968,7.62,-0.20,5.96
973,7.73,-0.29,5.86
977,7.63,-0.20,5.94
982,7.69,-0.21,5.88
987,7.68,-0.11,6.03
992,7.57,-0.23,6.10
996,7.68,-0.28,5.65
1000,7.59,-0.19,5.72
1005,7.66,-0.23,5.68
1010,7.63,-0.25,6.05
1015,7.58,-0.19,6.11
1019,7.70,-0.25,6.13
1024,7.71,-0.27,5.79
1029,7.51,-0.19,6.04
1033,7.65,-0.21,5.81
1038,7.67,-0.04,5.80
1042,7.78,-0.04,5.53
1047,7.64,0.04,6.03
1051,7.51,-0.09,6.19
1056,7.58,-0.08,5.97
1061,7.78,-0.13,5.65
1066,7.63,-0.19,5.89
1070,7.66,-0.22,5.82
1075,7.62,-0.41,5.99
1080,7.61,-0.41,6.00
1084,7.61,-0.34,6.02
1088,7.67,-0.33,6.13
1093,7.65,-0.32,6.01
1098,7.71,-0.37,6.04
1103,7.67,-0.41,6.13
1107,7.72,-0.24,5.94
1112,7.65,-0.31,5.96
1117,7.58,-0.27,6.13
1121,7.63,-0.25,6.28
1125,7.62,-0.22,6.17
1130,7.69,-0.35,6.08
1135,7.75,-0.16,5.77
1139,7.83,-0.15,6.21
1144,7.74,-0.11,5.87
1149,7.59,-0.32,5.86
1153,7.68,-0.40,5.90
1158,7.76,-0.26,6.03
1163,7.73,-0.21,6.06
1167,7.85,-0.25,5.97
1171,7.74,-0.43,6.10
1176,7.63,-0.43,6.06
1181,7.56,-0.45,5.93
1186,7.80,-0.39,5.94
1190,7.76,-0.34,5.79
1195,7.63,-0.25,5.89
1200,7.56,-0.39,6.04
1204,7.84,-0.36,6.02
1208,7.77,-0.47,5.82
1213,7.81,-0.39,5.73
1218,7.68,-0.28,5.77
1222,7.65,-0.28,5.84
1227,7.66,-0.38,6.01
1232,7.68,-0.40,5.87
1237,7.82,-0.32,5.87
1241,7.66,-0.22,5.94
1246,7.84,-0.21,5.83
1250,7.79,-0.13,5.84
1254,7.70,-0.07,6.04
1259,7.70,-0.05,5.88
1264,7.56,-0.06,6.24
1269,7.57,-0.12,6.03
1273,7.68,-0.14,6.07
1278,7.69,-0.27,5.90
1283,7.84,-0.32,5.67
1288,7.73,-0.35,5.86
1291,7.75,-0.39,6.13
1296,7.61,-0.45,6.16
1301,7.80,-0.40,6.12
1306,7.86,-0.40,6.08
1310,7.88,-0.37,5.73
1315,7.73,-0.31,5.79
1320,7.66,-0.21,5.80
1324,7.67,-0.24,6.06
1329,7.60,-0.17,5.87
1333,7.49,-0.24,5.73
1338,7.62,-0.16,5.77
1342,7.68,-0.11,5.96
1347,7.78,-0.06,6.02
1352,7.73,-0.08,6.04
1357,7.70,-0.05,6.29
1361,7.56,-0.08,6.06
1366,7.52,-0.12,6.17
1371,7.54,-0.29,6.07
1375,7.56,-0.34,5.93
1379,7.63,-0.28,5.85
1384,7.69,-0.30,6.23
1389,7.63,-0.26,6.41
1393,7.76,-0.24,6.17
1398,7.53,-0.30,5.63
1403,7.46,-0.28,6.17
1408,7.63,-0.27,6.14
1412,7.70,-0.35,6.10
1416,7.61,-0.36,5.82
1421,7.76,-0.41,5.94
1426,7.71,-0.43,5.95
1430,7.73,-0.61,6.02
1435,7.74,-0.64,5.82
1440,7.77,-0.69,5.69
