timestamp,accX,accY,accZ
0,7.63,-0.33,6.14
91,7.63,-0.26,6.36
95,7.60,-0.26,6.30
100,7.62,-0.19,6.25
104,7.60,-0.15,6.05
108,7.62,-0.19,5.96
113,7.63,-0.23,5.92
118,7.52,-0.18,5.91
123,7.60,-0.13,6.10
127,7.50,-0.28,6.20
132,7.65,-0.23,6.16
137,7.77,-0.31,6.08
142,7.64,-0.34,6.16
145,7.59,-0.26,6.20
150,7.53,-0.34,6.42
155,7.67,-0.28,6.27
160,7.69,-0.34,6.44
164,7.85,-0.40,6.26
169,7.65,-0.32,6.00
174,7.52,-0.31,5.86
179,7.66,-0.33,5.79
183,7.65,-0.18,5.97
187,7.49,-0.32,6.03
192,7.48,-0.16,5.96
196,7.45,-0.20,5.82
201,7.33,-0.19,6.30
206,7.56,-0.15,6.11
211,7.60,-0.17,5.92
215,7.39,-0.29,5.92
220,7.50,-0.30,6.04
225,7.53,-0.25,6.02
229,7.38,-0.45,6.11
233,7.61,-0.53,5.80
238,7.59,-0.39,5.79
243,7.63,-0.46,5.72
247,7.51,-0.43,6.03
252,7.60,-0.45,6.03
257,7.78,-0.34,5.69
262,7.63,-0.30,5.70
266,7.59,-0.48,5.80
270,7.57,-0.47,5.80
275,7.63,-0.37,5.94
279,7.67,-0.42,5.92
284,7.65,-0.36,5.84
289,7.72,-0.27,5.92
294,7.76,-0.21,5.84
298,7.66,-0.28,5.64
303,7.64,-0.25,6.04
308,7.75,-0.26,5.94
312,7.62,-0.29,6.14
316,7.73,-0.38,5.80
321,7.65,-0.34,6.06
326,7.76,-0.31,6.20
331,7.78,-0.34,6.20
335,7.92,-0.49,6.32
340,7.89,-0.43,6.00
345,7.87,-0.33,6.18
349,7.68,-0.41,6.05
353,7.74,-0.49,5.84
358,7.77,-0.29,5.88
362,7.76,-0.34,6.05
367,7.67,-0.35,5.93
372,7.67,-0.32,6.22
377,7.63,-0.45,6.25
381,7.69,-0.41,6.35
386,7.76,-0.39,5.79
391,7.83,-0.33,5.92
395,7.77,-0.32,6.08
399,7.64,-0.36,6.17
404,7.67,-0.32,5.82
409,7.50,-0.34,6.11
413,7.55,-0.33,6.02
418,7.64,-0.31,5.92
423,7.57,-0.25,6.34
428,7.59,-0.22,6.15
432,7.47,-0.29,6.06
436,7.56,-0.14,5.96
441,7.60,-0.15,5.89
446,7.40,-0.20,6.06
450,7.59,-0.28,6.02
455,7.56,-0.22,6.03
460,7.49,-0.18,5.88
464,7.50,-0.18,6.09
469,7.57,-0.01,5.93
474,7.57,-0.11,5.89
478,7.70,-0.14,5.78
482,7.49,-0.13,6.10
487,7.64,-0.17,6.23
492,7.59,-0.19,5.86
496,7.63,-0.08,6.28
501,7.62,-0.23,6.27
506,7.65,-0.17,6.26
511,7.65,-0.24,6.03
515,7.51,-0.12,6.15
519,7.67,-0.33,6.23
524,7.78,-0.28,6.03
529,7.78,-0.36,5.78
533,7.66,-0.31,6.03
538,7.53,-0.43,6.05
543,7.57,-0.36,5.85
548,7.79,-0.39,6.19
552,7.69,-0.38,6.04
557,7.73,-0.42,6.24
561,7.69,-0.45,6.08
565,7.79,-0.36,5.93
570,7.85,-0.37,5.79
575,7.75,-0.24,5.72
