timestamp,accX,accY,accZ
0,7.56,-0.34,5.89
91,7.58,-0.29,6.20
95,7.46,-0.41,6.02
100,7.45,-0.25,5.84
105,7.44,-0.26,6.20
110,7.58,-0.29,6.29
114,7.52,-0.34,6.14
119,7.54,-0.23,6.13
123,7.41,-0.21,6.38
127,7.54,-0.16,6.14
132,7.45,-0.17,6.06
137,7.41,-0.06,5.89
142,7.44,-0.07,6.10
146,7.60,-0.12,6.15
151,7.49,-0.16,5.97
156,7.47,-0.18,6.12
160,7.43,-0.26,6.00
164,7.54,-0.39,5.98
169,7.73,-0.42,5.90
174,7.63,-0.58,6.12
178,7.66,-0.61,5.94
183,7.66,-0.64,6.10
188,7.56,-0.54,6.30
192,7.64,-0.45,6.36
197,7.61,-0.32,6.31
202,7.40,-0.37,6.14
206,7.50,-0.23,6.28
210,7.63,-0.22,6.17
215,7.55,-0.16,6.38
220,7.71,-0.15,6.20
225,7.64,-0.11,6.39
229,7.34,-0.09,6.43
234,7.48,-0.24,6.30
239,7.59,-0.19,6.12
243,7.61,-0.21,6.20
247,7.65,-0.28,6.55
252,7.70,-0.20,6.47
257,7.68,-0.25,6.18
261,7.54,-0.28,6.57
266,7.48,-0.30,6.16
271,7.64,-0.36,6.24
275,7.63,-0.48,5.83
280,7.62,-0.39,5.97
285,7.69,-0.24,6.01
289,7.63,-0.27,5.95
293,7.63,-0.21,6.12
298,7.74,-0.29,6.04
303,7.48,-0.18,6.29
307,7.33,-0.30,6.00
312,7.60,-0.30,6.02
317,7.43,-0.31,6.23
322,7.59,-0.46,5.80
326,7.67,-0.33,6.07
330,7.54,-0.31,6.10
335,7.46,-0.31,6.21
339,7.43,-0.35,5.87
344,7.39,-0.18,5.95
349,7.62,-0.11,6.26
354,7.57,-0.15,5.96
358,7.51,-0.20,6.10
363,7.45,-0.21,6.26
368,7.45,-0.27,6.47
372,7.63,-0.34,6.28
376,7.72,-0.30,6.07
381,7.62,-0.36,6.08
386,7.54,-0.37,6.23
390,7.51,-0.34,6.14
395,7.63,-0.40,6.31
400,7.68,-0.36,6.00
405,7.49,-0.29,6.15
409,7.66,-0.26,6.09
413,7.65,-0.30,6.41
418,7.44,-0.17,6.51
423,7.52,-0.27,6.31
427,7.49,-0.34,6.27
432,7.54,-0.37,6.16
437,7.49,-0.30,5.96
441,7.58,-0.42,6.18
446,7.60,-0.36,6.30
451,7.61,-0.32,6.35
455,7.51,-0.37,6.42
459,7.48,-0.30,6.34
464,7.36,-0.33,6.21
469,7.47,-0.32,5.96
474,7.46,-0.31,6.03
478,7.48,-0.34,6.28
483,7.57,-0.23,6.09
488,7.61,-0.37,5.95
492,7.51,-0.34,5.82
497,7.72,-0.34,5.75
501,7.54,-0.39,5.86
506,7.60,-0.34,5.97
510,7.50,-0.51,5.76
515,7.55,-0.28,5.85
520,7.40,-0.22,6.23
524,7.59,-0.29,6.11
529,7.76,-0.23,5.85
534,7.49,-0.22,5.77
538,7.71,-0.18,5.99
542,7.65,-0.47,6.08
547,7.50,-0.28,6.12
552,7.59,-0.31,6.10
556,7.69,-0.32,6.08
561,7.45,-0.44,6.03
566,7.55,-0.35,6.17
571,7.53,-0.45,6.20
