timestamp,accX,accY,accZ
0,7.53,-0.39,6.38
91,7.41,-0.45,6.06
95,7.58,-0.40,5.89
100,7.51,-0.49,6.20
104,7.60,-0.26,5.99
108,7.62,-0.34,6.06
113,7.38,-0.34,6.02
118,7.48,-0.30,6.16
123,7.41,-0.28,5.98
127,7.31,-0.26,6.18
132,7.37,-0.25,6.03
137,7.30,-0.24,6.41
142,7.25,-0.40,6.38
145,7.49,-0.25,6.48
150,7.42,-0.24,6.25
155,7.41,-0.36,6.39
159,7.62,-0.25,5.99
164,7.43,-0.36,6.05
169,7.39,-0.33,6.24
173,7.37,-0.47,6.30
178,7.58,-0.57,6.35
183,7.58,-0.40,6.35
187,7.68,-0.49,6.35
191,7.60,-0.34,6.28
196,7.41,-0.41,6.32
201,7.57,-0.47,6.54
206,7.68,-0.44,6.06
210,7.56,-0.42,6.17
215,7.47,-0.45,6.25
220,7.64,-0.48,6.10
225,7.49,-0.44,6.13
229,7.56,-0.45,6.51
233,7.63,-0.53,6.31
238,7.50,-0.45,6.23
243,7.62,-0.50,6.13
247,7.61,-0.42,6.03
252,7.57,-0.46,6.27
257,7.66,-0.34,6.25
262,7.42,-0.29,6.23
266,7.46,-0.30,6.32
270,7.41,-0.11,6.24
275,7.63,-0.29,6.10
279,7.41,-0.19,6.20
284,7.35,-0.14,6.10
289,7.40,-0.05,6.08
294,7.53,-0.18,6.47
298,7.37,-0.22,6.41
303,7.52,-0.08,6.60
308,7.52,-0.14,6.45
312,7.54,-0.26,6.08
316,7.53,-0.45,6.24
321,7.57,-0.57,6.20
326,7.74,-0.58,6.36
331,7.62,-0.47,6.32
335,7.63,-0.56,6.46
340,7.72,-0.68,6.26
345,7.54,-0.55,6.49
349,7.42,-0.43,6.26
354,7.49,-0.49,6.30
358,7.52,-0.32,6.04
363,7.40,-0.28,6.15
367,7.38,-0.32,6.03
372,7.40,-0.27,6.21
377,7.24,-0.34,6.07
382,7.22,-0.23,6.08
386,7.40,-0.24,5.87
391,7.49,-0.23,6.03
395,7.62,-0.28,6.14
400,7.64,-0.28,6.21
404,7.55,-0.21,6.16
409,7.55,-0.15,6.04
