timestamp,accX,accY,accZ
0,7.36,-0.36,6.16
91,7.48,-0.38,6.20
95,7.48,-0.43,6.00
100,7.53,-0.30,6.28
105,7.43,-0.32,6.39
110,7.45,-0.32,6.33
114,7.32,-0.26,6.66
119,7.42,-0.31,6.36
124,7.51,-0.41,6.06
127,7.50,-0.52,6.02
132,7.29,-0.34,6.03
137,7.41,-0.46,6.04
142,7.46,-0.58,6.24
146,7.33,-0.37,6.06
151,7.31,-0.37,5.84
156,7.31,-0.36,6.25
160,7.36,-0.31,5.94
165,7.40,-0.29,6.11
169,7.54,-0.16,6.03
173,7.42,-0.30,6.09
178,7.40,-0.32,6.41
183,7.40,-0.34,6.41
188,7.34,-0.39,6.37
192,7.40,-0.43,6.20
197,7.43,-0.36,6.41
202,7.43,-0.39,6.14
207,7.53,-0.27,5.99
210,7.41,-0.29,6.02
215,7.40,-0.24,6.44
220,7.57,-0.35,6.06
224,7.30,-0.36,6.28
229,7.26,-0.38,6.47
234,7.48,-0.39,6.32
239,7.38,-0.42,6.40
243,7.54,-0.73,6.28
248,7.65,-0.64,6.26
252,7.76,-0.54,6.06
257,7.68,-0.75,6.30
261,7.52,-0.76,6.40
266,7.46,-0.59,6.44
271,7.53,-0.63,6.24
275,7.48,-0.57,6.27
280,7.45,-0.41,6.30
285,7.38,-0.42,6.62
290,7.60,-0.35,6.23
293,7.51,-0.35,6.08
298,7.38,-0.36,6.40
303,7.35,-0.31,6.45
308,7.53,-0.28,6.25
312,7.33,-0.26,6.35
317,7.32,-0.34,6.40
322,7.42,-0.36,6.42
327,7.32,-0.39,6.15
331,7.25,-0.35,6.26
335,7.41,-0.42,6.34
340,7.47,-0.47,6.38
344,7.52,-0.42,6.50
349,7.63,-0.48,6.45
354,7.62,-0.53,6.36
359,7.51,-0.41,6.42
363,7.57,-0.45,6.54
368,7.57,-0.51,6.15
373,7.54,-0.52,6.34
376,7.56,-0.61,5.93
381,7.43,-0.51,6.03
386,7.34,-0.30,6.30
391,7.41,-0.46,6.20
