timestamp,accX,accY,accZ
0,7.46,-0.46,6.43
91,7.52,-0.41,6.50
95,7.52,-0.33,6.26
100,7.51,-0.36,6.31
104,7.40,-0.36,6.13
109,7.31,-0.35,6.10
113,7.32,-0.28,6.49
118,7.27,-0.27,6.38
123,7.39,-0.30,6.37
128,7.35,-0.29,6.46
132,7.63,-0.38,6.45
137,7.44,-0.44,6.18
142,7.39,-0.48,6.19
145,7.53,-0.38,6.30
150,7.53,-0.45,5.92
155,7.35,-0.54,6.46
160,7.41,-0.57,6.45
164,7.52,-0.57,6.17
169,7.38,-0.50,6.43
174,7.40,-0.34,6.34
179,7.48,-0.41,6.40
183,7.51,-0.35,6.29
187,7.27,-0.40,6.20
192,7.41,-0.48,6.13
197,7.44,-0.32,6.19
201,7.30,-0.32,6.13
206,7.38,-0.38,6.08
211,7.32,-0.37,6.02
215,7.37,-0.35,6.22
220,7.29,-0.39,6.30
225,7.29,-0.37,6.21
229,7.31,-0.41,6.27
233,7.38,-0.39,6.30
238,7.29,-0.29,6.19
243,7.21,-0.27,6.42
247,7.45,-0.32,6.44
252,7.27,-0.29,6.27
257,7.15,-0.23,6.49
261,7.32,-0.35,6.32
266,7.28,-0.40,6.30
270,7.36,-0.38,6.27
275,7.47,-0.41,6.79
279,7.41,-0.51,6.47
284,7.33,-0.57,6.37
289,7.44,-0.63,6.17
294,7.46,-0.61,6.49
298,7.40,-0.76,6.64
303,7.56,-0.69,6.54
308,7.64,-0.69,6.71
311,7.63,-0.81,6.65
316,7.46,-0.72,6.07
321,7.45,-0.62,6.19
326,7.44,-0.70,6.03
330,7.30,-0.57,6.39
335,7.47,-0.57,6.26
340,7.33,-0.43,6.42
345,7.37,-0.56,6.53
349,7.46,-0.52,6.06
353,7.30,-0.48,6.23
358,7.40,-0.69,6.07
362,7.35,-0.71,6.10
367,7.41,-0.53,6.18
372,7.28,-0.60,6.28
377,7.34,-0.58,6.26
381,7.53,-0.69,6.44
386,7.45,-0.68,6.38
391,7.43,-0.88,6.28
395,7.53,-0.71,6.07
399,7.50,-0.68,6.47
404,7.55,-0.66,6.27
